source,target,tgt_lng
%s (Bắt buộc),%s (จำเป็น),th-TH
%s (erforderlich),%s (จำเป็น),th-TH
%s (facoltativo),%s (ไม่จำเป็น),th-TH
%s (facoltativo) — disattivato,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (facultatif),%s (ไม่จำเป็น),th-TH
%s (facultatif) - désactivé,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (Gerekli),%s (จำเป็น),th-TH
%s (İsteğe Bağlı),%s (ไม่จำเป็น),th-TH
%s (İsteğe Bağlı) - Devre Dışı,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (Không bắt buộc),%s (ไม่จำเป็น),th-TH
%s (không bắt buộc) - Đã tắt,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (necesario),%s (จำเป็น),th-TH
%s (necessario),%s (จำเป็น),th-TH
%s (obrigatório),%s (จำเป็น),th-TH
%s (opcional),%s (ไม่จำเป็น),th-TH
%s (opcional) — Não,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (opcional): Desactivado,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (Optional),%s (ไม่จำเป็น),th-TH
%s (optional),%s (ไม่จำเป็น),th-TH
%s (Optional) - Disabled,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (optional) – Deaktiviert,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (Required),%s (จำเป็น),th-TH
%s (requis),%s (จำเป็น),th-TH
%s (необязательно),%s (ไม่จำเป็น),th-TH
%s (необязательно) — Отключено,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (обязательно),%s (จำเป็น),th-TH
%s (선택적),%s (ไม่จำเป็น),th-TH
%s (선택적) - 꺼짐,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s (필수),%s (จำเป็น),th-TH
%s（任意）,%s (ไม่จำเป็น),th-TH
%s（任意） - 無効,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
%s（可选）,%s (ไม่จำเป็น),th-TH
%s（可选，已禁用）,%s (ไม่จำเป็น) - ปิดการใช้งาน,th-TH
