id,term,src_table
StoryIndex.main.0,프롤로그,story-viewer:mainStoryIndex.ts
StoryIndex.main.11000,프롤로그 1.1,story-viewer:mainStoryIndex.ts
StoryIndex.main.1,Vol.3 에덴 조약편 1장,story-viewer:mainStoryIndex.ts
StoryIndex.main.31010,프롤로그,story-viewer:mainStoryIndex.ts
StoryIndex.main.31020,보충수업부,story-viewer:mainStoryIndex.ts
StoryIndex.main.31030,티파티,story-viewer:mainStoryIndex.ts
StoryIndex.main.31040,낙제생들 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.31050,낙제생들 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.31060,자기소개의 시간,story-viewer:mainStoryIndex.ts
StoryIndex.main.31070,시험 준비,story-viewer:mainStoryIndex.ts
StoryIndex.main.31080,제1차 평가 시험,story-viewer:mainStoryIndex.ts
StoryIndex.main.31090,수면 아래의 것들,story-viewer:mainStoryIndex.ts
StoryIndex.main.31100,"합숙, 시작합니다!",story-viewer:mainStoryIndex.ts
StoryIndex.main.31110,대청소!,story-viewer:mainStoryIndex.ts
StoryIndex.main.31120,합숙의 첫날 밤,story-viewer:mainStoryIndex.ts
StoryIndex.main.31130,제1차 모의시험,story-viewer:mainStoryIndex.ts
StoryIndex.main.31140,정의실현부의 부부장 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.31150,정의실현부의 부부장 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.31160,작은 틈새,story-viewer:mainStoryIndex.ts
StoryIndex.main.31170,트리니티의 배신자,story-viewer:mainStoryIndex.ts
StoryIndex.main.2,Vol.3 에덴 조약편 2장,story-viewer:mainStoryIndex.ts
StoryIndex.main.32010,거대한 괴물,story-viewer:mainStoryIndex.ts
StoryIndex.main.32020,시스터후드,story-viewer:mainStoryIndex.ts
StoryIndex.main.32030,비밀 모임,story-viewer:mainStoryIndex.ts
StoryIndex.main.32040,수영복 좌담회,story-viewer:mainStoryIndex.ts
StoryIndex.main.32050,한밤중의 대소동 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.32060,한밤중의 대소동 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.32070,새로운 관점,story-viewer:mainStoryIndex.ts
StoryIndex.main.32080,보이기 시작하는 희망,story-viewer:mainStoryIndex.ts
StoryIndex.main.32090,검은 손길,story-viewer:mainStoryIndex.ts
StoryIndex.main.32100,제2차 평가 시험 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.32110,제2차 평가 시험 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.32120,다시 원점으로,story-viewer:mainStoryIndex.ts
StoryIndex.main.32130,그럼에도 불구하고,story-viewer:mainStoryIndex.ts
StoryIndex.main.32140,고백,story-viewer:mainStoryIndex.ts
StoryIndex.main.32150,시작되는 습격,story-viewer:mainStoryIndex.ts
StoryIndex.main.32160,격전,story-viewer:mainStoryIndex.ts
StoryIndex.main.32170,그런 세계 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.32180,그런 세계 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.32190,제3차 평가 시험,story-viewer:mainStoryIndex.ts
StoryIndex.main.32200,에필로그,story-viewer:mainStoryIndex.ts
StoryIndex.main.3,Vol.3 에덴 조약편 3장,story-viewer:mainStoryIndex.ts
StoryIndex.main.33010,포스트모템 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.33020,포스트모템 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.33030,포스트모템 3,story-viewer:mainStoryIndex.ts
StoryIndex.main.33040,그 후의 이야기들,story-viewer:mainStoryIndex.ts
StoryIndex.main.33060,에덴조약 조인식 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.33070,불과 재의 날 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.33080,불과 재의 날 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.33090,증오의 확인,story-viewer:mainStoryIndex.ts
StoryIndex.main.33100,달콤한 거짓,story-viewer:mainStoryIndex.ts
StoryIndex.main.33110,가중되는 혼란 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.33120,가중되는 혼란 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.33130,닿을 수 없는 저쪽,story-viewer:mainStoryIndex.ts
StoryIndex.main.33140,어둠 속의 빛,story-viewer:mainStoryIndex.ts
StoryIndex.main.33150,다섯 번째 화두의 대답,story-viewer:mainStoryIndex.ts
StoryIndex.main.33160,편린들,story-viewer:mainStoryIndex.ts
StoryIndex.main.33170,증오의 정체,story-viewer:mainStoryIndex.ts
StoryIndex.main.33180,흔들리지 않고,story-viewer:mainStoryIndex.ts
StoryIndex.main.33190,우리들의 이야기를,story-viewer:mainStoryIndex.ts
StoryIndex.main.33200,낙원의 이름 1,story-viewer:mainStoryIndex.ts
StoryIndex.main.33210,낙원의 이름 2,story-viewer:mainStoryIndex.ts
StoryIndex.main.33220,낙원의 이름 3,story-viewer:mainStoryIndex.ts
StoryIndex.main.33230,고성당의 지하,story-viewer:mainStoryIndex.ts
StoryIndex.main.33240,우리의 것이 아닌 증오,story-viewer:mainStoryIndex.ts
StoryIndex.other.0,총력전,story-viewer:otherStoryIndex.ts
StoryIndex.other.200,총력전 임무 브리핑,story-viewer:otherStoryIndex.ts
StoryIndex.other.201,"비나, 다름을 통감하는 숙고의 이해자",story-viewer:otherStoryIndex.ts
StoryIndex.other.202,"헤세드, 자비로운 고통으로 정죄하는 심판자",story-viewer:otherStoryIndex.ts
StoryIndex.other.203,환희의 복제,story-viewer:otherStoryIndex.ts
StoryIndex.other.204,고대의 교의,story-viewer:otherStoryIndex.ts
StoryIndex.other.205,카이텐져 본거지 습격!,story-viewer:otherStoryIndex.ts
StoryIndex.other.206,기호의 세계,story-viewer:otherStoryIndex.ts
StoryIndex.other.207,"호드, 찬란함으로 증거하는 영광",story-viewer:otherStoryIndex.ts
StoryIndex.other.208,쇼는 계속되어야 한다,story-viewer:otherStoryIndex.ts
StoryIndex.other.209,불멸성에 대한 담론,story-viewer:otherStoryIndex.ts
StoryIndex.other.210,흉악한 범죄자의 해변가 습격,story-viewer:otherStoryIndex.ts
StoryIndex.other.211,매듭짓지 못한 괴담의 말로,story-viewer:otherStoryIndex.ts
StoryIndex.other.1,작업극,story-viewer:otherStoryIndex.ts
StoryIndex.other.100,"특별의뢰, 시작합니다.",story-viewer:otherStoryIndex.ts
StoryIndex.other.101,"현상수배, 시작합니다.",story-viewer:otherStoryIndex.ts
StoryIndex.other.102,물건 회수 특별의뢰,story-viewer:otherStoryIndex.ts
StoryIndex.other.103,거점 방어 특별의뢰,story-viewer:otherStoryIndex.ts
StoryIndex.other.300,전술경연 대회!,story-viewer:otherStoryIndex.ts
StoryIndex.other.400,편의점 <엔젤 24>에 어서 오세요!,story-viewer:otherStoryIndex.ts
StoryIndex.other.500,크래프트 챔버란?,story-viewer:otherStoryIndex.ts
StoryIndex.other.600,종합전술시험,story-viewer:otherStoryIndex.ts
StoryIndex.other.700,백지장도 맞들면 낫다.,story-viewer:otherStoryIndex.ts
StoryIndex.other.800,아오이의 등장,story-viewer:otherStoryIndex.ts
StoryIndex.other.801,대결전 임무 브리핑,story-viewer:otherStoryIndex.ts
StoryIndex.other.2,제약해제결전,story-viewer:otherStoryIndex.ts
StoryIndex.other.901,세트의 분노,story-viewer:otherStoryIndex.ts
StoryIndex.event.0,오욕내강,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003805,축제를 준비합시다!,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003810,상서롭지 않은 이변,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003820,소문에 대처하는 자세,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003830,"어른과 아이, 아이, 아이.",story-viewer:eventStoryIndex.ts
StoryIndex.event.1003840,과거와 현재를 나누는 경계 1,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003845,과거와 현재를 나누는 경계 2,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003850,너의 세계를 지나칠 때 1,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003855,너의 세계를 지나칠 때 2,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003860,그 먼 훗날의 우리,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003870,그곳에 가면 기린을 만날 수 있을까.,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003880,천 번을 흔들릴 그대에게 1,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003885,천 번을 흔들릴 그대에게 2,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003890,모든 번거로운 것들을 위하여 1,story-viewer:eventStoryIndex.ts
StoryIndex.event.1003895,모든 번거로운 것들을 위하여 2,story-viewer:eventStoryIndex.ts
StoryIndex.event.10038100,같은 하늘을 머리에 이고 1,story-viewer:eventStoryIndex.ts
StoryIndex.event.0,같은 하늘을 머리에 이고 2,story-viewer:eventStoryIndex.ts
StoryIndex.event.10038110,축제를 시작합시다!,story-viewer:eventStoryIndex.ts
MomoTalk.10000.126,근로의욕 증진 방법,momotalk/10000.yml
MomoTalk.10000.127,설득의 기술,momotalk/10000.yml
MomoTalk.10000.128,진정한 리더,momotalk/10000.yml
MomoTalk.10000.129,외부 경영 고문직 입사 제안,momotalk/10000.yml
MomoTalk.10000.130,엄청나게 귀중하고 중요한 것,momotalk/10000.yml
MomoTalk.10001.131,체온 조절,momotalk/10001.yml
MomoTalk.10001.132,최신 유행 연구 1,momotalk/10001.yml
MomoTalk.10001.133,최신 유행 연구 2,momotalk/10001.yml
MomoTalk.10001.134,패션의 완성,momotalk/10001.yml
MomoTalk.10001.135,상처,momotalk/10001.yml
MomoTalk.10001.136,열풍,momotalk/10001.yml
MomoTalk.10002.137,금지된 연구,momotalk/10002.yml
MomoTalk.10002.138,고고한 길,momotalk/10002.yml
MomoTalk.10002.139,분노의 미식가,momotalk/10002.yml
MomoTalk.10002.140,진정한 미식,momotalk/10002.yml
MomoTalk.10003.141,신상 굿즈!,momotalk/10003.yml
MomoTalk.10003.142,가방의 비밀,momotalk/10003.yml
MomoTalk.10003.143,페로로 님 구출 작전,momotalk/10003.yml
MomoTalk.10003.144,고민 상담,momotalk/10003.yml
MomoTalk.10003.145,우연한 외출,momotalk/10003.yml
MomoTalk.10003.146,게릴라 악수회,momotalk/10003.yml
MomoTalk.10004.147,심야의 회의,momotalk/10004.yml
MomoTalk.10004.148,당당한 이유,momotalk/10004.yml
MomoTalk.10004.149,타인의 취향,momotalk/10004.yml
MomoTalk.10004.150,따뜻한 햇볕의,momotalk/10004.yml
MomoTalk.10004.151,어쩐지 신비한 밤,momotalk/10004.yml
MomoTalk.10004.152,결코 가볍지 않은 무게,momotalk/10004.yml
MomoTalk.10005.153,잠자는 고래,momotalk/10005.yml
MomoTalk.10005.154,게으름뱅이의 아침,momotalk/10005.yml
MomoTalk.10005.155,희미하지만 빛나는,momotalk/10005.yml
MomoTalk.10005.156,한밤중의 순찰자,momotalk/10005.yml
MomoTalk.10005.157,행운을 잡는 법,momotalk/10005.yml
MomoTalk.10005.158,아쿠아리움!,momotalk/10005.yml
MomoTalk.10005.159,어디서든 입장권,momotalk/10005.yml
MomoTalk.10006.160,그녀의 오해,momotalk/10006.yml
MomoTalk.10006.161,교정에서의 휴식,momotalk/10006.yml
MomoTalk.10006.162,비밀스러운 거래,momotalk/10006.yml
MomoTalk.10006.163,상냥한 치료,momotalk/10006.yml
MomoTalk.10006.164,선생의 오해,momotalk/10006.yml
MomoTalk.10007.165,모범 시민,momotalk/10007.yml
MomoTalk.10007.166,수상한 해킹,momotalk/10007.yml
MomoTalk.10007.167,천재와 바보는 종이 한 장 차이,momotalk/10007.yml
MomoTalk.10007.168,미화 정비,momotalk/10007.yml
MomoTalk.10007.169,영원한 추억,momotalk/10007.yml
MomoTalk.10008.170,"아침, 메이드, 청소!",momotalk/10008.yml
MomoTalk.10008.171,네루에게 병문안,momotalk/10008.yml
MomoTalk.10008.172,네루의 병문안,momotalk/10008.yml
MomoTalk.10008.173,지각 대소동,momotalk/10008.yml
MomoTalk.10008.174,빛나는 밤,momotalk/10008.yml
MomoTalk.10008.175,스카잔을 입는 이유,momotalk/10008.yml
MomoTalk.10009.176,음식을 더욱 맛있게 먹는 법,momotalk/10009.yml
MomoTalk.10009.177,맛있는 푸딩 이야기,momotalk/10009.yml
MomoTalk.10009.178,나도 모르게 한 입!,momotalk/10009.yml
MomoTalk.10009.179,핫도그 데이,momotalk/10009.yml
MomoTalk.10010.180,러닝 머신,momotalk/10010.yml
MomoTalk.10010.181,거리 두기,momotalk/10010.yml
MomoTalk.10010.182,로드 싸이클,momotalk/10010.yml
MomoTalk.10010.183,지하철,momotalk/10010.yml
MomoTalk.10010.184,도시 관찰,momotalk/10010.yml
MomoTalk.10010.185,개인 면담,momotalk/10010.yml
MomoTalk.10010.186,유비무환?,momotalk/10010.yml
MomoTalk.10011.187,간식 시간,momotalk/10011.yml
MomoTalk.10011.188,식사 후에는 깨끗이 양치를,momotalk/10011.yml
MomoTalk.10011.189,나이 들지 않았는걸!,momotalk/10011.yml
MomoTalk.10011.190,높게 높게,momotalk/10011.yml
MomoTalk.10011.191,선물 고르기,momotalk/10011.yml
MomoTalk.10011.192,달콤한 오후의 낮잠,momotalk/10011.yml
MomoTalk.10012.193,트레이너 등장!,momotalk/10012.yml
MomoTalk.10012.194,트레이너와 함께,momotalk/10012.yml
MomoTalk.10012.195,트레이너도 함께,momotalk/10012.yml
MomoTalk.10012.196,트레이너와 데이트,momotalk/10012.yml
MomoTalk.10012.197,트레이너의 한계,momotalk/10012.yml
MomoTalk.10013.198,거리감이 중요해!,momotalk/10013.yml
MomoTalk.10013.199,셀카의 세계,momotalk/10013.yml
MomoTalk.10013.200,어른의 데이트,momotalk/10013.yml
MomoTalk.10013.201,특별한 상자,momotalk/10013.yml
MomoTalk.10014.202,그래서 이즈나는 미행한다.,momotalk/10014.yml
MomoTalk.10014.203,그래서 이즈나는 호위한다.,momotalk/10014.yml
MomoTalk.10014.204,그래서 이즈나는 좋아한다.,momotalk/10014.yml
MomoTalk.10014.205,주군과 함께 있는 지금을.,momotalk/10014.yml
MomoTalk.10015.206,아리스 퀘스트 ~모험의 시작~,momotalk/10015.yml
MomoTalk.10015.207,아리스 퀘스트 ~그리고 전설로~,momotalk/10015.yml
MomoTalk.10015.208,아리스의 선택,momotalk/10015.yml
MomoTalk.10015.209,고양이와 아리스,momotalk/10015.yml
MomoTalk.10015.210,아리스의 마법,momotalk/10015.yml
MomoTalk.10016.211,마감이에요. 선생님.,momotalk/10016.yml
MomoTalk.10016.212,현장실습이에요. 선생님.,momotalk/10016.yml
MomoTalk.10016.213,초회한정판이에요. 선생님.,momotalk/10016.yml
MomoTalk.10016.214,반짝이는 추억이에요. 선생님.,momotalk/10016.yml
MomoTalk.10016.215,"……떨어지지 않는 추억이네요, 선생님.",momotalk/10016.yml
MomoTalk.10017.216,훈장 수여식,momotalk/10017.yml
MomoTalk.10017.217,피망과 햄버거 스테이크,momotalk/10017.yml
MomoTalk.10017.218,체리노는 아홉 살?,momotalk/10017.yml
MomoTalk.10017.219,설원의 암살자,momotalk/10017.yml
MomoTalk.10017.220,악몽,momotalk/10017.yml
MomoTalk.10018.221,캐비닛 속의 안식처,momotalk/10018.yml
MomoTalk.10018.222,상냥한 파이터,momotalk/10018.yml
MomoTalk.10018.223,부끄럼쟁이의 아르바이트 1,momotalk/10018.yml
MomoTalk.10018.224,부끄럼쟁이의 아르바이트 2,momotalk/10018.yml
MomoTalk.10018.225,유원지에서의 약속,momotalk/10018.yml
MomoTalk.10019.226,비닉,momotalk/10019.yml
MomoTalk.10019.227,방호,momotalk/10019.yml
MomoTalk.10019.228,계획,momotalk/10019.yml
MomoTalk.10019.229,사격,momotalk/10019.yml
MomoTalk.10020.230,무슨 생각을 하는 거야?,momotalk/10020.yml
MomoTalk.10020.231,무슨 소릴 하는 거야?,momotalk/10020.yml
MomoTalk.10020.232,무슨 용무로 부른 거야?,momotalk/10020.yml
MomoTalk.10020.233,무슨 짓을 하는 거야?,momotalk/10020.yml
MomoTalk.10021.234,보호 대상,momotalk/10021.yml
MomoTalk.10021.235,환경은 중요한 조미료,momotalk/10021.yml
MomoTalk.10021.236,한눈에 들어오는 것,momotalk/10021.yml
MomoTalk.10021.237,해변의 사치,momotalk/10021.yml
MomoTalk.10022.238,선도부장과 함께 해변 산책,momotalk/10022.yml
MomoTalk.10022.239,선도부장과 함께 서류 작업,momotalk/10022.yml
MomoTalk.10022.240,히나와 함께 여름의 풍경을,momotalk/10022.yml
MomoTalk.10022.241,아직도 소중히 여기는 것,momotalk/10022.yml
MomoTalk.10023.242,해변에서 하면 안 되는 일,momotalk/10023.yml
MomoTalk.10023.243,선도부원의 약점,momotalk/10023.yml
MomoTalk.10023.244,선도부원의 가벼운 일탈,momotalk/10023.yml
MomoTalk.10023.245,모래찜질,momotalk/10023.yml
MomoTalk.10023.246,노을 지는 해변,momotalk/10023.yml
MomoTalk.10024.247,키보토스 롱 라이딩,momotalk/10024.yml
MomoTalk.10024.248,나만의 서포터,momotalk/10024.yml
MomoTalk.10024.249,모든 곳에서 함께,momotalk/10024.yml
MomoTalk.10024.250,마지막 포인트,momotalk/10024.yml
MomoTalk.10025.251,작다는 건 편리해!,momotalk/10025.yml
MomoTalk.10025.252,작다는 건 불편해!,momotalk/10025.yml
MomoTalk.10025.253,놀이터 안전 점검,momotalk/10025.yml
MomoTalk.10025.254,비밀 기지,momotalk/10025.yml
MomoTalk.10025.255,"변하는 것, 변하지 않는 것",momotalk/10025.yml
MomoTalk.10026.256,도움 요청,momotalk/10026.yml
MomoTalk.10026.257,별 거 아닌 부탁,momotalk/10026.yml
MomoTalk.10026.258,주변의 시선,momotalk/10026.yml
MomoTalk.10027.259,생각지 못한 시선,momotalk/10027.yml
MomoTalk.10027.260,생각지 못한 오해,momotalk/10027.yml
MomoTalk.10027.261,생각지 못한 결론,momotalk/10027.yml
MomoTalk.10028.262,심야에 할 일,momotalk/10028.yml
MomoTalk.10028.263,토끼의 생태,momotalk/10028.yml
MomoTalk.10028.264,바니걸의 생태,momotalk/10028.yml
MomoTalk.10028.265,토끼 꼬리 소동,momotalk/10028.yml
MomoTalk.10029.266,강의명: 로망,momotalk/10029.yml
MomoTalk.10029.267,강의명: 포용,momotalk/10029.yml
MomoTalk.10029.268,실습명: 발굴,momotalk/10029.yml
MomoTalk.10029.269,쉬는 시간: 매점,momotalk/10029.yml
MomoTalk.10030.270,워커홀릭,momotalk/10030.yml
MomoTalk.10030.271,약선 요법,momotalk/10030.yml
MomoTalk.10030.272,답례품,momotalk/10030.yml
MomoTalk.10030.273,둘 만을 위한 노천탕,momotalk/10030.yml
MomoTalk.10031.274,올해가 가기 전에,momotalk/10031.yml
MomoTalk.10031.275,"조금쯤은, 보여주고픈 모습",momotalk/10031.yml
