source,target,tgt_lng
Achievement: Adeptal Valley,업적·선계 협곡,ko-KR
Achievement: All-Seeing,업적·일람,ko-KR
Achievement: Blaze,업적·작열,ko-KR
Achievement: Bowmaster,업적·강궁,ko-KR
Achievement: Challenger,업적·도전,ko-KR
Achievement: Challenger II,업적·도전·두 번째,ko-KR
Achievement: Challenger III,업적·도전·세 번째,ko-KR
Achievement: Chasm,업적·층암,ko-KR
Achievement: Cliffhanger,업적·부채,ko-KR
Achievement: Colors of the Rainbow,업적·무지개색,ko-KR
Achievement: Deep & Dark,업적·깊은 비밀,ko-KR
Achievement: Endpoint,업적·끝에서,ko-KR
Achievement: Enigmatic Core,업적·그림자 코어,ko-KR
Achievement: Explorer,업적·편유,ko-KR
Achievement: Far-Sighted,업적·조망,ko-KR
Achievement: Fated Encounter,업적·인연,ko-KR
Achievement: Feline Fortune,업적·고양이 점괘,ko-KR
Achievement: Fighting Spirit,업적·투지,ko-KR
Achievement: Full Bloom,업적·무성한 꽃,ko-KR
Achievement: Gate,업적·문,ko-KR
Achievement: Hero,업적·협행,ko-KR
Achievement: Hill Dwellers,업적·산 부족,ko-KR
Achievement: Infinitum,업적·모든 씨앗,ko-KR
Achievement: Invoker,업적·일곱 성인,ko-KR
Achievement: Lord of the Night,업적·밤의 주인,ko-KR
Achievement: Mariner,업적·물걸음,ko-KR
Achievement: Mirrored Dreams,업적·거울의 꿈,ko-KR
Achievement: Nails,업적·바늘 꿰기,ko-KR
Achievement: Orbits,업적·궤적,ko-KR
Achievement: Perpetual,업적·영속,ko-KR
Achievement: Poetic Pages,업적·환상 시편,ko-KR
Achievement: Repertoire,업적·모음곡,ko-KR
Achievement: Resplendence,업적·꽃,ko-KR
Achievement: Reunion,업적·만남,ko-KR
Achievement: Roaming,업적·만행,ko-KR
Achievement: Seven Lights,업적·일곱 개의 빛,ko-KR
Achievement: Snowy Land,업적·눈의 땅,ko-KR
Achievement: Snowy Summit,업적·설봉,ko-KR
Achievement: Stone Dragon,업적·석룡,ko-KR
Achievement: Tea Time,업적·주전자의 노래,ko-KR
Achievement: Thunderclap,업적·뇌음,ko-KR
Achievement: Time Apart,업적·기나긴 이별,ko-KR
Achievement: Tranquil Peace,업적·평온,ko-KR
Achievement: Transient Twilight,업적·밤에 지는 꽃,ko-KR
Achievement: Traversal,업적·누빔,ko-KR
Achievement: Treading Snow,업적·눈길,ko-KR
Achievement: Vacation Home,업적·객지 생활,ko-KR
Achievement: Virtuoso,업적·특기,ko-KR
Achievement: Whalewrangler,업적·포경,ko-KR
Aino - Ai Da,아이노·오리,ko-KR
Aino - Aïe aïe canard,아이노·오리,ko-KR
Aino - Metiendo “el pato”,아이노·오리,ko-KR
Aino - หนูช่วยเย็นก่อนจิ,아이노·오리,ko-KR
Aino – Entenschnattern,아이노·오리,ko-KR
Aino: Che papera!,아이노·오리,ko-KR
"Aino: Opa, Patinho",아이노·오리,ko-KR
Aino: Portakal Ördekal,아이노·오리,ko-KR
Aino: Whoopsie Ducksie,아이노·오리,ko-KR
Albedo - Flor solar,알베도·태양꽃,ko-KR
Albedo - Hướng Dương,알베도·태양꽃,ko-KR
Albedo - Radiance solaire,알베도·태양꽃,ko-KR
Albedo - Radiação Solar,알베도·태양꽃,ko-KR
Albedo - ดอกไม้แห่งตะวัน,알베도·태양꽃,ko-KR
Albedo – Sonneneruption,알베도·태양꽃,ko-KR
Albedo: Fiore del sole,알베도·태양꽃,ko-KR
Albedo: Güneş Çiçeği,알베도·태양꽃,ko-KR
Albedo: Sun Blossom,알베도·태양꽃,ko-KR
Album - Moments stellaires,앨범·빛나는 뭇별,ko-KR
Album – The Stellar Moments,앨범·빛나는 뭇별,ko-KR
Album: The Stellar Moments,앨범·빛나는 뭇별,ko-KR
Albüm: Yıldızlar Gibi Parlak Anlar,앨범·빛나는 뭇별,ko-KR
Alhacén - Erudición,알하이탐·충고,ko-KR
Alhaitham - Giác Ngộ,알하이탐·충고,ko-KR
Alhaitham - Érudition,알하이탐·충고,ko-KR
Alhaitham - รู้แจ้ง,알하이탐·충고,ko-KR
Alhaitham – Belehrsamkeit,알하이탐·충고,ko-KR
Alhaitham: Aydınlanma,알하이탐·충고,ko-KR
Alhaitham: Enlightenment,알하이탐·충고,ko-KR
Alhaitham: Illuminazione,알하이탐·충고,ko-KR
Alhaitham: Ilustração,알하이탐·충고,ko-KR
Aliosha - Siéntate,알료샤·앉기,ko-KR
Aloy - Amanecer,에일로이·서광,ko-KR
Aloy - Aube,에일로이·서광,ko-KR
Aloy - Dawn,에일로이·서광,ko-KR
Aloy - Nhật Ký Bình Minh,에일로이·서광,ko-KR
Aloy – Horizont,에일로이·서광,ko-KR
Aloy: Dawn,에일로이·서광,ko-KR
Aloy: Despertar,에일로이·서광,ko-KR
Aloy: Şafak,에일로이·서광,ko-KR
Alyosha - Assis,알료샤·앉기,ko-KR
Alyosha - Ngồi Xuống,알료샤·앉기,ko-KR
Alyosha - นั่ง,알료샤·앉기,ko-KR
Alyosha – Sitzen,알료샤·앉기,ko-KR
Alyosha: Otur,알료샤·앉기,ko-KR
Alyosha: Seduto,알료샤·앉기,ko-KR
Alyosha: Sentar,알료샤·앉기,ko-KR
Alyosha: Sit,알료샤·앉기,ko-KR
Amber - Baron Bunny,엠버·토끼,ko-KR
Amber - Baron Lapinou,엠버·토끼,ko-KR
Amber - Barón Bunny,엠버·토끼,ko-KR
Amber - Con Thỏ,엠버·토끼,ko-KR
Amber – Hoppel,엠버·토끼,ko-KR
Amber: Baron Coniglio,엠버·토끼,ko-KR
Amber: Bunny,엠버·토끼,ko-KR
Amber: Tavşancık,엠버·토끼,ko-KR
Andarilho: Balada Transitória,방랑자·떠도는 자의 노래,ko-KR
Anotações de Viagem - O Início da Aventura,기행·바람을 잡다,ko-KR
Anotações de Viagem: Mingxiao,기행·명소,ko-KR
Appunti di viaggio: Acque primordiali,기행·원천,ko-KR
Appunti di viaggio: Boschi,기행·깊은 숲,ko-KR
Appunti di viaggio: Catturavento,기행·바람을 잡다,ko-KR
Appunti di viaggio: Convergenza arcana,기행·응축된 신비,ko-KR
Appunti di viaggio: Corona gloriosa,기행·영광의 관,ko-KR
Appunti di viaggio: Dolce brezza,기행·느긋,ko-KR
Appunti di viaggio: Dono dello splendore,기행·선물,ko-KR
Appunti di viaggio: Estate soleggiata,기행·영화,ko-KR
Appunti di viaggio: Falchi lucenti,기행·오색 연,ko-KR
Appunti di viaggio: Fiamma primordiale,기행·불의 근원,ko-KR
Appunti di viaggio: Fioritura gloriosa,기행·영광의 꽃,ko-KR
Appunti di viaggio: Fiumi spirituali,기행·은하수,ko-KR
Appunti di viaggio: Florvento,기행·윈드블룸,ko-KR
Appunti di viaggio: Generale celeste,기행·신장(神將),ko-KR
Appunti di viaggio: Gesso,기행·백악,ko-KR
Appunti di viaggio: Gran Santuario di Narukami,기행·나루카미 다이샤,ko-KR
Appunti di viaggio: Grande blu,기행·바닷빛,ko-KR
Appunti di viaggio: Illuminazione vivida,기행·눈부신 색채,ko-KR
Appunti di viaggio: Inseguendo la luna,기행·축월,ko-KR
Appunti di viaggio: Intento ingegnoso,기행·절묘한 의도,ko-KR
Appunti di viaggio: Ipotesi,기행·추론,ko-KR
Appunti di viaggio: Irodori,기행·이로도리,ko-KR
Appunti di viaggio: Iscrizione del tempo,기행·시간의 각인,ko-KR
Appunti di viaggio: La Fiamma rinnovata,기행·새 불씨,ko-KR
Appunti di viaggio: Luna glaciale,기행·빙월,ko-KR
Appunti di viaggio: Lyratum,기행·백영(白英),ko-KR
Appunti di viaggio: Mingxiao,기행·명소,ko-KR
Appunti di viaggio: Mondi alternativi,기행·얽힌 속세,ko-KR
Appunti di viaggio: Multicolore,기행·유채,ko-KR
Appunti di viaggio: Neve ardente,기행·열혈 눈보라,ko-KR
Appunti di viaggio: Ode illuminata alla lanterna,기행·봄 마차,ko-KR
Appunti di viaggio: Piena estate,기행·한 여름,ko-KR
Appunti di viaggio: Politeama,기행·모의전,ko-KR
Appunti di viaggio: Produzione estrosa,기행·모형,ko-KR
Appunti di viaggio: Regni del rock,기행·로큰롤,ko-KR
Appunti di viaggio: Rime in musica,기행·화음,ko-KR
Appunti di viaggio: Risveglio,기행·계칩,ko-KR
Appunti di viaggio: Ritorno a casa,기행·귀환,ko-KR
Appunti di viaggio: Rovine del passato,기행·유적,ko-KR
Appunti di viaggio: Sabzeruz,기행·탄신,ko-KR
Appunti di viaggio: Segreti,기행·비전,ko-KR
Appunti di viaggio: Sogno meraviglioso,기행·좋은 꿈,ko-KR
Appunti di viaggio: Spettacolo di danza,기행·왈츠,ko-KR
Appunti di viaggio: Stella cadente,기행·꺼진 별,ko-KR
Appunti di viaggio: Stella dei desideri,기행·잠긴 별,ko-KR
Appunti di viaggio: Tessispiriti,기행·영혼의 두루마리,ko-KR
Appunti di viaggio: Valzer vorticoso,기행·원무,ko-KR
Appunti di viaggio: Venti del Nord,기행·북풍,ko-KR
Appunti di viaggio: Venti di ritorno,기행·돌아온 바람,ko-KR
Appunti di viaggio: Viandante del gelo,기행·서리,ko-KR
Appunti di viaggio: Volontà divina,기행·천명,ko-KR
Appunti di viaggio: terra dei Miconoidi,기행·버섯 들판,ko-KR
Arlecchino - Ley,아를레키노·규칙,ko-KR
Arlecchino - Sắc Lệnh,아를레키노·규칙,ko-KR
Arlecchino - Édit,아를레키노·규칙,ko-KR
Arlecchino - กฎเกณฑ์,아를레키노·규칙,ko-KR
Arlecchino – Edikt,아를레키노·규칙,ko-KR
Arlecchino: Edict,아를레키노·규칙,ko-KR
Arlecchino: Editto,아를레키노·규칙,ko-KR
Arlecchino: Ferman,아를레키노·규칙,ko-KR
Arlecchino: Édito,아를레키노·규칙,ko-KR
Asilzade: Kötülüğün Mirası,타르탈리아·마왕 무장,ko-KR
Avare: Serseri Şiir,방랑자·떠도는 자의 노래,ko-KR
Baizhu - Khư Phong,백출·거풍,ko-KR
Baizhu - Mitigación,백출·거풍,ko-KR
Baizhu - Soulagement,백출·거풍,ko-KR
Baizhu - ขับลมปราณ,백출·거풍,ko-KR
Baizhu – Vorbeugung,백출·거풍,ko-KR
Baizhu: Alívio,백출·거풍,ko-KR
Baizhu: Rahatlama,백출·거풍,ko-KR
Baizhu: Relief,백출·거풍,ko-KR
Baizhu: Sollievo,백출·거풍,ko-KR
Barbara - Dòng Chảy,바바라·흐름,ko-KR
Barbara - Flow,바바라·흐름,ko-KR
Barbara - Fluxo,바바라·흐름,ko-KR
Barbara - Thérapeutique,바바라·흐름,ko-KR
Barbara – Fließendes Wasser,바바라·흐름,ko-KR
Barbara: Flow,바바라·흐름,ko-KR
Barbara: Flusso,바바라·흐름,ko-KR
Barbara: Müzik Terapisi,바바라·흐름,ko-KR
Başarım: Adeptus Vadisi,업적·선계 협곡,ko-KR
Başarım: Alev,업적·작열,ko-KR
Başarım: Arkası Yarın,업적·부채,ko-KR
Başarım: Ayrı Geçen Zaman,업적·기나긴 이별,ko-KR
Başarım: Balina Terbiyecisi,업적·포경,ko-KR
Başarım: Bitiş Noktası,업적·끝에서,ko-KR
Başarım: Buluşma,업적·만남,ko-KR
Başarım: Dağ Sakinleri,업적·산 부족,ko-KR
Başarım: Denizci,업적·물걸음,ko-KR
Başarım: Derin ve Karanlık,업적·깊은 비밀,ko-KR
Başarım: Gece Lordu,업적·밤의 주인,ko-KR
Başarım: Gelip Geçici Alacakaranlık,업적·밤에 지는 꽃,ko-KR
Başarım: Gezinti,업적·만행,ko-KR
Başarım: Gizemli Çekirdek,업적·그림자 코어,ko-KR
Başarım: Gökkuşağı Renkleri,업적·무지개색,ko-KR
Başarım: Her Şeyi Gören,업적·일람,ko-KR
Başarım: Kader Karşılaşması,업적·인연,ko-KR
Başarım: Kahraman,업적·협행,ko-KR
Başarım: Kanyon,업적·층암,ko-KR
Başarım: Kapı,업적·문,ko-KR
Başarım: Karda Yolculuk,업적·눈길,ko-KR
Başarım: Karlı Zirve,업적·설봉,ko-KR
Başarım: Karlı Ülke,업적·눈의 땅,ko-KR
Başarım: Kaşif,업적·편유,ko-KR
Başarım: Kedi Şansı,업적·고양이 점괘,ko-KR
Başarım: Kutsal Yol,업적·누빔,ko-KR
Başarım: Mücadeleci,업적·도전,ko-KR
