source,target,tgt_lng
A Bruxa das Chamas Carmesim,Brennende Pyro-Hexe,de-DE
A Day Carved From Rising Winds,Tag des aufkommenden Windes,de-DE
Adağın Yankısı,Echo des Opferfests,de-DE
Adventurer,Abenteurer,de-DE
Afortunado,Glückspilz,de-DE
Alborada de la Estrella del Alba y la Luna,Gesang von Stern und Mond,de-DE
Aldilà vermiglio,Vergangenheit des Zinnobers,de-DE
Alim,Gelehrter,de-DE
Altın Kumpanya,Goldtruppe,de-DE
Além-vida Cinábrio,Vergangenheit des Zinnobers,de-DE
Amata fanciulla,Ins Herz geschlossenes Mädchen,de-DE
Amour chéri,Ins Herz geschlossenes Mädchen,de-DE
Ancien rituel royal,Altes Hofritual,de-DE
Antigo Ritual Real,Altes Hofritual,de-DE
Apostador,Glücksspieler,de-DE
Archaic Petra,Archaischer Fels,de-DE
Arkaik Taşlar,Archaischer Fels,de-DE
Armonik İlham Parçası,Fragment harmonischer Launen,de-DE
Artista Marcial,Kampfkünstler,de-DE
Artiste martial,Kampfkünstler,de-DE
Ascensão Zéfira,Tag des aufkommenden Windes,de-DE
Asil Minnettarlık,Altes Hofritual,de-DE
Atravessador do Fogo,Feuer durchwandernder Heiliger,de-DE
Attraversafuochi,Feuer durchwandernder Heiliger,de-DE
Au-delà cinabrin,Vergangenheit des Zinnobers,de-DE
Aubade d'astre et de lune,Gesang von Stern und Mond,de-DE
Aubade della stella del mattino e della luna,Gesang von Stern und Mond,de-DE
Aubade of Morningstar and Moon,Gesang von Stern und Mond,de-DE
Aventureiro,Abenteurer,de-DE
Aventurero,Abenteurer,de-DE
Aventurier,Abenteurer,de-DE
Avventuriere,Abenteurer,de-DE
Aydınlanma Duası,Feueropfer,de-DE
Bagliore di Vourukasha,Licht der Vourukasha-Oase,de-DE
Bahar Duası,Eisopfer,de-DE
Bahtı Açık,Glückspilz,de-DE
Bande vagabonde,Wanderorchester,de-DE
Bereketli Rüyaların Hatıraları,Schale der üppigen Träume,de-DE
Bilgelik Duası,Blitzopfer,de-DE
Blizzard Strayer,Im Schnee irrender Recke,de-DE
Bloodstained Chivalry,Blutiger Weg eines Ritters,de-DE
Brave Heart,Wagemut,de-DE
Brilho Vourukasha,Licht der Vourukasha-Oase,de-DE
Briseur de glace,Im Schnee irrender Recke,de-DE
Bruja Carmesí en Llamas,Brennende Pyro-Hexe,de-DE
Bí Điển Obsidian,Obsidiankodex,de-DE
Bóng Hình Màu Xanh,Grünlicher Schatten,de-DE
Bằng Chứng Máu Đỏ,Blutroter Beweis,de-DE
Bức Tranh Dũng Sĩ Thành Tro Tàn,Schriftrolle des Recken der aschenen Stadt,de-DE
Caballería Sanguinaria,Blutiger Weg eines Ritters,de-DE
Cacciatore della Maréchaussée,Schattenjäger,de-DE
Cacciatrice smeraldo,Grünlicher Schatten,de-DE
Canto di giorni che furono,Lied vergangener Tage,de-DE
Canção do Passado,Lied vergangener Tage,de-DE
Casca de Sonhos Opulentos,Schale der üppigen Träume,de-DE
Cavaleiro Manchado de Sangue,Blutiger Weg eines Ritters,de-DE
Cavalleria sanguinaria,Blutiger Weg eines Ritters,de-DE
Cazador Fantasmal,Schattenjäger,de-DE
Caçador das Sombras,Schattenjäger,de-DE
Celestial Gift,Gabe des Himmels,de-DE
Cesur Yürek,Wagemut,de-DE
Chama Pálida,Fahle Flammen,de-DE
Chanceux,Glückspilz,de-DE
Chanson des jours d'antan,Lied vergangener Tage,de-DE
Chasseur de la Maréchaussée,Schattenjäger,de-DE
Chevalerie ensanglantée,Blutiger Weg eines Ritters,de-DE
Chronique du Pavillon du désert,Chronik des Wüstenpavillons,de-DE
Codex d'obsidienne,Obsidiankodex,de-DE
Codice d'ossidiana,Obsidiankodex,de-DE
Colère de tonnerre,Donnernder Zorn,de-DE
Compagnia del vagabondo,Wanderorchester,de-DE
Compagnia dorata,Goldtruppe,de-DE
Compañía Dorada,Goldtruppe,de-DE
Con Bạc,Glücksspieler,de-DE
Concha Tingida Pelo Mar,Meeresmuschel,de-DE
Coquille des rêves opulents,Schale der üppigen Träume,de-DE
