source,target,tgt_lng
"""Called In For Cleanup""","""Lavoro di pulizia""",it-IT
"""Crimson Witch of Embers""",Strega cremisi delle fiamme,it-IT
"""Công Việc Dọn Dẹp""","""Lavoro di pulizia""",it-IT
"""Temizlik İşi Vardı""","""Lavoro di pulizia""",it-IT
"""Trabalho de limpeza""","""Lavoro di pulizia""",it-IT
"""รูปแบบไร้พลังงาน""",Disattivazione,it-IT
A Estrela Chegou: Grande Colapso Vulcânico,Barranco glorioso: Slancio vulcanico,it-IT
Abenteuer,Avventura,it-IT
Absorción de poder elemental,Assorbimento elementale,it-IT
Absorption de la puissance d'un élément correspondant,Assorbimento elementale,it-IT
Absorve o poder do elemento correspondente,Assorbimento elementale,it-IT
Abstimmung,Armonia,it-IT
Abwerfen,Rimozione,it-IT
Acción adicional,Azione aggiuntiva,it-IT
Acción de combate,Azione di combattimento,it-IT
Acción rápida,Azione rapida,it-IT
Action de combat,Azione di combattimento,it-IT
Action rapide,Azione rapida,it-IT
Action supplémentaire,Azione aggiuntiva,it-IT
Adil Yargı,Equo giudizio,it-IT
Adventure,Avventura,it-IT
Aegis of Abyssal Flame,Egida della fiamma abissale,it-IT
Agile Switch,Cambio rapido,it-IT
Ahorros de Taroumaru,Risparmi di Taroumaru,it-IT
Ajuste de cuentas,"""Lavoro di pulizia""",it-IT
Aktif Karakterine En Yakın Karakter,Personaggio più vicino al tuo personaggio attivo,it-IT
Aldatıcı Tohum,Semi dell'inganno,it-IT
Alev Bariyeri,Barriera ardente,it-IT
Alles wendender Heiliger Fürst,Sacro Signore del ritorno,it-IT
Alt Akıntının Laneti,Maledizione delle correnti profonde,it-IT
Amparo plumífero,Copertura della Piuma corvina,it-IT
Anemo DMG,DAN da Anemo,it-IT
Anemo-Reaktionen,Reazioni di Anemo,it-IT
Anemo-Related Reactions,Reazioni di Anemo,it-IT
Anemo-Schaden,DAN da Anemo,it-IT
Angriff aus dem Fall,Attacco in picchiata,it-IT
Anémo,Anemo,it-IT
Aplicación Cryo,Applicazione di Cryo,it-IT
Aplicación Dendro,Applicazione di Dendro,it-IT
Aplicación Electro,Applicazione di Electro,it-IT
Aplicación Geo,Applicazione di Geo,it-IT
Aplicación Hydro,Applicazione di Hydro,it-IT
Aplicación Pyro,Applicazione di Pyro,it-IT
Aplicação Cryo,Applicazione di Cryo,it-IT
Aplicação Dendro,Applicazione di Dendro,it-IT
Aplicação Electro,Applicazione di Electro,it-IT
Aplicação Geo,Applicazione di Geo,it-IT
Aplicação Hydro,Applicazione di Hydro,it-IT
Aplicação Pyro,Applicazione di Pyro,it-IT
Application Cryo,Applicazione di Cryo,it-IT
Application Dendro,Applicazione di Dendro,it-IT
Application Géo,Applicazione di Geo,it-IT
Application Hydro,Applicazione di Hydro,it-IT
Application Pyro,Applicazione di Pyro,it-IT
Application Électro,Applicazione di Electro,it-IT
Arcane Edict,Editto arcano,it-IT
Areia e Sonhos,Sabbia e sogni,it-IT
Arenas y sueños,Sabbia e sogni,it-IT
Armadilha da Ventania,Collasso pressurizzato,it-IT
Armored Crab Carapace,Carapace di Granchio corazzato,it-IT
Aspect étoilé,Sembianze stellari,it-IT
Ataque Cargado,Attacco caricato,it-IT
Ataque Carregado,Attacco caricato,it-IT
Ataque Descendente,Attacco in picchiata,it-IT
Ataque Imersivo,Attacco in picchiata,it-IT
Atención del pueblo,Centro dell'attenzione,it-IT
Ateş,Pyro,it-IT
Ateş Etkisi,Applicazione di Pyro,it-IT
Ateş Hasarı,DAN da Pyro,it-IT
Ateş ile İlgili Tepkimeler,Reazioni di Pyro,it-IT
Atordoamento,Stordimento,it-IT
Attaque chargée,Attacco caricato,it-IT
Attaque plongeante,Attacco in picchiata,it-IT
Aturdimiento,Stordimento,it-IT
Aufladen,Carica,it-IT
Aufladung,Energia,it-IT
Auge des konzentrierten Winds,Iride acchiappavento,it-IT
