source,target,tgt_lng
"
Banimento válido até: %s","
Your ban will be removed on %s",en-US
"
Deine Sperre wird am %s aufgehoben","
Your ban will be removed on %s",en-US
"
El bloqueo acabará en %s","
Your ban will be removed on %s",en-US
"
Fecha de desbloqueo: %s","
Your ban will be removed on %s",en-US
"
Lệnh cấm sẽ hết hiệu lực vào %s","
Your ban will be removed on %s",en-US
"
Rimozione del ban: %s","
Your ban will be removed on %s",en-US
"
Votre bannissement prendra fin le %s","
Your ban will be removed on %s",en-US
"
Yasağınız %s tarihinde kalkacak","
Your ban will be removed on %s",en-US
"
Ваша блокировка будет снята %s","
Your ban will be removed on %s",en-US
"
คุณจะได้รับการปลดแบนเมื่อ %s","
Your ban will be removed on %s",en-US
"
アクセスの禁止は%sに解除されます","
Your ban will be removed on %s",en-US
"
你的封禁将于%s解除","
Your ban will be removed on %s",en-US
"
您的封鎖將於 %s 解除","
Your ban will be removed on %s",en-US
"
차단은 %s에 해제됩니다","
Your ban will be removed on %s",en-US
"""%s"" sera perdu pour toujours ! (Très longtemps !)",'%s' will be lost forever! (A long time!),en-US
"""%s"" será perdido para sempre! (é muito tempo!)",'%s' will be lost forever! (A long time!),en-US
%2$s人のうち%1$s人のプレイヤーがオンラインです,%s out of %s players online,en-US
%2$s명 중 %1$s명 접속 중,%s out of %s players online,en-US
"%s

Mensagem do servidor:
%s","%s

Message from server:
%s",en-US
"%s

Mensaje del servidor:
%s","%s

Message from server:
%s",en-US
"%s

Message du serveur :
%s","%s

Message from server:
%s",en-US
"%s

Messaggio dal server:
%s","%s

Message from server:
%s",en-US
"%s

Nachricht vom Server:
%s","%s

Message from server:
%s",en-US
"%s

Sunucu iletisi:
%s","%s

Message from server:
%s",en-US
"%s

Tin nhắn từ máy chủ:
%s","%s

Message from server:
%s",en-US
"%s

Сообщение сервера:
%s","%s

Message from server:
%s",en-US
"%s

ข้อความจากเซิร์ฟเวอร์:
%s","%s

Message from server:
%s",en-US
"%s

サーバーからのメッセージ：
%s","%s

Message from server:
%s",en-US
"%s

来自服务器的消息：
%s","%s

Message from server:
%s",en-US
"%s

訊息來自於以下伺服器：
%s","%s

Message from server:
%s",en-US
"%s

서버에서 보낸 메시지:
%s","%s

Message from server:
%s",en-US
%s (anciennement connu(e) sous le nom de %s) a rejoint la partie,%s (formerly known as %s) joined the game,en-US
%s (antes conocido como %s) se ha unido a la partida,%s (formerly known as %s) joined the game,en-US
%s (eski adıyla %s) oyuna katıldı,%s (formerly known as %s) joined the game,en-US
%s (früher bekannt als %s) hat das Spiel betreten,%s (formerly known as %s) joined the game,en-US
%s (in precedenza %s) è ora nella partita,%s (formerly known as %s) joined the game,en-US
%s (previamente como %s) entrou no jogo,%s (formerly known as %s) joined the game,en-US
%s (trước đây gọi là %s) đã tham gia trò chơi,%s (formerly known as %s) joined the game,en-US
%s (ранее известный как %s) присоединился к игре,%s (formerly known as %s) joined the game,en-US
%s (แต่เดิมชื่อ %s) เข้าร่วมเกม,%s (formerly known as %s) joined the game,en-US
%s a quitté la partie,%s left the game,en-US
%s a rejoint la partie,%s joined the game,en-US
%s de %s jogadores online,%s out of %s players online,en-US
%s de %s jugadores en línea,%s out of %s players online,en-US
%s entrou no jogo,%s joined the game,en-US
%s ha abandonado la partida,%s left the game,en-US
%s ha abbandonato la partita,%s left the game,en-US
%s hat das Spiel betreten,%s joined the game,en-US
%s hat das Spiel verlassen,%s left the game,en-US
%s joueurs sur %s en ligne,%s out of %s players online,en-US
%s LP,%shp,en-US
%s ms (miligiây),%s ms,en-US
%s oyuna katıldı,%s joined the game,en-US
%s oyundan ayrıldı,%s left the game,en-US
%s PS,%shp,en-US
%s PV,%shp,en-US
%s saiu do jogo,%s left the game,en-US
%s se ha unido a la partida,%s joined the game,en-US
%s trên %s người chơi đang trực tuyến,%s out of %s players online,en-US
%s von %s Spielern online,%s out of %s players online,en-US
%s è ora nella partita,%s joined the game,en-US
%s đã rời trò chơi,%s left the game,en-US
%s đã tham gia trò chơi,%s joined the game,en-US
%s из %s игроков в сети,%s out of %s players online,en-US
%s мс,%s ms,en-US
%s покинул игру,%s left the game,en-US
%s присоединился к игре,%s joined the game,en-US
%s ออกจากเกม,%s left the game,en-US
%s เข้าร่วมเกม,%s joined the game,en-US
%s 加入了遊戲,%s joined the game,en-US
%s 毫秒,%s ms,en-US
%s 生命值,%shp,en-US
%s 離開了遊戲,%s left the game,en-US
%s （之前是 %s）加入了遊戲,%s (formerly known as %s) joined the game,en-US
%s(본래 %s)이(가) 게임에 참여했습니다,%s (formerly known as %s) joined the game,en-US
%s/%s oyuncu çevrim içi,%s out of %s players online,en-US
%sms,%s ms,en-US
%sоз,%shp,en-US
%sがゲームに参加しました,%s joined the game,en-US
%sがゲームを退出しました,%s left the game,en-US
%s加入了游戏,%s joined the game,en-US
%s名玩家在线，共%s名玩家,%s out of %s players online,en-US
%s毫秒,%s ms,en-US
%s生命值,%shp,en-US
%s退出了游戏,%s left the game,en-US
%s이(가) 게임에 참여했습니다,%s joined the game,en-US
%s이(가) 게임을 떠났습니다,%s left the game,en-US
%s（之前被称为%s）加入了游戏,%s (formerly known as %s) joined the game,en-US
%s（旧名%s）がゲームに参加しました,%s (formerly known as %s) joined the game,en-US
%s／%s,%s/%s,en-US
'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),'%s' will be lost forever! (A long time!),en-US
'%s' sẽ bị mất vĩnh viễn! (một thời gian dài!),'%s' will be lost forever! (A long time!),en-US
'%s' จะหายไปตลอดกาล! (นานมาก!),'%s' will be lost forever! (A long time!),en-US
'%s'이(가) 영원히 사라지게 됩니다!,'%s' will be lost forever! (A long time!),en-US
(aucune connexion),(no connection),en-US
(bağlantı yok),(no connection),en-US
(connessione assente),(no connection),en-US
(Gizli),(Hidden),en-US
(IP oculta),(Hidden),en-US
(keine Verbindung),(no connection),en-US
(không có kết nối),(no connection),en-US
(Masquée),(Hidden),en-US
(Nascosto),(Hidden),en-US
(oculto),(Hidden),en-US
(sem conexão),(no connection),en-US
(sin conexión),(no connection),en-US
(versteckt),(Hidden),en-US
(Đã ẩn đi),(Hidden),en-US
(нет соединения),(no connection),en-US
(Скрыт),(Hidden),en-US
(ซ่อนอยู่),(Hidden),en-US
(ไม่มีการเชื่อมต่อ),(no connection),en-US
(숨겨짐),(Hidden),en-US
(연결 없음),(no connection),en-US
... e altri %s ...,... and %s more ...,en-US
