id,term,src_table
ChatSystem.1.txt,"조사관님, [래더 아레나]가 _NUM_분 후에 오픈됩니다.",Chat/ChatSystem.txt
ChatSystem.10.txt,팬텀 특훈장에서 [_name_]님에게 처치당해 _NUM_위로 강등되었습니다. 보러가기,Chat/ChatSystem.txt
ChatSystem.2.txt,"조사관님, [래더 아레나]가 _NUM_분 후 결산을 시작합니다.",Chat/ChatSystem.txt
ChatSystem.3.txt,"조사관님, 주의해 주십시오. [팬텀 투기장]이 _NUM_분 후에 오픈됩니다.",Chat/ChatSystem.txt
ChatSystem.4.txt,"조사관님, 주의해 주십시오. [팬텀 투기장]이 _NUM_분 후에 결산을 진행합니다.",Chat/ChatSystem.txt
ChatSystem.5.txt,"조사관님, 주의해 주십시오. [월드 보스]가 _NUM_분 후에 오픈됩니다.",Chat/ChatSystem.txt
ChatSystem.6.txt,"조사관님, 주의해 주십시오. [월드 보스]가 _NUM_분 후에 종료됩니다.",Chat/ChatSystem.txt
ChatSystem.7.txt,축하합니다. 조사관 [_name_]님이 SSR 전투원  <color=#ffb027>[_id_]</color>(을)를 소환했습니다.,Chat/ChatSystem.txt
ChatSystem.8.txt,팬텀 투기장에서 [_name_]님에게 처치당해 _NUM_위로 강등되었습니다. 보러가기,Chat/ChatSystem.txt
ChatSystem.9.txt,축하합니다. 조사관 [_name_]님이 SSR 냥냥볼  <color=#ffb027>[_id_]</color>(을)를 소환했습니다.,Chat/ChatSystem.txt
ChatTips.1.txt,뉴오션 채팅 채널에 오신 것을 환영합니다. 아직 새 소식이 없습니다.,Chat/ChatTips.txt
ChatTips.2.txt,아직 새 소식이 없습니다.,Chat/ChatTips.txt
ChatTips.3.txt,모집 관련 정보가 없습니다.,Chat/ChatTips.txt
ChatTips.4.txt,아직 새 소식이 없습니다.,Chat/ChatTips.txt
ChatTips.5.txt,아직 친구가 없습니다. 친구를 추가해 주세요.,Chat/ChatTips.txt
Live3DCard.1.name,트리스,Live3DCard/Live3DCard.txt
Live3DCard.10.name,운찬,Live3DCard/Live3DCard.txt
Live3DCard.11.name,운비,Live3DCard/Live3DCard.txt
Live3DCard.12.name,아냐,Live3DCard/Live3DCard.txt
Live3DCard.13.name,트리스,Live3DCard/Live3DCard.txt
Live3DCard.14.name,스위티,Live3DCard/Live3DCard.txt
Live3DCard.15.name,파르시타,Live3DCard/Live3DCard.txt
Live3DCard.16.name,기,Live3DCard/Live3DCard.txt
Live3DCard.17.name,린,Live3DCard/Live3DCard.txt
Live3DCard.18.name,스위티,Live3DCard/Live3DCard.txt
Live3DCard.19.name,아프로,Live3DCard/Live3DCard.txt
Live3DCard.2.name,트리스,Live3DCard/Live3DCard.txt
Live3DCard.20.name,비올라,Live3DCard/Live3DCard.txt
Live3DCard.21.name,맨디,Live3DCard/Live3DCard.txt
Live3DCard.22.name,맨디,Live3DCard/Live3DCard.txt
Live3DCard.23.name,딜라일라,Live3DCard/Live3DCard.txt
Live3DCard.25.name,자연의 시,Live3DCard/Live3DCard.txt
Live3DCard.26.name,도로시,Live3DCard/Live3DCard.txt
Live3DCard.3.name,스위티,Live3DCard/Live3DCard.txt
Live3DCard.4.name,스위티,Live3DCard/Live3DCard.txt
Live3DRightBtnInfoVO.1.btnName,하트 그리기,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.10.btnName,마음 속 이야기,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.11.btnName,잠자리,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.12.btnName,도전 수락,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.13.btnName,벗어나기,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.14.btnName,맹세하기,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.15.btnName,깨우기,Live3D/Live3DRightBtnInfoVO.txt
Live3DRightBtnInfoVO.16.btnName,소파,Live3D/Live3DRightBtnInfoVO.txt
