source,target,tgt_lng
Abenteuermodus,冒險模式,zh-TW
Adventure Mode,冒險模式,zh-TW
Avventura,冒險模式,zh-TW
Cambiato la tua modalità di gioco in %s,你的遊戲模式已被更新為 %s,zh-TW
Chế độ chơi của bạn đã được cập nhật thành %s,你的遊戲模式已被更新為 %s,zh-TW
Chế độ khán giả,旁觀者模式,zh-TW
Chế độ phiêu lưu,冒險模式,zh-TW
Chế độ sinh tồn,生存模式,zh-TW
Chế độ siêu khó,極限模式,zh-TW
Chế độ sáng tạo,創造模式,zh-TW
Creativa,創造模式,zh-TW
Creative Mode,創造模式,zh-TW
Dein Spielmodus wurde zu %s geändert,你的遊戲模式已被更新為 %s,zh-TW
Estrema,極限模式,zh-TW
Hardcore Mode,極限模式,zh-TW
Hardcore‐Modus,極限模式,zh-TW
Hayatta Kalma Modu,生存模式,zh-TW
Kreativmodus,創造模式,zh-TW
Macera Modu,冒險模式,zh-TW
Mode Aventure,冒險模式,zh-TW
Mode Créatif,創造模式,zh-TW
Mode Hardcore,極限模式,zh-TW
Mode Spectateur,旁觀者模式,zh-TW
Mode Survie,生存模式,zh-TW
Modo Aventura,冒險模式,zh-TW
Modo aventura,冒險模式,zh-TW
Modo creativo,創造模式,zh-TW
Modo Criativo,創造模式,zh-TW
Modo Espectador,旁觀者模式,zh-TW
Modo espectador,旁觀者模式,zh-TW
Modo extremo,極限模式,zh-TW
Modo Intenso,極限模式,zh-TW
Modo Sobrevivência,生存模式,zh-TW
Modo supervivencia,生存模式,zh-TW
Oyun modunuz %s olarak değiştirildi,你的遊戲模式已被更新為 %s,zh-TW
Seu modo de jogo foi alterado para %s,你的遊戲模式已被更新為 %s,zh-TW
Seyirci Modu,旁觀者模式,zh-TW
Sopravvivenza,生存模式,zh-TW
Spectator Mode,旁觀者模式,zh-TW
Spettatore,旁觀者模式,zh-TW
Survival Mode,生存模式,zh-TW
Tu modo de juego ha cambiado a %s,你的遊戲模式已被更新為 %s,zh-TW
Votre mode de jeu a été changé en %s,你的遊戲模式已被更新為 %s,zh-TW
Yaratıcı Mod,創造模式,zh-TW
Your game mode has been updated to %s,你的遊戲模式已被更新為 %s,zh-TW
Zorlayıcı Mod,極限模式,zh-TW
Zuschauermodus,旁觀者模式,zh-TW
Überlebensmodus,生存模式,zh-TW
Ваш режим игры изменён на %s,你的遊戲模式已被更新為 %s,zh-TW
Режим выживания,生存模式,zh-TW
Режим наблюдателя,旁觀者模式,zh-TW
Режим приключений,冒險模式,zh-TW
Творческий режим,創造模式,zh-TW
Хардкор,極限模式,zh-TW
โหมดผจญภัย,冒險模式,zh-TW
โหมดผู้ชม,旁觀者模式,zh-TW
โหมดสร้างสรรค์,創造模式,zh-TW
โหมดฮาร์ดคอร์,極限模式,zh-TW
โหมดเกมของคุณได้รับการอัปเดตเป็น %s,你的遊戲模式已被更新為 %s,zh-TW
โหมดเอาชีวิตรอด,生存模式,zh-TW
アドベンチャーモード,冒險模式,zh-TW
クリエイティブモード,創造模式,zh-TW
ゲームモードが%sに変更されました,你的遊戲模式已被更新為 %s,zh-TW
サバイバルモード,生存模式,zh-TW
スペクテイターモード,旁觀者模式,zh-TW
ハードコアモード,極限模式,zh-TW
你的游戏模式已被更新为%s,你的遊戲模式已被更新為 %s,zh-TW
冒险模式,冒險模式,zh-TW
创造模式,創造模式,zh-TW
旁观模式,旁觀者模式,zh-TW
极限模式,極限模式,zh-TW
게임 모드가 %s로 갱신되었습니다,你的遊戲模式已被更新為 %s,zh-TW
관전 모드,旁觀者模式,zh-TW
모험 모드,冒險模式,zh-TW
서바이벌 모드,生存模式,zh-TW
크리에이티브 모드,創造模式,zh-TW
하드코어 모드,極限模式,zh-TW
