source,target,tgt_lng
"""%s"" attendu",‚%s‘ erwartet,de-DE
"""%s"" kimliğine sahip şablon yok",Es existiert keine Konstruktionsvorlage mit der ID „%s“,de-DE
"""%s"" n'est pas un nom de pack valide",Ungültiger Name ‚%s‘ für neues Datenpaket,de-DE
"""%s"" türü özellik yok",Es gibt kein Merkmal des Typs „%s“,de-DE
"""%s"" türü şablon havuzu yok",Es gibt keine Konstruktionsvorlagenquelle des Typs „%s“,de-DE
"""%s"" 구조물을 %s, %s, %s에 생성했습니다","Bauwerk „%s“ wurde bei %s, %s, %s generiert",de-DE
"""%s"" 종류의 구조물이 없습니다",Es gibt kein Bauwerk des Typs „%s“,de-DE
"""%s"" 종류의 지물이 없습니다",Es gibt kein Merkmal des Typs „%s“,de-DE
"""%s"" 종류의 템플릿 풀이 없습니다",Es gibt keine Konstruktionsvorlagenquelle des Typs „%s“,de-DE
"""%s"" 템플릿을 %s, %s, %s에 불러왔습니다","Konstruktionsvorlage „%s“ bei %s, %s, %s geladen",de-DE
"""%s""을(를) %s, %s, %s에 설치했습니다","„%s“ wurde bei %s, %s, %s platziert",de-DE
"""%s” %s,%s,%s konumuna yerleştirildi","„%s“ wurde bei %s, %s, %s platziert",de-DE
"""%s” türünde bir yapı yok",Es gibt kein Bauwerk des Typs „%s“,de-DE
"""%s” yapısı %s, %s, %s konumunda oluşturuldu","Bauwerk „%s“ wurde bei %s, %s, %s generiert",de-DE
"""%s” şablonu %s, %s, %s konumuna yüklendi","Konstruktionsvorlage „%s“ bei %s, %s, %s geladen",de-DE
"""Enable"" fonctionne seulement sur des objectifs de type ""trigger""",Dieser Befehl funktioniert nur für Auslöser (trigger‐Punkte‐Ziele),de-DE
%1$s bloğu %3$s özelliğine '%2$s' kabul etmiyor,Block %s akzeptiert ‚%s‘ für Blockzustand ‚%s‘ nicht,de-DE
"%1$s boyutunda, %2$s konumunda zorla yüklenmiş bir yığın bulundu",In %s wird ein Chunk dauerhaft geladen: %s,de-DE
%1$s chunk da %3$s a %4$s nella dimensione %2$s non sono più segnalati per il caricamento forzato,%s Chunks in %s von %s bis %s werden nun nicht mehr dauerhaft geladen,de-DE
%1$s fonksiyonunda %2$s değişkeni eksik,Fehlendes Argument ‚%2$s‘ für die Funktion ‚%1$s‘,de-DE
%1$s gelişimi '%2$s' kriterini içermiyor,Kriterium ‚%2$s‘ gehört nicht zum Fortschritt %1$s,de-DE
%1$s tarif %2$s oyuncudan alındı,%s Rezept(e) wurde(n) von %s Spielern entfernt,de-DE
%1$s tarif %2$s oyuncusundan alındı,%s Rezept(e) wurde(n) von %s entfernt,de-DE
%1$s 발전 과제에 '%2$s' 기준이 없습니다,Kriterium ‚%2$s‘ gehört nicht zum Fortschritt %1$s,de-DE
%1$s 함수에 %2$s 인수가 누락되었습니다,Fehlendes Argument ‚%2$s‘ für die Funktion ‚%1$s‘,de-DE
%1$s 함수에 인수들이 누락되었습니다,Fehlende Argumente für die Funktion ‚%s‘,de-DE
"%1$s, %2$s, %3$sから%4$s, %5$s, %6$sの間にバイオームを設定しました","Biome zwischen %s, %s, %s und %s, %s, %s festgelegt",de-DE
%1$sの%3$sの値は%2$sです,%s hat %s %s,de-DE
%1$sを%2$sから降ろしました,%s ist von %s abgestiegen,de-DE
%1$sを%2$sに騎乗させました,%s ist auf %s aufgestiegen,de-DE
"%1$s个实体未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","%s Objekt(e) konnte(n) nicht um (%s, %s) verteilt werden (zu wenig Platz für Objekte – versuche, höchstens %s zu verteilen)",de-DE
"%1$s体のエンティティを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対してエンティティの数が多すぎます。%4$s体以下で散開させてみてください）","%s Objekt(e) konnte(n) nicht um (%s, %s) verteilt werden (zu wenig Platz für Objekte – versuche, höchstens %s zu verteilen)",de-DE
"%1$s個のチームを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対して人数が多すぎます。%4$s人以下で散開させてみてください）","%s Team(s) konnte(n) nicht um (%s, %s) verteilt werden (zu wenig Platz für Teams – versuche, höchstens %s zu verteilen)",de-DE
%1$s在%3$s记分项里拥有%2$s分,%s hat %s %s,de-DE
"%1$s支队伍未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","%s Team(s) konnte(n) nicht um (%s, %s) verteilt werden (zu wenig Platz für Teams – versuche, höchstens %s zu verteilen)",de-DE
%1$s的%3$s属性不能被设为“%2$s”,Block %s akzeptiert ‚%s‘ für Blockzustand ‚%s‘ nicht,de-DE
%1$s에는 경로점 %2$s개가 있습니다: %3$s,%s Wegpunkt(e) in %s: %s,de-DE
%1$s은(는) %3$s이(가) %2$s입니다,%s hat %s %s,de-DE
%2$s %1$s개를 떨어뜨렸습니다 ,%s %s fallen gelassen,de-DE
%2$s a subi %1$s point(s) de dégâts,%s Schaden wurde auf %s angewandt,de-DE
%2$s baniu %1$s: %3$s,%s wurde von %s gesperrt: %s,de-DE
%2$s bloğu üzerinde '%1$s' özelliği için değer bekleniyor,Fehlender Wert für Zustand ‚%s‘ des Blocks %s,de-DE
"%2$s boyutunda, %1$s konumundaki yığın yüklenmeye zorlanacak şekilde işaretlendi",Chunk %s in %s wird dauerhaft geladen,de-DE
"%2$s boyutunda, %1$s konumundaki yığın yüklenmeye zorlanacak şekilde işaretlenemedi",Chunk %s in %s wird nicht dauerhaft geladen,de-DE
"%2$s boyutunda, %3$s ile %4$s arasındaki %1$s yığın yüklenmeye zorlanmayacak",%s Chunks in %s von %s bis %s werden nun nicht mehr dauerhaft geladen,de-DE
"%2$s boyutunda, %3$s ile %4$s arasındaki %1$s yığın zorla yüklenecek şekilde işaretlendi",%s Chunks in %s von %s bis %s werden nun dauerhaft geladen,de-DE
"%2$s boyutunda, %3$s konumlarında %1$s adet zorla yüklenmiş yığın bulundu",In %2$s werden %1$s Chunks dauerhaft geladen: %3$s,de-DE
"%2$s boyutundaki, %1$s yığını yüklenmeye zorlanmayacak",Chunk %s in %s wird nun nicht mehr dauerhaft geladen,de-DE
"%2$s boyutundaki, %1$s yığını zorla yüklenecek şekilde işaretlendi",Chunk %s in %s wird nun dauerhaft geladen,de-DE
%2$s eşyasına %1$s büyüsü uygulandı,Verzauberung %s wurde auf den Gegenstand von %s angewandt,de-DE
%2$s fonksiyondan %1$s komut %3$s çıktı dosyasına kaydedildi,%s Befehl(e) von %s Funktionen wurde(n) in die Ausgabedatei %s aufgezeichnet,de-DE
