source,target,tgt_lng
"""%s"" attendu",Ожидалось «%s»,ru-RU
"""%s"" kimliğine sahip şablon yok",Не существует шаблона «%s»,ru-RU
"""%s"" n'est pas un nom de pack valide",Недопустимое название для нового набора данных: «%s»,ru-RU
"""%s"" türü özellik yok",Не существует объекта «%s»,ru-RU
"""%s"" türü şablon havuzu yok",Не существует пула шаблонов с типом «%s»,ru-RU
"""%s"" 구조물을 %s, %s, %s에 생성했습니다","Строение «%s» размещено в точке %s, %s, %s",ru-RU
"""%s"" 종류의 구조물이 없습니다",Не существует строения «%s»,ru-RU
"""%s"" 종류의 구조물이 없습니다",Не существует строения с типом «%s»,ru-RU
"""%s"" 종류의 지물이 없습니다",Не существует объекта «%s»,ru-RU
"""%s"" 종류의 템플릿 풀이 없습니다",Не существует пула шаблонов с типом «%s»,ru-RU
"""%s"" 템플릿을 %s, %s, %s에 불러왔습니다","Шаблон «%s» размещён в точке %s, %s, %s",ru-RU
"""%s""을(를) %s, %s, %s에 설치했습니다","Объект «%s» размещён в точке %s, %s, %s",ru-RU
"""%s” %s,%s,%s konumuna yerleştirildi","Объект «%s» размещён в точке %s, %s, %s",ru-RU
"""%s” türünde bir yapı yok",Не существует строения «%s»,ru-RU
"""%s” türünde bir yapı yok",Не существует строения с типом «%s»,ru-RU
"""%s” yapısı %s, %s, %s konumunda oluşturuldu","Строение «%s» размещено в точке %s, %s, %s",ru-RU
"""%s” şablonu %s, %s, %s konumuna yüklendi","Шаблон «%s» размещён в точке %s, %s, %s",ru-RU
"""Enable"" fonctionne seulement sur des objectifs de type ""trigger""",Только задачи-триггеры можно включить,ru-RU
%1$s bloğu %3$s özelliğine '%2$s' kabul etmiyor,У свойства «%3$s» блока %1$s не может быть значения «%2$s»,ru-RU
"%1$s boyutunda, %2$s konumunda zorla yüklenmiş bir yığın bulundu",Обнаружен невыгружаемый чанк %2$s в %1$s,ru-RU
%1$s chunk da %3$s a %4$s nella dimensione %2$s non sono più segnalati per il caricamento forzato,%s чанков в %s с %s по %s отмечены как выгружаемые,ru-RU
%1$s fonksiyonunda %2$s değişkeni eksik,Пропущен аргумент %2$s в функции %1$s,ru-RU
%1$s gelişimi '%2$s' kriterini içermiyor,У достижения %s отсутствует условие «%s»,ru-RU
