id,term,src_table
ActivityCakeBossLevelVo.1133990.desc,每參與一次活動，獲得20個草莓蛋糕。每對boss造成100000點傷害，可額外獲得5個草莓蛋糕。一局對戰中最多可額外獲得50個草莓蛋糕。,Activity/ActivityCake/ActivityCakeBossLevelVo.txt
ActivityCakeBossLevelVo.1133991.desc,每參與一次對戰，獲得20個金如意。每對boss造成100000點傷害，可額外獲得5個金如意。一局對戰中最多可額外獲得50個金如意。,Activity/ActivityCake/ActivityCakeBossLevelVo.txt
ActivityCakeBossLevelVo.1133992.desc,每參與一次對戰，獲得20個回憶之證。每對boss造成100000點傷害，可額外獲得5000個新海幣。一局對戰中最多可額外獲得50萬個新海幣。,Activity/ActivityCake/ActivityCakeBossLevelVo.txt
ActivityCakeDailyTaskVo.20001.desc,每日登入,Activity/ActivityCake/ActivityCakeDailyTaskVo.txt
ActivityCakeDailyTaskVo.20002.desc,每日情緒消耗300,Activity/ActivityCake/ActivityCakeDailyTaskVo.txt
ActivityCakeDailyTaskVo.20005.desc,每日洗練裝備1次,Activity/ActivityCake/ActivityCakeDailyTaskVo.txt
ActivityCakeMainLineLevelVo.1133101.desc,一個平凡的週末，快遞員送來了三個巨大的貨箱。陌生的地址讓你有些摸不著頭腦，箱子裡卻突然傳來響動……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133101.name,天降貓娘,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133102.desc,由於位址錯誤，三位貓娘被送到了遙遠的新海市，如何回家也成了一件麻煩的事情……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133102.name,開店吧！,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133103.desc,店面確定了下來，店名卻遲遲無法確定。為了尋找靈感，三位貓娘為貝克貓的各位製作出了“特別”的飲料……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133103.name,那麼，店名是……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133104.desc,店名仍未確定，眾人決定先去商場購買開店所需的廚具。來到商場，一張海報吸引了眾人的注意力……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133104.name,為了廚具，戰鬥吧！,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133105.desc,為了贏得廚具獎品，眾人開始嘗試通關遊戲城的VR恐怖遊戲，但都敗下陣來。這時，香草想出了一個辦法……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133105.name,恐怖遊戲專用眼鏡,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133106.desc,開店所需的廚具準備好了，眾人回到貝克貓慶祝放鬆。在溫柔的月光下，大家終於想出了蛋糕店的店名。,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133106.name,溫暖的日與月,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133201.desc,蛋糕店一開張就收穫了巨大的客流量，你和非天在工作間隙前來查看情況，幫助三位貓娘應對困難。,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133201.name,忙碌的開始,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133202.desc,打烊後，巧克力前往後巷倒垃圾，卻遇到了一位特殊的客人：想吃新鮮食物的垃圾桶傀。,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133202.name,想吃新鮮食物的垃圾桶傀,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133203.desc,在三位貓娘的努力下，新鮮出爐的蛋糕被端到了垃圾桶傀的面前。吃下食物的垃圾桶傀卻產生了異常反應……,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133203.name,新鮮的食物，來了！,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133204.desc,透過空氣中飄散的情緒粒子，眾人看到了垃圾桶傀的一生。,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133204.name,垃圾桶的一生,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
ActivityCakeMainLineLevelVo.1133205.desc,垃圾桶傀事件深深觸動了巧克力，讓她萌發了學習製作情緒餐的想法。,Activity/ActivityCake/ActivityCakeMainLineLevelVo.txt
