source,target,tgt_lng
Nod Krai,Nod-Krai,tr-TR
Инадзума,Inazuma,tr-TR
Ли Юэ,Liyue,tr-TR
Мондштадт,Mondstadt,tr-TR
Натлан,Natlan,tr-TR
Нод-Край,Nod-Krai,tr-TR
Сумеру,Sumeru,tr-TR
Фонтейн,Fontaine,tr-TR
スメール,Sumeru,tr-TR
ナタ,Natlan,tr-TR
ナド・クライ,Nod-Krai,tr-TR
フォンテーヌ,Fontaine,tr-TR
モンド,Mondstadt,tr-TR
挪德卡莱,Nod-Krai,tr-TR
挪德卡萊,Nod-Krai,tr-TR
枫丹,Fontaine,tr-TR
楓丹,Fontaine,tr-TR
璃月,Liyue,tr-TR
稲妻,Inazuma,tr-TR
稻妻,Inazuma,tr-TR
納塔,Natlan,tr-TR
纳塔,Natlan,tr-TR
蒙德,Mondstadt,tr-TR
須彌,Sumeru,tr-TR
须弥,Sumeru,tr-TR
나타,Natlan,tr-TR
노드크라이,Nod-Krai,tr-TR
리월,Liyue,tr-TR
몬드,Mondstadt,tr-TR
수메르,Sumeru,tr-TR
이나즈마,Inazuma,tr-TR
폰타인,Fontaine,tr-TR
