source,target,tgt_lng
"""Apenas uma estudante comum.""

Calmamente, ela se apresenta, um leve brilho iridescente tremulando em seus olhos. Novamente, as estruturas do mundo se revelam em sua visão. Estreitando os olhos, ela identifica o próprio fio que puxa a vida.","「ただの学生です」
彼女は、静かにそう自己紹介した。その瞳の奥からは、虹色の光がかすかに溢れ出していた。
やがて彼女の視界には、万物の構造が次第に鮮明に浮かび上がっていく。彼女は僅かに目を細め、その中から命へと連なる弦を見いだした。",ja-JP
"""Bringing a smile to every passenger is our cafe's top priority!""",「ここを訪れる、どんなお客様でも、必ず笑顔で帰すこと！ それが、この店の信条なんだ！」,ja-JP
"""Em uma noite silenciosa, alguém atraiu os luares.
Ela não acredita no destino, mas sorri ao revelar suas bênçãos para você.""","「静かな夜に、月の光を摘み取った者がいた。
運命を信じぬ彼女は——それでもその祝福を、あなたに語りかけたいと願っていた」",ja-JP
"""Ghost Hounds""",「幽霊猟犬」傭兵団,ja-JP
"""Homebound""",「家」,ja-JP
"""Into the Land of Paradox"" event",イベント「踏破！パラドックス領域」で獲得可能,ja-JP
"""Just an ordinary student.""

Calmly, she introduces herself, a faint iridescent shimmer flickering in her eyes. Again, the structures of the world reveal themselves in her vision. Narrowing her eyes, she singles out the very thread that tugs at life itself.","「ただの学生です」
彼女は、静かにそう自己紹介した。その瞳の奥からは、虹色の光がかすかに溢れ出していた。
やがて彼女の視界には、万物の構造が次第に鮮明に浮かび上がっていく。彼女は僅かに目を細め、その中から命へと連なる弦を見いだした。",ja-JP
"""Lament Recon: Solaris Soldier"" Limited-Time Event",期間限定イベント「ラメントリコン：ソラソルジャー」で獲得,ja-JP
"""Lament Recon: Tacet Crisis"" Limited-Time Event",期間限定イベント「ラメントリコン：サイレントクライシス」で獲得,ja-JP
"""Mas agora você vai embora só com uma placa.""","""But now you're going to leave with nothing but a sign.""",ja-JP
"""Moonlit Revelation"" Limited-Time Event",期間限定イベント「月相解明」で獲得,ja-JP
"""On a hushed night, someone drew down the moonlights.
She does not believe in fate, yet she smiles as she reveals its blessings for you.""","「静かな夜に、月の光を摘み取った者がいた。
運命を信じぬ彼女は——それでもその祝福を、あなたに語りかけたいと願っていた」",ja-JP
"""Rachel""",「ラケル号」,ja-JP
"""Retorno ao Lar""",「家」,ja-JP
"""Rover""",「漂泊者」,ja-JP
"""Trazer um sorriso para cada passageiro é a prioridade máxima do nosso café!""",「ここを訪れる、どんなお客様でも、必ず笑顔で帰すこと！ それが、この店の信条なんだ！」,ja-JP
"""กองทัพสุนัขล่าวิญญาณ""",「幽霊猟犬」傭兵団,ja-JP
"""การทำให้ลูกค้าทุกคนที่มาถึงที่นี่ยิ้มได้ คือเป้าหมายสูงสุดของร้านเรา!""",「ここを訪れる、どんなお客様でも、必ず笑顔で帰すこと！ それが、この店の信条なんだ！」,ja-JP
"""ก็แค่นักเรียนธรรมดาคนหนึ่ง""
เธอแนะนำตัวด้วยน้ำเสียงราบเรียบ ทว่าในนัยน์ตากลับมีประกายแสงหลากสีเปล่งออกมาจางๆ โครงสร้างของสรรพสิ่งค่อยๆ ปรากฏชัดขึ้นในครรลองสายตา เธอหรี่ตาลงเล็กน้อย เพื่อแยกแยะเส้นด้ายเส้นนั้น... เส้นที่คอยชักเชิดชีวิตของผู้คน","「ただの学生です」
彼女は、静かにそう自己紹介した。その瞳の奥からは、虹色の光がかすかに溢れ出していた。
やがて彼女の視界には、万物の構造が次第に鮮明に浮かび上がっていく。彼女は僅かに目を細め、その中から命へと連なる弦を見いだした。",ja-JP
"""บ้าน""",「家」,ja-JP
"""ผู้พเนจร""",『漂泊者』,ja-JP
"""ในคืนเงียบสงัด มีผู้ชักโน้มแสงจันทร์
นางไม่เชื่อในโชคชะตา แต่กลับยิ้มพร้อมประทานพรให้กับคุณ""","「静かな夜に、月の光を摘み取った者がいた。
運命を信じぬ彼女は——それでもその祝福を、あなたに語りかけたいと願っていた」",ja-JP
10 de septiembre,9月10日,ja-JP
10 de setembro,9月10日,ja-JP
10 décembre,不明,ja-JP
10 septembre,9月10日,ja-JP
10 กันยายน,9月10日,ja-JP
10. September,9月10日,ja-JP
10월 11일,10月11日,ja-JP
10월 13일,10月13日,ja-JP
10월 2일,10月2日,ja-JP
11 de junho,6月11日,ja-JP
11 de junio,6月11日,ja-JP
11 de octubre,10月11日,ja-JP
11 de outubro,10月11日,ja-JP
11 ตุลาคม,10月11日,ja-JP
11 มิถุนายน,6月11日,ja-JP
11. Juni,6月11日,ja-JP
11. Oktober,10月11日,ja-JP
11월 6일,11月6日,ja-JP
12월 14일,12月14日,ja-JP
12월 31일,12月31日,ja-JP
13 de octubre,10月13日,ja-JP
13 octobre,10月13日,ja-JP
13. Oktober,10月13日,ja-JP
14 de dezembro,12月14日,ja-JP
14 de diciembre,12月14日,ja-JP
14 décembre,12月14日,ja-JP
14 ธันวาคม,12月14日,ja-JP
14. Dezember,12月14日,ja-JP
17 de septiembre,9月17日,ja-JP
17 de setembro,9月17日,ja-JP
17 septembre,9月17日,ja-JP
17 กันยายน,9月17日,ja-JP
17. September,9月17日,ja-JP
18 Juin,6月18日,ja-JP
18 avril,4月18日,ja-JP
18 de abril,4月18日,ja-JP
18 de jun,6月18日,ja-JP
18 de junio,6月18日,ja-JP
18 de maio,5月18日,ja-JP
18 de mayo,5月18日,ja-JP
18 mai,5月18日,ja-JP
18 พฤษภาคม,5月18日,ja-JP
18 เมษายน,4月18日,ja-JP
18. April,4月18日,ja-JP
18. Mai,5月18日,ja-JP
1월 20일,1月20日,ja-JP
1월 31일,1月31日,ja-JP
2 de octubre,10月2日,ja-JP
2 de outubro,10月2日,ja-JP
2 octobre,10月2日,ja-JP
2 ตุลาคม,10月2日,ja-JP
2. Oktober,10月2日,ja-JP
20 de enero,1月20日,ja-JP
20 de janeiro,1月20日,ja-JP
20 janvier,1月20日,ja-JP
20 มกราคม,1月20日,ja-JP
20. Januar,1月20日,ja-JP
2025 Gifts of Grand Celebration Limited-Time Event,2025年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2025 Presentes da Grande Celebração - Evento por Tempo Limitado,2025年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2025年「盛会赠礼」限时活动中获得,2025年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2025年「盛會贈禮」限時活動中獲得,2025年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2025년 「축제의 선물」 기간 한정 이벤트에서 획득,2025年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2026 Gifts of Grand Celebration Limited-Time Event,2026年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
2026 Presentes da Grande Celebração - Evento por Tempo Limitado,2026年期間限定イベント「慶びのプレゼント」で獲得,ja-JP
