source,target,tgt_lng
"""""Hah! Loucura Muscular Poderosa!","""ฮ่า! คลั่งกล้ามทรงพลัง!""",th-TH
"""A Brisa da Sonúmia""","""สายลมจิตนิมิต""",th-TH
"""A Vigia Eterna""","""เฝ้ามองชั่วนิรันดร์""",th-TH
"""A chama nunca se apaga. Ela perdura porque as pessoas se entregam a ela.""","""เปลวไฟไม่เคยดับ มันยังคงอยู่ได้ก็เพราะผู้คนยอมสละตัวเองเป็นเชื้อเพลิง""",th-TH
"""All-Seeing Eye""","""เนตรหยั่งรู้สรรพสิ่ง""",th-TH
"""Ampola""","""แอมพูล""",th-TH
"""Ampoule""","""แอมพูล""",th-TH
"""Ampulheta Pequena""","""นาฬิกาทรายขนาดเล็ก""",th-TH
"""Anel-sinete""","""แหวนตราประทับ""",th-TH
"""Angel Statue""","""รูปปั้นทูตสวรรค์""",th-TH
"""Aqui é um lugar de oração. A violência é estritamente proibida nestas terras.""","""ที่นี่คือสถานที่สำหรับการสวดภาวนา ความรุนแรงถือเป็นสิ่งต้องห้ามของสถานที่แห่งนี้""",th-TH
"""As Almas Além do Buraco Negro""","""จิตวิญญาณเหนืออีกฟากของหลุมดำ""",th-TH
"""As long as I don't have it on me, my editor will never find me...""","""ตราบใดที่มันไม่ได้อยู่กับฉัน บรรณาธิการของฉันก็จะไม่มีทางหาฉันเจอ...""",th-TH
"""As long as someone is profiting from these attacks, we can't rule out the possibility.""","""ตราบใดที่ยังมีคนได้ประโยชน์จากการโจมตีพวกนี้ เราก็ตัดความเป็นไปได้นี้ออกไปไม่ได้หรอก""",th-TH
"""Bagas Secas""","""เบอร์รีอบแห้ง""",th-TH
"""Balmy Resin""","""เรซินหอม""",th-TH
"""Banner of Balance""","""ธงแห่งความสมดุล""",th-TH
"""Banner of Eye""","""ธงสอดส่อง""",th-TH
"""Batida Perfeita""","""เพอร์เฟกต์บีท""",th-TH
"""Baú Enferrujado""","""กล่องขึ้นสนิม""",th-TH
"""Bebida Comprimida""","""เครื่องดื่มอัดเม็ด""",th-TH
"""Bebida Gelada""","""เครื่องดื่มเย็น""",th-TH
"""Bebida Verde-escura""","""เครื่องดื่มสีเขียวเข้ม""",th-TH
"""Being human is hard enough, but being a happy human? Even harder...""","""แค่เป็นมนุษย์อย่างเดียวก็ลำบากพอแล้ว จะเป็นมนุษย์ที่มีความสุขเหรอ? ยิ่งลำบากไปใหญ่...""",th-TH
"""Berço da Eternidade""","""เปลแห่งนิรันดร์""",th-TH
"""Bicicleta Movida a Pernas""","""มอเตอร์ไบค์เข็นมือ""",th-TH
"""Bilhete de Entrada""","""บัตรผ่าน""",th-TH
"""Bilhete-presente""","""บัตรเชิญ""",th-TH
"""Biruta de Peixe""","""ธงปลาคาร์ป""",th-TH
"""Biscoito Esmagado""","""บิสกิตบด""",th-TH
"""Biscuit Stick""","""บิสกิตแท่ง""",th-TH
"""Bitter Juice""","""น้ำผลไม้รสขม""",th-TH
"""Black Tea""","""ชาดำ""",th-TH
"""Blue Candy""","""ลูกกวาดสีฟ้า""",th-TH
"""Blue Inhalant""","""ยาพ่นสีน้ำเงิน""",th-TH
"""Blue Insect""","""แมลงสีฟ้า""",th-TH
"""Blue Mineral""","""สินแร่สีฟ้า""",th-TH
"""Blue Pendant""","""จี้สีฟ้า""",th-TH
"""Blue Potion""","""น้ำยาสีฟ้า""",th-TH
"""Blue Surprise""","""เซอร์ไพรส์สีฟ้า""",th-TH
"""Bobina de Empuxo""","""ขดลวดเหนี่ยวนำ""",th-TH
"""Boia de Natação""","""ห่วงยาง""",th-TH
"""Bolo Rosa""","""ขนมสีชมพู""",th-TH
"""Bone Flute""","""ขลุ่ยกระดูก""",th-TH
"""Bottle Water""","""โซดาขวด""",th-TH
"""Bound Chess""","""หมากที่ถูกพันธนาการ""",th-TH
"""Bright Pendant""","""จี้สว่าง""",th-TH
"""Burglar"" Program Chip","ชิปโปรแกรม ""หัวขโมย""",th-TH
"""But are you truly in control of your own fate?""","""แต่คุณควบคุมชะตากรรมของตัวเองได้จริงหรือ?""",th-TH
"""Caderno Antigo""","""บันทึกเก่า""",th-TH
"""Café""","""กาแฟ""",th-TH
"""Caixa Sinistra""","""กล่องลางร้าย""",th-TH
"""Cajado do Chama-marés""","""คทาเรียกคลื่น""",th-TH
"""Camera""","""กล้องถ่ายรูป""",th-TH
"""Canned Soda""","""โซดากระป๋อง""",th-TH
"""Capsule""","""กาชา""",th-TH
"""Carambola""","""สตาร์ฟรุต""",th-TH
"""Cartão Vermelho""","""การ์ดสีแดง""",th-TH
"""Cascas Secas""","""เปลือกผลไม้อบแห้ง""",th-TH
"""Cassette Player""","""เครื่องเล่นเพลงพกพา""",th-TH
"""Cat Paw""","""อุ้งเท้าแมว""",th-TH
"""Cavalo de Pau""","""หมุนเบรกมือ""",th-TH
"""Caçador do Sol""","""ไล่ตามตะวัน""",th-TH
"""Chapéu""","""หมวก""",th-TH
"""Chave Escarlate""","""กุญแจสีแดงสด""",th-TH
"""Chave de Cobre""","""กุญแจทองแดง""",th-TH
"""Chifre de Beber""","""ถ้วยเขาสัตว์""",th-TH
"""Chorale"" can be triggered when not in ""Distortion"" and deals increased DMG when in ""Distortion.""","""ประสานเสียง"" จะทำงานเมื่อไม่ได้อยู่ในสถานะ ""บิดเบือน"" และสร้างความเสียหายเพิ่มเติมเมื่ออยู่ในสถานะ ""บิดเบือน""",th-TH
