category,source,target,tgt_lng
01_character,爱露,亞瑠,zh-TW
01_character,アル,亞瑠,zh-TW
01_character,Aru,亞瑠,zh-TW
01_character,아루,亞瑠,zh-TW
01_character,อารุ,亞瑠,zh-TW
01_character,艾米,英美,zh-TW
01_character,エイミ,英美,zh-TW
01_character,Eimi,英美,zh-TW
01_character,에이미,英美,zh-TW
01_character,เอมิ,英美,zh-TW
01_character,晴奈,羽留奈,zh-TW
01_character,ハルナ,羽留奈,zh-TW
01_character,Haruna,羽留奈,zh-TW
01_character,하루나,羽留奈,zh-TW
01_character,ฮารุนะ,羽留奈,zh-TW
01_character,日富美,日步美,zh-TW
01_character,ヒフミ,日步美,zh-TW
01_character,Hifumi,日步美,zh-TW
01_character,히후미,日步美,zh-TW
01_character,ฮิฟุมิ,日步美,zh-TW
01_character,日奈,陽奈,zh-TW
01_character,ヒナ,陽奈,zh-TW
01_character,Hina,陽奈,zh-TW
01_character,히나,陽奈,zh-TW
01_character,ฮินะ,陽奈,zh-TW
01_character,ホシノ,星野,zh-TW
01_character,Hoshino,星野,zh-TW
01_character,호시노,星野,zh-TW
01_character,โฮชิโนะ,星野,zh-TW
01_character,伊织,伊織,zh-TW
01_character,イオリ,伊織,zh-TW
01_character,Iori,伊織,zh-TW
01_character,이오리,伊織,zh-TW
01_character,อิโอริ,伊織,zh-TW
01_character,真纪,真紀,zh-TW
01_character,マキ,真紀,zh-TW
01_character,Maki,真紀,zh-TW
01_character,마키,真紀,zh-TW
01_character,มากิ,真紀,zh-TW
01_character,妮露,寧瑠,zh-TW
01_character,ネル,寧瑠,zh-TW
01_character,Neru,寧瑠,zh-TW
01_character,네루,寧瑠,zh-TW
01_character,เนรุ,寧瑠,zh-TW
01_character,イズミ,泉,zh-TW
01_character,Izumi,泉,zh-TW
01_character,이즈미,泉,zh-TW
01_character,อิซุมิ,泉,zh-TW
01_character,シロコ,白子,zh-TW
01_character,Shiroko,白子,zh-TW
01_character,시로코,白子,zh-TW
01_character,ชิโรโกะ,白子,zh-TW
01_character,瞬,旬,zh-TW
01_character,シュン,旬,zh-TW
01_character,Shun,旬,zh-TW
01_character,슌,旬,zh-TW
01_character,ชุน,旬,zh-TW
01_character,スミレ,堇,zh-TW
01_character,Sumire,堇,zh-TW
01_character,스미레,堇,zh-TW
01_character,สึมิเระ,堇,zh-TW
01_character,鹤城,弦生,zh-TW
01_character,ツルギ,弦生,zh-TW
01_character,Tsurugi,弦生,zh-TW
01_character,츠루기,弦生,zh-TW
01_character,ซึรุกิ,弦生,zh-TW
01_character,泉奈,伊樹菜,zh-TW
01_character,イズナ,伊樹菜,zh-TW
01_character,Izuna,伊樹菜,zh-TW
01_character,이즈나,伊樹菜,zh-TW
01_character,อิซุนะ,伊樹菜,zh-TW
01_character,爱丽丝,愛麗絲,zh-TW
01_character,アリス,愛麗絲,zh-TW
01_character,Aris,愛麗絲,zh-TW
01_character,아리스,愛麗絲,zh-TW
