source,target,tgt_lng
"""%s"" sera perdu pour toujours ! (Très longtemps !)",«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
"""%s"" será perdido para sempre! (é muito tempo!)",«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
"""%s"" 세계 폴더를 읽으면서 문제가 발생했습니다.
이전 상태로 세계를 복원하려 시도하거나 버그 트래커에 이 문제를 보고하실 수 있습니다.","Durante il tentativo di lettura della cartella del mondo «%s», si sono verificati i seguenti errori.
Potrebbe essere possibile ripristinare il mondo da uno stato precedente, altrimenti puoi segnalare il problema sul sito dedicato.",it-IT
%%%s,%s%%,it-IT
%1$s tuşuna basarak zıplayın,Premi %1$s per saltare,it-IT
%1$s 키를 눌러 보관함을 열 수 있습니다,Premi %1$s per aprire l'inventario,it-IT
%1$s 키를 눌러 점프할 수 있습니다,Premi %1$s per saltare,it-IT
"%1$s, %2$s, %3$s, %4$s tuşlarına basarak hareket edin","Premi %1$s, %2$s, %3$s e %4$s per muoverti",it-IT
"%1$s, %2$s, %3$s, %4$s 키를 눌러 이동할 수 있습니다","Premi %1$s, %2$s, %3$s e %4$s per muoverti",it-IT
"%1$s, %2$s, %3$s, %4$s 키와 마우스를 사용해 움직일 수 있습니다","Usa i tasti %1$s, %2$s, %3$s, %4$s e il mouse per muoverti",it-IT
%1$s、%2$s、%3$s、%4$sキーとマウスで移動できます,"Usa i tasti %1$s, %2$s, %3$s, %4$s e il mouse per muoverti",it-IT
%1$s、%2$s、%3$s、%4$sキーを押すと移動できます,"Premi %1$s, %2$s, %3$s e %4$s per muoverti",it-IT
%1$sキーでジャンプできます,Premi %1$s per saltare,it-IT
%1$sキーで所持品を確認できます,Premi %1$s per aprire l'inventario,it-IT
%2$s paketten %1$s tanesi indirilemedi,Download di %s pacchetti su %s non riuscito,it-IT
%2$s個中%1$s個のパックのダウンロードに失敗しました,Download di %s pacchetti su %s non riuscito,it-IT
%s %%,%s%%,it-IT
%s / %s,%s/%s,it-IT
%s doğum noktası koruması altında,%s è sotto la protezione della zona iniziale,it-IT
%s est sous la protection de la zone d'apparition,%s è sotto la protezione della zona iniziale,it-IT
%s está bajo la protección de la zona de aparición,%s è sotto la protezione della zona iniziale,it-IT
%s está sob a proteção da área inicial,%s è sotto la protezione della zona iniziale,it-IT
%s ile zıplayın,Salta con %s,it-IT
%s is under spawn protection,%s è sotto la protezione della zona iniziale,it-IT
%s kaynaklı durum: ,Stato in data %s: ,it-IT
%s out of %s pack(s) failed to download,Download di %s pacchetti su %s non riuscito,it-IT
%s trên %s gói không thể tải về,Download di %s pacchetti su %s non riuscito,it-IT
%s tuşuna basılı tutun,Tieni %s,it-IT
%s tuşuna basın,Premi %s,it-IT
%s unterliegt dem Schutz des Einstiegsbereichs,%s è sotto la protezione della zona iniziale,it-IT
%s von %s Paket(en) konnte(n) nicht heruntergeladen werden,Download di %s pacchetti su %s non riuscito,it-IT
%s đang được bảo vệ điểm hồi sinh,%s è sotto la protezione della zona iniziale,it-IT
%s под защитой точки возрождения мира,%s è sotto la protezione della zona iniziale,it-IT
%s จาก %s แพ็กล้มเหลวในการดาวน์โหลด,Download di %s pacchetti su %s non riuscito,it-IT
%s อยู่ภายใต้การป้องกันจุดเกิด,%s è sotto la protezione della zona iniziale,it-IT
%s 個資源包下載失敗，共 %s 個資源包,Download di %s pacchetti su %s non riuscito,it-IT
%s 的狀態：,Stato in data %s: ,it-IT
%s 處於重生點保護下,%s è sotto la protezione della zona iniziale,it-IT
%s(으)로 열 수 있습니다,Premi %s per aprire,it-IT
%s(으)로 점프할 수 있습니다,Salta con %s,it-IT
"%s, %s, %s ve %s ile hareket edin","Spostati con %s, %s, %s, %s",it-IT
"%s, %s, %s, %s(으)로 움직이고","Spostati con %s, %s, %s, %s",it-IT
%s/%s kaynak paketi indiriliyor,Download del pacchetto di risorse: %s/%s,it-IT
%s、%s、%s、%sで移動します,"Spostati con %s, %s, %s, %s",it-IT
%sからの状態：,Stato in data %s: ,it-IT
%sでジャンプします,Salta con %s,it-IT
%sで開きます,Premi %s per aprire,it-IT
%sはリスポーン地点の保護下にあります,%s è sotto la protezione della zona iniziale,it-IT
%sを押します,Premi %s,it-IT
%sを長押しします,Tieni %s,it-IT
%s处于重生点保护下,%s è sotto la protezione della zona iniziale,it-IT
%s的状态：,Stato in data %s: ,it-IT
%s로 스크린샷을 저장했습니다,Schermata salvata: %s,it-IT
%s은(는) 생성 영역으로 보호받고 있습니다,%s è sotto la protezione della zona iniziale,it-IT
%s을(를) 누르고 있으세요,Tieni %s,it-IT
%s을(를) 누르세요,Premi %s,it-IT
%s의 상태: ,Stato in data %s: ,it-IT
%s／%s,%s/%s,it-IT
'%s' sonsuza kadar kaybolacak! (Uzun bir süre!),«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
'%s' sẽ bị mất vĩnh viễn! (Một thời gian dài!),«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
'%s' will be lost forever! (A long time!),«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
'%s' จะหายไปตลอดกาล! (นานมาก!),«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
'%s' 세계 최적화 중,Ottimizzazione del mondo «%s»...,it-IT
'%s'이(가) 영원히 사라지게 됩니다!,«%s» andrà perso per sempre! (Un sacco di tempo!),it-IT
'어려움' 난이도로 고정된 서바이벌 모드입니다. 죽으면 리스폰할 수 없습니다.,Modalità sopravvivenza con la difficoltà bloccata su «Difficile» e con una sola vita.,it-IT
"/gamemode, /experience gibi komutlar","Comandi come «/gamemode», «/experience» ecc.",it-IT
"/gamemode, /experience 같은 명령어들","Comandi come «/gamemode», «/experience» ecc.",it-IT
/gamemode、/experience等のコマンド,"Comandi come «/gamemode», «/experience» ecc.",it-IT
2日目,Secondo giorno,it-IT
2일째,Secondo giorno,it-IT
3日目,Terzo giorno,it-IT
3일째,Terzo giorno,it-IT
4日目,Quarto giorno,it-IT
4일째,Quarto giorno,it-IT
5日目が終了しました。作品のスクリーンショットを%sキーで撮ることができます。,Hai superato il quinto giorno. Premi %s per salvare una schermata delle tue creazioni.,it-IT
?,???,it-IT
A altura limite para construir é %s,Altezza massima di costruzione: %s,it-IT
A altura mínima para construir é %s,Altezza minima di costruzione: %s,it-IT
A demonstração acabou!,Il tempo di prova è scaduto!,it-IT
A demonstração terminou. Compre o jogo para continuar ou inicie um novo mundo!,La prova gratuita è terminata. Acquista il gioco per continuare o crea un nuovo mondo!,it-IT
A pasta do mundo contém links simbólicos,La cartella del mondo contiene collegamenti simbolici,it-IT
A pasta do mundo parece já conter alguns arquivos atualizados. O jogo não consegue atualizar corretamente o seu mundo.,"Sembra che la cartella del mondo contenga alcuni documenti già aggiornati, dunque non è stato possibile aggiornare correttamente il mondo.",it-IT
Abenteuer,Avventura,it-IT
Abra o inventário,Apri l'inventario,it-IT
Abre tu inventario,Apri l'inventario,it-IT
Abrir carpeta de copias,Apri la cartella dei backup,it-IT
Abrir carpeta del mundo,Apri la cartella del mondo,it-IT
Abrir pasta de cópias,Apri la cartella dei backup,it-IT
Abrir pasta do mundo,Apri la cartella del mondo,it-IT
Acheter maintenant !,Acquista adesso!,it-IT
Achtung! Diese Einstellungen verwenden experimentelle Spielelemente,Attenzione! Questi parametri utilizzano funzioni sperimentali,it-IT
Achtung! Diese Einstellungen verwenden veraltete Spielelemente,Attenzione! Questi parametri utilizzano funzioni deprecate,it-IT
Achtung! Wenig freier Speicherplatz!,Attenzione! Poco spazio sul disco rimasto!,it-IT
Actualización del mundo cancelada,Aggiornamento del mondo annullato,it-IT
Actualización del mundo completada,Mondo aggiornato,it-IT
Actualizado: %s,Aggiornati: %s,it-IT
Actualizando archivos del mundo,Aggiornamento del salvataggio...,it-IT
Actualizando estructuras heredadas,Aggiornamento delle strutture...,it-IT
