source,target,tgt_lng
Alev Çiçeği Tomurcuğu,Flaming Flower Stamen,en-US
Amethyst-Brocken,Amethyst Lump,en-US
Ametist Parçası,Amethyst Lump,en-US
Anbeginn,Origin,en-US
Biển Cát Đỏ - Vương Miện,Great Red Sand: Crown,en-US
Biển Cát Đỏ: Đêm Dài,Great Red Sand: Long Night,en-US
Biển Cát Đỏ: Đồng Cổ,Great Red Sand: Bronze,en-US
Biển Kỷ Nguyên Cũ - Vương Miện,Sea of Bygone Eras: Crown,en-US
Biển Kỷ Nguyên Cũ: Ngủ Sâu,Sea of Bygone Eras: Slumber,en-US
Brocken Kristall,Crystal Chunk,en-US
Brocken magisches Kristall,Magical Crystal Chunk,en-US
Bách Hợp Lưu Ly,Glaze Lily,en-US
Báu Vật Trong Bài,Treasures of the Deck,en-US
Büyük Kızıl Çöl: Bronz,Great Red Sand: Bronze,en-US
Büyük Kızıl Çöl: Taç,Great Red Sand: Crown,en-US
Büyük Kızıl Çöl: Uzun Gece,Great Red Sand: Long Night,en-US
Büyülü Kristal Parçası,Magical Crystal Chunk,en-US
Cecília,Cecilia,en-US
Corolla di Fiordinebbia,Mist Flower Corolla,en-US
Corolle de fleur de brume,Mist Flower Corolla,en-US
Coronación de Espinadragón,Dragonspine: Crown,en-US
Cristal Electro,Electro Crystal,en-US
Cristallo di Electro,Electro Crystal,en-US
Cécilia,Cecilia,en-US
Dendrobio,Dendrobium,en-US
Dendrobium sanglant,Dendrobium,en-US
Despenhadeiro - Cristal Índigo,The Chasm: Blue Crystal,en-US
Despenhadeiro - Diadema,The Chasm: Crown,en-US
Despenhadeiro - Metal Sólido,The Chasm: Solid Iron,en-US
Destenin Hazineleri,Treasures of the Deck,en-US
Drachengrat – Krone,Dragonspine: Crown,en-US
Drachengrat – Spurensuche,Dragonspine: Traces,en-US
Dragonspine - มงกุฎ,Dragonspine: Crown,en-US
Dragonspine - สำรวจ,Dragonspine: Traces,en-US
Efsanevi,Legend,en-US
Eisnebelblumenblüte,Mist Flower Corolla,en-US
Ejdersırtı: Taç,Dragonspine: Crown,en-US
Ejdersırtı: İzler,Dragonspine: Traces,en-US
Electrocristal,Electro Crystal,en-US
Elektrik Kristali,Electro Crystal,en-US
Elektrisierter Kristall,Electro Crystal,en-US
Enkanomiya - Vương Miện,Enkanomiya: Crown,en-US
Enkanomiya - Đêm Đen,Enkanomiya: Evernight,en-US
Enkanomiya - มงกุฎ,Enkanomiya: Crown,en-US
Enkanomiya - ราตรีนิรันดร์,Enkanomiya: Evernight,en-US
Enkanomiya : Couronne,Enkanomiya: Crown,en-US
Enkanomiya : Nuit sans fin,Enkanomiya: Evernight,en-US
Enkanomiya – Ewige Nacht,Enkanomiya: Evernight,en-US
Enkanomiya – Krone,Enkanomiya: Crown,en-US
Enkanomiya: Corona,Enkanomiya: Crown,en-US
Enkanomiya: Diadema,Enkanomiya: Crown,en-US
Enkanomiya: Ebedi Gece,Enkanomiya: Evernight,en-US
Enkanomiya: Noche infinita,Enkanomiya: Evernight,en-US
Enkanomiya: Noite Eterna,Enkanomiya: Evernight,en-US
Enkanomiya: Notteterna,Enkanomiya: Evernight,en-US
Enkanomiya: Taç,Enkanomiya: Crown,en-US
Especialista,Adept,en-US
Esperto,Adept,en-US
Espinha do Dragão - Diadema,Dragonspine: Crown,en-US
Espinha do Dragão - Investigação,Dragonspine: Traces,en-US
Flammenblumenstaubblatt,Flaming Flower Stamen,en-US
Flor da Neblina,Mist Flower Corolla,en-US
Flor-Flamejante,Flaming Flower Stamen,en-US
Fonta - Anh Đào Ngọt Ngào,Fonta: Sweet Sakura,en-US
Fonta - Lakelight Luminescence,Fonta: Lakelight Luminescence,en-US
Fonta - Màu Đỏ Nồng Nàn,Fonta: Passionate Red,en-US
Fonta - Sweet Sakura,Fonta: Sweet Sakura,en-US
Fonta - Ánh Hồ Trong Vắt,Fonta: Lakelight Luminescence,en-US
Fonta : Luminescence du lac,Fonta: Lakelight Luminescence,en-US
Fonta : Rouge passion,Fonta: Passionate Red,en-US
Fonta aux cerises,Fonta: Sweet Sakura,en-US
Fonta – Aufrichtiges Henna,Fonta: Passionate Red,en-US
Fonta – Seelichtschein,Fonta: Lakelight Luminescence,en-US
Fonta – Süße rote Sakura,Fonta: Sweet Sakura,en-US
Fonta: Brilho de Um Lago,Fonta: Lakelight Luminescence,en-US
Fonta: Brillo del lago,Fonta: Lakelight Luminescence,en-US
Fonta: Cerezo dulce,Fonta: Sweet Sakura,en-US
Fonta: Dolce Sakura,Fonta: Sweet Sakura,en-US
Fonta: Göldeki Işığın Parıltısı,Fonta: Lakelight Luminescence,en-US
Fonta: Luminescenza del Lagoluce,Fonta: Lakelight Luminescence,en-US
Fonta: Pasión escarlata,Fonta: Passionate Red,en-US
Fonta: Rosso passione,Fonta: Passionate Red,en-US
Fonta: Sakura Doce,Fonta: Sweet Sakura,en-US
Fonta: Tatlı Kiraz,Fonta: Sweet Sakura,en-US
Fonta: Tutkulu Kırmızı,Fonta: Passionate Red,en-US
Fonta: Vermelho Paixão,Fonta: Passionate Red,en-US
Fort Méropide,The Fortress of Meropide,en-US
Fortaleza Meropide,The Fortress of Meropide,en-US
Forte Méropide,The Fortress of Meropide,en-US
Forteresse de Méropide,The Fortress of Meropide,en-US
Fuerte Merópide,The Fortress of Meropide,en-US
Glaslilie,Glaze Lily,en-US
Gouffre : Couronne dorée,The Chasm: Crown,en-US
Gouffre : Cristal bleu,The Chasm: Blue Crystal,en-US
Gouffre : Fer solide,The Chasm: Solid Iron,en-US
Graine de pissenlit,Dandelion Seed,en-US
Gran Desierto Escarlata: Bronce,Great Red Sand: Bronze,en-US
Gran Desierto Escarlata: Corona,Great Red Sand: Crown,en-US
Gran Desierto Escarlata: Noche larga,Great Red Sand: Long Night,en-US
Grand désert écarlate : Bronze,Great Red Sand: Bronze,en-US
Grand désert écarlate : Couronne,Great Red Sand: Crown,en-US
Grand désert écarlate : Longue nuit,Great Red Sand: Long Night,en-US
