source,target,tgt_lng
"""Coisas Brilhantes"" Coletadas: {q_count}/20","เก็บรวบรวม ""สิ่งแวววาว"" แล้ว {q_count}/20",th-TH
"""Coisas Brilhantes"" Coletadas: {q_count}/35","เก็บรวบรวม ""ของแวววาว"" แล้ว {q_count}/35",th-TH
"""Esfera Armilar Celeste""",เครื่องนภาจารึก,th-TH
"""Lollo Joy Album"" Photo Quest","ภารกิจถ่ายภาพ ""อัลบั้มลอลโล่สุขสันต์""",th-TH
"""Mountain Road"" Challenge","ท้าทาย ""เส้นทางภูผาคดเคี้ยว""",th-TH
"""Perfect Trade""","""การค้าขายสมบูรณ์แบบ""",th-TH
"""Return home""","""กลับบ้าน""",th-TH
"""Return home""","""กลับมาเยี่ยมบ้าน""",th-TH
"""Shiny Things"" Collected: {q_count}/20","เก็บรวบรวม ""สิ่งแวววาว"" แล้ว {q_count}/20",th-TH
"""Shiny Things"" Collected: {q_count}/35","เก็บรวบรวม ""ของแวววาว"" แล้ว {q_count}/35",th-TH
"""Skyscribe Armillary""",เครื่องนภาจารึก,th-TH
"""Soliskin in the Cave""","""Soliskin ในถ้ำ""",th-TH
"""Statement of Accountability""","""รายงานสำนึก""",th-TH
"""Vernichte das Überbleibsel""",พิชิตทาเซ็ตดิสคอร์ด,th-TH
"""Voltar para casa""","""กลับบ้าน""",th-TH
"""Voltar para casa""","""กลับมาเยี่ยมบ้าน""",th-TH
#N/A,ทดสอบ/,th-TH
#N/A,สวัสดี,th-TH
(Cumprimentar o Cãobanheira),ทักทาย Tubpup,th-TH
(Di Realm),(แดนพิภพ),th-TH
(Di-Reich),(แดนพิภพ),th-TH
(Effigie de la Calamité),(Calamity Effigy),th-TH
(Efigie de Calamidad),(Calamity Effigy),th-TH
(Efígie da Calamidade),(Calamity Effigy),th-TH
(Empfohlen) Schmiede „Wächter-Schwert“,"(แนะนำ) สร้าง ""ดาบผู้พิทักษ์""",th-TH
(Faculatif) Se rendre à la Cathédrale du Mercure en utilisant la Railée,นั่งวิงเรย์ไปที่มหาวิหารแห่งเมอร์คิวรี (ไม่บังคับ),th-TH
(Faculatif) Se rendre à la destination en utilisant la Railée,(ไม่บังคับ) ไปถึงที่นั่นโดยนั่งวิงเรย์,th-TH
(Faculatif) Se renseigner auprès des employés du port à proximité,(ไม่บังคับ) ถามข้อมูลจากคนงานท่าเรือที่อยู่ใกล้เคียง,th-TH
(Facultatif) Accompagner Danjin,(ไม่บังคับ) ขี่รถไปกับ Danjin,th-TH
(Facultatif) Accéder au toit par un « raccourci »,"(ไม่บังคับ) ไปยังดาดฟ้าโดยมุ่งผ่าน ""ทางลัด""",th-TH
(Facultatif) Accéder aux amphithéâtres par un « raccourci »,"(ไม่บังคับ) ไปยังเขตสถาบันของแผนกผ่าน ""ทางลัด""",th-TH
(Facultatif) Activer la petite balise,(ไม่บังคับ) เปิดใช้เสาสัญญาณเรโซแนนซ์,th-TH
(Facultatif) Allez aux Ruines paisibles avec Chuxiu,ไปยังซากโบราณอันเงียบสงัดกับ Chuxiu (ไม่บังคับ),th-TH
(Facultatif) Briser les cocons de glace pour désactiver l'effet des dégâts sur la durée,(ไม่บังคับ) ทำลายดักแด้น้ำแข็งเพื่อลบเอฟเฟกต์ความเสียหายต่อเนื่อง,th-TH
(Facultatif) Chercher dans les eaux à proximité,(ไม่บังคับ) ค้นหาในแม่น้ำบริเวณใกล้เคียง,th-TH
(Facultatif) Chercher des indices avec le Senseur,(ไม่บังคับ) ใช้เซนเซอร์เพื่อหาตำแหน่งของเบาะแสอย่างรวดเร็ว,th-TH
(Facultatif) Collecter des matériaux médicinaux à la zone abondante,ไปยังพื้นที่ที่มีสมุนไพรหนาแน่น (ไม่บังคับ),th-TH
(Facultatif) Contacter Cantarella,เรียกหา Cantarella (ไม่บังคับ),th-TH
(Facultatif) Continuer à chercher des indices,ค้นหาเบาะแสต่อ (ไม่บังคับ),th-TH
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,(ไม่บังคับ) ควบคุมด้วยอุปกรณ์ให้สิทธิ์อนุญาต,th-TH
(Facultatif) Contrôler la garde avec l'appareil d'autorisation,(ไม่บังคับ) แฮ็กระบบควบคุมของผู้เฝ้ายามโดยใช้อุปกรณ์ให้สิทธิ์อนุญาต,th-TH
(Facultatif) Demander aux Septimontais leur avis sur la Lionne glorieuse,(ไม่บังคับ) สอบถามความเห็นของชาวเซปติมอนต์เกี่ยวกับ Lioness of Glory,th-TH
(Facultatif) Demander aux Septimontais leur avis sur la Sentinelle,(ไม่บังคับ) สอบถามความเห็นของชาวเซปติมอนต์เกี่ยวกับเซนติเนล,th-TH
(Facultatif) Descendre la montagne en ski,(ไม่บังคับ) สกีลงจากภูเขา,th-TH
(Facultatif) Dire au revoir à tout le monde avant de partir,(ไม่บังคับ) บอกลาทุกคนก่อนออกไป,th-TH
(Facultatif) Discuter avec Danjin,(ไม่บังคับ) คุยกับ Danjin,th-TH
(Facultatif) Discuter avec Meilleur vendeur,(ไม่บังคับ) พูดคุยกับยอดนักขาย,th-TH
(Facultatif) Discuter avec Polmes,(ไม่บังคับ) พูดคุยกับ Polmes,th-TH
(Facultatif) Découvrir ce que fait Lynae,(ไม่บังคับ) ดูว่า Lynae กำลังทำอะไร,th-TH
(Facultatif) Découvrir ce que fait Sigrika,(ไม่บังคับ) ดูว่า Sigrika กำลังทำอะไร,th-TH
(Facultatif) Découvrir la Simulation : Potions de résonance,(ไม่บังคับ) เรียนรู้เกี่ยวกับการจำลอง: น้ำยาเรโซแนนซ์,th-TH
(Facultatif) Enquêter autour de vous,(ไม่บังคับ) ตรวจสอบที่เกิดเหตุ,th-TH
(Facultatif) Entrer dans le Somnoire anormal,(ไม่บังคับ) เข้าสู่แดนจิตนิมิตที่ผิดปกติทันที,th-TH
(Facultatif) Esquiver 10 attaques,(ไม่บังคับ) หลบหลีก 10 ครั้ง,th-TH
(Facultatif) Esquiver 5 attaques,(ไม่บังคับ) หลบหลีก 5 ครั้ง,th-TH
(Facultatif) Esquivez 10 attaques de l'ennemi,(ไม่บังคับ) หลบหลีกศัตรู 10 ตัว,th-TH
(Facultatif) Esquivez 5 attaques de l'ennemi,(ไม่บังคับ) หลบหลีกศัตรู 5 ตัว,th-TH
(Facultatif) Examiner l'album de Lucilla,(ไม่บังคับ) ดูภาพถ่ายบนกำแพง,th-TH
(Facultatif) Examiner la Fresque,(ไม่บังคับ) ตรวจสอบภาพจิตรกรรมฝาผนัง,th-TH
(Facultatif) Examiner la fréquence perdue,(ไม่บังคับ) ตรวจสอบความถี่ที่สูญหาย,th-TH
(Facultatif) Examiner la fréquence perdue I,(ไม่บังคับ) ตรวจสอบความถี่ที่สูญหาย 1,th-TH
(Facultatif) Examiner la fréquence perdue II,(ไม่บังคับ) ตรวจสอบความถี่ที่สูญหาย 2,th-TH
(Facultatif) Examiner la fréquence perdue III,(ไม่บังคับ) ตรวจสอบความถี่ที่สูญหาย 3,th-TH
(Facultatif) Examiner la table,(ไม่บังคับ) ตรวจสอบโต๊ะอ่านหนังสือ,th-TH
(Facultatif) Examiner la table,(ไม่บังคับ) โต๊ะอ่านหนังสือ,th-TH
(Facultatif) Examiner la table d'opération,(ไม่บังคับ) ตรวจสอบเตียงผ่าตัด,th-TH
(Facultatif) Examiner le cabinet médical,(ไม่บังคับ) ตรวจสอบตู้ยา,th-TH
(Facultatif) Examiner le camp d'Aeolus,(ไม่บังคับ) ตรวจสอบค่ายของ Aeolus,th-TH
(Facultatif) Examiner le frigo,(ไม่บังคับ) ตรวจสอบตู้เย็น,th-TH
(Facultatif) Examiner les appareils de recherche,ตรวจสอบสิ่งของสำหรับการวิจัย (ไม่บังคับ),th-TH
(Facultatif) Explorer la zone des tuyaux,(ไม่บังคับ) สำรวจอุโมงค์,th-TH
(Facultatif) Explorer le Petit monde cubique,(ไม่บังคับ) เที่ยวเล่นในโลกลูกบาศก์จิ๋ว,th-TH
(Facultatif) Explorer le Petit monde cubique,คุยกับลูกบาศก์จิ๋ว Changli,th-TH
(Facultatif) Explorer le camp et parler à Brax,(ไม่บังคับ) สำรวจค่าย คุยกับ Brax ลองถามข้อมูล,th-TH
(Facultatif) Explorer le camp et parler à Rokan,(ไม่บังคับ) สำรวจค่าย คุยกับ Rokan ลองถามข้อมูล,th-TH
(Facultatif) Explorer le premier étage pour plus d'information,(ไม่บังคับ) ตรวจสอบชั้นแรกเพื่อหาเบาะแสเพิ่มเติม,th-TH
(Facultatif) Gravir la montagne avec Chuxiu,ขึ้นเขาไปกับ Chuxiu (ไม่บังคับ),th-TH
(Facultatif) Interroger Scar,(ไม่บังคับ) สอบถาม Scar,th-TH
(Facultatif) Jeter un coup d'œil autour du restaurant,(ไม่บังคับ) เดินดูรอบๆ ร้านอาหาร,th-TH
(Facultatif) Libérer « Ramollo »,"(ไม่บังคับ) ปลดปล่อย ""เจ้าขี้เกียจ""",th-TH
(Facultatif) Lire la lettre de Carlotta,(ไม่บังคับ) อ่านจดหมายจาก Carlotta,th-TH
(Facultatif) Lire la lettre de l'Ordre,(ไม่บังคับ) อ่านจดหมายจากภาคี,th-TH
(Facultatif) Lire le message dans la chambre,(ไม่บังคับ) อ่านข้อความในห้อง,th-TH
(Facultatif) Lire les pages à proximité,(ไม่บังคับ) อ่านหน้ากระดาษที่อยู่ใกล้ๆ,th-TH
(Facultatif) Observer la Méduse Rose-Gélatine,(ไม่บังคับ) สังเกตกุหลาบแมงกะพรุน,th-TH
(Facultatif) Observer la Pomme de mer,(ไม่บังคับ) สังเกตแอปเปิลทะเล,th-TH
(Facultatif) Parler aux autres participants,(ไม่บังคับ) คุยกับผู้เล่นอื่น,th-TH
(Facultatif) Parler aux enfants,(ไม่บังคับ) ถามเด็กๆ ที่อยู่ใกล้เคียง,th-TH
(Facultatif) Parler aux enfants à propos du bonbon,(ไม่บังคับ) ถามเด็กๆ เกี่ยวกับลูกอมไข่มุก,th-TH
(Facultatif) Parler aux personnes aux alentours pour obtenir des informations sur Duzhou,(ไม่บังคับ) สอบถามข้อมูลของ Duzhou จากคนแถวนั้น,th-TH
(Facultatif) Parler aux résidents de Hongzhen,(ไม่บังคับ) คุยกับชาวเมืองหงเจิ้น,th-TH
(Facultatif) Parler aux élèves,(ไม่บังคับ) คุยกับนักเรียน,th-TH
(Facultatif) Parler aux étudiants confus,(ไม่บังคับ) คุยกับนักเรียนที่กำลังสับสน,th-TH
(Facultatif) Parler avec KU-Roro étrange,(ไม่บังคับ) คุยกับ KU-โรโร่ ที่น่าสงสัย,th-TH
(Facultatif) Parler à Aalto,(ไม่บังคับ) พูดคุยกับ Aalto,th-TH
(Facultatif) Parler à Aalto au sujet du robot,(ไม่บังคับ) ถาม Aalto เกี่ยวกับหุ่นยนต์,th-TH
(Facultatif) Parler à Bardolino,(ไม่บังคับ) พูดคุยกับ Bardolino,th-TH
(Facultatif) Parler à Camellya,(ไม่บังคับ) พูดคุยกับ Camellya,th-TH
(Facultatif) Parler à Cantarella,(ไม่บังคับ) พูดกับ Cantarella,th-TH
(Facultatif) Parler à Cartethyia,พูดคุยกับ Cartethyia (ไม่บังคับ),th-TH
(Facultatif) Parler à Changli,(ไม่บังคับ) พูดคุยกับ Changli,th-TH
(Facultatif) Parler à Cristoforo,(ไม่บังคับ) คุยกับ Cristoforo,th-TH
(Facultatif) Parler à Dana pour connaître le type de poisson qu'elle recherche.,ถาม Dana ว่าเธออยากได้ปลาชนิดไหน (ไม่บังคับ),th-TH
(Facultatif) Parler à Encore,(ไม่บังคับ) พูดคุยกับ Encore,th-TH
(Facultatif) Parler à Fuyan à propos du « Mithril »,(ไม่บังคับ) ถาม Fuyan เกี่ยวกับมิธริล,th-TH
(Facultatif) Parler à Insula,(ไม่บังคับ) คุยกับ Insula,th-TH
(Facultatif) Parler à Itzel,(ไม่บังคับ) คุยกับ Itzel,th-TH
(Facultatif) Parler à Lenore,(ไม่บังคับ) คุยกับ Lenore,th-TH
(Facultatif) Parler à Lynae,(ไม่บังคับ) คุยกับ Lynae,th-TH
(Facultatif) Parler à Margherita,(ไม่บังคับ) คุยกับ Margherita,th-TH
(Facultatif) Parler à Panhua à propos du « Plat inoubliable »,"(ไม่บังคับ) ทำความเข้าใจเรื่อง ""เมนูไม่รู้ลืม"" จากพานฮวา",th-TH
(Facultatif) Parler à Phrolova,(ไม่บังคับ) คุยกับ Phrolova,th-TH
(Facultatif) Parler à Postumia,คุยกับ Postumia (ไม่บังคับ),th-TH
(Facultatif) Parler à Reynard,(ไม่บังคับ) คุยกับ Reynard,th-TH
(Facultatif) Parler à Rolla,(ไม่บังคับ) คุยกับ Rolla,th-TH
(Facultatif) Parler à Xianchen à propos du « Sans-couronne »,(ไม่บังคับ) สอบถามเรื่อง Crownless จากเสียนเฉิน,th-TH
(Facultatif) Parler à Xiayang à propos du Jade Ardent,(ไม่บังคับ) สอบถามเรื่องหยกเผาผลาญจาก Xieyang,th-TH
(Facultatif) Parler à Yinlin,(ไม่บังคับ) พูดคุยกับ Yinlin,th-TH
(Facultatif) Parler à Zani,(ไม่บังคับ) คุยกับ Zani,th-TH
(Facultatif) Parler à Zhezhi,(ไม่บังคับ) พูดคุยกับ Zhezhi,th-TH
(Facultatif) Parler à l'acolyte,(ไม่บังคับ) คุยกับนักบวช,th-TH
(Facultatif) Parler à l'acolyte timide,(ไม่บังคับ) พูดคุยกับนักบวชขี้ขลาด,th-TH
(Facultatif) Parler à l'enfant près de l'étang à propos de l'insecte.,(ไม่บังคับ) ไปที่สระน้ำ ตามหาพวกเด็กที่รู้เรื่องแมลง,th-TH
(Facultatif) Parler à l'homme ivre,(ไม่บังคับ) พูดคุยกับชายหนุ่มขี้เมา,th-TH
(Facultatif) Parler à Adrian,พูดคุยกับ Adriana ที่อยู่ข้างๆ (ไม่บังคับ),th-TH
(Facultatif) Parler à Platya,พูดคุยกับ Platya ที่อยู่ข้างๆ (ไม่บังคับ),th-TH
(Facultatif) Partager des informations avec Cantarella,(ไม่บังคับ) แลกเปลี่ยนข้อมูลเพิ่มเติมกับ Cantarella,th-TH
(Facultatif) Passer le défi de Zone de la simulation : Potions de résonance,(ไม่บังคับ) ผ่านการจำลอง: น้ำยาเรโซแนนซ์,th-TH
(Facultatif) Prendre l'ascenseur,(ไม่บังคับ) เข้าไปโดยใช้ลิฟต์,th-TH
(Facultatif) Prendre l'ascenseur,(ไม่บังคับ) ใช้ลิฟต์,th-TH
(Facultatif) Prendre l'ascenseur et quitter,(ไม่บังคับ) ออกจากที่นี่โดยใช้ลิฟต์,th-TH
(Facultatif) Prendre l'ascenseur pour descendre,(ไม่บังคับ) ใช้ลิฟต์ลงไปชั้นล่าง,th-TH
(Facultatif) Prendre une photo de Phoebe,(ไม่บังคับ) ถ่ายภาพ Phoebe,th-TH
(Facultatif) Rassurer les spectateurs,(ไม่บังคับ) ปลอบโยนบรรดาผู้ชม,th-TH
(Facultatif) Regarder la répétition des enfants,(ไม่บังคับ) ดูการฝึกซ้อมของเด็กๆ,th-TH
(Facultatif) Regarder la répétition des enfants,ดูการฝึกซ้อมของเด็กๆ,th-TH
(Facultatif) Remettre l'album dans la bibliothèque,(ไม่บังคับ) วางสมุดสเก็ตช์กลับเข้าชั้นหนังสือ,th-TH
(Facultatif) Rendre visite à Lucy,(ไม่บังคับ) ไปเยี่ยม Lucy,th-TH
(Facultatif) Revenir dans la pièce pour chercher des indices,กลับไปและค้นหาเบาะแสในห้อง (ไม่บังคับ),th-TH
(Facultatif) Régler le temps à deux jours plus tard,(ไม่บังคับ) ปรับเวลาไปอีกสองวันให้หลัง,th-TH
(Facultatif) Rénover le Café Shashou,(ไม่บังคับ) อัปเกรดการตกแต่งของคาเฟ่นายสถานี,th-TH
(Facultatif) Résoudre le mécanisme caché,ไขกลไกที่ซ่อนอยู่ (ไม่บังคับ),th-TH
(Facultatif) Se promener un peu,(ไม่บังคับ) เที่ยวเล่นในโลกลูกบาศก์จิ๋ว,th-TH
(Facultatif) Se rendre au quartier des Montelli pour enquêter,(ไม่บังคับ) ไปที่ย่าน Montelli เพื่อตรวจสอบ,th-TH
(Facultatif) Se renseigner auprès de Mornye sur la situation actuelle,(ไม่บังคับ) ทำความเข้าใจสถานการณ์จาก Mornye,th-TH
(Facultatif) Suivre Phoebe et entrer dans la ville,(ไม่บังคับ) ตาม Phoebe เข้าไปในเมือง,th-TH
(Facultatif) Trouver des indices du trésor caché,ค้นหาเบาะแสของสมบัติที่ซ่อนอยู่ (ไม่บังคับ),th-TH
(Facultatif) Trouver l'instrument avec le Senseur,(ไม่บังคับ) ใช้เซนเซอร์เพื่อหาตำแหน่งอย่างรวดเร็ว,th-TH
(Facultatif) Utiliser l'Adaptateur de modules pour vous rendre à la Station Spatiale,(ไม่บังคับ) ใช้เครื่องจัดโครงสร้างโมดูลเพื่อไปยังสถานีอวกาศ,th-TH
(Facultatif) Utiliser la Railée,ขึ้นวิงเรย์ (ไม่บังคับ),th-TH
(Facultatif) Utiliser le Cadran de transition,(ไม่บังคับ) ใช้โฟลว์แทร็ก,th-TH
(Facultatif) Utiliser le Senseur pour chercher,"(ไม่บังคับ) ใช้ ""เซนเซอร์"" เพื่อค้นหา",th-TH
(Facultatif) Utiliser le Voyage rapide pour se rendre au port,(ไม่บังคับ) เทเลพอร์ตไปยังท่าเรือ,th-TH
(Facultatif) Utiliser le javelot pour éliminer rapidement les Tacets Discords,(ไม่บังคับ) ใช้หอกเพื่อเคลียร์ทาเซ็ตดิสคอร์ดอย่างรวดเร็ว,th-TH
(Facultatif) Utiliser le lanceur de Grappin,(ไม่บังคับ) ใช้เครื่องยิงสลิง,th-TH
(Facultatif) Utiliser une Bombe de tonnerre pendant le combat,(ไม่บังคับ) ใช้ถังกระสุนอัสนีบาตในการต่อสู้,th-TH
(Facultatif) Vaincre les Danseuses du Vitreum,(ไม่บังคับ) เอาชนะ Vitreum Dancer ทั้งหมด,th-TH
(Facultatif) Vaincre les Fiçailes pour désactiver l'effet des dégâts sur la durée,(ไม่บังคับ) เอาชนะ Cruisewing เพื่อลบเอฟเฟกต์ความเสียหายต่อเนื่อง,th-TH
(Facultatif) Vaincre les ennemis,(ไม่บังคับ) กำจัดศัตรู,th-TH
(Facultatif) Visiter le village de Xianling avec Chuxiu,เดินทางไปหมู่บ้านเสียนหลิงกับ Chuxiu (ไม่บังคับ),th-TH
(Facultatif) Voler avec la Railée,(ไม่บังคับ) ขี่วิงเรย์,th-TH
(Facultatif) Voler avec la Railée,ขี่วิงเรย์สูงขึ้นไปบนท้องฟ้า,th-TH
(Facultatif) Voler avec la Railée,ขึ้นเรือวิงเรย์ (ไม่บังคับ),th-TH
(Facultatif) Vérifier l'album,(ไม่บังคับ) ตรวจสอบสมุดสเก็ตช์,th-TH
(Facultatif) Vérifier la note,(ไม่บังคับ) ตรวจสอบบันทึก,th-TH
(Facultatif) Vérifier le fantôme de Phrolova,(ไม่บังคับ) ตรวจสอบร่างมายาของ Phrolova,th-TH
(Facultatif) Vérifier si Qingyan va bien,(ไม่บังคับ) ตรวจสอบสถานการณ์ของ Qingyan,th-TH
(Facultatif) Écouter la discussion entre Odette et Rakosan,(ไม่บังคับ) ฟังบทสนทนาระหว่าง Odette กับ Rakosan,th-TH
(Facultatif) Éliminer la contamination,(ไม่บังคับ) กำจัดการปนเปื้อน,th-TH
(Facultatif) Évacuer les spectateurs,(ไม่บังคับ) อพยพบรรดาผู้ชม,th-TH
(Facultatif)Demander l'opinion de Colleen,(ไม่บังคับ) ถามความเห็นของ Colleen,th-TH
(Facultatif)Demander l'opinion de Zani,(ไม่บังคับ) ถามความเห็นของ Zani,th-TH
(Gedrückt halten) Gerümpelhaufen durchsuchen,(กดค้าง) ค้นกองสิ่งของ,th-TH
(Gedrückt halten) Kiste durchsuchen,(กดค้าง) ค้นกล่อง,th-TH
(Gedrückt halten) Spießestand durchsuchen,(กดค้าง) ค้นร้านขายเนื้อย่างเสียบไม้,th-TH
(Greet the Tubpup),ทักทาย Tubpup,th-TH
(Guqin-Spiel beenden),(ดีดกู่ฉินเสร็จสิ้น),th-TH
"(GÉMISSEMENTS) ""#. ""... """". ___. ""...",..█#.█..█#█.█.█..,th-TH
(Hold) Search the box,(กดค้าง) ค้นกล่อง,th-TH
(Hold) Search the pile of junk,(กดค้าง) ค้นกองสิ่งของ,th-TH
(Hold) Search the skewer stall,(กดค้าง) ค้นร้านขายเนื้อย่างเสียบไม้,th-TH
"(LACHT) ""#. (STÖHNT) Verschwinde. "". ""...",..█#.█..ไ#ป.█.█..,th-TH
(Maintenir) Chercher,(กดค้าง) ค้นกล่อง,th-TH
(Maintenir) Chercher,(กดค้าง) ค้นกองสิ่งของ,th-TH
(Maintenir) Fouiller le stand,(กดค้าง) ค้นร้านขายเนื้อย่างเสียบไม้,th-TH
(Mantén pulsado) Buscar en el puesto de pinchos,(กดค้าง) ค้นร้านขายเนื้อย่างเสียบไม้,th-TH
(Mantén pulsado) Buscar en la caja,(กดค้าง) ค้นกล่อง,th-TH
(Mantén pulsado) Buscar entre los trastos,(กดค้าง) ค้นกองสิ่งของ,th-TH
(Nivel recomendado: 101–150) Activa el estandarte 4,เปิดใช้งานธง 4 (แนะนำสำหรับเลเวล 101-150),th-TH
(Nivel recomendado: 151–175) Activa el estandarte 5,เปิดใช้งานธง 5 (แนะนำสำหรับเลเวล 151-170),th-TH
(Nivel recomendado: 151–175) Activa el estandarte 5,เปิดใช้งานธง 5 (แนะนำสำหรับเลเวล 151-175),th-TH
(Nivel recomendado: 176–200) Activa el estandarte 6,เปิดใช้งานธง 6 (แนะนำสำหรับเลเวล 176-200),th-TH
(Nivel recomendado: 1–40) Activa el estandarte 1,เปิดใช้งานธง 1 (แนะนำเลเวล 1-40),th-TH
(Nivel recomendado: 201–230) Activa el estandarte 7,เปิดใช้งานธง 7 (แนะนำสำหรับเลเวล 201-230),th-TH
(Nivel recomendado: 231–260) Activa el estandarte 8,เปิดใช้งานธง 8 (แนะนำสำหรับเลเวล 231-260),th-TH
(Nivel recomendado: 261–275) Activa el estandarte 9,เปิดใช้งานธง 9 (แนะนำสำหรับเลเวล 261-275),th-TH
(Nivel recomendado: 276–290) Activa el estandarte 10,เปิดใช้งานธง 10 (แนะนำสำหรับเลเวล 276-290),th-TH
(Nivel recomendado: 291–300) Activa el estandarte 11,เปิดใช้งานธง 11 (แนะนำสำหรับเลเวล 291-300),th-TH
(Nivel recomendado: 301–340) Activa el estandarte 12,เปิดใช้งานธง 12 (แนะนำสำหรับเลเวล 301-340),th-TH
(Nivel recomendado: 341–360) Activa el estandarte 13,เปิดใช้งานธง 13 (แนะนำสำหรับเลเวล 341-360),th-TH
