source,target,tgt_lng
2匹ずつ,Paarweise,de-DE
A Balanced Diet,Ausgewogene Ernährung,de-DE
A cidade no fim do jogo,Die Stadt am Ende des Spiels,de-DE
A colpo d'occhio,Das fliegende Auge,de-DE
A Complete Catalogue,Ein kompletter Katerlog,de-DE
A due a due,Paarweise,de-DE
A Furious Cocktail,Eine gefährliche Mischung,de-DE
A nova geração,Die nächste Generation,de-DE
A qualcuno piace caldo,Manche mögen’s heiß,de-DE
A que ponto chegamos?,Wie haben wir das geschafft?,de-DE
A Seedy Place,Hobbygärtner,de-DE
A sete chaves,Hinter Schloss und Riegel,de-DE
A Terrible Fortress,Eine schreckliche Festung,de-DE
A Throwaway Joke,Ein Witz zum Wegwerfen,de-DE
A união faz a força!,Die heilende Kraft der Freundschaft!,de-DE
A vida é um sopro,Gegenwind,de-DE
A vista é ótima daqui de cima,Schöne Aussicht von hier oben,de-DE
A volta dos que não foram,Das Ende … Schon wieder …,de-DE
A volte ritornano,Das Ende … Schon wieder …,de-DE
A última moda,Ein neues Aussehen,de-DE
Abejémonos de aquí,Bienenwanderung,de-DE
"Abelante, esta es tu casa",Sssei unser Gast,de-DE
Aceita uma pastilha?,Du brauchst ein Pfefferminz,de-DE
Achado não é roubado,Kampfschweine,de-DE
Acquire Hardware,Metallurgie,de-DE
"Adeus, diamantes!",Verborgen in den Tiefen,de-DE
"Adjugé, vendu !",Was für ein Geschäft!,de-DE
Adopte un têtard,Im Eimer,de-DE
Adventure,Abenteuer,de-DE
Adventuring Time,Abenteuerzeit,de-DE
Agent de sécurité,Das 1. Gesetz der Robotik,de-DE
Agriculture,Landwirtschaft,de-DE
Agujero negro,Subraumtransport,de-DE
Ai cần tên lửa?,Wer braucht schon Raketen?,de-DE
"Ai sống dai hơn ""Mèo chín mạng""?!",Nicht ganz „sieben“ Leben,de-DE
Ai đang cắt hành vậy?,Wer schneidet hier Zwiebeln?,de-DE
Akım Koruyucusu,Überspannungsschutz,de-DE
Al ladro!,Kampfschweine,de-DE
Alevlerin İçine,Spiel mit dem Feuer,de-DE
All'avventura!,Abenteuerzeit,de-DE
Alla Beni Pulla Beni,Ist das nicht putzig?,de-DE
Alla moda,Ein neues Aussehen,de-DE
Aller au fond des choses,Wir müssen noch tiefer,de-DE
Alliance instable,Unheilvolle Allianz,de-DE
Alta tensione,Überspannungsschutz,de-DE
Alveare tascabile,Bienenwanderung,de-DE
"Amigo, estou aqui",Du hast ’n Freund in mir,de-DE
Amigos para sempre,Allerbeste Freunde,de-DE
Ammazza che mazza,Großmeister des Kampfes,de-DE
