source,target,tgt_lng
Basic Info,基本信息,zh-CN
基本情報,基本信息,zh-CN
기본 정보,基本信息,zh-CN
基本資料,基本信息,zh-CN
Reason for Becoming a Trekker,成为旅人的理由,zh-CN
巡遊者になった理由,成为旅人的理由,zh-CN
여행가가 된 이유,成为旅人的理由,zh-CN
成為旅人的理由,成为旅人的理由,zh-CN
CV Excerpt 1,简历摘录之一,zh-CN
履歴書からの抜粋（１）,简历摘录之一,zh-CN
이력 발췌(1),简历摘录之一,zh-CN
履歷摘要之一,简历摘录之一,zh-CN
CV Excerpt 2,简历摘录之二,zh-CN
履歴書からの抜粋（２）,简历摘录之二,zh-CN
이력 발췌(2),简历摘录之二,zh-CN
履歷摘要之二,简历摘录之二,zh-CN
CV Excerpt 3,简历摘录之三,zh-CN
履歴書からの抜粋（３）,简历摘录之三,zh-CN
이력 발췌(3),简历摘录之三,zh-CN
履歷摘要之三,简历摘录之三,zh-CN
CV Excerpt 4,简历摘录之四,zh-CN
履歴書からの抜粋（４）,简历摘录之四,zh-CN
이력 발췌(4),简历摘录之四,zh-CN
履歷摘要之四,简历摘录之四,zh-CN
CV Excerpt 5,简历摘录之五,zh-CN
履歴書からの抜粋（５）,简历摘录之五,zh-CN
이력 발췌(5),简历摘录之五,zh-CN
履歷摘要之五,简历摘录之五,zh-CN
Peer Comments,同行评议,zh-CN
同業者の評価,同行评议,zh-CN
동료 평가,同行评议,zh-CN
同行評價,同行评议,zh-CN
TA Feedback,协会反馈,zh-CN
地理協会の評価,协会反馈,zh-CN
협회 피드백,协会反馈,zh-CN
協會回饋,协会反馈,zh-CN
Appendix,档案附文,zh-CN
備考欄,档案附文,zh-CN
파일 부록,档案附文,zh-CN
檔案附文,档案附文,zh-CN
Kingdom of Cats I,猫之国（上）,zh-CN
猫の国（上）,猫之国（上）,zh-CN
고양이 나라(상),猫之国（上）,zh-CN
貓之國（上）,猫之国（上）,zh-CN
Kingdom of Cats II,猫之国（下）,zh-CN
猫の国（下）,猫之国（下）,zh-CN
고양이 나라(하),猫之国（下）,zh-CN
貓之國（下）,猫之国（下）,zh-CN
Weapon Anecdote: Cat Treat-1911 Dual-Wield,武器轶事：猫条-1911双持型,zh-CN
武器逸話：にゃおみ～る-1911（2丁持ち）,武器轶事：猫条-1911双持型,zh-CN
무기 일화: 츄르-1911 양손형,武器轶事：猫条-1911双持型,zh-CN
武器軼事：貓條-1911雙持型,武器轶事：猫条-1911双持型,zh-CN
A Knight's Story (Part One),骑士轶事·上,zh-CN
騎士物語（上）,骑士轶事·上,zh-CN
기사 일화(상),骑士轶事·上,zh-CN
騎士軼事·上,骑士轶事·上,zh-CN
A Knight's Story (Part Two),骑士轶事·下,zh-CN
騎士物語（下）,骑士轶事·下,zh-CN
기사 일화(하),骑士轶事·下,zh-CN
騎士軼事·下,骑士轶事·下,zh-CN
Weapon Anecdote: Freedom and Glory,武器轶事：自由与荣耀,zh-CN
武器逸話：リバティーオブグローリー,武器轶事：自由与荣耀,zh-CN
무기 일화: 자유와 영광,武器轶事：自由与荣耀,zh-CN
武器軼事：自由與榮耀,武器轶事：自由与荣耀,zh-CN
地理協会（？）の評価,协会反馈,zh-CN
The Releasing,猫的放生,zh-CN
猫の旅支度,猫的放生,zh-CN
고양이 방생,猫的放生,zh-CN
貓的放生,猫的放生,zh-CN
The Journey,猫的远行,zh-CN
猫の旅立ち,猫的远行,zh-CN
고양이의 여행,猫的远行,zh-CN
貓的遠行,猫的远行,zh-CN
Weapon Anecdote: Catnip-1886,武器轶事：猫薄荷-1886,zh-CN
武器逸話：マタタビ-1886,武器轶事：猫薄荷-1886,zh-CN
무기 일화: 캣닙-1886,武器轶事：猫薄荷-1886,zh-CN
武器軼事：貓薄荷-1886,武器轶事：猫薄荷-1886,zh-CN
Noble Etiquette 101 (Part One),贵族课程·上,zh-CN
貴族課程・上,贵族课程·上,zh-CN
귀족 과목·상,贵族课程·上,zh-CN
貴族課程·上,贵族课程·上,zh-CN
Noble Etiquette 101 (Part Two),贵族课程·下,zh-CN
貴族課程・下,贵族课程·下,zh-CN
귀족 과목·하,贵族课程·下,zh-CN
貴族課程·下,贵族课程·下,zh-CN
Weapon Anecdote: Starlight,武器轶事：星芒,zh-CN
武器逸話：プリマドンナ,武器轶事：星芒,zh-CN
무기 일화: 성망,武器轶事：星芒,zh-CN
武器軼事：星芒,武器轶事：星芒,zh-CN
The Correct Answers,正解,zh-CN
정답,正解,zh-CN
Life Consultation,人生咨询,zh-CN
占い師アヤメ,人生咨询,zh-CN
인생 상담,人生咨询,zh-CN
人生諮詢,人生咨询,zh-CN
Weapon Anecdote: MagBook S-286,武器轶事：二百八十六型魔法书,zh-CN
武器逸話：286型魔法書,武器轶事：二百八十六型魔法书,zh-CN
무기 일화: 286형 마법서,武器轶事：二百八十六型魔法书,zh-CN
武器軼事：兩百八十六型魔法書,武器轶事：二百八十六型魔法书,zh-CN
The Legend of the Twin Stars,双子星的传奇,zh-CN
双子星の伝説,双子星的传奇,zh-CN
쌍둥이 별의 전설,双子星的传奇,zh-CN
雙子星的傳奇,双子星的传奇,zh-CN
The Fall of the Twin Stars,双子星的落幕,zh-CN
双子星の幕引き,双子星的落幕,zh-CN
쌍둥이 별의 종말,双子星的落幕,zh-CN
雙子星的落幕,双子星的落幕,zh-CN
Weapon Tale: Noname,武器轶事：无铭,zh-CN
武器逸話：ナナシ,武器轶事：无铭,zh-CN
무기 일화: 무명,武器轶事：无铭,zh-CN
武器軼事：無銘,武器轶事：无铭,zh-CN
Fire Safety Routine Inspection Log,消防巡检日志,zh-CN
消防点検日誌,消防巡检日志,zh-CN
소방 점검 일지,消防巡检日志,zh-CN
消防巡檢日誌,消防巡检日志,zh-CN
Sister and Shimiao,姐姐,zh-CN
姉,姐姐,zh-CN
언니,姐姐,zh-CN
Weapon Anecdote: Shimiao's Miaovelous Sword,武器轶事：师渺妙妙剑,zh-CN
武器逸話：シーミャオ妙妙剣,武器轶事：师渺妙妙剑,zh-CN
무기 일화: 시먀오 묘묘검,武器轶事：师渺妙妙剑,zh-CN
武器軼事：師渺妙妙劍,武器轶事：师渺妙妙剑,zh-CN
地理センの評価,协会反馈,zh-CN
Shooting to the Beat,音乐与射击节律,zh-CN
射撃と旋律,音乐与射击节律,zh-CN
음악과 사격의 리듬,音乐与射击节律,zh-CN
音樂與射擊節律,音乐与射击节律,zh-CN
The Origin of the Dark Power,黑暗之力的起源,zh-CN
漆黒の力,黑暗之力的起源,zh-CN
칠흑의 힘 기원,黑暗之力的起源,zh-CN
Weapon Anecdote: Cat Wand: Uncompleted Codex Entry MK Ⅰ,武器轶事：逗猫棒-魔典断章改,zh-CN
武器逸話：ねこじゃらし-魔典断章改,武器轶事：逗猫棒-魔典断章改,zh-CN
무기 일화: 고양이 노리개-마전단장 개량형,武器轶事：逗猫棒-魔典断章改,zh-CN
武器軼事：逗貓棒-魔典斷章改,武器轶事：逗猫棒-魔典断章改,zh-CN
The Terrifying Humanoid Weapon,恐怖的人形兵器,zh-CN
恐ろしき人型兵器,恐怖的人形兵器,zh-CN
공포의 인간형 병기,恐怖的人形兵器,zh-CN
First Encounter,初相识,zh-CN
あどけなき少女,初相识,zh-CN
첫 만남,初相识,zh-CN
初相識,初相识,zh-CN
Weapon Anecdote: Avalanche,武器轶闻：雪崩,zh-CN
武器逸話：アバランチ,武器轶闻：雪崩,zh-CN
무기 일화: 아발란체,武器轶闻：雪崩,zh-CN
武器軼事：雪崩,武器轶闻：雪崩,zh-CN
Notes on Cultivation of New Varieties,新品种培育笔记,zh-CN
新品種の開発日記,新品种培育笔记,zh-CN
신품종 재배 일기,新品种培育笔记,zh-CN
新品種培育筆記,新品种培育笔记,zh-CN
Memories of Famine,饥荒记忆,zh-CN
飢えの記憶,饥荒记忆,zh-CN
기근의 기억,饥荒记忆,zh-CN
飢荒記憶,饥荒记忆,zh-CN
Weapon Anecdote: United Industrial - Prototype 205 Multifunction Shovel,武器轶事：联合工业-试制205型多功能铲,zh-CN
武器逸話：アグリ・インダストリー 試作205型マルチシャベル,武器轶事：联合工业-试制205型多功能铲,zh-CN
무기 일화: 아그리 인더스트리 - 시제 205형 다용도 삽,武器轶事：联合工业-试制205型多功能铲,zh-CN
武器軼事：聯合工業-試製205型多功能鏟,武器轶事：联合工业-试制205型多功能铲,zh-CN
Jinglin's Shift Log (Part One),璟麟的值班记录（上）,zh-CN
ジンリンの業務日誌（上）,璟麟的值班记录（上）,zh-CN
징린의 당직 기록(상),璟麟的值班记录（上）,zh-CN
璟麟的值班紀錄（上）,璟麟的值班记录（上）,zh-CN
Jinglin's Shift Log (Part Two),璟麟的值班记录（下）,zh-CN
ジンリンの業務日誌（下）,璟麟的值班记录（下）,zh-CN
징린의 당직 기록(하),璟麟的值班记录（下）,zh-CN
璟麟的值班紀錄（下）,璟麟的值班记录（下）,zh-CN
Weapon Anecdote: Thunder God's Grasp,武器轶事：雷帝招来,zh-CN
武器逸話：雷帝招来,武器轶事：雷帝招来,zh-CN
무기 일화: 뇌제초래,武器轶事：雷帝招来,zh-CN
武器軼事：雷帝招來,武器轶事：雷帝招来,zh-CN
CV Excerpt 2,简历摘录之二：,zh-CN
履歴書からの抜粋（２）,简历摘录之二：,zh-CN
이력 발췌(2),简历摘录之二：,zh-CN
履歷摘要之二,简历摘录之二：,zh-CN
High Expenditure,开支,zh-CN
収支簿,开支,zh-CN
가계부,开支,zh-CN
開支,开支,zh-CN
Who—or what—is Coronis?,科洛妮丝是什么？,zh-CN
クルニスの正体,科洛妮丝是什么？,zh-CN
크루니스는 무엇일까?,科洛妮丝是什么？,zh-CN
柯洛妮絲是什麼？,科洛妮丝是什么？,zh-CN
Weapon Anecdote: Charon,武器轶事：卡戎,zh-CN
武器逸話：カローン,武器轶事：卡戎,zh-CN
