source,target,tgt_lng
突击,STRIKER,ja-JP
支援,SPECIAL,ja-JP
爆发,爆発,ja-JP
爆炸,爆発,ja-JP
Explosive,爆発,ja-JP
폭발,爆発,ja-JP
ระเบิด,爆発,ja-JP
贯穿,貫通,ja-JP
Piercing,貫通,ja-JP
관통,貫通,ja-JP
เจาะเกราะ,貫通,ja-JP
Mystic,神秘,ja-JP
신비,神秘,ja-JP
ลึกลับ,神秘,ja-JP
普通,ノーマル,ja-JP
常規,ノーマル,ja-JP
Normal,ノーマル,ja-JP
일반,ノーマル,ja-JP
ทั่วไป,ノーマル,ja-JP
振动,振動,ja-JP
Sonic,振動,ja-JP
진동,振動,ja-JP
สั่นสะเทือน,振動,ja-JP
轮换,様々,ja-JP
輪換,様々,ja-JP
Varies,様々,ja-JP
다양함,様々,ja-JP
หลากหลาย,様々,ja-JP
轻装甲,軽装備,ja-JP
輕型護甲,軽装備,ja-JP
Light,軽装備,ja-JP
경장갑,軽装備,ja-JP
เกราะเบา,軽装備,ja-JP
重型裝甲,重装甲,ja-JP
Heavy,重装甲,ja-JP
중장갑,重装甲,ja-JP
เกราะหนัก,重装甲,ja-JP
特殊裝甲,特殊装甲,ja-JP
Special,特殊装甲,ja-JP
특수장갑,特殊装甲,ja-JP
เกราะพิเศษ,特殊装甲,ja-JP
弹力装甲,弾力装甲,ja-JP
彈性裝甲,弾力装甲,ja-JP
Elastic,弾力装甲,ja-JP
탄력장갑,弾力装甲,ja-JP
เกราะยืดหยุ่น,弾力装甲,ja-JP
一般装甲,通常装甲,ja-JP
常規護甲,通常装甲,ja-JP
Normal,通常装甲,ja-JP
일반장갑,通常装甲,ja-JP
เกราะทั่วไป,通常装甲,ja-JP
结构物,構造物,ja-JP
結構物,構造物,ja-JP
Structure,構造物,ja-JP
구조물,構造物,ja-JP
สิ่งปลูกสร้าง,構造物,ja-JP
Light Armor,軽装備,ja-JP
Heavy Armor,重装甲,ja-JP
Special Armor,特殊装甲,ja-JP
Elastic Armor,弾力装甲,ja-JP
Normal Armor,通常装甲,ja-JP
เกราะปกติ,通常装甲,ja-JP
输出,アタッカー,ja-JP
輸出,アタッカー,ja-JP
Dealer,アタッカー,ja-JP
딜러,アタッカー,ja-JP
坦克,タンク,ja-JP
Tank,タンク,ja-JP
탱커,タンク,ja-JP
Tanker,タンク,ja-JP
治疗,ヒーラー,ja-JP
補師,ヒーラー,ja-JP
Healer,ヒーラー,ja-JP
힐러,ヒーラー,ja-JP
辅助,サポーター,ja-JP
輔助,サポーター,ja-JP
Support,サポーター,ja-JP
