source,target,tgt_lng
アビドス,阿拜多斯,zh-CN
Abydos,阿拜多斯,zh-CN
아비도스,阿拜多斯,zh-CN
อะบิดอส,阿拜多斯,zh-CN
アリウス,阿里乌斯,zh-CN
奧利斯,阿里乌斯,zh-CN
Arius,阿里乌斯,zh-CN
아리우스,阿里乌斯,zh-CN
อาเรียส,阿里乌斯,zh-CN
ゲヘナ,歌赫娜,zh-CN
格黑娜,歌赫娜,zh-CN
Gehenna,歌赫娜,zh-CN
게헨나,歌赫娜,zh-CN
เกเฮนน่า,歌赫娜,zh-CN
Hyakkiyako,百鬼夜行,zh-CN
백귀야행,百鬼夜行,zh-CN
เฮียกคิยาโค,百鬼夜行,zh-CN
ミレニアム,千禧年,zh-CN
千年,千禧年,zh-CN
Millennium,千禧年,zh-CN
밀레니엄,千禧年,zh-CN
มิลเลเนียม,千禧年,zh-CN
レッドウィンター,红冬,zh-CN
赤冬,红冬,zh-CN
Red Winter,红冬,zh-CN
붉은겨울,红冬,zh-CN
เรดวินเทอร์,红冬,zh-CN
山海経,山海经,zh-CN
山海經,山海经,zh-CN
Shanhaijing,山海经,zh-CN
산해경,山海经,zh-CN
ซานไห่จิง,山海经,zh-CN
トリニティ,崔尼蒂,zh-CN
三一,崔尼蒂,zh-CN
Trinity,崔尼蒂,zh-CN
트리니티,崔尼蒂,zh-CN
ทรีนิตี้,崔尼蒂,zh-CN
ヴァルキューレ,瓦尔基丽,zh-CN
女武神,瓦尔基丽,zh-CN
Valkyrie,瓦尔基丽,zh-CN
발키리,瓦尔基丽,zh-CN
วัลคิรี่,瓦尔基丽,zh-CN
その他,其他,zh-CN
Etc.,其他,zh-CN
그 외,其他,zh-CN
อื่นๆ,其他,zh-CN
常盤台中學,常盤台中学,zh-CN
Tokiwadai,常盤台中学,zh-CN
토키와다이 중학교,常盤台中学,zh-CN
โทคิวะได,常盤台中学,zh-CN
柵川中學,柵川中学,zh-CN
Sakugawa,柵川中学,zh-CN
사쿠가와 중학교,柵川中学,zh-CN
ซากุงาวะ,柵川中学,zh-CN
Other,其他,zh-CN
アビドス高等学校,阿拜多斯,zh-CN
阿拜多斯高中,阿拜多斯,zh-CN
Abydos High School,阿拜多斯,zh-CN
아비도스 고등학교,阿拜多斯,zh-CN
โรงเรียนมัธยมอะบิดอส,阿拜多斯,zh-CN
アリウス分校,阿里乌斯,zh-CN
奧利斯分校,阿里乌斯,zh-CN
Arius Satellite School,阿里乌斯,zh-CN
아리우스 분교,阿里乌斯,zh-CN
โรงเรียนสาขาอาเรียส,阿里乌斯,zh-CN
ゲヘナ学園,歌赫娜,zh-CN
格黑娜學園,歌赫娜,zh-CN
Gehenna Academy,歌赫娜,zh-CN
게헨나 학원,歌赫娜,zh-CN
สถาบันเกเฮนน่า,歌赫娜,zh-CN
百鬼夜行連合学院,百鬼夜行,zh-CN
百鬼夜行聯合學園,百鬼夜行,zh-CN
Allied Hyakkiyako Academy,百鬼夜行,zh-CN
백귀야행 연합학원,百鬼夜行,zh-CN
สหพันธ์เฮียกคิยาโค,百鬼夜行,zh-CN
ミレニアムサイエンススクール,千禧年,zh-CN
千年科學學園,千禧年,zh-CN
Millennium Science School,千禧年,zh-CN
밀레니엄 사이언스 스쿨,千禧年,zh-CN
โรงเรียนวิทย์มิลเลเนียม,千禧年,zh-CN
レッドウィンター連邦学園,红冬,zh-CN
赤冬聯邦學園,红冬,zh-CN
Red Winter Federal Academy,红冬,zh-CN
붉은겨울 연방학원,红冬,zh-CN
สถาบันสหพันธ์เรดวินเทอร์,红冬,zh-CN
山海経高級中学校,山海经,zh-CN
山海經高級中學,山海经,zh-CN
Shanhaijing Academy,山海经,zh-CN
산해경 고급중학교,山海经,zh-CN
โรงเรียนมัธยมซานไห่จิง,山海经,zh-CN
SRT特殊学園,SRT,zh-CN
SRT特殊學園,SRT,zh-CN
SRT Academy,SRT,zh-CN
SRT 특수학원,SRT,zh-CN
สถาบันพิเศษ SRT,SRT,zh-CN
トリニティ総合学園,崔尼蒂,zh-CN
三一綜合學園,崔尼蒂,zh-CN
Trinity General School,崔尼蒂,zh-CN
트리니티 종합학원,崔尼蒂,zh-CN
โรงเรียนสามัญทรีนิตี้,崔尼蒂,zh-CN
ヴァルキューレ警察学校,瓦尔基丽,zh-CN
女武神警察學園,瓦尔基丽,zh-CN
Valkyrie Police School,瓦尔基丽,zh-CN
발키리 경찰학교,瓦尔基丽,zh-CN
สถาบันฝึกตำรวจวัลคิรี่,瓦尔基丽,zh-CN
常盤台中学,常盤台中學,zh-CN
Tokiwadai Middle School,常盤台中學,zh-CN
토키와다이 중학교,常盤台中學,zh-CN
โรงเรียนมัธยมต้นโทคิวะได,常盤台中學,zh-CN
柵川中学,柵川中學,zh-CN
Sakugawa Middle School,柵川中學,zh-CN
사쿠가와 중학교,柵川中學,zh-CN
โรงเรียนมัธยมต้นซากุงาวะ,柵川中學,zh-CN
