source,target,tgt_lng
Abenteuermodus,Chế độ phiêu lưu,vi-VN
Adventure Mode,Chế độ phiêu lưu,vi-VN
Avventura,Chế độ phiêu lưu,vi-VN
Cambiato la tua modalità di gioco in %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Creativa,Chế độ sáng tạo,vi-VN
Creative Mode,Chế độ sáng tạo,vi-VN
Dein Spielmodus wurde zu %s geändert,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Estrema,Chế độ siêu khó,vi-VN
Hardcore Mode,Chế độ siêu khó,vi-VN
Hardcore‐Modus,Chế độ siêu khó,vi-VN
Hayatta Kalma Modu,Chế độ sinh tồn,vi-VN
Kreativmodus,Chế độ sáng tạo,vi-VN
Macera Modu,Chế độ phiêu lưu,vi-VN
Mode Aventure,Chế độ phiêu lưu,vi-VN
Mode Créatif,Chế độ sáng tạo,vi-VN
Mode Hardcore,Chế độ siêu khó,vi-VN
Mode Spectateur,Chế độ khán giả,vi-VN
Mode Survie,Chế độ sinh tồn,vi-VN
Modo Aventura,Chế độ phiêu lưu,vi-VN
Modo aventura,Chế độ phiêu lưu,vi-VN
Modo creativo,Chế độ sáng tạo,vi-VN
Modo Criativo,Chế độ sáng tạo,vi-VN
Modo Espectador,Chế độ khán giả,vi-VN
Modo espectador,Chế độ khán giả,vi-VN
Modo extremo,Chế độ siêu khó,vi-VN
Modo Intenso,Chế độ siêu khó,vi-VN
Modo Sobrevivência,Chế độ sinh tồn,vi-VN
Modo supervivencia,Chế độ sinh tồn,vi-VN
Oyun modunuz %s olarak değiştirildi,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Seu modo de jogo foi alterado para %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Seyirci Modu,Chế độ khán giả,vi-VN
Sopravvivenza,Chế độ sinh tồn,vi-VN
Spectator Mode,Chế độ khán giả,vi-VN
Spettatore,Chế độ khán giả,vi-VN
Survival Mode,Chế độ sinh tồn,vi-VN
Tu modo de juego ha cambiado a %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Votre mode de jeu a été changé en %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Yaratıcı Mod,Chế độ sáng tạo,vi-VN
Your game mode has been updated to %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Zorlayıcı Mod,Chế độ siêu khó,vi-VN
Zuschauermodus,Chế độ khán giả,vi-VN
Überlebensmodus,Chế độ sinh tồn,vi-VN
Ваш режим игры изменён на %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
Режим выживания,Chế độ sinh tồn,vi-VN
Режим наблюдателя,Chế độ khán giả,vi-VN
Режим приключений,Chế độ phiêu lưu,vi-VN
Творческий режим,Chế độ sáng tạo,vi-VN
Хардкор,Chế độ siêu khó,vi-VN
โหมดผจญภัย,Chế độ phiêu lưu,vi-VN
โหมดผู้ชม,Chế độ khán giả,vi-VN
โหมดสร้างสรรค์,Chế độ sáng tạo,vi-VN
โหมดฮาร์ดคอร์,Chế độ siêu khó,vi-VN
โหมดเกมของคุณได้รับการอัปเดตเป็น %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
โหมดเอาชีวิตรอด,Chế độ sinh tồn,vi-VN
アドベンチャーモード,Chế độ phiêu lưu,vi-VN
クリエイティブモード,Chế độ sáng tạo,vi-VN
ゲームモードが%sに変更されました,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
サバイバルモード,Chế độ sinh tồn,vi-VN
スペクテイターモード,Chế độ khán giả,vi-VN
ハードコアモード,Chế độ siêu khó,vi-VN
你的游戏模式已被更新为%s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
你的遊戲模式已被更新為 %s,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
冒险模式,Chế độ phiêu lưu,vi-VN
冒險模式,Chế độ phiêu lưu,vi-VN
创造模式,Chế độ sáng tạo,vi-VN
創造模式,Chế độ sáng tạo,vi-VN
旁觀者模式,Chế độ khán giả,vi-VN
旁观模式,Chế độ khán giả,vi-VN
极限模式,Chế độ siêu khó,vi-VN
極限模式,Chế độ siêu khó,vi-VN
生存模式,Chế độ sinh tồn,vi-VN
게임 모드가 %s로 갱신되었습니다,Chế độ chơi của bạn đã được cập nhật thành %s,vi-VN
관전 모드,Chế độ khán giả,vi-VN
모험 모드,Chế độ phiêu lưu,vi-VN
서바이벌 모드,Chế độ sinh tồn,vi-VN
크리에이티브 모드,Chế độ sáng tạo,vi-VN
하드코어 모드,Chế độ siêu khó,vi-VN
