source,target,tgt_lng
%2$sを%1$s体倒しました,Du hast %s %s erlegt,de-DE
%2$s을(를) %1$s번 죽였습니다,Du hast %s %s erlegt,de-DE
%s %s öldürdün,Du hast %s %s erlegt,de-DE
%s killed you %s time(s),%s hat dich %s‐mal getötet,de-DE
%s nunca matou você,Du wurdest nie von %s getötet,de-DE
%s seni %s defa öldürdü,%s hat dich %s‐mal getötet,de-DE
%s tarafından hiç öldürülmediniz,Du wurdest nie von %s getötet,de-DE
%s đã giết bạn %s lần,%s hat dich %s‐mal getötet,de-DE
%s убил вас %s раз,%s hat dich %s‐mal getötet,de-DE
%s ฆ่าคุณ %s ครั้ง,%s hat dich %s‐mal getötet,de-DE
%sに%s回倒されました,%s hat dich %s‐mal getötet,de-DE
%s杀死了你%s次,%s hat dich %s‐mal getötet,de-DE
%s에게 %s번 죽었습니다,%s hat dich %s‐mal getötet,de-DE
%s에게 죽은 적이 없습니다,Du wurdest nie von %s getötet,de-DE
%s을(를) 죽인 적이 없습니다,Du hast %s nie erlegt,de-DE
Acqua prelevata da calderoni,Wasser aus Kesseln geschöpft,de-DE
Agua tomada de calderos,Wasser aus Kesseln geschöpft,de-DE
Almalar,Aufgesammelt,de-DE
Alvos atingidos,Zielblöcke getroffen,de-DE
Alınan Hasar,Schaden erlitten,de-DE
Animais acasalados,Tiere gezüchtet,de-DE
Animales criados,Tiere gezüchtet,de-DE
Animali allevati,Tiere gezüchtet,de-DE
Animals Bred,Tiere gezüchtet,de-DE
Animaux engendrés,Tiere gezüchtet,de-DE
Aranan Bırakıcılar,Spender durchsucht,de-DE
Aranan Fırlatıcılar,Werfer durchsucht,de-DE
Aranan Huniler,Trichter durchsucht,de-DE
Armaduras de cuero desteñidas,Rüstungsteile gewaschen,de-DE
Armor Pieces Cleaned,Rüstungsteile gewaschen,de-DE
Atla Alınan Yol,Strecke auf Pferd geritten,de-DE
Ayarlanan Nota Blokları,Notenblöcke gestimmt,de-DE
Açılan Ender Sandıkları,Endertruhen geöffnet,de-DE
Açılan Fıçılar,Fässer geöffnet,de-DE
Açılan Sandıklar,Truhen geöffnet,de-DE
Açılan Shulker Kutuları,Shulker-Kisten geöffnet,de-DE
Banners Cleaned,Banner gewaschen,de-DE
Bannières nettoyées,Banner gewaschen,de-DE
Barili aperti,Fässer geöffnet,de-DE
Barrels Opened,Fässer geöffnet,de-DE
Barriles abiertos,Fässer geöffnet,de-DE
Barris abertos,Fässer geöffnet,de-DE
Bauli aperti,Truhen geöffnet,de-DE
Bauli di ender aperti,Endertruhen geöffnet,de-DE
Bauli trappola attivati,Redstone-Truhen ausgelöst,de-DE
Baús abertos,Truhen geöffnet,de-DE
Baús com Armadilha acionados,Redstone-Truhen ausgelöst,de-DE
Baús de Ender abertos,Endertruhen geöffnet,de-DE
Bells Rung,Glocken geläutet,de-DE
Bersagli colpiti,Zielblöcke getroffen,de-DE
Bileme Taşı ile etkileşimler,Schleifsteine benutzt,de-DE
Blocchi sonori accordati,Notenblöcke gestimmt,de-DE
Blocchi sonori suonati,Notenblöcke abgespielt,de-DE
Blocos Musicais afinados,Notenblöcke gestimmt,de-DE
Blocos Musicais tocados,Notenblöcke abgespielt,de-DE
Blocs musicaux accordés,Notenblöcke gestimmt,de-DE
Blocs musicaux joués,Notenblöcke abgespielt,de-DE
Bloques musicales afinados,Notenblöcke gestimmt,de-DE
Bloques musicales tocados,Notenblöcke abgespielt,de-DE
Boîtes de Shulker nettoyées,Shulker-Kisten gewaschen,de-DE
Boîtes de Shulker ouvertes,Shulker-Kisten geöffnet,de-DE
Büyülenen Eşyalar,Gegenstände verzaubert,de-DE
Bırakmalar,Fallen gelassen,de-DE
Bırakılan Eşyalar,Gegenstände fallen gelassen,de-DE
Bạn chưa bao giờ bị giết bởi %s,Du wurdest nie von %s getötet,de-DE
Bạn chưa bao giờ giết %s,Du hast %s nie erlegt,de-DE
Bạn đã giết %s %s,Du hast %s %s erlegt,de-DE
Caixas de Shulker abertas,Shulker-Kisten geöffnet,de-DE
Caixas de Shulker limpas,Shulker-Kisten gewaschen,de-DE
Cajas de shulker abiertas,Shulker-Kisten geöffnet,de-DE
Cajas de shulker vaciadas,Shulker-Kisten gewaschen,de-DE
Cake Slices Eaten,Kuchenstücke gegessen,de-DE
Caldeirões enchidos,Kessel gefüllt,de-DE
Calderoni riempiti,Kessel gefüllt,de-DE
Calderos rellenados,Kessel gefüllt,de-DE
Campanas tocadas,Glocken geläutet,de-DE
Campane suonate,Glocken geläutet,de-DE
Cauldrons Filled,Kessel gefüllt,de-DE
Cette créature ne vous a jamais tué,Du wurdest nie von %s getötet,de-DE
Cette créature vous a déjà tué %2$s fois,%s hat dich %s‐mal getötet,de-DE
Chaudrons remplis,Kessel gefüllt,de-DE
Chests Opened,Truhen geöffnet,de-DE
Cibles touchées,Zielblöcke getroffen,de-DE
Cloches sonnées,Glocken geläutet,de-DE
Coffres de l'Ender ouverts,Endertruhen geöffnet,de-DE
Coffres ouverts,Truhen geöffnet,de-DE
Coffres piégés déclenchés,Redstone-Truhen ausgelöst,de-DE
Cofres abiertos,Truhen geöffnet,de-DE
Cofres de ender abiertos,Endertruhen geöffnet,de-DE
Cofres trampa activados,Redstone-Truhen ausgelöst,de-DE
Comercios con aldeanos,Mit Dorfbewohnern gehandelt,de-DE
Consumati,Verbraucht,de-DE
Conversaciones con aldeanos,Mit Dorfbewohnern gesprochen,de-DE
Conversas com Aldeões,Mit Dorfbewohnern gesprochen,de-DE
Conversazioni con villici,Mit Dorfbewohnern gesprochen,de-DE
Creature uccise,Kreaturen erlegt,de-DE
Criaturas asesinadas,Kreaturen erlegt,de-DE
Criaturas mortas,Kreaturen erlegt,de-DE
Créatures tuées,Kreaturen erlegt,de-DE
Damage Absorbed,Schaden absorbiert,de-DE
Damage Blocked by Shield,Schaden mit Schild abgewehrt,de-DE
Damage Dealt,Schaden zugefügt,de-DE
Damage Dealt (Absorbed),Schaden zugefügt (aufgenommen),de-DE
Damage Dealt (Resisted),Schaden zugefügt (widerstanden),de-DE
Damage Resisted,Schaden widerstanden,de-DE
Damage Taken,Schaden erlitten,de-DE
Danno assorbito,Schaden absorbiert,de-DE
Danno bloccato da scudo,Schaden mit Schild abgewehrt,de-DE
Danno inflitto,Schaden zugefügt,de-DE
Danno inflitto (assorbito),Schaden zugefügt (aufgenommen),de-DE
Danno inflitto (resistito),Schaden zugefügt (widerstanden),de-DE
Danno resistito,Schaden widerstanden,de-DE
Danno subito,Schaden erlitten,de-DE
Dano absorvido,Schaden absorbiert,de-DE
Dano bloqueado por escudo,Schaden mit Schild abgewehrt,de-DE
Dano causado,Schaden zugefügt,de-DE
Dano causado (absorvido),Schaden zugefügt (aufgenommen),de-DE
Dano causado (resistido),Schaden zugefügt (widerstanden),de-DE
Dano resistido,Schaden widerstanden,de-DE
Dano sofrido,Schaden erlitten,de-DE
Daño absorbido,Schaden absorbiert,de-DE
Daño bloqueado con escudo,Schaden mit Schild abgewehrt,de-DE
Daño causado,Schaden zugefügt,de-DE
Daño causado (absorbido),Schaden zugefügt (aufgenommen),de-DE
Daño causado (resistido),Schaden zugefügt (widerstanden),de-DE
Daño recibido,Schaden erlitten,de-DE
Daño resistido,Schaden widerstanden,de-DE
Demirci Masası ile etkileşimler,Schmiedetische benutzt,de-DE
Descansos numa Cama,Bett benutzt,de-DE
Descansos numa Cama de Palha,Strohbett benutzt,de-DE
Dianas acertadas,Zielblöcke getroffen,de-DE
Dischi musicali riprodotti,Schallplatten abgespielt,de-DE
Discos Musicais tocados,Schallplatten abgespielt,de-DE
Discos reproducidos,Schallplatten abgespielt,de-DE
Dispensadores examinados,Werfer durchsucht,de-DE
Dispensers Searched,Werfer durchsucht,de-DE
Disques de musique joués,Schallplatten abgespielt,de-DE
Distance by Boat,Strecke in Boot gefahren,de-DE
Distance by Elytra,Strecke mit Elytren geflogen,de-DE
Distance by Happy Ghast,Strecke auf glücklichem Ghast geflogen,de-DE
Distance by Horse,Strecke auf Pferd geritten,de-DE
Distance by Minecart,Strecke in Lore gefahren,de-DE
Distance by Nautilus,Strecke auf Nautilus geritten,de-DE
Distance by Pig,Strecke auf Schwein geritten,de-DE
Distance by Strider,Strecke auf Schreiter geritten,de-DE
Distance Climbed,Strecke geklettert,de-DE
Distance courue,Strecke gesprintet,de-DE
Distance Crouched,Strecke geschlichen,de-DE
Distance en bateau,Strecke in Boot gefahren,de-DE
Distance en wagonnet,Strecke in Lore gefahren,de-DE
Distance en élytres,Strecke mit Elytren geflogen,de-DE
Distance Fallen,Strecke gefallen,de-DE
Distance Flown,Strecke geflogen,de-DE
Distance grimpée,Strecke geklettert,de-DE
Distance parcourue accroupi,Strecke geschlichen,de-DE
Distance parcourue en l'air,Strecke geflogen,de-DE
Distance parcourue en tombant,Strecke gefallen,de-DE
Distance parcourue sous l'eau,Strecke unter Wasser gelaufen,de-DE
Distance parcourue sur l'eau,Strecke auf Wasser gelaufen,de-DE
Distance parcourue à la nage,Strecke geschwommen,de-DE
Distance parcourue à pied,Strecke gelaufen,de-DE
Distance Sprinted,Strecke gesprintet,de-DE
Distance sur un arpenteur,Strecke auf Schreiter geritten,de-DE
Distance sur un Ghast joyeux,Strecke auf glücklichem Ghast geflogen,de-DE
Distance sur un nautile,Strecke auf Nautilus geritten,de-DE
Distance Swum,Strecke geschwommen,de-DE
Distance Walked,Strecke gelaufen,de-DE
Distance Walked on Water,Strecke auf Wasser gelaufen,de-DE
Distance Walked under Water,Strecke unter Wasser gelaufen,de-DE
Distance à cheval,Strecke auf Pferd geritten,de-DE
Distance à dos de cochon,Strecke auf Schwein geritten,de-DE
Distancia a caballo,Strecke auf Pferd geritten,de-DE
Distancia agachado,Strecke geschlichen,de-DE
Distancia caminada,Strecke gelaufen,de-DE
Distancia caminada bajo agua,Strecke unter Wasser gelaufen,de-DE
Distancia caminada sobre agua,Strecke auf Wasser gelaufen,de-DE
Distancia caída,Strecke gefallen,de-DE
Distancia corriendo,Strecke gesprintet,de-DE
Distancia en barca,Strecke in Boot gefahren,de-DE
Distancia en cerdo,Strecke auf Schwein geritten,de-DE
Distancia en ghast feliz,Strecke auf glücklichem Ghast geflogen,de-DE
Distancia en nautilo,Strecke auf Nautilus geritten,de-DE
Distancia en vagoneta,Strecke in Lore gefahren,de-DE
Distancia escalada,Strecke geklettert,de-DE
Distancia nadada,Strecke geschwommen,de-DE
Distancia sobre lavagante,Strecke auf Schreiter geritten,de-DE
Distancia volada,Strecke geflogen,de-DE
