source,target,tgt_lng
"""%s"" est trop volumineux !",«%s» è troppo grande!,it-IT
"""%s"" é muito grande!",«%s» è troppo grande!,it-IT
"""%s""와 한 쌍임",Associato a %s,it-IT
%1$s ay,%1$s mese/i,it-IT
"%1$s ay, %2$s gün","%1$s mese/i, %2$s giorno/i",it-IT
%1$s dakika önce,%1$s minuto/i fa,it-IT
%1$s day(s),%1$s giorno/i,it-IT
%1$s day(s) ago,%1$s giorno/i fa,it-IT
%1$s dia(s),%1$s giorno/i,it-IT
%1$s día(s),%1$s giorno/i,it-IT
%1$s giây trước,%1$s secondo/i fa,it-IT
%1$s giờ trước,%1$s ora/e fa,it-IT
%1$s gün,%1$s giorno/i,it-IT
%1$s gün önce,%1$s giorno/i fa,it-IT
%1$s hour(s) ago,%1$s ora/e fa,it-IT
%1$s jour(s),%1$s giorno/i,it-IT
%1$s mes(es),%1$s mese/i,it-IT
"%1$s mes(es), %2$s día(s)","%1$s mese/i, %2$s giorno/i",it-IT
%1$s minute(s) ago,%1$s minuto/i fa,it-IT
%1$s mois,%1$s mese/i,it-IT
%1$s mois et %2$s jour(s),"%1$s mese/i, %2$s giorno/i",it-IT
%1$s Monat(e),%1$s mese/i,it-IT
"%1$s Monat(e), %2$s Tag(e)","%1$s mese/i, %2$s giorno/i",it-IT
%1$s month(s),%1$s mese/i,it-IT
"%1$s month(s), %2$s day(s)","%1$s mese/i, %2$s giorno/i",it-IT
%1$s mês(es),%1$s mese/i,it-IT
"%1$s mês(es), %2$s dia(s)","%1$s mese/i, %2$s giorno/i",it-IT
%1$s ngày,%1$s giorno/i,it-IT
%1$s ngày trước,%1$s giorno/i fa,it-IT
%1$s phút trước,%1$s minuto/i fa,it-IT
%1$s saat önce,%1$s ora/e fa,it-IT
%1$s saniye önce,%1$s secondo/i fa,it-IT
%1$s second(s) ago,%1$s secondo/i fa,it-IT
%1$s Tag(e),%1$s giorno/i,it-IT
%1$s tháng,%1$s mese/i,it-IT
"%1$s tháng, %2$s ngày","%1$s mese/i, %2$s giorno/i",it-IT
%1$s дней,%1$s giorno/i,it-IT
%1$s дней назад,%1$s giorno/i fa,it-IT
%1$s мес.,%1$s mese/i,it-IT
"%1$s мес., %2$s дн.","%1$s mese/i, %2$s giorno/i",it-IT
%1$s минут назад,%1$s minuto/i fa,it-IT
%1$s секунд назад,%1$s secondo/i fa,it-IT
%1$s часов назад,%1$s ora/e fa,it-IT
%1$s ชั่วโมงที่แล้ว,%1$s ora/e fa,it-IT
%1$s นาทีที่แล้ว,%1$s minuto/i fa,it-IT
%1$s วัน,%1$s giorno/i,it-IT
%1$s วันที่แล้ว,%1$s giorno/i fa,it-IT
%1$s วินาทีที่แล้ว,%1$s secondo/i fa,it-IT
%1$s เดือน,%1$s mese/i,it-IT
%1$s เดือน %2$s วัน,"%1$s mese/i, %2$s giorno/i",it-IT
%1$s 個月,%1$s mese/i,it-IT
%1$s 個月 %2$s 天,"%1$s mese/i, %2$s giorno/i",it-IT
%1$s 分鐘前,%1$s minuto/i fa,it-IT
%1$s 天,%1$s giorno/i,it-IT
%1$s 天前,%1$s giorno/i fa,it-IT
%1$s 小時前,%1$s ora/e fa,it-IT
%1$s 秒前,%1$s secondo/i fa,it-IT
%1$s、%2$s,"%1$s, %2$s",it-IT
%1$sヶ月,%1$s mese/i,it-IT
%1$sヶ月%2$s日,"%1$s mese/i, %2$s giorno/i",it-IT
%1$s个月,%1$s mese/i,it-IT
%1$s个月%2$s天,"%1$s mese/i, %2$s giorno/i",it-IT
%1$s分前,%1$s minuto/i fa,it-IT
%1$s分钟前,%1$s minuto/i fa,it-IT
%1$s天,%1$s giorno/i,it-IT
%1$s天前,%1$s giorno/i fa,it-IT
%1$s小时前,%1$s ora/e fa,it-IT
%1$s日,%1$s giorno/i,it-IT
%1$s日前,%1$s giorno/i fa,it-IT
%1$s時間前,%1$s ora/e fa,it-IT
%1$s秒前,%1$s secondo/i fa,it-IT
%1$s개월,%1$s mese/i,it-IT
"%1$s개월, %2$s일","%1$s mese/i, %2$s giorno/i",it-IT
%1$s분 전,%1$s minuto/i fa,it-IT
%1$s시간 전,%1$s ora/e fa,it-IT
%1$s일,%1$s giorno/i,it-IT
%1$s일 전,%1$s giorno/i fa,it-IT
%1$s초 전,%1$s secondo/i fa,it-IT
%1$s（%2$s）,%1$s (%2$s),it-IT
%s %%,%s%%,it-IT
%s bu haritayı desteklemiyor,Mappa non supportata nella %s,it-IT
%s cần nâng cấp Realm của họ trước khi bạn có thể chơi từ phiên bản này,%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s doit mettre à jour son Realm avant de pouvoir jouer à partir de cette version,%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s gün içinde süresi dolacak,Scadrà tra %s giorni,it-IT
%s kaynağından yedekle,Backup del %s,it-IT
"%s muss das Realm hochstufen, bevor du in dieser Version darauf spielen kannst.",%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s needs to upgrade their Realm before you can play from this version,%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s oyuncusu davet edildi,Invitato il giocatore %s,it-IT
%s pro Sekunde,%s/s,it-IT
%s wurde eingeladen,Invitato il giocatore %s,it-IT
%s yeni davetiniz var,Hai %s nuovo/i invito/i,it-IT
"%s требуется обновить версию реалма, прежде чем вы сможете играть на этой версии",%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s ต้องอัปเกรด Realm ของเขาก่อน คุณถึงจะสามารถเล่นจาก Snapshot นี้ได้,%s deve aggiornare il Realm perché tu possa giocare in questa versione,it-IT
%s/сек.,%s/s,it-IT
%sからのバックアップ,Backup del %s,it-IT
%sを招待しました,Invitato il giocatore %s,it-IT
