source,target,tgt_lng
魔王之路 I,Becoming a Real Boss Ⅰ,en-US
魔王之路 I,魔王の道Ⅰ,ja-JP
魔王之路 I,마왕의 길 I,ko-KR
Becoming a Real Boss Ⅰ,魔王之路 I,zh-CN
Becoming a Real Boss Ⅰ,魔王の道Ⅰ,ja-JP
Becoming a Real Boss Ⅰ,마왕의 길 I,ko-KR
魔王の道Ⅰ,魔王之路 I,zh-CN
魔王の道Ⅰ,Becoming a Real Boss Ⅰ,en-US
魔王の道Ⅰ,마왕의 길 I,ko-KR
마왕의 길 I,魔王之路 I,zh-CN
마왕의 길 I,Becoming a Real Boss Ⅰ,en-US
마왕의 길 I,魔王の道Ⅰ,ja-JP
日行一善 III,A Good Deed a Day Ⅲ,en-US
日行一善 III,一日一善Ⅲ,ja-JP
日行一善 III,매일 선행 한 가지 III,ko-KR
A Good Deed a Day Ⅲ,日行一善 III,zh-CN
A Good Deed a Day Ⅲ,一日一善Ⅲ,ja-JP
A Good Deed a Day Ⅲ,매일 선행 한 가지 III,ko-KR
一日一善Ⅲ,日行一善 III,zh-CN
一日一善Ⅲ,A Good Deed a Day Ⅲ,en-US
一日一善Ⅲ,매일 선행 한 가지 III,ko-KR
매일 선행 한 가지 III,日行一善 III,zh-CN
매일 선행 한 가지 III,A Good Deed a Day Ⅲ,en-US
매일 선행 한 가지 III,一日一善Ⅲ,ja-JP
术有专精·火 II,Ignis Expertise Ⅱ,en-US
术有专精·火 II,火のエキスパートⅡ,ja-JP
术有专精·火 II,전문 기술·불 II,ko-KR
Ignis Expertise Ⅱ,术有专精·火 II,zh-CN
Ignis Expertise Ⅱ,火のエキスパートⅡ,ja-JP
Ignis Expertise Ⅱ,전문 기술·불 II,ko-KR
火のエキスパートⅡ,术有专精·火 II,zh-CN
火のエキスパートⅡ,Ignis Expertise Ⅱ,en-US
火のエキスパートⅡ,전문 기술·불 II,ko-KR
전문 기술·불 II,术有专精·火 II,zh-CN
전문 기술·불 II,Ignis Expertise Ⅱ,en-US
전문 기술·불 II,火のエキスパートⅡ,ja-JP
术有专精·火 III,Ignis Expertise Ⅲ,en-US
术有专精·火 III,火のエキスパートⅢ,ja-JP
术有专精·火 III,전문 기술·불 III,ko-KR
Ignis Expertise Ⅲ,术有专精·火 III,zh-CN
Ignis Expertise Ⅲ,火のエキスパートⅢ,ja-JP
Ignis Expertise Ⅲ,전문 기술·불 III,ko-KR
火のエキスパートⅢ,术有专精·火 III,zh-CN
火のエキスパートⅢ,Ignis Expertise Ⅲ,en-US
火のエキスパートⅢ,전문 기술·불 III,ko-KR
전문 기술·불 III,术有专精·火 III,zh-CN
전문 기술·불 III,Ignis Expertise Ⅲ,en-US
전문 기술·불 III,火のエキスパートⅢ,ja-JP
术有专精·火 IV,Ignis Expertise Ⅳ,en-US
术有专精·火 IV,火のエキスパートⅣ,ja-JP
术有专精·火 IV,전문 기술·불 IV,ko-KR
Ignis Expertise Ⅳ,术有专精·火 IV,zh-CN
Ignis Expertise Ⅳ,火のエキスパートⅣ,ja-JP
Ignis Expertise Ⅳ,전문 기술·불 IV,ko-KR
火のエキスパートⅣ,术有专精·火 IV,zh-CN
火のエキスパートⅣ,Ignis Expertise Ⅳ,en-US
火のエキスパートⅣ,전문 기술·불 IV,ko-KR
전문 기술·불 IV,术有专精·火 IV,zh-CN
전문 기술·불 IV,Ignis Expertise Ⅳ,en-US
전문 기술·불 IV,火のエキスパートⅣ,ja-JP
术有专精·地 I,Terra Expertise Ⅰ,en-US
术有专精·地 I,地のエキスパートⅠ,ja-JP
术有专精·地 I,전문 기술·땅 I,ko-KR
Terra Expertise Ⅰ,术有专精·地 I,zh-CN
Terra Expertise Ⅰ,地のエキスパートⅠ,ja-JP
Terra Expertise Ⅰ,전문 기술·땅 I,ko-KR
地のエキスパートⅠ,术有专精·地 I,zh-CN
地のエキスパートⅠ,Terra Expertise Ⅰ,en-US
地のエキスパートⅠ,전문 기술·땅 I,ko-KR
전문 기술·땅 I,术有专精·地 I,zh-CN
전문 기술·땅 I,Terra Expertise Ⅰ,en-US
전문 기술·땅 I,地のエキスパートⅠ,ja-JP
术有专精·地 II,Terra Expertise Ⅱ,en-US
术有专精·地 II,地のエキスパートⅡ,ja-JP
术有专精·地 II,전문 기술·땅 II,ko-KR
Terra Expertise Ⅱ,术有专精·地 II,zh-CN
Terra Expertise Ⅱ,地のエキスパートⅡ,ja-JP
Terra Expertise Ⅱ,전문 기술·땅 II,ko-KR
地のエキスパートⅡ,术有专精·地 II,zh-CN
地のエキスパートⅡ,Terra Expertise Ⅱ,en-US
地のエキスパートⅡ,전문 기술·땅 II,ko-KR
전문 기술·땅 II,术有专精·地 II,zh-CN
전문 기술·땅 II,Terra Expertise Ⅱ,en-US
전문 기술·땅 II,地のエキスパートⅡ,ja-JP
术有专精·地 III,Terra Expertise Ⅲ,en-US
术有专精·地 III,地のエキスパートⅢ,ja-JP
术有专精·地 III,전문 기술·땅 III,ko-KR
Terra Expertise Ⅲ,术有专精·地 III,zh-CN
Terra Expertise Ⅲ,地のエキスパートⅢ,ja-JP
Terra Expertise Ⅲ,전문 기술·땅 III,ko-KR
地のエキスパートⅢ,术有专精·地 III,zh-CN
地のエキスパートⅢ,Terra Expertise Ⅲ,en-US
地のエキスパートⅢ,전문 기술·땅 III,ko-KR
전문 기술·땅 III,术有专精·地 III,zh-CN
전문 기술·땅 III,Terra Expertise Ⅲ,en-US
전문 기술·땅 III,地のエキスパートⅢ,ja-JP
术有专精·地 IV,Terra Expertise Ⅳ,en-US
