source,target,tgt_lng
1命,1凸,ja-JP
1命,1凸,ja-JP
2命,2凸,ja-JP
2命,2凸,ja-JP
3命,3凸,ja-JP
3命,3凸,ja-JP
4命,4凸,ja-JP
4命,4凸,ja-JP
5命,5凸,ja-JP
5命,5凸,ja-JP
ATK,攻撃力,ja-JP
Abyssal Corrosion Syndrome,アビス侵蝕症候群,ja-JP
Adventure Rank,冒険ランク,ja-JP
Aggravate,超激化,ja-JP
Ancient Name,古名,ja-JP
Anemo,風 (元素),ja-JP
Aquatic Stamina,水中スタミナ,ja-JP
Arkhe,アルケー,ja-JP
Balanced,バランス状態,ja-JP
Balethunder,雷禍,ja-JP
Battle Pass,紀行,ja-JP
Blessing of the Welkin Moon,空月の祝福,ja-JP
Bloom,開花,ja-JP
Burgeon,烈開花,ja-JP
Burning,燃焼,ja-JP
CRIT Rate,会心率,ja-JP
Candle of Life,生命の灯,ja-JP
Casket of Tomes,秘典の箱,ja-JP
Catalyze,激化,ja-JP
Character Card,キャラカード,ja-JP
Co-Op mode,マルチプレイ,ja-JP
Constellation,命ノ星座,ja-JP
Cooldown / CD,クールタイム,ja-JP
Craft,合成する,ja-JP
Cryo,氷 (元素),ja-JP
Crystalize,結晶 (化),ja-JP
Current,海流,ja-JP
DEF,防御力,ja-JP
DMG,ダメージ,ja-JP
Decay,零落,ja-JP
Decay Projectile,零落弾,ja-JP
Dendro,草 (元素),ja-JP
Destiny Drawn,「縁結びの願掛け」,ja-JP
Different Phantoms,虚影,ja-JP
Draught of Lucidity,静幻剤,ja-JP
Electro,雷 (元素),ja-JP
Electro-Charged,感電,ja-JP
Elemental Dice,元素サイコロ,ja-JP
Elemental RES,元素耐性,ja-JP
Elemental Reactions,元素反応,ja-JP
Elemental Resonance,元素共鳴,ja-JP
Elemental Shield,元素シールド,ja-JP
Elemental Sight,元素視覚,ja-JP
Elemental Skill,元素スキル,ja-JP
Enduring Rock,不動の岩,ja-JP
Energy Recharge,元素チャージ効率,ja-JP
Epic Feast Showdown,熱闘の宴,ja-JP
Epitome Invocation,神鋳賦形,ja-JP
Equipment Card,装備カード,ja-JP
Eternal Moon,恒月,ja-JP
Event Card,イベントカード,ja-JP
Evernight,常夜,ja-JP
Exploration Progress,探索度,ja-JP
Fate Point,命定値,ja-JP
Fervent Flames,熱誠の炎,ja-JP
Film Kamera,映影機,ja-JP
Flames of Life,生命の火光,ja-JP
Frost Moon,霜月,ja-JP
Genius Invokation TCG,七聖召喚,ja-JP
Geo,岩 (元素),ja-JP
Gnostic Hymn,天空紀行,ja-JP
Heated Battle Mode,熱闘モード,ja-JP
Hibernation Chamber on the spaceship,宇宙船スリープポッド,ja-JP
High Voltage,強権の雷,ja-JP
High-Pressure Water Vent,高圧水流吹き出し口,ja-JP
Hydro,水 (元素),ja-JP
Hyperbloom,超開花,ja-JP
Impetuous Winds,迅速の風,ja-JP
Iridescent Moon,虹月,ja-JP
Irminsul Tree,白銀の古樹,ja-JP
Kuuvahki,クーヴァキ,ja-JP
Lucky Spin,ラッキールーレット,ja-JP
Lunar Bloom,月開花,ja-JP
Lunar Charged,月感電,ja-JP
