id,term,src_table
MonsterManual.1000111.1,ウッドモット,MonsterManual.json
MonsterManual.1000161.1,アラクレウッドモット,MonsterManual.json
MonsterManual.1000200.1,アラクレスローモット,MonsterManual.json
MonsterManual.1000211.1,スローモット,MonsterManual.json
MonsterManual.1000311.1,タワーモット,MonsterManual.json
MonsterManual.1000411.1,ビッグボア,MonsterManual.json
MonsterManual.1000516.1,破砕ノ牙,MonsterManual.json
MonsterManual.1000641.1,ブリーズオウル,MonsterManual.json
MonsterManual.1000705.1,狂風ノ賢者,MonsterManual.json
MonsterManual.1000800.1,オオガマサソリ,MonsterManual.json
MonsterManual.1001066.1,未恋ノ禍実,MonsterManual.json
MonsterManual.1001205.1,ナイトメアソルジャー,MonsterManual.json
MonsterManual.1001216.1,ナイトメアソルジャー（地）,MonsterManual.json
MonsterManual.1001226.1,ナイトメアソルジャー（水）,MonsterManual.json
MonsterManual.1001236.1,ナイトメアソルジャー（火）,MonsterManual.json
MonsterManual.1001246.1,ナイトメアソルジャー（風）,MonsterManual.json
MonsterManual.1001256.1,ナイトメアソルジャー（光）,MonsterManual.json
MonsterManual.1001266.1,ナイトメアソルジャー（闇）,MonsterManual.json
MonsterManual.1001500.1,タヌキウオ,MonsterManual.json
MonsterManual.1001511.1,チャタヌキウオ,MonsterManual.json
MonsterManual.1001521.1,アオタヌキウオ,MonsterManual.json
MonsterManual.1001531.1,アカタヌキウオ,MonsterManual.json
MonsterManual.1001541.1,ミドリタヌキウオ,MonsterManual.json
MonsterManual.1001551.1,ライトタヌキウオ,MonsterManual.json
MonsterManual.1001561.1,ダークタヌキウオ,MonsterManual.json
MonsterManual.1001800.1,ボイラーブランチ,MonsterManual.json
MonsterManual.1001811.1,ボイラーブランチ（地）,MonsterManual.json
MonsterManual.1001821.1,ボイラーブランチ（水）,MonsterManual.json
MonsterManual.1001831.1,ボイラーブランチ（火）,MonsterManual.json
MonsterManual.1001841.1,ボイラーブランチ（風）,MonsterManual.json
MonsterManual.1001851.1,ボイラーブランチ（光）,MonsterManual.json
MonsterManual.1001861.1,ボイラーブランチ（闇）,MonsterManual.json
MonsterManual.1100300.1,試作協力マシンⅡ,MonsterManual.json
MonsterManual.1100400.1,試作補助マシンⅤ,MonsterManual.json
MonsterManual.1100700.1,アグリ・ユニオンのベテラン従業員,MonsterManual.json
MonsterManual.1102100.1,巡回犬K9,MonsterManual.json
MonsterManual.1103105.1,伐採蟹C8,MonsterManual.json
MonsterManual.1300100.1,ウィンドアッシュ戦闘員,MonsterManual.json
MonsterManual.1301100.1,ウィンドアッシュエンジニア,MonsterManual.json
MonsterManual.1302100.1,フォルモント,MonsterManual.json
