source,target,tgt_lng
%s × %s,%sx%s,th-TH
%s на %s,%sx%s,th-TH
%s×%s,%sx%s,th-TH
A Piscina,The Pool,th-TH
Acqua,Water,th-TH
Agua,Water,th-TH
Air,Wind,th-TH
Aire,Wind,th-TH
Albanese,Albanian,th-TH
Albanés,Albanian,th-TH
Albanês,Albanian,th-TH
Alvo Bombardeado com Êxito,Target Successfully Bombed,th-TH
Apuntador,Pointer,th-TH
Aria,Wind,th-TH
Ataduras mortales,Mortal Coil,th-TH
Atardecer,sunset_dense,th-TH
Ateş,Fire,th-TH
Barocco,Baroque,th-TH
Barock,Baroque,th-TH
Barok,Baroque,th-TH
Barroco,Baroque,th-TH
Biến thể ngẫu nhiên,ชนิดแบบสุ่ม,th-TH
Bodegón,Baroque,th-TH
Bodenständig,Humble,th-TH
Bombardamento completato,Target Successfully Bombed,th-TH
Buket,Bouquet,th-TH
Buongiorno signor Courbet,Bonjour Monsieur Courbet,th-TH
Buqué,Bouquet,th-TH
Buquê,Bouquet,th-TH
Busto,Bust,th-TH
Bó hoa,Bouquet,th-TH
Búho con limones,Owlemons,th-TH
Bể bơi,The Pool,th-TH
Bờ biển,Seaside,th-TH
Calavera en llamas,Skull On Fire,th-TH
Calavera y rosas,Skull and Roses,th-TH
Cambiante,Changing,th-TH
Cambio,Changing,th-TH
Caminhante,Wanderer,th-TH
Cavalcata in prateria,Prairie Ride,th-TH
Cavalgada pela Pradaria,Prairie Ride,th-TH
Caveira e Rosas,Skull and Roses,th-TH
Caveira em Chamas,Skull On Fire,th-TH
Chanh cú,Owlemons,th-TH
Chefe Final,Endboss,th-TH
Chevauchée dans la prairie,Prairie Ride,th-TH
Chim hang động,Cavebird,th-TH
Chiến binh,Fighters,th-TH
Chouettes citrons,Owlemons,th-TH
Cible bombardée avec succès,Target Successfully Bombed,th-TH
Cortile,Backyard,th-TH
Coruja e Limões,Owlemons,th-TH
Costa Creeper,Creebet,th-TH
Costa cálida,Seaside,th-TH
Crassula ovata,Paradisträd,th-TH
Crâne et Roses,Skull and Roses,th-TH
Cuộn dây tử thần,Mortal Coil,th-TH
Cái ao,Pond,th-TH
Cưỡi trên thảo nguyên,Prairie Ride,th-TH
Cảnh heo,Pigscene,th-TH
Das Abendrot,sunset_dense,th-TH
Das Becken,The Pool,th-TH
Das Schweinebildnis,Pigscene,th-TH
Das Zündholz,Match,th-TH
Der Albaner,Albanian,th-TH
Der Blumenstrauß,Bouquet,th-TH
Der Durchgang,Passage,th-TH
Der Döner mit drei Pfefferonen,Kebab med tre pepperoni,th-TH
Der Endgegner,Endboss,th-TH
Der Farn,Fern,th-TH
Der Fund,Finding,th-TH
Der Hinterhof,Backyard,th-TH
Der Höhlenvogel,Cavebird,th-TH
Der Kostümwechsel,Changing,th-TH
Der Pfennigbaum,Paradisträd,th-TH
Der Steppenritt,Prairie Ride,th-TH
Der Totenkopf in Flammen,Skull On Fire,th-TH
Der Wanderer,Wanderer,th-TH
Der Weiher,Pond,th-TH
Der Wither,Wither,th-TH
Der Zeigefinger,Pointer,th-TH
Descoberta,Finding,th-TH
Descompactado,Unpacked,th-TH
Desempaque,Unpacked,th-TH
Deserto,Wasteland,th-TH
Die Begegnung,Bonjour Monsieur Courbet,th-TH
Die Bühne ist bereitet,The Stage Is Set,th-TH
Die Büste,Bust,th-TH
Die Gezeiten,Tides,th-TH
Die Kugel,Orb,th-TH
Die Kämpfer,Fighters,th-TH
Die Küste,Seaside,th-TH
Die Leere,The void,th-TH
Die Mühsal des Irdischen,Mortal Coil,th-TH
Die Sonnenblumen,Sunflowers,th-TH
Die Zitruseule,Owlemons,th-TH
Die Ödnis,Wasteland,th-TH
Dương xỉ,Fern,th-TH
Eau,Water,th-TH
Ein Totenkopf und Rosen,Skull and Roses,th-TH
El caminante sobre el mar de nubes,Wanderer,th-TH
El reencuentro de Courbet,Bonjour Monsieur Courbet,th-TH
El Vacío,The void,th-TH
Entpackt,Unpacked,th-TH
Erde,Earth,th-TH
Espiral Mortal,Mortal Coil,th-TH
Estanque,Pond,th-TH
Eğrelti Otu,Fern,th-TH
Felce,Fern,th-TH
Feu,Fire,th-TH
Feuer,Fire,th-TH
Fiammifero,Match,th-TH
Fogo,Fire,th-TH
Foschia,Lowmist,th-TH
Fuego,Fire,th-TH
Fuoco,Fire,th-TH
Fósforo,Match,th-TH
Girasoles,Sunflowers,th-TH
Girasoli,Sunflowers,th-TH
Girassóis,Sunflowers,th-TH
Gölet,Pond,th-TH
Hallazgo,Finding,th-TH
Hava,Wind,th-TH
Helecho,Fern,th-TH
Hoả,Fire,th-TH
Humbles,Humble,th-TH
Humilde,Humble,th-TH
Humildes,Humble,th-TH
Hướng dương,Sunflowers,th-TH
Il vuoto,The void,th-TH
Indicador,Pointer,th-TH
Jefe final,Endboss,th-TH
Khiêm tốn,Humble,th-TH
Khoảng không,The void,th-TH
Küre,Orb,th-TH
Kẻ lãng du,Wanderer,th-TH
L'Albanais,Albanian,th-TH
L'Allumette,Match,th-TH
L'Arrière-cour,Backyard,th-TH
L'Enveloppe mortelle,Mortal Coil,th-TH
L'Index,Pointer,th-TH
L'Oiseau des cavernes,Cavebird,th-TH
L'Orbe,Orb,th-TH
L'Étang,Pond,th-TH
La Brume basse,Lowmist,th-TH
La Fougère,Fern,th-TH
La Fouille,Finding,th-TH
