source,target,tgt_lng
Boutique de cartes débloquée,Negozio di carte sbloccato,it-IT
Card Shop unlocked,Negozio di carte sbloccato,it-IT
Co-Op Match unlocked,Partite multigiocatore sbloccate,it-IT
Convites desbloqueados,Partite su invito sbloccate,it-IT
Có thể ghép đấu tại Bảng Mời,Matchmaking tramite la bacheca degli inviti sbloccato,it-IT
Davet etme açıldı.,Partite su invito sbloccate,it-IT
Davet panosu ile eşleştirme açıldı.,Matchmaking tramite la bacheca degli inviti sbloccato,it-IT
Desafios Semanais de Convidados desbloqueado,Sfide ospite settimanali sbloccate,it-IT
Duelos contra jugadores a través del tablón de invitaciones desbloqueados,Matchmaking tramite la bacheca degli inviti sbloccato,it-IT
Duelos de visitantes semanales desbloqueados,Sfide ospite settimanali sbloccate,it-IT
Duelos multijugador en un mismo mundo desbloqueados,Partite multigiocatore sbloccate,it-IT
Duelos por invitación desbloqueados,Partite su invito sbloccate,it-IT
Défis de convive hebdomadaires débloqués,Sfide ospite settimanali sbloccate,it-IT
Einladungsduell freigeschaltet,Partite su invito sbloccate,it-IT
Eşli Düello açıldı.,Partite multigiocatore sbloccate,it-IT
Guia do Jogador desbloqueado,Manuale del giocatore sbloccato,it-IT
Guide de joueur débloqué,Manuale del giocatore sbloccato,it-IT
Haftalık Misafir Mücadeleleri açıldı.,Sfide ospite settimanali sbloccate,it-IT
Inazuma mở thêm khiêu chiến mới,Disponibili nuovi avversari a Inazuma,it-IT
Inazuma'da mücadele edilebilecek yeni oyuncular mevcut.,Disponibili nuovi avversari a Inazuma,it-IT
Invitationals unlocked,Partite su invito sbloccate,it-IT
Invitations de partie débloquées,Partite su invito sbloccate,it-IT
Kart Dükkanı açıldı.,Negozio di carte sbloccato,it-IT
Kartenbeschwörerhandbuch freigeschaltet,Manuale del giocatore sbloccato,it-IT
Kartenhändler freigeschaltet,Negozio di carte sbloccato,it-IT
Liyue mở thêm khiêu chiến mới,Disponibili nuovi avversari a Liyue,it-IT
Liyue'de mücadele edilebilecek yeni oyuncular mevcut.,Disponibili nuovi avversari a Liyue,it-IT
Loja de Carta desbloqueada,Negozio di carte sbloccato,it-IT
Manual de jugador desbloqueado,Manuale del giocatore sbloccato,it-IT
Matchmaking via the invitation board unlocked,Matchmaking tramite la bacheca degli inviti sbloccato,it-IT
Mehrspielermodus via Duell-Einladungstafel möglich,Matchmaking tramite la bacheca degli inviti sbloccato,it-IT
Mondstadt mở thêm khiêu chiến mới,Disponibili nuovi avversari a Mondstadt,it-IT
Mondstadt'ta mücadele edilebilecek yeni oyuncular mevcut.,Disponibili nuovi avversari a Mondstadt,it-IT
Mücadele edilebilecek yeni oyuncular mevcut.,Disponibili nuovi avversari,it-IT
Mở Khiêu Chiến Quán Rượu mới,Nuove sfide della taverna sbloccate,it-IT
Mở khóa Cửa Hàng Thẻ Bài,Negozio di carte sbloccato,it-IT
Mở khóa Khiêu Chiến Khách Mỗi Tuần,Sfide ospite settimanali sbloccate,it-IT
Mở khóa Mời Quyết Đấu,Partite su invito sbloccate,it-IT
Mở khóa Quyết Đấu Co-Op cùng thế giới,Partite multigiocatore sbloccate,it-IT
Mở khóa Sổ Tay Bài Thủ,Manuale del giocatore sbloccato,it-IT
Mở khóa ô bài mới,Nuovi slot di salvataggio mazzi sbloccati,it-IT
Mở thêm khiêu chiến mới,Disponibili nuovi avversari,it-IT
Neue Duell-Herausforderung(en) in Inazuma verfügbar,Disponibili nuovi avversari a Inazuma,it-IT
Neue Duell-Herausforderung(en) in Liyue verfügbar,Disponibili nuovi avversari a Liyue,it-IT
Neue Duell-Herausforderung(en) in Mondstadt verfügbar,Disponibili nuovi avversari a Mondstadt,it-IT
Neue Duell-Herausforderung(en) in Sumeru verfügbar,Disponibili nuovi avversari a Sumeru,it-IT
Neue Duell-Herausforderung(en) verfügbar,Disponibili nuovi avversari,it-IT
Neue Tavernen-Herausforderung(en) freigeschaltet,Nuove sfide della taverna sbloccate,it-IT
New Tavern Challenge(s) unlocked,Nuove sfide della taverna sbloccate,it-IT
New available player(s) to challenge,Disponibili nuovi avversari,it-IT
New available player(s) to challenge in Inazuma,Disponibili nuovi avversari a Inazuma,it-IT
New available player(s) to challenge in Liyue,Disponibili nuovi avversari a Liyue,it-IT
New available player(s) to challenge in Mondstadt,Disponibili nuovi avversari a Mondstadt,it-IT
New available player(s) to challenge in Sumeru,Disponibili nuovi avversari a Sumeru,it-IT
New deck-saving slot(s) unlocked,Nuovi slot di salvataggio mazzi sbloccati,it-IT
Nouveaux joueurs à défier,Disponibili nuovi avversari,it-IT
Nouveaux joueurs à défier à Inazuma,Disponibili nuovi avversari a Inazuma,it-IT
Nouveaux joueurs à défier à Liyue,Disponibili nuovi avversari a Liyue,it-IT
Nouveaux joueurs à défier à Mondstadt,Disponibili nuovi avversari a Mondstadt,it-IT
Nouveaux joueurs à défier à Sumeru,Disponibili nuovi avversari a Sumeru,it-IT
Nouvel emplacement d'enregistrement de deck débloqué,Nuovi slot di salvataggio mazzi sbloccati,it-IT
