source,target,tgt_lng
2件套：爆擊率+10%,2件套：暴击率+10%,zh-CN
2-Piece Set: CRIT Rate +10%,2件套：暴击率+10%,zh-CN
2セット:会心率＋10%,2件套：暴击率+10%,zh-CN
2 세트: 크리티컬율 +10%,2件套：暴击率+10%,zh-CN
เซ็ต​ 2​ ชิ้น​:​ อัต​ราค​ริ​ติ​คอ​ล​ +10%​,2件套：暴击率+10%,zh-CN
2件套：爆擊率<color=#ff1baf>+10%</color>,2件套：暴击率<color=#ff1baf>+10%</color>,zh-CN
2-Piece Set: CRIT Rate <color=#ff1baf>+10%</color>,2件套：暴击率<color=#ff1baf>+10%</color>,zh-CN
2セット:会心率<color=#ff1baf>＋10%</color>,2件套：暴击率<color=#ff1baf>+10%</color>,zh-CN
2 세트: 크리티컬율 <color=#ff1baf>+10%</color>,2件套：暴击率<color=#ff1baf>+10%</color>,zh-CN
เซ็ต​ 2​ ชิ้น​:​ อัต​ราค​ริ​ติ​คอ​ล​<color=#ff1baf> +10%</color>​,2件套：暴击率<color=#ff1baf>+10%</color>,zh-CN
爆擊,暴击,zh-CN
CRIT Rate,暴击,zh-CN
会心率,暴击,zh-CN
크리티컬,暴击,zh-CN
คริติคอล,暴击,zh-CN
2件套：爆擊傷害+20%,2件套：暴击伤害+20%,zh-CN
2-piece Set: CRIT DMG +20%,2件套：暴击伤害+20%,zh-CN
2セット:会心ダメージ＋20%,2件套：暴击伤害+20%,zh-CN
2 세트: 크리티컬 대미지 +20%,2件套：暴击伤害+20%,zh-CN
เซ็ต​ 2​ ชิ้น​:​ ดา​เม​จค​ริ​ติ​คอ​ล​ +20%​,2件套：暴击伤害+20%,zh-CN
2件套：爆擊傷害<color=#ff1baf>+20%</color>,2件套：暴击伤害<color=#ff1baf>+20%</color>,zh-CN
2-piece Set: CRIT DMG <color=#ff1baf>+20%</color>,2件套：暴击伤害<color=#ff1baf>+20%</color>,zh-CN
2セット:会心ダメージ<color=#ff1baf>＋20%</color>,2件套：暴击伤害<color=#ff1baf>+20%</color>,zh-CN
2 세트: 크리티컬 대미지 <color=#ff1baf>+20%</color>,2件套：暴击伤害<color=#ff1baf>+20%</color>,zh-CN
เซ็ต​ 2​ ชิ้น​:​ ดา​เม​จค​ริ​ติ​คอ​ล​<color=#ff1baf> +20%</color>​,2件套：暴击伤害<color=#ff1baf>+20%</color>,zh-CN
爆傷,暴伤,zh-CN
CRIT DMG,暴伤,zh-CN
会心ダメージ,暴伤,zh-CN
크리티컬 대미지,暴伤,zh-CN
ดาเมจคริ,暴伤,zh-CN
2件套：爆擊傷害抵抗+20%,2件套：暴击伤害抵抗+20%,zh-CN
2-Piece Set: CRIT DMG RES +20%,2件套：暴击伤害抵抗+20%,zh-CN
2セット:会心ダメージ抵抗率＋20%,2件套：暴击伤害抵抗+20%,zh-CN
2 세트: 크리티컬 대미지 저항 +20%,2件套：暴击伤害抵抗+20%,zh-CN
เซ็ต​ 2​ ชิ้น​:​ ต้านทาน​ดา​เม​จค​ริ​ +20%​,2件套：暴击伤害抵抗+20%,zh-CN
2件套：爆擊傷害抵抗<color=#ff1baf>+20%</color>,2件套：暴击伤害抵抗<color=#ff1baf>+20%</color>,zh-CN
2-Piece Set: CRIT DMG RES <color=#ff1baf>+20%</color>,2件套：暴击伤害抵抗<color=#ff1baf>+20%</color>,zh-CN
2セット:会心ダメージ抵抗率<color=#ff1baf>＋20%</color>,2件套：暴击伤害抵抗<color=#ff1baf>+20%</color>,zh-CN
2 세트: 크리티컬 대미지 저항 <color=#ff1baf>+20%</color>,2件套：暴击伤害抵抗<color=#ff1baf>+20%</color>,zh-CN
เซ็ต​ 2​ ชิ้น​:​ ต้านทาน​ดา​เม​จค​ริ​<color=#ff1baf> +20%</color>​,2件套：暴击伤害抵抗<color=#ff1baf>+20%</color>,zh-CN
Undaunted,不屈,zh-CN
불굴,不屈,zh-CN
ความอึด,不屈,zh-CN
2件套：造成治療和護盾效果+10%,2件套：造成治疗和护盾效果+10%,zh-CN
2-Piece Set: Healing & Shield Effect +10%,2件套：造成治疗和护盾效果+10%,zh-CN
2セット:与回復効果・与シールド耐久＋10%,2件套：造成治疗和护盾效果+10%,zh-CN
2 세트: 부여하는 치유와 실드 효과 +10%,2件套：造成治疗和护盾效果+10%,zh-CN
เซ็ต 2 ชิ้น: สร้างเอฟเฟกต์ฟื้นฟูและโล่ป้องกัน ​+10%​,2件套：造成治疗和护盾效果+10%,zh-CN
2件套：造成治療和護盾效果<color=#ff1baf>+10%</color>,2件套：造成治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2-Piece Set: Healing & Shield Effect <color=#ff1baf>+10%</color>,2件套：造成治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2セット:与回復効果・与シールド耐久<color=#ff1baf>＋10%</color>,2件套：造成治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2 세트: 부여하는 치유와 실드 효과 <color=#ff1baf>+10%</color>,2件套：造成治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
เซ็ต 2 ชิ้น: สร้างเอฟเฟกต์ฟื้นฟูและโล่​ป้องกัน ​<color=#ff1baf>+10%</color>​,2件套：造成治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
援護,援护,zh-CN
Support,援护,zh-CN
엄호,援护,zh-CN
ซัพพอร์ต,援护,zh-CN
2件套：受到治療和護盾效果+10%,2件套：受到治疗和护盾效果+10%,zh-CN
2-Piece Set: Healing & Shield Received +10%,2件套：受到治疗和护盾效果+10%,zh-CN
2セット:被回復効果・被シールド耐久＋10%,2件套：受到治疗和护盾效果+10%,zh-CN
2 세트: 적용되는 치유와 실드 효과 +10%,2件套：受到治疗和护盾效果+10%,zh-CN
เซ็ต 2 ชิ้น: ได้รับเอฟเฟกต์การฟื้นฟูและโล่ป้องกัน ​+10%​,2件套：受到治疗和护盾效果+10%,zh-CN
2件套：受到治療和護盾效果<color=#ff1baf>+10%</color>,2件套：受到治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2-Piece Set: Healing & Shield Received <color=#ff1baf>+10%</color>,2件套：受到治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2セット:被回復効果・被シールド耐久<color=#ff1baf>＋10%</color>,2件套：受到治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
2 세트: 적용되는 치유와 실드 효과 <color=#ff1baf>+10%</color>,2件套：受到治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
เซ็ต 2 ชิ้น: ได้รับเอฟเฟกต์การฟื้นฟูและโล่ป้องกัน ​<color=#ff1baf>+10%</color>​,2件套：受到治疗和护盾效果<color=#ff1baf>+10%</color>,zh-CN
Mastery,精通,zh-CN
건강,精通,zh-CN
ชำนาญ,精通,zh-CN
2件套：幸運+6%,2件套：幸运+6%,zh-CN
2-Piece Set: LUCK +6%,2件套：幸运+6%,zh-CN
2セット:幸運＋6%,2件套：幸运+6%,zh-CN
2 세트: 행운 +6%,2件套：幸运+6%,zh-CN
เซ็ต 2 ชิ้น: โชค +6%,2件套：幸运+6%,zh-CN
2件套：幸運<color=#ff1baf>+6%</color>,2件套：幸运<color=#ff1baf>+6%</color>,zh-CN
2-Piece Set: LUCK <color=#ff1baf>+6%</color>,2件套：幸运<color=#ff1baf>+6%</color>,zh-CN
2セット:幸運<color=#ff1baf>＋6%</color>,2件套：幸运<color=#ff1baf>+6%</color>,zh-CN
2 세트: 행운 <color=#ff1baf>+6%</color>,2件套：幸运<color=#ff1baf>+6%</color>,zh-CN
เซ็ต 2 ชิ้น: โชค <color=#ff1baf>+6%</color>,2件套：幸运<color=#ff1baf>+6%</color>,zh-CN
幸運,幸运,zh-CN
