source,target,tgt_lng
"""A Sombra da Meia-Noite""",« L'Ombre de minuit »,fr-FR
"""Além dos penhascos, um caminho no céu alcança os quatro sinos.""","« Au-delà des falaises, un chemin céleste atteint les quatre coins. »",fr-FR
"""Aqueles Superiores""",« Gens haut placés »,fr-FR
"""Até a Próxima""",« Jusqu'à nos retrouvailles »,fr-FR
"""Automata Elder's Workbook""",« Cahier de la grande marionnettiste »,fr-FR
"""Because of you, this song has never fallen silent.""","« Grâce à toi, cette chanson ne s'est jamais tue. »",fr-FR
"""Beyond the cliffs, a sky path reaches the four chimes.""","« Au-delà des falaises, un chemin céleste atteint les quatre coins. »",fr-FR
"""Bolsa das Maravilhas de Qingxu""",« Sac à merveille Qingxu »,fr-FR
"""Deinetwegen ist dieses Lied nie verstummt.""","« Grâce à toi, cette chanson ne s'est jamais tue. »",fr-FR
"""Encore! Encore! Encore!""",« Une autre ! Une autre ! Une autre ! »,fr-FR
"""Esta mesma lua já brilhou sobre os antigos.""",« Cette même lune éclairait déjà les gens du passé. »,fr-FR
"""Honor the past, and press onward, even in the face of death.""",« Honore ce qui fut ; avance vers la mort. »,fr-FR
"""Honre o que foi; viva em direção à morte.""",« Honore ce qui fut ; avance vers la mort. »,fr-FR
"""Lionarch ไร้หัว"" ที่ว่านั้น แท้จริงแล้วคืออะไร?",Qu’est-ce que ce « Lionarque sans tête » ?,fr-FR
"""Livro de Exercícios do Ancião Autômato""",« Cahier de la grande marionnettiste »,fr-FR
"""Nightmare"" Incursion",Le « Cauchemar » arrive,fr-FR
"""Novo dia, mesma dor""","Nouveau jour, même douleur",fr-FR
"""Paz e prosperidade""",« Paix et prospérité »,fr-FR
"""Peace and Prosperity""",« Paix et prospérité »,fr-FR
"""Por sua causa, esta canção nunca se calou.""","« Grâce à toi, cette chanson ne s'est jamais tue. »",fr-FR
"""Qingxu Pouch of Wonders""",« Sac à merveille Qingxu »,fr-FR
"""The Midnight Shadow""",« L'Ombre de minuit »,fr-FR
"""This same moon once shone upon the ancients.""",« Cette même lune éclairait déjà les gens du passé. »,fr-FR
"""Those Higher-ups""",« Gens haut placés »,fr-FR
"""Until We Meet Again""",« Jusqu'à nos retrouvailles »,fr-FR
"""{PlayerName}""的溯言",Discours rétroactif de {Nomdujoueur},fr-FR
"""{PlayerName}""의 메모",Discours rétroactif de {Nomdujoueur},fr-FR
