source,target,tgt_lng
"""Yumekizuki's Cozy Cornder""",「夢見月的舒心小站」,zh-TW
Acara Crafts,阿折羅造像,zh-TW
Aisa Bathhouse,秋沙錢湯,zh-TW
Amenoma Smithy,天目鍛冶屋,zh-TW
Amrita Pool,甘露池,zh-TW
Angel's Share,天使的饋贈,zh-TW
Asha's Treasure Trove,阿夏的寶庫,zh-TW
Baiju Guesthouse,白駒逆旅,zh-TW
Bantan Sango Detective Agency,萬端珊瑚偵探社,zh-TW
Beaumont Workshop,博蒙特工坊,zh-TW
Bertin's House of Curiosities,白棠珍奇屋,zh-TW
Bimarstan,健康之家,zh-TW
Bubu Pharmacy,不卜廬,zh-TW
Café Lucerne,露澤咖啡廳,zh-TW
Callas Line,卡雷斯線,zh-TW
Cat's Tail,貓尾酒館,zh-TW
Chioriya Boutique,千織屋,zh-TW
Chuyu Trading Company,楚瑜商行,zh-TW
Citadel of Regzar,聚砂廳,zh-TW
Clementine Line,克萊門汀線,zh-TW
Coupon Cafeteria,特許食堂,zh-TW
Damoville Purveyor,達莫維百貨,zh-TW
Djafar Tavern,迪亞法飯店,zh-TW
Djembe Studios,金貝樂棚,zh-TW
Eipekkusu,天頂屋,zh-TW
Floral Whisper,花語,zh-TW
Floral Whispers,繁花之語,zh-TW
Good Hunter,獵鹿人,zh-TW
Hanfeng's Ironmongers,寒鋒鐵器,zh-TW
Heyu Tea House,和裕茶館,zh-TW
Hotel Debord,德波大飯店,zh-TW
House of Daena,智慧宮,zh-TW
Komore Teahouse,木漏茶室,zh-TW
Kuminami Restaurant,木南料亭,zh-TW
Lambad's Tavern,蘭巴德酒館,zh-TW
Lepaute Horlogerie,勒波特鐘錶店,zh-TW
Leschots Clockwork Workshop,萊舒的發條工坊,zh-TW
Liuli Pavilion,琉璃亭,zh-TW
Me & Dew,醅蜜,zh-TW
Mead-Boy,蜜酒小子,zh-TW
Menakeri's Treasure Shop,梅娜卡里商鋪,zh-TW
Mimisbrunnr Books,秘謎書屋,zh-TW
Mingxing Jewelry,明星齋,zh-TW
Mondstadt General Goods,蒙德百货,zh-TW
Muhuru's Gemporium,穆胡魯寶石鋪,zh-TW
Naganohara Fireworks,長野原煙花店,zh-TW
Navia Line,娜維婭線,zh-TW
Netsuke no Gen Crafts,根付之源,zh-TW
Northland Bank,北國銀行,zh-TW
"Nuts ""N"" Nuts",堅果與螺釘,zh-TW
Ogura Textiles & Kimono,小倉屋,zh-TW
Outlander Affairs Agency,遠國監司,zh-TW
Pankration Ring,拳力鬥技場,zh-TW
Pharos Lighthouse,法邏斯燈塔,zh-TW
Puspa Café,普斯帕咖啡館,zh-TW
Rag and Bone Shop,破爛骨頭商店,zh-TW
Romaritime Station,海露站,zh-TW
Sailing Breeze,遠航之風,zh-TW
Scent of Spring,春香窯,zh-TW
Shimura's,志村屋,zh-TW
Shoal's Haven,魚群之家,zh-TW
Speranza,斯偑蘭扎,zh-TW
Station Main Hall,總站大廳,zh-TW
Street Fighting Fontainian,灰河街鬥士,zh-TW
Sun,太陽,zh-TW
Syavushi Bakshesh Shoppe,蔥蘢之願,zh-TW
The Flagship,旗艦,zh-TW
The Jade Mystery,解翠行,zh-TW
Third-Round Knockout,三碗不過港,zh-TW
Throne of the Primal Fire,源火之聖座,zh-TW
Tsukumomono Groceries,九十九物,zh-TW
Uyuu Restaurant,烏有亭,zh-TW
Vesnici Proleca Greenhouse,春景花房,zh-TW
Voynich Guild,伏尼契商會,zh-TW
Wangsheng Funeral Parlor,往生堂,zh-TW
Wanmin Restaurant,萬民堂,zh-TW
Wanwen Bookhouse,萬文集舍,zh-TW
Wanyou Boutique,萬有鋪子,zh-TW
Weary Inn,倦意之屋,zh-TW
Welfare Meal,福利餐,zh-TW
Wikala Funduq,維卡拉商棧,zh-TW
With Wind Comes Glory,榮光之風,zh-TW
Xigu Antiques,希古居,zh-TW
Xinyue Kiosk,新月軒,zh-TW
Yae Publishing House,八重堂,zh-TW
Yanshang Teahouse,岩上茶室,zh-TW
Yayoi Lacquerware,彌生漆器,zh-TW
Yuehai Pavilion,月海亭,zh-TW
Zakan's Street Bites,扎坎小吃攤,zh-TW
Zubayr Theater,祖拜爾劇場,zh-TW
「夢見月のホッと一息」,「夢見月的舒心小站」,zh-TW
「梦见月的舒心小站」,「夢見月的舒心小站」,zh-TW
アシャの宝庫,阿夏的寶庫,zh-TW
アジャンタ彫刻店,阿折羅造像,zh-TW
ウィカラ隊商宿,維卡拉商棧,zh-TW
エンジェルズシェア,天使的饋贈,zh-TW
カフェ・ルツェルン,露澤咖啡廳,zh-TW
カーレス線,卡雷斯線,zh-TW
キャッツテール,貓尾酒館,zh-TW
クレメンタイン線,克萊門汀線,zh-TW
サービス食,福利餐,zh-TW
ザカンの屋台,扎坎小吃攤,zh-TW
ジャファータバーン,迪亞法飯店,zh-TW
ジャンペ楽器店,金貝樂棚,zh-TW
ストリート ファイティング フォンテニアン,灰河街鬥士,zh-TW
スプリング・ヴィレッジ,春景花房,zh-TW
スペランザ,斯偑蘭扎,zh-TW
ズバイルシアター,祖拜爾劇場,zh-TW
セントラルポートホール,總站大廳,zh-TW
セーリングブリーズ,遠航之風,zh-TW
ダーモヴィル雑貨店,達莫維百貨,zh-TW
ドランクハニー,醅蜜,zh-TW
ナッツ＆ナット,堅果與螺釘,zh-TW
ナヴィア線,娜維婭線,zh-TW
バーティンの珍奇館,白棠珍奇屋,zh-TW
ビマリスタン,健康之家,zh-TW
ファロス灯台,法邏斯燈塔,zh-TW
フラッグシップ,旗艦,zh-TW
フローラルウィスパー,繁花之語,zh-TW
プスパカフェ,普斯帕咖啡館,zh-TW
ホテル・ドゥボール,德波大飯店,zh-TW
ボーモント工房,博蒙特工坊,zh-TW
ポート・ロマリタイム,海露站,zh-TW
ミミール書店,秘謎書屋,zh-TW
ミードボーイ,蜜酒小子,zh-TW
ムフル宝石店,穆胡魯寶石鋪,zh-TW
メナケリーショップ,梅娜卡里商鋪,zh-TW
モンドショップ,蒙德百货,zh-TW
ラグ&ボーンショップ,破爛骨頭商店,zh-TW
ランバド酒場,蘭巴德酒館,zh-TW
ルポート時計店,勒波特鐘錶店,zh-TW
レグザー庁,聚砂廳,zh-TW
レシュッツのクロックワーク工房,萊舒的發條工坊,zh-TW
ヴォイニッチ商会,伏尼契商會,zh-TW
万文集舍,萬文集舍,zh-TW
万文集舎,萬文集舍,zh-TW
万有商舗,萬有鋪子,zh-TW
万有铺子,萬有鋪子,zh-TW
万民堂,萬民堂,zh-TW
万民堂,萬民堂,zh-TW
万端珊瑚侦探社,萬端珊瑚偵探社,zh-TW
万端珊瑚探偵所,萬端珊瑚偵探社,zh-TW
三杯酔,三碗不過港,zh-TW
三碗不过港,三碗不過港,zh-TW
不卜庐,不卜廬,zh-TW
乌有亭,烏有亭,zh-TW
伏尼契商会,伏尼契商會,zh-TW
克莱门汀线,克萊門汀線,zh-TW
兰巴德酒馆,蘭巴德酒館,zh-TW
勒波特钟表店,勒波特鐘錶店,zh-TW
北国銀行,北國銀行,zh-TW
北国银行,北國銀行,zh-TW
千织屋,千織屋,zh-TW
卡雷斯线,卡雷斯線,zh-TW
原火の玉座,源火之聖座,zh-TW
和裕茶馆,和裕茶館,zh-TW
坚果与螺钉,堅果與螺釘,zh-TW
天井屋,天頂屋,zh-TW
天使的馈赠,天使的饋贈,zh-TW
天目锻冶屋,天目鍛冶屋,zh-TW
天顶屋,天頂屋,zh-TW
太阳,太陽,zh-TW
娜维娅线,娜維婭線,zh-TW
寒鋒鉄器,寒鋒鐵器,zh-TW
寒锋铁器,寒鋒鐵器,zh-TW
小仓屋,小倉屋,zh-TW
弥生漆器,彌生漆器,zh-TW
弥生漆器,彌生漆器,zh-TW
德波大饭店,德波大飯店,zh-TW
总站大厅,總站大廳,zh-TW
扎坎小吃摊,扎坎小吃攤,zh-TW
拳力斗技场,拳力鬥技場,zh-TW
斯偑兰扎,斯偑蘭扎,zh-TW
新月轩,新月軒,zh-TW
旗舰,旗艦,zh-TW
明星斋,明星齋,zh-TW
明星斎,明星齋,zh-TW
春香窑,春香窯,zh-TW
普斯帕咖啡馆,普斯帕咖啡館,zh-TW
智慧宫,智慧宮,zh-TW
木漏茶屋,木漏茶室,zh-TW
栄光の風,榮光之風,zh-TW
根付の源,根付之源,zh-TW
梅娜卡里商铺,梅娜卡里商鋪,zh-TW
法逻斯灯塔,法邏斯燈塔,zh-TW
源火之圣座,源火之聖座,zh-TW
灰河街斗士,灰河街鬥士,zh-TW
特別許可食堂,特許食堂,zh-TW
特许食堂,特許食堂,zh-TW
猎鹿人,獵鹿人,zh-TW
猫尾酒馆,貓尾酒館,zh-TW
甘露の池,甘露池,zh-TW
白驹逆旅,白駒逆旅,zh-TW
知恵の殿堂,智慧宮,zh-TW
破烂骨头商店,破爛骨頭商店,zh-TW
祖拜尔剧场,祖拜爾劇場,zh-TW
秋沙銭湯,秋沙錢湯,zh-TW
秋沙钱汤,秋沙錢湯,zh-TW
秘谜书屋,秘謎書屋,zh-TW
穆胡鲁宝石铺,穆胡魯寶石鋪,zh-TW
繁花之语,繁花之語,zh-TW
维卡拉商栈,維卡拉商棧,zh-TW
聚砂厅,聚砂廳,zh-TW
花言葉,花語,zh-TW
花语,花語,zh-TW
草臥の家,倦意之屋,zh-TW
荣光之风,榮光之風,zh-TW
莱舒的发条工坊,萊舒的發條工坊,zh-TW
葱茏之愿,蔥蘢之願,zh-TW
蒙德百貨,蒙德百货,zh-TW
豊穣の願い,蔥蘢之願,zh-TW
达莫维百货,達莫維百貨,zh-TW
远国监司,遠國監司,zh-TW
远航之风,遠航之風,zh-TW
迪亚法饭店,迪亞法飯店,zh-TW
遠国監察,遠國監司,zh-TW
金贝乐棚,金貝樂棚,zh-TW
鉄拳闘技場,拳力鬥技場,zh-TW
長野原花火屋,長野原煙花店,zh-TW
长野原烟花店,長野原煙花店,zh-TW
阿夏的宝库,阿夏的寶庫,zh-TW
阿折罗造像,阿折羅造像,zh-TW
露泽咖啡厅,露澤咖啡廳,zh-TW
魚たちの家,魚群之家,zh-TW
鱼群之家,魚群之家,zh-TW
鹿狩り,獵鹿人,zh-TW
