category,category_label,id,zh-CN,ja-JP,zh-TW,en-US,ko-KR,th-TH,src_table
05_favor_item,爱用品,Item.5000,波浪猫枕,ウェーブキャットの枕,波浪貓造型枕,Wavecat Pillow,웨이브캣 베개,หมอนเวฟแคท,items.json
05_favor_item,爱用品,Item.5001,佩洛洛健腹滚轮,ペロロの腹筋ローラー,佩洛洛健腹滾輪,Peroro Wheel,페로로 휠 슬라이드,ลูกกลิ้งบริหารท้อง เพโรโร่,items.json
05_favor_item,爱用品,Item.5002,A-Pods Pro,エーポッドプロ,aPod Pro,A-Pods Pro,에이~팟 프로,แอร์พอดส์โปร,items.json
05_favor_item,爱用品,Item.5003,禁忌之恋 ～不被允许才更加美好～,禁断の愛 〜許されないからこそ美しく〜,禁忌之戀 ~不被允許的戀情才更加美好~,Forbidden Love: Its beauty lies in its illicitness,"금단의 연애 ~허락되지 않아서, 더욱 아름다운 사랑~",นิยายความรักต้องห้าม [รักนี้มิอาจกั้น],items.json
05_favor_item,爱用品,Item.5004,游戏杂志「Hit Girls」,ゲームマガジン 「ヒットガールズ」,遊戲雜誌 『Hit girls 』,Hitgirls Gaming Magazine,게임 잡지 『히트걸즈』,นิตยสารเกม [ฮิตเกิร์ล],items.json
05_favor_item,爱用品,Item.5005,樱桃玫瑰唇彩,チェリーローズカラーのグロス,櫻桃玫瑰唇彩,Cherry-Rose Lip Gloss,체리로즈 립글로즈,ลิปกลอสเชอรี่โรส,items.json
05_favor_item,爱用品,Item.5006,让肌肤清透的BB霜,お肌を透明にするBBクリーム,讓肌膚清透的BB霜,Glassy Glow BB Cream,피부까지 투명해지는 BB크림,BB ครีมผิวเด้ง,items.json
05_favor_item,爱用品,Item.5007,三合一军用迷彩霜,ミリタリー用カモフラージュクリーム3種セット,軍事3重偽裝用粉底霜,Military Camo Foundation Trio,밀리터리 3종 위장용 파운데이션,ครีมพรางตัวทหาร รุ่น 3 สี,items.json
05_favor_item,爱用品,Item.5008,高级盒装饼干,高級なクッキーセット,高級餅乾組合,Fine Cookie Set,고급 쿠키 세트,กล่องคุกกี้หรู,items.json
05_favor_item,爱用品,Item.5009,『枪 可爱 青春』,『銃 可愛い 青春』,&lt;槍、可愛、青春&gt;,"Guns, Charm, and Zeal","&lt;총, 귀여움, 청춘&gt;",หนังสือ [ปืน ความน่ารักและวัยรุ่น],items.json
05_favor_item,爱用品,Item.5010,天文望远镜,天体望遠鏡,天文望遠鏡,Astronomical Telescope,천체망원경,กล้องส่องดูดาว,items.json
05_favor_item,爱用品,Item.5011,Game Girl Color复刻版,ゲームガールカラー復刻版,Game Girl Color 復刻版,Gamegirl Color Replica,게임걸 컬러 복각판,เครื่องเกมเกิร์ลสี รุ่นผลิตใหม่,items.json
05_favor_item,爱用品,Item.5012,MX-口粮 C型甜点风味,MX-レーションC型デザート風味,MX-ration C型甜點口味,MX-Ration C-Type Dessert Flavor,MX-레이션 C형 디저트 맛,แป้งทำขนมแบบ C MX-เรชั่น,items.json
05_favor_item,爱用品,Item.5013,抹茶味弹珠汽水,抹茶味の瓶ラムネ,抹茶口味彈珠汽水,Matcha Ramune,말차맛 라무네,น้ำรามูเนะรสชาเขียว,items.json
05_favor_item,爱用品,Item.5014,果冻软垫,ゼリーズの枕,果凍軟墊,Jellies Cushion,젤리즈 쿠션,หมอนเจลลี่,items.json
05_favor_item,爱用品,Item.5015,超绝兔子侦探 ～被烟雾遮掩的温泉滑倒事件～,跳躍探偵ウサギ 〜霧に包まれた温泉での滑落〜,超絕兔子偵探~被煙霧遮掩的溫泉滑倒事件~,Extraordinary Cottontail Detective- Case of the Misty Hot Spring Slide -,초절 토끼 탐정~안개로 가려진 온천 미끄덩 사건~,หนังสือกระต่ายยอดนักสืบ [คดีในหมอกน้ำพุร้อน],items.json
05_favor_item,爱用品,Item.5016,O-Fit,O-フィット,O-奧比特,Ring Bit,O-오피트,O-ริงฟิต,items.json
05_favor_item,爱用品,Item.5017,藏宝图,埋蔵金の地図,藏寶圖,Buried Treasure Map,매장금의 지도,แผนที่ขุมทรัพย์,items.json
05_favor_item,爱用品,Item.5018,cosplay用旋圈眼镜,コスプレ用ぐるぐるメガネ,cosplay用的圈圈眼鏡,Cosplayer Coke-Bottle Glasses,코스프레용 뱅뱅이 안경,แว่นแฟนซีลายวน,items.json
05_favor_item,爱用品,Item.5019,世界上最没用的机器盒,世界で最も無駄な絡繰りボックス,世界上最沒用的機器,World&#x27;s Most Useless Gadget,세상에서 가장 쓸데없는 기계,เครื่องที่ไร้ประโยชน์ ที่สุดในโลก,items.json
05_favor_item,爱用品,Item.5020,绑着蝴蝶结的熊娃娃,リボンのついた熊のぬいぐるみ,綁著蝴蝶結的熊娃娃,Teddy Bear with Bow,리본이 달린 곰인형,ตุ๊กตาหมีผูกโบว์,items.json
05_favor_item,爱用品,Item.5021,预售电影双人票,映画の前売りペアチケット,電影預售票,Movie Ticket,영화 예매권,ตั๋วหนังแบบ จองล่วงหน้า,items.json
05_favor_item,爱用品,Item.5022,30色颜料组合,30色の絵の具セット,30色顏料組合,30-Color Paint Set,30색 물감 세트,เซ็ตสีน้ำ 30 สี,items.json
05_favor_item,爱用品,Item.5023,古典诗集,古典の詩集,古典詩集,Classical Poetry Anthology,고전 시집,บทกวีคลาสสิก,items.json
05_favor_item,爱用品,Item.5024,可爱餐具组合,可愛い食器セット,可愛器皿組合,Cute Dishware Set,귀여운 그릇 세트,เซ็ตจานชามลายน่ารัก,items.json
05_favor_item,爱用品,Item.5025,智力开发魔方,頭脳開発キューブパズル,智力開發用拼圖方塊,Brain Teaser Puzzle Cube,두뇌개발용 퍼즐 큐브,รูบิคลับสมอง,items.json
05_favor_item,爱用品,Item.5026,大型蛋糕,大きなホールケーキ,大型蛋糕,Large Whole Cake,대형 홀 케이크,เค้กก้อนใหญ่,items.json
05_favor_item,爱用品,Item.5027,高级自助餐招待券,ハイクラスビュッフェ招待券,高級自助餐招待券,Luxury Buffet Ticket,고급 뷔페 초대권,บัตรบุฟเฟ่ต์หรู,items.json
05_favor_item,爱用品,Item.5028,食虫植物盆栽,食虫植物の植木鉢,食蟲植物花盆,Potted Bug-Eating Plant,식충식물 화분,กระถางต้นไม้กินแมลง,items.json
05_favor_item,爱用品,Item.5029,看上去很高级的欲望之坛,高級そうな欲望のつぼ,看起來很貴的金箔慾望之罈,Extravagant Gilded Jar of Greed,비싸보이는 금박 욕망의 항아리,ไหทองคำที่ดูแพง,items.json
05_favor_item,爱用品,Item.5030,发条八音盒,ぜんまい式オルゴール,發條音樂盒,Wind-Up Music Box,태엽장치 오르골,กล่องดนตรีไขลาน,items.json
05_favor_item,爱用品,Item.5031,刺绣手帕,刺繍付きのハンカチ,刺繡手帕,Embroidered Handkerchief,자수가 놓인 손수건,ผ้าเช็ดหน้าปักลาย,items.json
05_favor_item,爱用品,Item.5032,百科全书,百科事典,百科辭典,Encyclopedia,백과사전,สารานุกรม,items.json
05_favor_item,爱用品,Item.5033,The·Supplement,ザ・サプリメント,健康輔助食品,Health Food Supplement,건강보조식품,อาหารเสริมเพื่อสุขภาพ,items.json
05_favor_item,爱用品,Item.5034,夏忆泳圈,夏模様の浮き輪,夏天用泳圈,Summer Floaty,여름용 튜브,ห่วงยางฤดูร้อน,items.json
05_favor_item,爱用品,Item.5100,蕾丝枕头,レースの枕,蕾絲枕頭,Lace Pillow,레이스 베개,หมอนลูกไม้,items.json
05_favor_item,爱用品,Item.5101,街头混混 第1卷,ストリートオブヤンキー1巻,街頭混混系列第1本,Streets of Thugs Vol. 1,스트리트 오브 불량배 1권,เส้นทางสายนักเลง เล่ม 1,items.json
05_favor_item,爱用品,Item.5102,莎慕艾菈「The·Beyond」,サミュエラ「ザ・ビヨンド」,莎姆艾菈「The．Beyond」,Samuela &quot;The Beyond&quot;,사무엘라 &lt;더 비욘드&gt;,ซามูเอล &lt;เดอะ บียอนด์&gt;,items.json
05_favor_item,爱用品,Item.5103,复古蛋形工艺品,レトロな卵の工芸品,高級蛋形工藝品,Antique Egg Handicraft,고풍스러운 달걀 공예품,งานฝีมือไข่โบราณ,items.json
05_favor_item,爱用品,Item.5104,正宗千层芭菲,ミルフィーユの正統派パフェ,Café．Mille-feuille的正宗百匯,Mille-Feuille Traditional Parfait,밀피유의 정통 파르페,มิลเฟยพาร์เฟ่ต์,items.json
05_favor_item,爱用品,Item.5105,A～Book Rare,エイ～ブックレア,A～Book Rare,Airbook Rare,에이~북 레어,แอร์บุ๊ก แรร์,items.json
05_favor_item,爱用品,Item.5106,时髦梳子,おしゃれなくし,時髦梳子,Sophisticated Hairbrush,세련된 머리빗,หวีที่มีสไตล์,items.json
