source,target,tgt_lng
Abgrundbote – Reißender Strom,Вестник Бездны: Злые течения,ru-RU
Abgrundsänger – Abgrundflammen,Чтец Бездны: Пламя бездны,ru-RU
Abgrundsänger – Lila Blitze,Чтец Бездны: Пурпурная молния,ru-RU
Ablutionneuse des Érémites,Пустынник: Родник в песках,ru-RU
Abyss Herald - Wicked Torrents,Вестник Бездны: Злые течения,ru-RU
Abyss Herald: Wicked Torrents,Вестник Бездны: Злые течения,ru-RU
Abyss Lector - Fathomless Flames,Чтец Бездны: Пламя бездны,ru-RU
Abyss Lector - Violet Lightning,Чтец Бездны: Пурпурная молния,ru-RU
Abyss Lector: Fathomless Flames,Чтец Бездны: Пламя бездны,ru-RU
Abyss Lector: Violet Lightning,Чтец Бездны: Пурпурная молния,ru-RU
Agente dei Fatui di Pyro,Фатуи: Пиро агент,ru-RU
Ahşap Kalkanlı Dağ Azmanı,Митачурл с деревянным щитом,ru-RU
Alev Baltalı Dağ Azmanı,Митачурл с огненным топором,ru-RU
All-Devouring Narwhal,Всепожирающий нарвал,ru-RU
Altın Alevli Gukuzor Tiran,Кукузавр-тиран золотого пламени,ru-RU
Anemo Samachurl,Анемо шамачурл,ru-RU
Anemo-Samachurl,Анемо шамачурл,ru-RU
Annihilation Specialist Mek,Спецмек: Ликвидация,ru-RU
Annihilation Specialist Mek - Ousia,Спецмек: Ликвидация (усия),ru-RU
Annihilation Specialist Mek - Pneuma,Спецмек: Ликвидация (пневма),ru-RU
Apep Vahası'nın Muhafızı,Страж оазиса Апеп,ru-RU
Apostolo dell'Abisso: Torrenti maligni,Вестник Бездны: Злые течения,ru-RU
Apóstolo do Abismo - Corrente Torrencial,Вестник Бездны: Злые течения,ru-RU
Apôtre de l'Abîme - Torrent,Вестник Бездны: Злые течения,ru-RU
Arbalétrier Brutocollinus,Хиличурл-стрелок,ru-RU
Arbalétrier Brutocollinus Cryo,Крио хиличурл-стрелок,ru-RU
Arbalétrier Brutocollinus Électro,Электро хиличурл-стрелок,ru-RU
Arithmetic Enhancer Mek,Мек: Улучшение вычислений,ru-RU
Arithmetic Enhancer Mek - Ousia,Мек: Улучшение вычислений (усия),ru-RU
Arithmetic Enhancer Mek - Pneuma,Мек: Улучшение вычислений (пневма),ru-RU
Assault Specialist Mek,Спецмек: Штурм,ru-RU
Assault Specialist Mek - Ousia,Спецмек: Штурм (усия),ru-RU
Assault Specialist Mek - Pneuma,Спецмек: Штурм (пневма),ru-RU
