source,target,tgt_lng
"""4½""",4½,de-DE
"""A Vida é Bela""",La vita è bella,de-DE
"""A vida é bela"".",„Das Leben ist schön.“,de-DE
"""Baiadoce"" lançado",Süße Puffs erfolgreich genutzt,de-DE
"""Baiadoces"" insuficientes","Zu wenige „Süße Puffs“, Nutzung nicht möglich",de-DE
"""Bountiful Waves"" event",Event „Gaben der Meeresflut“,de-DE
"""Cena de Reparo do Departamento de Engenharia""",Reparatur-Szene in Ingenieurabteilung,de-DE
"""Coisinha""",„Kleines Ding“,de-DE
"""Cracked! Bolt!"" Fish Jar",„Knack! Weg hier!“-Fischkonserve,de-DE
"""Cubie Derby: Warmup"" Event",Würfel-Derby: Aufwärmen,de-DE
"""Department of Engineering Repair Scene""",Reparatur-Szene in Ingenieurabteilung,de-DE
"""Esfera Armilar Celeste""",„Himmelsschreiber-Armillarsphäre“,de-DE
"""Every cloud tenderly kisses your soul.""",„Jede Wolke streicht sanft deine Seele an“,de-DE
"""Feliz Aniversário""",Alles Gute zum Geburtstag,de-DE
"""Festivais Não Fazem Bis""",„Feste kommen ohne Encore“,de-DE
"""Festivals Don't Encore""",„Feste kommen ohne Encore“,de-DE
"""Happy Birthday""",Alles Gute zum Geburtstag,de-DE
"""Hop on!""",„Steig auf!“,de-DE
"""I will remain here and fulfill my duties.""",„Ich werde hier bleiben und meine Pflichten erfüllen.“,de-DE
"""Into the Land of Paradox"" event",Ins Land der Paradoxien,de-DE
"""Journey well.""",„Gute Reise“,de-DE
"""Lady Miko"" de Ashinohara",Die legendäre Miko aus Ashinohara,de-DE
"""Let's Go Back Together""",Lass uns zurückgehen. Zusammen.,de-DE
"""Life is Beautiful""",La vita è bella,de-DE
"""Life is beautiful.""",„Das Leben ist schön.“,de-DE
"""Life of a Resonator""",Leben des Resonators,de-DE
"""Little Thing""",„Kleines Ding“,de-DE
"""Masque por Mais 5 Segundos""",„5 Sekunden länger schlemmen!“,de-DE
"""Monster"" in the Train",„Monster“ im Zug,de-DE
"""Monstro"" no Trem",„Monster“ im Zug,de-DE
"""Munch for 5 More Seconds""",„5 Sekunden länger schlemmen!“,de-DE
"""Pequeñaja""",„Kleines Ding“,de-DE
"""Phantasma Dreamland"" Event",Phantasma: Traumland,de-DE
"""Roteiro""",„Skript“,de-DE
"""Script""",„Skript“,de-DE
"""Second Coming of Solaris: Collab Season"" event",Der Sol-2: Crossover-Saison,de-DE
"""Sol"" Subterrâneo",Unterirdische „Sonne“,de-DE
"""Sonhos Negociáveis""",„Traumeinsatz“,de-DE
"""Suba!""",„Steig auf!“,de-DE
"""Sweet Puff"" launched",Süße Puffs erfolgreich genutzt,de-DE
"""Tenha uma boa viagem.""",„Gute Reise“,de-DE
"""Then let's fall together... You and I.""",„Dann lass uns zusammen fallen... Du und ich.“,de-DE
"""Tradable Dreams""",„Traumeinsatz“,de-DE
"""Vamos Voltar Juntos""",Lass uns zurückgehen. Zusammen.,de-DE
"""Vida de um Ressonante""",Leben des Resonators,de-DE
"""Whoa, there are so many Aetherfins here!""","„Wahnsinn, es gibt hier so viele Aetherfine!“",de-DE
"""{0}"" and ""{1}"" cannot be equipped at the same time",{0} und {1} können nicht gleichzeitig ausgerüstet werden.,de-DE
"""{0}"" e ""{1}"" não podem ser equipados ao mesmo tempo",{0} und {1} können nicht gleichzeitig ausgerüstet werden.,de-DE
"""{0}"" 임무를 먼저 완료해야 합니다",Du musst zuerst die Quest {0} abschließen,de-DE
"""กลับไปด้วยกันเถอะ""",Lass uns zurückgehen. Zusammen.,de-DE
"""ขอหม่ำต่ออีก 5 วิ!""",„5 Sekunden länger schlemmen!“,de-DE
"""ขอให้สนุกกับการเดินทาง""",„Gute Reise“,de-DE
"""ขึ้นรถ!""",„Steig auf!“,de-DE
"""ความฝันที่แลกเปลี่ยนได้""",„Traumeinsatz“,de-DE
