source,target,tgt_lng
 %s/%s mensagem(ns) selecionada(s),เลือกข้อความ %s/%s ข้อความ,th-TH
 (con mods), (มีการดัดแปร),th-TH
 (Modded), (มีการดัดแปร),th-TH
 (modificado), (มีการดัดแปร),th-TH
 (modificato), (มีการดัดแปร),th-TH
 (modifiziert), (มีการดัดแปร),th-TH
 (Modlu), (มีการดัดแปร),th-TH
 (version moddée), (มีการดัดแปร),th-TH
 (Đã được sửa đổi), (มีการดัดแปร),th-TH
 (модифицировано), (มีการดัดแปร),th-TH
 (모드), (มีการดัดแปร),th-TH
"""%s"" adlı oyuncuyu bildiriyorsunuz.","คุณกำลังรายงาน ""%s""",th-TH
"""%s""을(를) 신고하려 합니다.","คุณกำลังรายงาน ""%s""",th-TH
%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,บันทึกแถบลัดด้วย %1$s + %2$s,th-TH
%1$s + %2$s을(를) 눌러 단축 바를 저장할 수 있습니다,บันทึกแถบลัดด้วย %1$s + %2$s,th-TH
%1$s 在 %3$s 說：%2$s,%s พูด: %s ที่ %s,th-TH
%1$s 著,โดย %1$s,th-TH
%1$s+%2$sでホットバーを保存します,บันทึกแถบลัดด้วย %1$s + %2$s,th-TH
%1$sで立ち上がる,กด %1$s เพื่อลุกขึ้น,th-TH
%1$sで降りる,กด %1$s เพื่อลงจากพาหนะ,th-TH
%1$sの%3$sでの発言：%2$s,%s พูด: %s ที่ %s,th-TH
%1$s在%3$s说：%2$s,%s พูด: %s ที่ %s,th-TH
%1$s이(가) 씀,โดย %1$s,th-TH
%1$s／%2$sページ,หน้า %1$s จาก %2$s,th-TH
%2$s× %1$s,%s x %s,th-TH
%2$s個中%1$s個のメッセージを選択,เลือกข้อความ %s/%s ข้อความ,th-TH
%2$s쪽 중 %1$s쪽,หน้า %1$s จาก %2$s,th-TH
"%s

%s

Buradan daha fazlasını öğrenin: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Consulta más información en el siguiente enlace: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Erfahre mehr unter folgendem Link: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Learn more at the following link: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Pour en savoir plus, consultez le lien suivant : %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Saiba mais no link: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Scopri di più al collegamento seguente: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Tìm hiểu thêm tại liên kết sau: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

Подробнее по ссылке: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

点击以下链接了解更多：%s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

詳細はこちらのリンクから確認できます：%s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

透過以下連結了解更多：%s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
"%s

%s

더 자세한 정보는 다음 링크에 있습니다: %s","%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s",th-TH
%s %s個,%s x %s,th-TH
%s (%s шт.),%s x %s,th-TH
%s (attualmente nascosta),%s: ปัจจุบันปิดอยู่,th-TH
%s (attualmente sempre visibile),%s: ปัจจุบันแสดงเสมอ,th-TH
%s (attualmente visibile nel cruscotto),%s: ปัจจุบันแสดงผลแค่ในโอเวอร์เลย์ดีบั๊ก,th-TH
%s (attualmente visibile premendo F3),%s: ปัจจุบันแสดงเฉพาะใน F3,th-TH
%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,การกด %s + %s ค้างไว้จะทำให้เกมแครชหากไม่ปล่อย,th-TH
%s + %s is held down. This will crash the game unless released.,การกด %s + %s ค้างไว้จะทำให้เกมแครชหากไม่ปล่อย,th-TH
%s + %s pressionados. O jogo será interrompido a menos que solte.,การกด %s + %s ค้างไว้จะทำให้เกมแครชหากไม่ปล่อย,th-TH
"%s + %s sind gedrückt. Dies wird das Spiel abstürzen lassen, wenn sie nicht losgelassen werden.",การกด %s + %s ค้างไว้จะทำให้เกมแครชหากไม่ปล่อย,th-TH
%s + %s đã được giữ. Điều này sẽ làm trò chơi gặp sự cố trừ khi thả phím ra.,การกด %s + %s ค้างไว้จะทำให้เกมแครชหากไม่ปล่อย,th-TH
