source,target,tgt_lng
Beute wurde verbessert.,Более щедрые награды,ru-RU
Canavar ve Boss Düşmanların seviyesi yükseldi,Повышены уровни монстров и боссов,ru-RU
Canavar ve Boss Düşmanların seviyesi yükseldi. Düşen ödüller geliştirildi.,Повышены уровни монстров и боссов,ru-RU
Co-Op system unlocked,Режим совместной игры открыт,ru-RU
Commission & Dispatch system unlocked,Система экспедиций и поручений открыта,ru-RU
Cấp thế giới tăng đến Cấp 1,Новый уровень мира - 1,ru-RU
Cấp thế giới tăng đến Cấp 3,Новый уровень мира - 3,ru-RU
Das Limit der Abenteuerstufe wurde auf Stufe 25 erhöht.,Макс. Ранг приключений - 25,ru-RU
Das Limit der Abenteuerstufe wurde auf Stufe 35 erhöht.,Макс. Ранг приключений - 35,ru-RU
Das Limit der Abenteuerstufe wurde auf Stufe 45 erhöht.,Макс. Ранг приключений - 45,ru-RU
Das Limit der Abenteuerstufe wurde auf Stufe 60 erhöht.,Макс. Ранг приключений - 60,ru-RU
Drops de recompensas elevadas,Более щедрые награды,ru-RU
Dünya Seviyesi 1'e yükseldi,Новый уровень мира - 1,ru-RU
Dünya Seviyesi 3'e yükseldi,Новый уровень мира - 3,ru-RU
Dünya Seviyesi yükseldi,Новый уровень мира,ru-RU
Düşen ödüller geliştirildi.,Более щедрые награды,ru-RU
El Mundo subió a Niv. 1,Новый уровень мира - 1,ru-RU
El Mundo subió a Niv. 3,Новый уровень мира - 3,ru-RU
El Mundo subió de nivel,Новый уровень мира,ru-RU
Expedition Dispatch Limit Increased,Лимит экспедиции повышен,ru-RU
Eşli sistem açıldı.,Режим совместной игры открыт,ru-RU
Giới hạn Hạng Mạo Hiểm tăng đến cấp 45,Макс. Ранг приключений - 45,ru-RU
Giới hạn Hạng Mạo Hiểm tăng đến cấp 60,Макс. Ранг приключений - 60,ru-RU
Il grado avventura max è salito a 25,Макс. Ранг приключений - 25,ru-RU
Il grado avventura max è salito a 35,Макс. Ранг приключений - 35,ru-RU
Il grado avventura max è salito a 45,Макс. Ранг приключений - 45,ru-RU
Il grado avventura max è salito a 60,Макс. Ранг приключений - 60,ru-RU
Il livello del mondo è salito,Новый уровень мира,ru-RU
Il livello del mondo è salito a 1,Новый уровень мира - 1,ru-RU
Il livello del mondo è salito a 3,Новый уровень мира - 3,ru-RU
Il livello di mostri e boss è aumentato,Повышены уровни монстров и боссов,ru-RU
Keşif Gönderim Sınırı Yükseltildi,Лимит экспедиции повышен,ru-RU
La limite de Niv. d'aventure passe au Niv.25.,Более щедрые награды,ru-RU
La limite de Niv. d'aventure passe au Niv.35.,Более щедрые награды,ru-RU
