source,target,tgt_lng
Abandoned Camp Map,废弃营地地图,zh-CN
Acacia Boat,金合欢木船,zh-CN
Acacia Boat with Chest,金合欢木运输船,zh-CN
Allay Spawn Egg,悦灵刷怪蛋,zh-CN
Amethyst Shard,紫水晶碎片,zh-CN
Angler Pottery Sherd,垂钓纹样陶片,zh-CN
Apple,苹果,zh-CN
Archer Pottery Sherd,弓箭纹样陶片,zh-CN
Armadillo Scute,犰狳鳞甲,zh-CN
Armadillo Spawn Egg,犰狳刷怪蛋,zh-CN
Armor Stand,盔甲架,zh-CN
Arms Up Pottery Sherd,举臂纹样陶片,zh-CN
Arrow,箭,zh-CN
Arrow of Decay,衰变之箭,zh-CN
Arrow of Fire Resistance,抗火之箭,zh-CN
Arrow of Harming,伤害之箭,zh-CN
Arrow of Healing,治疗之箭,zh-CN
Arrow of Infestation,虫蚀之箭,zh-CN
Arrow of Invisibility,隐身之箭,zh-CN
Arrow of Leaping,跳跃之箭,zh-CN
Arrow of Luck,幸运之箭,zh-CN
Arrow of Night Vision,夜视之箭,zh-CN
Arrow of Oozing,渗浆之箭,zh-CN
Arrow of Poison,剧毒之箭,zh-CN
Arrow of Regeneration,再生之箭,zh-CN
Arrow of Slow Falling,缓降之箭,zh-CN
Arrow of Slowness,迟缓之箭,zh-CN
Arrow of Splashing,喷溅之箭,zh-CN
Arrow of Strength,力量之箭,zh-CN
Arrow of Swiftness,迅捷之箭,zh-CN
Arrow of the Turtle Master,神龟之箭,zh-CN
Arrow of Water Breathing,水肺之箭,zh-CN
Arrow of Weakness,虚弱之箭,zh-CN
Arrow of Weaving,盘丝之箭,zh-CN
Arrow of Wind Charging,蓄风之箭,zh-CN
Awkward Lingering Potion,滞留型粗制的药水,zh-CN
Awkward Potion,粗制的药水,zh-CN
Awkward Splash Potion,喷溅型粗制的药水,zh-CN
Axe,斧,zh-CN
Axolotl Spawn Egg,美西螈刷怪蛋,zh-CN
Baked Potato,烤马铃薯,zh-CN
Bamboo Raft,竹筏,zh-CN
Bamboo Raft with Chest,运输竹筏,zh-CN
Banner Pattern,旗帜图案,zh-CN
Bat Spawn Egg,蝙蝠刷怪蛋,zh-CN
Bee Spawn Egg,蜜蜂刷怪蛋,zh-CN
Beetroot,甜菜根,zh-CN
Beetroot Seeds,甜菜种子,zh-CN
Beetroot Soup,甜菜汤,zh-CN
Birch Boat,白桦木船,zh-CN
Birch Boat with Chest,白桦木运输船,zh-CN
Black Bundle,黑色收纳袋,zh-CN
Black Cushion,黑色坐垫,zh-CN
Black Dye,黑色染料,zh-CN
Black Harness,黑色挽具,zh-CN
Blade Pottery Sherd,利刃纹样陶片,zh-CN
Blaze Powder,烈焰粉,zh-CN
Blaze Rod,烈焰棒,zh-CN
Blaze Spawn Egg,烈焰人刷怪蛋,zh-CN
Blue Bundle,蓝色收纳袋,zh-CN
Blue Cushion,蓝色坐垫,zh-CN
Blue Dye,蓝色染料,zh-CN
Blue Egg,蓝色鸡蛋,zh-CN
Blue Harness,蓝色挽具,zh-CN
Bogged Spawn Egg,沼骸刷怪蛋,zh-CN
Bolt Armor Trim,镶铆盔甲纹饰,zh-CN
Bone,骨头,zh-CN
Bone Meal,骨粉,zh-CN
Book,书,zh-CN
Book And Quill,书与笔,zh-CN
Boots,靴子,zh-CN
Bordure Indented Banner Pattern,波纹边旗帜图案,zh-CN
Bottle o' Enchanting,附魔之瓶,zh-CN
Bow,弓,zh-CN
Bowl,碗,zh-CN
Bread,面包,zh-CN
Breeze Rod,旋风棒,zh-CN
Breeze Spawn Egg,旋风人刷怪蛋,zh-CN
Brewer Pottery Sherd,佳酿纹样陶片,zh-CN
Brewing Stand,酿造台,zh-CN
Brick,红砖,zh-CN
Brown Bundle,棕色收纳袋,zh-CN
Brown Cushion,棕色坐垫,zh-CN
Brown Dye,棕色染料,zh-CN
Brown Egg,棕色鸡蛋,zh-CN
Brown Harness,棕色挽具,zh-CN
Brush,刷子,zh-CN
Bucket,铁桶,zh-CN
Bucket of Axolotl,美西螈桶,zh-CN
Bucket of Cod,鳕鱼桶,zh-CN
Bucket of Pufferfish,河豚桶,zh-CN
Bucket of Salmon,鲑鱼桶,zh-CN
Bucket of Sulfur Cube,硫方怪桶,zh-CN
Bucket of Tadpole,蝌蚪桶,zh-CN
Bucket of Tropical Fish,热带鱼桶,zh-CN
Bundle,收纳袋,zh-CN
Buried Treasure Map,藏宝图,zh-CN
Burn Pottery Sherd,烈焰纹样陶片,zh-CN
Camel Husk Spawn Egg,骆驼尸壳刷怪蛋,zh-CN
Camel Spawn Egg,骆驼刷怪蛋,zh-CN
Carrot,胡萝卜,zh-CN
Carrot on a Stick,胡萝卜钓竿,zh-CN
Cat Spawn Egg,猫刷怪蛋,zh-CN
Cauldron,炼药锅,zh-CN
Cave Spider Spawn Egg,洞穴蜘蛛刷怪蛋,zh-CN
Chainmail Boots,锁链靴子,zh-CN
Chainmail Chestplate,锁链胸甲,zh-CN
Chainmail Helmet,锁链头盔,zh-CN
Chainmail Leggings,锁链护腿,zh-CN
Charcoal,木炭,zh-CN
Cherry Boat,樱花木船,zh-CN
Cherry Boat with Chest,樱花木运输船,zh-CN
Chestplate,胸甲,zh-CN
Chicken Spawn Egg,鸡刷怪蛋,zh-CN
Chorus Fruit,紫颂果,zh-CN
Clay Ball,黏土球,zh-CN
Clock,时钟,zh-CN
Coal,煤炭,zh-CN
Coast Armor Trim,海岸盔甲纹饰,zh-CN
Cocoa Beans,可可豆,zh-CN
Cod Spawn Egg,鳕鱼刷怪蛋,zh-CN
Compass,指南针,zh-CN
Cooked Chicken,熟鸡肉,zh-CN
Cooked Cod,熟鳕鱼,zh-CN
Cooked Mutton,熟羊肉,zh-CN
Cooked Porkchop,熟猪排,zh-CN
Cooked Rabbit,熟兔肉,zh-CN
Cooked Salmon,熟鲑鱼,zh-CN
Cookie,曲奇,zh-CN
Copper Axe,铜斧,zh-CN
Copper Boots,铜靴子,zh-CN
Copper Chestplate,铜胸甲,zh-CN
Copper Golem Spawn Egg,铜傀儡刷怪蛋,zh-CN
Copper Helmet,铜头盔,zh-CN
Copper Hoe,铜锄,zh-CN
Copper Horse Armor,铜马铠,zh-CN
Copper Ingot,铜锭,zh-CN
Copper Leggings,铜护腿,zh-CN
Copper Nautilus Armor,铜鹦鹉螺铠,zh-CN
Copper Nugget,铜粒,zh-CN
Copper Pickaxe,铜镐,zh-CN
Copper Shovel,铜锹,zh-CN
Copper Spear,铜矛,zh-CN
Copper Sword,铜剑,zh-CN
Cow Spawn Egg,牛刷怪蛋,zh-CN
Creaking Spawn Egg,嘎枝刷怪蛋,zh-CN
Creeper Charge Banner Pattern,苦力怕盾徽旗帜图案,zh-CN
Creeper Spawn Egg,苦力怕刷怪蛋,zh-CN
Crossbow,弩,zh-CN
Cyan Bundle,青色收纳袋,zh-CN
Cyan Cushion,青色坐垫,zh-CN
Cyan Dye,青色染料,zh-CN
Cyan Harness,青色挽具,zh-CN
Danger Pottery Sherd,危机纹样陶片,zh-CN
Dark Oak Boat,深色橡木船,zh-CN
Dark Oak Boat with Chest,深色橡木运输船,zh-CN
Debug Stick,调试棒,zh-CN
Desert Pyramid Map,沙漠神殿地图,zh-CN
Desert Village Map,沙漠村庄地图,zh-CN
Diamond,钻石,zh-CN
Diamond Axe,钻石斧,zh-CN
Diamond Boots,钻石靴子,zh-CN
