source,target,tgt_lng
Aaron Cherof - A Familiar Room,Aaron Cherof – A Familiar Room,de-DE
Aaron Cherof - Bromeliad,Aaron Cherof – Bromeliad,de-DE
Aaron Cherof - Crescent Dunes,Aaron Cherof – Crescent Dunes,de-DE
Aaron Cherof - Echo in the Wind,Aaron Cherof – Echo in the Wind,de-DE
Aaron Cherof - Featherfall,Aaron Cherof – Featherfall,de-DE
Aaron Cherof - Puzzlebox,Aaron Cherof – Puzzlebox,de-DE
Aaron Cherof - Watcher,Aaron Cherof – Watcher,de-DE
Aaron Cherof — A Familiar Room,Aaron Cherof – A Familiar Room,de-DE
Aaron Cherof — Bromeliad,Aaron Cherof – Bromeliad,de-DE
Aaron Cherof — Crescent Dunes,Aaron Cherof – Crescent Dunes,de-DE
Aaron Cherof — Echo in the Wind,Aaron Cherof – Echo in the Wind,de-DE
Aaron Cherof — Featherfall,Aaron Cherof – Featherfall,de-DE
Aaron Cherof — Puzzlebox,Aaron Cherof – Puzzlebox,de-DE
Aaron Cherof — Watcher,Aaron Cherof – Watcher,de-DE
Amos Roddy - Below and Above,Amos Roddy – Below and Above,de-DE
Amos Roddy - Broken Clocks,Amos Roddy – Broken Clocks,de-DE
Amos Roddy - Fireflies,Amos Roddy – Fireflies,de-DE
Amos Roddy - Lilypad,Amos Roddy – Lilypad,de-DE
Amos Roddy - O's Piano,Amos Roddy – O’s Piano,de-DE
Amos Roddy — Below and Above,Amos Roddy – Below and Above,de-DE
Amos Roddy — Broken Clocks,Amos Roddy – Broken Clocks,de-DE
Amos Roddy — Fireflies,Amos Roddy – Fireflies,de-DE
Amos Roddy — Lilypad,Amos Roddy – Lilypad,de-DE
Amos Roddy — O's Piano,Amos Roddy – O’s Piano,de-DE
C418 - Alpha,C418 – Alpha,de-DE
C418 - Aria Math,C418 – Aria Math,de-DE
C418 - Axolotl,C418 – Axolotl,de-DE
C418 - Ballad of the Cats,C418 – Ballad of the Cats,de-DE
C418 - Beginning 2,C418 – Beginning 2,de-DE
C418 - Biome Fest,C418 – Biome Fest,de-DE
C418 - Blind Spots,C418 – Blind Spots,de-DE
C418 - Boss,C418 – Boss,de-DE
C418 - Clark,C418 – Clark,de-DE
C418 - Concrete Halls,C418 – Concrete Halls,de-DE
C418 - Danny,C418 – Danny,de-DE
C418 - Dead Voxel,C418 – Dead Voxel,de-DE
C418 - Dragon Fish,C418 – Dragon Fish,de-DE
C418 - Dreiton,C418 – Dreiton,de-DE
C418 - Dry Hands,C418 – Dry Hands,de-DE
C418 - Floating Trees,C418 – Floating Trees,de-DE
C418 - Haggstrom,C418 – Haggstrom,de-DE
C418 - Haunt Muskie,C418 – Haunt Muskie,de-DE
C418 - Haunt Muskie,C418 – Taswell,de-DE
C418 - Key,C418 – Key,de-DE
C418 - Living Mice,C418 – Living Mice,de-DE
C418 - Mice on Venus,C418 – Mice on Venus,de-DE
C418 - Minecraft,C418 – Minecraft,de-DE
C418 - Moog City 2,C418 – Moog City 2,de-DE
C418 - Mutation,C418 – Mutation,de-DE
C418 - Oxygène,C418 – Oxygène,de-DE
C418 - Shuniji,C418 – Shuniji,de-DE
C418 - Subwoofer Lullaby,C418 – Subwoofer Lullaby,de-DE
C418 - Sweden,C418 – Sweden,de-DE
C418 - Taswell,C418 – Taswell,de-DE
C418 - The End,C418 – The End,de-DE
C418 - Warmth,C418 – Warmth,de-DE
C418 - Wet Hands,C418 – Wet Hands,de-DE
C418 — Alpha,C418 – Alpha,de-DE
C418 — Aria Math,C418 – Aria Math,de-DE
C418 — Axolotl,C418 – Axolotl,de-DE
C418 — Ballad of the Cats,C418 – Ballad of the Cats,de-DE
C418 — Beginning 2,C418 – Beginning 2,de-DE
C418 — Biome Fest,C418 – Biome Fest,de-DE
C418 — Blind Spots,C418 – Blind Spots,de-DE
C418 — Boss,C418 – Boss,de-DE
C418 — Clark,C418 – Clark,de-DE
C418 — Concrete Halls,C418 – Concrete Halls,de-DE
C418 — Danny,C418 – Danny,de-DE
C418 — Dead Voxel,C418 – Dead Voxel,de-DE
C418 — Dragon Fish,C418 – Dragon Fish,de-DE
C418 — Dreiton,C418 – Dreiton,de-DE
C418 — Dry Hands,C418 – Dry Hands,de-DE
C418 — Floating Trees,C418 – Floating Trees,de-DE
C418 — Haggstrom,C418 – Haggstrom,de-DE
C418 — Haunt Muskie,C418 – Haunt Muskie,de-DE
C418 — Key,C418 – Key,de-DE
C418 — Living Mice,C418 – Living Mice,de-DE
C418 — Mice on Venus,C418 – Mice on Venus,de-DE
C418 — Minecraft,C418 – Minecraft,de-DE
C418 — Moog City 2,C418 – Moog City 2,de-DE
C418 — Mutation,C418 – Mutation,de-DE
C418 — Oxygène,C418 – Oxygène,de-DE
C418 — Shuniji,C418 – Shuniji,de-DE
C418 — Subwoofer Lullaby,C418 – Subwoofer Lullaby,de-DE
C418 — Sweden,C418 – Sweden,de-DE
C418 — Taswell,C418 – Taswell,de-DE
C418 — The End,C418 – The End,de-DE
C418 — Warmth,C418 – Warmth,de-DE
C418 — Wet Hands,C418 – Wet Hands,de-DE
fingerspit - Ebb,fingerspit – Ebb,de-DE
fingerspit - Home,fingerspit – Home,de-DE
fingerspit - Memories,fingerspit – Memories,de-DE
fingerspit - Nightly,fingerspit – Nightly,de-DE
fingerspit - Shores,fingerspit – Shores,de-DE
fingerspit — Ebb,fingerspit – Ebb,de-DE
fingerspit — Home,fingerspit – Home,de-DE
fingerspit — Memories,fingerspit – Memories,de-DE
fingerspit — Nightly,fingerspit – Nightly,de-DE
fingerspit — Shores,fingerspit – Shores,de-DE
Kumi Tanioka - An Ordinary Day,Kumi Tanioka – An Ordinary Day,de-DE
Kumi Tanioka - Comforting Memories,Kumi Tanioka – Comforting Memories,de-DE
Kumi Tanioka - Floating Dream,Kumi Tanioka – Floating Dream,de-DE
Kumi Tanioka - komorebi,Kumi Tanioka – komorebi,de-DE
Kumi Tanioka - pokopoko,Kumi Tanioka – pokopoko,de-DE
Kumi Tanioka - yakusoku,Kumi Tanioka – yakusoku,de-DE
Kumi Tanioka — An Ordinary Day,Kumi Tanioka – An Ordinary Day,de-DE
Kumi Tanioka — Comforting Memories,Kumi Tanioka – Comforting Memories,de-DE
Kumi Tanioka — Floating Dream,Kumi Tanioka – Floating Dream,de-DE
Kumi Tanioka — komorebi,Kumi Tanioka – komorebi,de-DE
Kumi Tanioka — pokopoko,Kumi Tanioka – pokopoko,de-DE
Kumi Tanioka — yakusoku,Kumi Tanioka – yakusoku,de-DE
Lena Raine - Aerie,Lena Raine – Aerie,de-DE
Lena Raine - Ancestry,Lena Raine – Ancestry,de-DE
