source,target,tgt_lng
"""Bountiful Waves"" event","Evento ""Ondas Abundantes""",pt-BR
"""Cracked! Bolt!"" Fish Jar","Pote de Peixe ""Rachado! Raio!""",pt-BR
"""Cubie Derby: Warmup"" Event","Evento ""Corrida ao Cubo: Aquecimento""",pt-BR
"""Department of Engineering Repair Scene""","""Cena de Reparo do Departamento de Engenharia""",pt-BR
"""Every cloud tenderly kisses your soul.""",“Cada nuvem é um beijo terno na alma.”,pt-BR
"""Festivals Don't Encore""","""Festivais Não Fazem Bis""",pt-BR
"""Happy Birthday""","""Feliz Aniversário""",pt-BR
"""Hop on!""","""Suba!""",pt-BR
"""I will remain here and fulfill my duties.""",“Permanecerei aqui e cumprirei meus deveres.”,pt-BR
"""Into the Land of Paradox"" event","Evento ""Rumo à Terra do Paradoxo""",pt-BR
"""Journey well.""","""Tenha uma boa viagem.""",pt-BR
"""Let's Go Back Together""","""Vamos Voltar Juntos""",pt-BR
"""Life is Beautiful""","""A Vida é Bela""",pt-BR
"""Life is beautiful.""","""A vida é bela"".",pt-BR
"""Life of a Resonator""","""Vida de um Ressonante""",pt-BR
"""Little Thing""","""Coisinha""",pt-BR
"""Monster"" in the Train","""Monstro"" no Trem",pt-BR
"""Munch for 5 More Seconds""","""Masque por Mais 5 Segundos""",pt-BR
"""Pequeñaja""","""Coisinha""",pt-BR
"""Phantasma Dreamland"" Event","Evento ""Terra dos Sonhos Fantasma""",pt-BR
"""Script""","""Roteiro""",pt-BR
"""Second Coming of Solaris: Collab Season"" event","Evento ""Segunda Vinda de Solaris: Temporada Colaborativa""",pt-BR
"""Souvenir"" Geschäft",Loja de lembranças,pt-BR
"""Sweet Puff"" launched","""Baiadoce"" lançado",pt-BR
"""Then let's fall together... You and I.""",“Então cairemos juntos… você e eu.”,pt-BR
"""Tradable Dreams""","""Sonhos Negociáveis""",pt-BR
"""Whoa, there are so many Aetherfins here!""","“Uau, há tantos barbetéreas por aqui!”",pt-BR
"""{0}"" and ""{1}"" cannot be equipped at the same time","""{0}"" e ""{1}"" não podem ser equipados ao mesmo tempo",pt-BR
"""{0}"" 임무를 먼저 완료해야 합니다",Você precisa concluir a missão “{0}” primeiro,pt-BR
"""กลับไปด้วยกันเถอะ""","""Vamos Voltar Juntos""",pt-BR
"""ขอหม่ำต่ออีก 5 วิ!""","""Masque por Mais 5 Segundos""",pt-BR
"""ขอให้สนุกกับการเดินทาง""","""Tenha uma boa viagem.""",pt-BR
"""ขึ้นรถ!""","""Suba!""",pt-BR
"""ความฝันที่แลกเปลี่ยนได้""","""Sonhos Negociáveis""",pt-BR
"""งั้นมาจมลงไปด้วยกัน... คุณกับฉัน""",“Então cairemos juntos… você e eu.”,pt-BR
"""งานฉลองอันแสนล้ำค่า""","""Festivais Não Fazem Bis""",pt-BR
"""งานซ่อมของแผนกวิศวกรรม""","""Cena de Reparo do Departamento de Engenharia""",pt-BR
"""ฉันจะอยู่ที่นี่และทำหน้าที่ของตัวเองให้เสร็จสิ้น""",“Permanecerei aqui e cumprirei meus deveres.”,pt-BR
