source,target,tgt_lng
"""กวาดล้าง""",「섬멸」,ko-KR
"""คอมโบ - กระสุนดังโงะ""",「연타 · 모찌 당고 미사일」,ko-KR
"""คอมโบ - กระสุนดังโงะ"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 모찌 당고 미사일」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""คอมโบ - กระสุนดังโงะเสริมพลัง""",「연타 · 모찌 당고 미사일 · 강화」,ko-KR
"""คอมโบ - กระสุนดังโงะเสริมพลัง"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 모찌 당고 미사일 · 강화」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""คอมโบ - กระสุนสนับสนุน""",「연타 · 지원 미사일」,ko-KR
"""คอมโบ - กระสุนสนับสนุน"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 지원 미사일」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""คอมโบ - กระสุนสนับสนุนเสริมพลัง""",「연타 · 지원 미사일 · 강화」,ko-KR
"""คอมโบ - กระสุนสนับสนุนเสริมพลัง"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 지원 미사일 · 강화」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""คอมโบ - ของหวานจู่โจม""",「연타 · 디저트 타격」,ko-KR
"""คอมโบ - ของหวานจู่โจม"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 디저트 타격」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""คอมโบ - ของหวานจู่โจมเสริมพลัง""",「연타 · 디저트 타격 · 강화」,ko-KR
"""คอมโบ - ของหวานจู่โจมเสริมพลัง"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「연타 · 디저트 타격 · 강화」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""จิตข่มขวัญ""",「위협」,ko-KR
"""จิตวิญญาณกระบี่""",「검혼」,ko-KR
"""ตำนานกิ่งสุวรรณ""",『금빛 가지 기록』,ko-KR
"""ตำนานกิ่งสุวรรณ"" คือบทกวีเล่าเรื่องยาวอันเก่าแก่ของรินาซิตา ซึ่งเป็นงานศิลปะที่เชื่อมโยงตำนานพื้นบ้านของแต่ละชนเผ่าเข้ากับการเผยแผ่ของเซนติเนล และได้บันทึกต้นกำเนิดของงานคาร์นิวัลไว้อย่างละเอียด","『금빛 가지 기록』은 리나시타의 오랜 서사시로, 각 민족의 민간 전설과 수호신의 계시를 연결시킨 최초의 예술 작품이자, 카니발의 기원을 상세히 기록하고 있다",ko-KR
"""ตำราพยากรณ์""",「예언서」,ko-KR
"""ถูกโจมตี""",「피격」,ko-KR
"""บทเพลงทองคำ""",「황금의 노래」,ko-KR
"""บูสต์ - Namipon ช่วยเหลือ""",「증폭 · 나미폰의 지원」,ko-KR
"""บูสต์ - Namipon ช่วยเหลือ"": ฟื้นฟู HP เท่ากับ {0} ของ HP สูงสุดของผู้ใช้ให้กับเรโซเนเตอร์ทั้งหมดทุกวินาที ต่อเนื่อง {1} วินาที",「증폭 · 나미폰의 지원」: 모든 캐릭터가 1초마다 스킬을 발동한 캐릭터의 HP 최대치의 {0}에 해당하는 HP를 회복하고 {1}초간 지속된다,ko-KR
"""บูสต์ - กาแฟปกป้อง""",「증폭 · 커피의 수호」,ko-KR
"""บูสต์ - กาแฟปกป้อง"": มองข้ามความเสียหายจากค่าความเสถียร",「증폭 · 커피의 수호」: 안정치 피해를 면역한다,ko-KR
"""บูสต์ - พึงพอใจ""",「증폭 · 가득한 만족감」,ko-KR
"""บูสต์ - พึงพอใจ"": โบนัสความเสียหายทุกประเภทเพิ่มขึ้น {0} เป็นเวลา {1} วินาที สามารถซ้อนทับได้ {2} ชั้น","「증폭 · 가득한 만족감」: 전체 피해 보너스가 {0} 증가되고, {1}초간 지속되며, 최대 {2}스택 중첩이 가능하다",ko-KR
"""บูสต์ - วิ่งเร็ว""",「증폭 · 질주」,ko-KR
"""บูสต์ - วิ่งเร็ว"": ความเร็วเคลื่อนที่เพิ่มขึ้นอย่างมาก",「증폭 · 질주」: 이동 속도가 대폭 증가된다,ko-KR
"""บูสต์ - เตรียมของหวาน""",「증폭 · 간식 만들기」,ko-KR
"""ปัดป้อง""",「수비」,ko-KR
"""พรสวรรค์งั้นเหรอ?""",「타고난 재능?」,ko-KR
"""ยืนหยัด""",「강건」,ko-KR
"""ย้อนคมดาบ""",「거스른 칼날」,ko-KR
"""ระเบิดพลัง - กาแฟจู่โจม""",「폭발 · 커피의 충격」,ko-KR
"""ระเบิดพลัง - กาแฟจู่โจม"": สร้างความเสียหายเท่ากับ {0} ของค่าโล่ปัจจุบัน",「폭발 · 커피의 충격」: 현재 실드의 {0}에 해당하는 피해를 입힌다,ko-KR
"""ระเบิดพลัง - จู่โจมสายฟ้า""",「폭발 · 파동의 충격」,ko-KR
"""ระเบิดพลัง - จู่โจมสายฟ้า"": สร้างความเสียหายเท่ากับ {0} ของ HP สูงสุดของผู้ใช้ให้กับเป้าหมายรอบข้าง",「폭발 · 파동의 충격」: 주변 목표에게 스킬을 발동한 캐릭터의 HP 최대치의 {0}에 해당하는 피해를 입힌다,ko-KR
"""ราชาแห่งวีรชน""",「영웅의 왕」,ko-KR
"""สถานะ - พิษคลื่นกัดกร่อน""",「이상 · 비명 이상 정화」,ko-KR
"""สถานะ - พิษคลื่นกัดกร่อน"": สร้างความเสียหายเท่ากับ {0} ของ ATK สามารถซ้อนทับได้ {1} ชั้น เปิดใช้งานได้ 1 ครั้งต่อวินาที และมีผลต่อเนื่อง {2} วินาที","「이상 · 비명 이상 정화」: 공격력의 {0}에 해당하는 피해를 입히고, 최대 {1}스택 중첩이 가능하다. 1초마다 1회 발생할 수 있으며, {2}초간 지속된다",ko-KR
"""สถานะแปรปรวน - ฉีกขาด""",「이상 · 열상」,ko-KR
"""สถานะแปรปรวน - ทลายเกราะ""",「이상 · 파갑」,ko-KR
"""สถานะแปรปรวน - สเปกโตรสลายกำลัง""",「이상 · 광학」,ko-KR
"""สถานะแปรปรวน""",「이상」,ko-KR
"""อีกฟากแห่งห้วงฝัน""",「꿈의 외면」,ko-KR
"""เบิร์สต์ - จู่โจมเพลิงโหม""",「폭발 · 불타는 충격」,ko-KR
"""เบิร์สต์ - จู่โจมเพลิงโหม"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「폭발 · 불타는 충격」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
"""เบิร์สต์ - เสาเพลิงลุกโชน""",「폭발 · 불타는 기둥」,ko-KR
"""เบิร์สต์ - เสาเพลิงลุกโชน"": สร้างความเสียหายเท่ากับ {0} ของ ATK",「폭발 · 불타는 기둥」: 공격력의 {0}에 해당하는 피해를 입힌다,ko-KR
+10% Cupones del parque (excepto por Cupones diarios producidos por Ecos).,에코의 「 일일 놀이공원 티켓」경로를 제외한 다른 경로로 획득한 놀이공원 티켓 수량이 10% 증가된다,ko-KR
+2 Obtención de Cupones diarios al aumentar la obtención en este bloque.,"해당 꿈 블록에 있는 에코의 「일일 놀이공원 티켓」의 획득량이 증가할 시, 추가로 2 증가한다",ko-KR
+5 Cupones del parque al devorar.,포식이 발생할 때마다 놀이공원 티켓 5장을 획득한다,ko-KR
"- A resistência à interrupção de Jiyan aumenta.
- O ATQ Básico, ATQ Pesado e Contra-ATQ Evasivo são substituídos por ATQ Pesado Lança de Qingloong.","· 기염의 경직 저항력이 증가된다.
· 일반 공격, 강공격 및 회피 반격이 강공격 파진의 창으로 대체된다",ko-KR
