source,target,tgt_lng
"""Coisas Brilhantes"" Coletadas: {q_count}/20",已收集「閃亮亮的東西」{q_count}/20,zh-TW
"""Coisas Brilhantes"" Coletadas: {q_count}/35",已收集「閃亮亮的東西」{q_count}/35,zh-TW
"""Dorothy""",「多蘿西」,zh-TW
"""Esfera Armilar Celeste""",「謄霄儀」,zh-TW
"""Lollo Joy Album"" Photo Quest",「嗚嗚歡樂集」拍攝任務,zh-TW
"""Mountain Road"" Challenge",「盤山公路」挑戰,zh-TW
"""Perfect Trade""",「完美的交易」,zh-TW
"""Return home""",「回家」,zh-TW
"""Return home""",「回家看看」,zh-TW
"""Shiny Things"" Collected: {q_count}/20",已收集「閃亮亮的東西」{q_count}/20,zh-TW
"""Shiny Things"" Collected: {q_count}/35",已收集「閃亮亮的東西」{q_count}/35,zh-TW
"""Skyscribe Armillary""",「謄霄儀」,zh-TW
"""Soliskin in the Cave""",「洞中的日靈」,zh-TW
"""Soliskin ในถ้ำ""",「洞中的日靈」,zh-TW
"""Statement of Accountability""",「檢討」,zh-TW
"""Vernichte das Überbleibsel""",消滅殘象,zh-TW
"""Voltar para casa""",「回家」,zh-TW
"""Voltar para casa""",「回家看看」,zh-TW
"""กลับบ้าน""",「回家」,zh-TW
"""กลับมาเยี่ยมบ้าน""",「回家看看」,zh-TW
"""การค้าขายสมบูรณ์แบบ""",「完美的交易」,zh-TW
"""ความคืบหน้าของฉัน"" ถึง 200 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",在《第二索拉》聯名季活動中，個人進度達到200,zh-TW
"""ความคืบหน้าของฉัน"" ถึง 400 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",在《第二索拉》聯名季活動中，個人進度達到400,zh-TW
"""ความคืบหน้าของฉัน"" ถึง 600 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",在《第二索拉》聯名季活動中，個人進度達到600,zh-TW
"""ความคืบหน้าของฉัน"" ถึง 800 ในกิจกรรม ""ซีซันคอลแลปส์ 'โซลาริสที่สอง'""",在《第二索拉》聯名季活動中，個人進度達到800,zh-TW
"""ชำระล้าง"" ครั้งสุดท้ายให้เสร็จสิ้น",走吧，完成最後的「祓淨」,zh-TW
"""ชำระล้าง"" ผู้หลงเหลือ",「祓淨」往人,zh-TW
"""บันทึกจากวงแหวนส่องนภา""",「巡霄留訊」,zh-TW
"""บันทึกถูกทิ้ง - 2""",《廢棄的日誌·二》,zh-TW
