source,target,tgt_lng
"""%s"" (%s) 선택함",%s = %s,it-IT
"""%s"" alterado para %s",%s → %s,it-IT
"""%s"" sélectionné (%s)",%s = %s,it-IT
"""%s"" thành %s",%s → %s,it-IT
"""%s"" to %s",%s → %s,it-IT
"""%s"" à %s",%s → %s,it-IT
"""%s"" ไปยัง %s",%s → %s,it-IT
"""%s""을(를) %s(으)로",%s → %s,it-IT
"""%s” (%s) seçildi",%s = %s,it-IT
"""%s” -> %s",%s → %s,it-IT
%2$s x %1$s,%s × %s,it-IT
%s has no properties,%s non ha proprietà,it-IT
%s hat keine Blockzustände,%s non ha proprietà,it-IT
%s hiçbir özelliğe sahip değil,%s non ha proprietà,it-IT
%s không có thuộc tính nào,%s non ha proprietà,it-IT
%s n'a aucune propriété,%s non ha proprietà,it-IT
%s no tiene propiedades,%s non ha proprietà,it-IT
%s não tem propriedades,%s non ha proprietà,it-IT
%s x %s,%s × %s,it-IT
%s ไม่มีคุณสมบัติ,%s non ha proprietà,it-IT
%s 沒有屬性,%s non ha proprietà,it-IT
%s× %s,%s × %s,it-IT
%sはプロパティを持っていません,%s non ha proprietà,it-IT
%s不具备属性,%s non ha proprietà,it-IT
%s에게 속성이 없습니다,%s non ha proprietà,it-IT
%s／%s,%s/%s,it-IT
Aaron Cherof - Precipice,Aaron Cherof — Precipice,it-IT
Aaron Cherof - Relic,Aaron Cherof — Relic,it-IT
Abandoned Camp Map,Mappa per accampamento,it-IT
Abandoned Campsite Map,Mappa per accampamento,it-IT
Abschabe-Töpferscherbe,Coccio con raschiatura,it-IT
Acacia Boat,Barca di acacia,it-IT
Acacia Boat with Chest,Barca di acacia con baule,it-IT
Ad Etiketi,Targhetta,it-IT
Add a piece of armor,Inserisci un pezzo d'armatura,it-IT
"Add diamond armor, weapon, or tool","Inserisci un attrezzo, arma o armatura di diamante",it-IT
Add ingot or crystal,Inserisci un lingotto o un cristallo,it-IT
Add Netherite Ingot,Inserisci un lingotto di netherite,it-IT
Adicione um Lingote de Netherita,Inserisci un lingotto di netherite,it-IT
Adicione um lingote ou cristal,Inserisci un lingotto o un cristallo,it-IT
"Adicione uma ferramenta, arma ou armadura de Diamante","Inserisci un attrezzo, arma o armatura di diamante",it-IT
Adicione uma peça de armadura,Inserisci un pezzo d'armatura,it-IT
Agregado de Resina,Grumo di resina,it-IT
Ajoutez un lingot de netherite,Inserisci un lingotto di netherite,it-IT
Ajoutez un lingot ou un cristal,Inserisci un lingotto o un cristallo,it-IT
Ajoutez une pièce d'armure,Inserisci un pezzo d'armatura,it-IT
"Ajoutez une pièce d'armure, une arme ou un outil en diamant","Inserisci un attrezzo, arma o armatura di diamante",it-IT
Akasya Tekne,Barca di acacia,it-IT
Akazienholzboot,Barca di acacia,it-IT
Akazienholztruhenboot,Barca di acacia con baule,it-IT
Aksolotl Kovası,Secchio con assolotto,it-IT
Aksolotl Çağırma Yumurtası,Uovo generatore di assolotto,it-IT
Akış,Flusso,it-IT
Akış Sancak Deseni,Motivo con flusso,it-IT
Akış Zırh Süslemesi,Ornamento stile flusso,it-IT
Akış Çömlek Parçası,Coccio con flusso,it-IT
Alambic,Alambicco,it-IT
Algas Secas,Alga essiccata,it-IT
Algas secas,Alga essiccata,it-IT
Algue séchée,Alga essiccata,it-IT
Aliento de dragón,Soffio di drago,it-IT
Allay Spawn Egg,Uovo generatore di alleviante,it-IT
Almofada Amarela,Cuscino giallo,it-IT
Almofada Azul,Cuscino blu,it-IT
