source,target,tgt_lng
Abgrundbote – Frostfall,Sứ Đồ Vực Sâu - Sương Lạc,vi-VN
Abgrundbote – Reißender Strom,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Abgrundimitator,Lá Mô Phỏng U Ám,vi-VN
Abgrundsänger – Abgrundflammen,Học Sĩ Vực Sâu - Uyên Hỏa,vi-VN
Abgrundsänger – Lila Blitze,Học Sĩ Vực Sâu - Tử Điện,vi-VN
Ablutionneuse des Érémites,Eremite - Nước Giữa Sa Mạc,vi-VN
Abutre Vermelho da Ossada Sagrada,Kền Kền Đỏ Thánh Hóa,vi-VN
Abyss Herald - Wicked Torrents,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Abyss Herald: Frost Fall,Sứ Đồ Vực Sâu - Sương Lạc,vi-VN
Abyss Herald: Wicked Torrents,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Abyss Lector - Fathomless Flames,Học Sĩ Vực Sâu - Uyên Hỏa,vi-VN
Abyss Lector - Violet Lightning,Học Sĩ Vực Sâu - Tử Điện,vi-VN
Abyss Lector: Fathomless Flames,Học Sĩ Vực Sâu - Uyên Hỏa,vi-VN
Abyss Lector: Violet Lightning,Học Sĩ Vực Sâu - Tử Điện,vi-VN
Aeonblight Drake,Rồng Điềm Báo Vạn Kiếp,vi-VN
Aerofidio Sacróseo,Rắn Bay Thánh Hóa,vi-VN
Agente dei Fatui di Pyro,Fatui - Người Xử Lý Nợ Hỏa,vi-VN
Ahşap Kalkanlı Dağ Azmanı,Bạo Đồ Hilichurl Khiên Gỗ,vi-VN
Ahşap Kalkanlı Dağ Yabanisi Muhafızı,Hilichurl Khiên Gỗ,vi-VN
Ajedrez Guardapuertas,Ván Cờ Trước Ngưỡng Cửa,vi-VN
Akış Kılıcı: Avcı Asker,Dũng Sĩ Dòng Chảy - Du Kích,vi-VN
Akış Kılıcı: Yağlı Testere,Dũng Sĩ Dòng Chảy - Máy Cưa,vi-VN
Akış Kılıcı: Zıpkın Atan,Dũng Sĩ Dòng Chảy - Thợ Săn,vi-VN
Akışkan Lav Avatarı,Hóa Thân Dung Nham Nóng Chảy,vi-VN
Alabardera Alada,Kỵ Sĩ Cánh Cầm Kích,vi-VN
Alem Muhafızı,Thủ Hộ Cõi Giới,vi-VN
Alev Baltalı Dağ Azmanı,Bạo Đồ Hilichurl Búa Lửa,vi-VN
Algorithm of Semi-Intransient Matrix of Overseer Network,Ma Trận Điều Hành Bán Vĩnh Cửu,vi-VN
Algorithme de semi-intransition matriciaire d'observation en néo-réseau,Ma Trận Điều Hành Bán Vĩnh Cửu,vi-VN
Algorithmus der semi-inkonstanten Matrix des Observierer-Netzwerks,Ma Trận Điều Hành Bán Vĩnh Cửu,vi-VN
Algoritmo de Semi-Incesante Matriz de Observación Navegadora,Ma Trận Điều Hành Bán Vĩnh Cửu,vi-VN
Algoritmo della Matrice semi-perenne della rete di sorveglianza,Ma Trận Điều Hành Bán Vĩnh Cửu,vi-VN
All-Devouring Narwhal,Thôn Tinh Kình Ngư,vi-VN
Alte Geo-Drachenechse,Rồng Đất Cổ - Nham,vi-VN
Altın Alevli Gukuzor Tiran,Bạo Chúa Qucusaur Lửa Vàng,vi-VN
Anciano Vigorarbóreo,Mộc Linh Trưởng Cổ Thụ,vi-VN
Ancião Áspero Arbóreo,Mộc Linh Trưởng Cổ Thụ,vi-VN
Anemo Hilichurl Rogue,Lãng Khách Hilichurl Phong,vi-VN
Anemo Hypostasis,Phong Nguyên Bản,vi-VN
Anemo Samachurl,Phù Thủy Hilichurl Phong,vi-VN
Anemo Slime,Slime Phong,vi-VN
Anemo Specter,Bóng Ma - Phong,vi-VN
Anemo-Gespenst,Bóng Ma - Phong,vi-VN
Anemo-Hypostase,Phong Nguyên Bản,vi-VN
Anemo-Samachurl,Phù Thủy Hilichurl Phong,vi-VN
Anemo-Schleim,Slime Phong,vi-VN
Angelic Sea Hare,Thỏ Biển Thiên Sứ,vi-VN
Angler der verborgenen Tiefen,Thợ Câu U Ám,vi-VN
Annihilation Specialist Mek,Robot Hủy Diệt Chuyên Dụng,vi-VN
Anordnung immerwährender Vorrichtungen,Mô Hình Động Cơ Vĩnh Cửu,vi-VN
Antilope radieuse,Linh Dương Bức Xạ,vi-VN
Antilope radiosa,Linh Dương Bức Xạ,vi-VN
Antílope Radiante,Linh Dương Bức Xạ,vi-VN
Anémoblob,Slime Phong,vi-VN
Anémoblob géant,Slime Phong Lớn,vi-VN
Apep Vahası'nın Muhafızı,Kẻ Thủ Hộ Của Ốc Đảo Apep,vi-VN
Apostolo dell'Abisso: Cascata algida,Sứ Đồ Vực Sâu - Sương Lạc,vi-VN
Apostolo dell'Abisso: Torrenti maligni,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Apóstolo do Abismo - Corrente Torrencial,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Apóstolo do Abismo - Geada Imponente,Sứ Đồ Vực Sâu - Sương Lạc,vi-VN
Apôtre de l'Abîme - Frimas,Sứ Đồ Vực Sâu - Sương Lạc,vi-VN
Apôtre de l'Abîme - Torrent,Sứ Đồ Vực Sâu - Kích Lưu,vi-VN
Arbalétrier Brutocollinus,Xạ Thủ Hilichurl,vi-VN
Arbalétrier Brutocollinus Cryo,Hilichurl Băng Tiễn,vi-VN
Arbalétrier Brutocollinus Pyro,Hilichurl Hỏa Tiễn,vi-VN
Arbalétrier Brutocollinus Électro,Hilichurl Lôi Tiễn,vi-VN
Arbalétrier des Érémites,Eremite - Lính Nỏ,vi-VN
Arbre congelé,Cây Cấp Đông,vi-VN
Arbre enflammé,Cây Nổ,vi-VN
Arbre foudroyé,Cây Kích Điện,vi-VN
Area Alert Mek,Robot Cảnh Báo Khu Vực,vi-VN
Arithmetic Enhancer Mek,Robot Số Học Cải Tiến,vi-VN
Armadura do Vazio: Defensor,Vỏ Rỗng Ảm Đạm - Cận Vệ,vi-VN
Armadura do Vazio: Demolidor de Linhas,Vỏ Rỗng Ảm Đạm - Phá Trận,vi-VN
Armadura do Vazio: Porta-estandarte,Vỏ Rỗng Ảm Đạm - Cờ Lệnh,vi-VN
Armatura oscura: Alfiere,Vỏ Rỗng Ảm Đạm - Cờ Lệnh,vi-VN
Armatura oscura: Difensore,Vỏ Rỗng Ảm Đạm - Cận Vệ,vi-VN
Armatura oscura: Rompifile,Vỏ Rỗng Ảm Đạm - Phá Trận,vi-VN
Armored Crab,Cua Giáp Nặng,vi-VN
Arpioniere della Lama fluente,Dũng Sĩ Dòng Chảy - Thợ Săn,vi-VN
Arraia Caçadora,Cá Đuối Sát Thủ,vi-VN
Arremessador Volkodlak,Volkodlak Kẻ Quăng Ném,vi-VN
Arremessador de Pontas da Lâmina Fluida,Dũng Sĩ Dòng Chảy - Thợ Săn,vi-VN
Artropojade Radiante,Bạch Tuộc Bức Xạ,vi-VN
Asaltante Orejilargo,Kẻ Tập Kích Tai Dài,vi-VN
Asceta Espiritista,Kẻ Ẩn Tu Ngoại Cảm Lạc Lối,vi-VN
Asi Hermetik Ruh Sözcüsü,Kẻ Ẩn Tu Ngoại Cảm Lạc Lối,vi-VN
Asilzade,Childe,vi-VN
Assaltatore dalle orecchie lunghe,Kẻ Tập Kích Tai Dài,vi-VN
Assault Specialist Mek,Robot Đặc Công Chuyên Dụng,vi-VN
Atacante Volkodlak,Volkodlak Kẻ Cướp Bóc,vi-VN
Atacante das Ruínas,Tiên Phong Di Tích,vi-VN
Ateş Bodurlopu,Slime Hỏa,vi-VN
Ateş Hipostazı,Hỏa Nguyên Bản,vi-VN
Ateş Uçarlopu,Bóng Ma - Hỏa,vi-VN
Ateş ve Demir İmparatoru,Hoàng Đế Thép Lửa,vi-VN
Aufkommende Strömung – Nachkomme der Frostnacht,Tuôn Chảy: Hậu Duệ Đêm Sương,vi-VN
Auge des Sturms,Mắt Bão,vi-VN
Ausgestiegene Suanni,Ẩn Sơn Nghê Thú,vi-VN
Automa della Fonte segreta: Cacciatore-Inseguitore,Cỗ Máy Bí Ẩn - Kẻ Truy Bắt,vi-VN
Automa della Fonte segreta: Dispositivo di configurazione,Cỗ Máy Bí Ẩn - Thiết Bị Cấu Tạo,vi-VN
Automa della Fonte segreta: Dispositivo di sorveglianza,Cỗ Máy Bí Ẩn - Thiết Bị Giám Sát,vi-VN
Automate de source secrète : Chasseur-chercheur,Cỗ Máy Bí Ẩn - Kẻ Truy Bắt,vi-VN
Automate de source secrète : Configurateur,Cỗ Máy Bí Ẩn - Thiết Bị Cấu Tạo,vi-VN
Automate de source secrète : Surveillant,Cỗ Máy Bí Ẩn - Thiết Bị Giám Sát,vi-VN
Autómata Fuentenigma - Máquina configuracional,Cỗ Máy Bí Ẩn - Thiết Bị Cấu Tạo,vi-VN
Autómata Fuentenigma - Máquina de control,Cỗ Máy Bí Ẩn - Thiết Bị Giám Sát,vi-VN
Autómata Fuentenigma - Rastreador,Cỗ Máy Bí Ẩn - Kẻ Truy Bắt,vi-VN
Autômato da Fonte Secreta: Caçador-Perseguidor,Cỗ Máy Bí Ẩn - Kẻ Truy Bắt,vi-VN
Autômato da Fonte Secreta: Dispositivo Supervisor,Cỗ Máy Bí Ẩn - Thiết Bị Giám Sát,vi-VN
Autômato da Fonte Secreta: Mecanismo Construtivo,Cỗ Máy Bí Ẩn - Thiết Bị Cấu Tạo,vi-VN
Avatar Fluido da Lava,Hóa Thân Dung Nham Nóng Chảy,vi-VN
Avatar de Lava Erodindo,Hóa Thân Dung Nham Ăn Mòn,vi-VN
Avatar fluide de lave,Hóa Thân Dung Nham Nóng Chảy,vi-VN
Avatar érodant de lave,Hóa Thân Dung Nham Ăn Mòn,vi-VN
Avcı Vatoz,Cá Đuối Sát Thủ,vi-VN
Avvoltoio rosso consacrato,Kền Kền Đỏ Thánh Hóa,vi-VN
Ayaklı Su Mantarı,Nấm Quỷ Đi Bộ - Thủy,vi-VN
Ayaklı Toprak Mantarı,Nấm Quỷ Đi Bộ - Nham,vi-VN
Aynalı Rahibe,Fatui - Thiếu Nữ Kính,vi-VN
Aşınan Lav Avatarı,Hóa Thân Dung Nham Ăn Mòn,vi-VN
Aşınmış Kadim Ateşin Efendisi,Chúa Tể Lửa Nguồn Ăn Mòn,vi-VN
Baleia Devoradora,Thôn Tinh Kình Ngư,vi-VN
Ball Octopus,Bạch Tuộc Bóng Tròn,vi-VN
Balon Ahtapot,Bạch Tuộc Bóng Tròn,vi-VN
Baloncuklu Denizatı,Cá Ngựa Bong Bóng,vi-VN
Baracrabe,Cua Khiên Cứng,vi-VN
Barbarischer Recke – Greifer,Dũng Sĩ Hoang Dã - Vật Lộn,vi-VN
Barbarischer Recke – Rammbock,Dũng Sĩ Hoang Dã - Va Chạm,vi-VN
Barbarischer Recke – Ringer,Dũng Sĩ Hoang Dã - Đô Vật,vi-VN
Bardo del Abismo - Llamas abismales,Học Sĩ Vực Sâu - Uyên Hỏa,vi-VN
Bardo del Abismo - Trueno púrpura,Học Sĩ Vực Sâu - Tử Điện,vi-VN
Bardo do Abismo - Chamas Abismais,Học Sĩ Vực Sâu - Uyên Hỏa,vi-VN
Bardo do Abismo - Trovão Violeta,Học Sĩ Vực Sâu - Tử Điện,vi-VN
Baskılama Uzmanı Meka,Robot Áp Chế Chuyên Dụng,vi-VN
Batedor Volkodlak,Volkodlak Kẻ Gõ Đập,vi-VN
Batedor da Tempestade de Passo Ágil,Dũng Sĩ Nhanh Nhẹn - Trinh Sát,vi-VN
Batedor das Ruínas,Trinh Sát Di Tích,vi-VN
Batizador Iníquo,Kẻ Rửa Tội Tàn Ác,vi-VN
Battezzante maligno,Kẻ Rửa Tội Tàn Ác,vi-VN
Bautista Sacrílego,Kẻ Rửa Tội Tàn Ác,vi-VN
Başmelek Deniz Tavşanı,Thỏ Biển Đại Thiên Sứ,vi-VN
Bebenmacher – Wayob-Verkörperung,Hóa Thân Wayob - Sấm Sét,vi-VN
Belette des montagnes à coquille fournaise,Chồn Núi Giáp Lửa,vi-VN
Berserker Brutocollinus,Hilichurl Tiên Phong,vi-VN
Beschützer von Apeps Oase,Kẻ Thủ Hộ Của Ốc Đảo Apep,vi-VN
Besta Quimérica Armada,Thú Hộ Giáp Lai Ghép,vi-VN
Besta Quimérica Enterrada,Thú Đào Đất Lai Ghép,vi-VN
Besta Xuanwen,Huyền Văn Thú,vi-VN
Besta de Presas da Ossada Sagrada,Nanh Thú Thánh Hóa,vi-VN
Bestia Colmillofrenética,Bạo Đồ Nanh Thú,vi-VN
Bestia Quimérica Acorazada,Thú Hộ Giáp Lai Ghép,vi-VN
Bestia Quimérica Terralanzadera,Thú Đào Đất Lai Ghép,vi-VN
Bestia Xuanwen,Huyền Văn Thú,vi-VN
