id,term,src_table
RoleTalent.10200201.desc,会心発生時、攻撃力の_#passive_passiveper_1_1_1_1_の直撃ダメージを追加で与える。,Talent/RoleTalent.txt
RoleTalent.10200201.name,猫様の怒り,Talent/RoleTalent.txt
RoleTalent.10200202.desc,会心発生時、攻撃力の_#passive_passiveper_1_1_1_1_の直撃ダメージを追加で与える。,Talent/RoleTalent.txt
RoleTalent.10200202.name,猫様の怒り,Talent/RoleTalent.txt
RoleTalent.10200203.desc,会心発生時、攻撃力の_#passive_passiveper_1_1_1_1_の直撃ダメージを追加で与える。,Talent/RoleTalent.txt
RoleTalent.10200203.name,猫様の怒り,Talent/RoleTalent.txt
RoleTalent.10200204.desc,会心発生時、攻撃力の_#passive_passiveper_1_1_1_1_の直撃ダメージを追加で与える。,Talent/RoleTalent.txt
RoleTalent.10200204.name,猫様の怒り,Talent/RoleTalent.txt
RoleTalent.10200301.desc,毎ターン最初にスキルを発動する際、与ダメージ＋_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200301.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200302.desc,毎ターン最初にスキルを発動する際、与ダメージ＋_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200302.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200303.desc,毎ターン最初にスキルを発動する際、与ダメージ＋_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200303.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200304.desc,毎ターン最初にスキルを発動する際、与ダメージ＋_#passive_passiveper_1_1_1_1_,Talent/RoleTalent.txt
RoleTalent.10200304.name,精密計算,Talent/RoleTalent.txt
RoleTalent.10200401.desc,攻撃スキル発動後、敵全体の防御力を_#passive_passiveper_1_1_1_1_ダウンさせる（_#round_num_1_0_1_ターン持続、最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200401.name,微笑の仮面,Talent/RoleTalent.txt
RoleTalent.10200402.desc,攻撃スキル発動後、敵全体の防御力を_#passive_passiveper_1_1_1_1_ダウンさせる（_#round_num_1_0_1_ターン持続、最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200402.name,微笑の仮面,Talent/RoleTalent.txt
RoleTalent.10200403.desc,攻撃スキル発動後、敵全体の防御力を_#passive_passiveper_1_1_1_1_ダウンさせる（_#round_num_1_0_1_ターン持続、最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200403.name,微笑の仮面,Talent/RoleTalent.txt
RoleTalent.10200404.desc,攻撃スキル発動後、敵全体の防御力を_#passive_passiveper_1_1_1_1_ダウンさせる（_#round_num_1_0_1_ターン持続、最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200404.name,微笑の仮面,Talent/RoleTalent.txt
RoleTalent.10200501.desc,SP技発動後、与ダメージ＋_#passive_passiveper_1_1_1_1_（最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200501.name,自由の精神,Talent/RoleTalent.txt
RoleTalent.10200502.desc,SP技発動後、与ダメージ＋_#passive_passiveper_1_1_1_1_（最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200502.name,自由の精神,Talent/RoleTalent.txt
RoleTalent.10200503.desc,SP技発動後、与ダメージ＋_#passive_passiveper_1_1_1_1_（最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200503.name,自由の精神,Talent/RoleTalent.txt
RoleTalent.10200504.desc,SP技発動後、与ダメージ＋_#passive_passiveper_1_1_1_1_（最大_#stackmax_num_1_0_1_スタックまで）,Talent/RoleTalent.txt
RoleTalent.10200504.name,自由の精神,Talent/RoleTalent.txt
RoleTalent.10200601.desc,戦闘開始時、攻撃に関連する能力＋_#passive_passiveper_1_1_1_1_、_#round_num_1_0_1_ターン持続する。,Talent/RoleTalent.txt
RoleTalent.10200601.name,マジックボーナス,Talent/RoleTalent.txt
RoleTalent.10200602.desc,戦闘開始時、攻撃に関連する能力＋_#passive_passiveper_1_1_1_1_、_#round_num_1_0_1_ターン持続する。,Talent/RoleTalent.txt
RoleTalent.10200602.name,マジックボーナス,Talent/RoleTalent.txt
