source,target,tgt_lng
第五话,第五話,zh-TW
Act Five,第五話,zh-TW
第5話,第五話,zh-TW
제5화,第五話,zh-TW
第六话,第六話,zh-TW
Act Six,第六話,zh-TW
第6話,第六話,zh-TW
제6화,第六話,zh-TW
第七话,第七話,zh-TW
Act Seven,第七話,zh-TW
第7話,第七話,zh-TW
제7화,第七話,zh-TW
第八话,第八話,zh-TW
Act Eight,第八話,zh-TW
第8話,第八話,zh-TW
제8화,第八話,zh-TW
第九话,第九話,zh-TW
Act Nine,第九話,zh-TW
第9話,第九話,zh-TW
제9화,第九話,zh-TW
第十话,第十話,zh-TW
Act Ten,第十話,zh-TW
第10話,第十話,zh-TW
제10화,第十話,zh-TW
尾声,尾聲,zh-TW
Epilogue,尾聲,zh-TW
エピローグ,尾聲,zh-TW
에필로그,尾聲,zh-TW
椰林沙滩,椰林沙灘,zh-TW
Palm Beach,椰林沙灘,zh-TW
椰子の浜辺,椰林沙灘,zh-TW
코코넛 샌드 비치,椰林沙灘,zh-TW
海风栈道,海風棧道,zh-TW
Seabreeze Boardwalk,海風棧道,zh-TW
潮風の遊歩道,海風棧道,zh-TW
바닷바람 산책로,海風棧道,zh-TW
回声溶洞,回聲溶洞,zh-TW
Echoing Caves,回聲溶洞,zh-TW
こだまの洞窟,回聲溶洞,zh-TW
메아리 동굴,回聲溶洞,zh-TW
热浪海湾,熱浪海灣,zh-TW
Heatwave Bay,熱浪海灣,zh-TW
灼熱の入り江,熱浪海灣,zh-TW
열기 가득한 해안,熱浪海灣,zh-TW
夏日激斗 I,夏日激鬥 I,zh-TW
Summer Brawl Ⅰ,夏日激鬥 I,zh-TW
海辺の激闘Ⅰ,夏日激鬥 I,zh-TW
여름 난투 I,夏日激鬥 I,zh-TW
夏日激斗 II,夏日激鬥 Ⅱ,zh-TW
Summer Brawl Ⅱ,夏日激鬥 Ⅱ,zh-TW
海辺の激闘Ⅱ,夏日激鬥 Ⅱ,zh-TW
여름 난투 II,夏日激鬥 Ⅱ,zh-TW
夏日激斗 III,夏日激鬥 Ⅲ,zh-TW
Summer Brawl Ⅲ,夏日激鬥 Ⅲ,zh-TW
海辺の激闘Ⅲ,夏日激鬥 Ⅲ,zh-TW
여름 난투 III,夏日激鬥 Ⅲ,zh-TW
夏日激斗 IV,夏日激鬥 Ⅳ,zh-TW
Summer Brawl Ⅳ,夏日激鬥 Ⅳ,zh-TW
海辺の激闘Ⅳ,夏日激鬥 Ⅳ,zh-TW
여름 난투 IV,夏日激鬥 Ⅳ,zh-TW
夏日激斗 V,夏日激鬥 Ⅴ,zh-TW
Summer Brawl Ⅴ,夏日激鬥 Ⅴ,zh-TW
海辺の激闘Ⅴ,夏日激鬥 Ⅴ,zh-TW
여름 난투 V,夏日激鬥 Ⅴ,zh-TW
夏日激斗 VI,夏日激鬥 Ⅵ,zh-TW
Summer Brawl Ⅵ,夏日激鬥 Ⅵ,zh-TW
海辺の激闘Ⅵ,夏日激鬥 Ⅵ,zh-TW
여름 난투 VI,夏日激鬥 Ⅵ,zh-TW
夏日激斗 VII,夏日激鬥 Ⅶ,zh-TW
Summer Brawl Ⅶ,夏日激鬥 Ⅶ,zh-TW
海辺の激闘Ⅶ,夏日激鬥 Ⅶ,zh-TW
여름 난투 VII,夏日激鬥 Ⅶ,zh-TW
决战六角鲸 ~ 普通,決戰六角鯨 ～ 普通,zh-TW
Hexhorn Whale (Normal),決戰六角鯨 ～ 普通,zh-TW
激流ノ角鯨,決戰六角鯨 ～ 普通,zh-TW
뿔고래 결투 ~ 보통,決戰六角鯨 ～ 普通,zh-TW
夺宝奇兵 I,奪寶奇兵 I,zh-TW
Treasure Raider Ⅰ,奪寶奇兵 I,zh-TW
トレジャーハンターⅠ,奪寶奇兵 I,zh-TW
보물 쟁탈 I,奪寶奇兵 I,zh-TW
夺宝奇兵 II,奪寶奇兵 Ⅱ,zh-TW
Treasure Raider Ⅱ,奪寶奇兵 Ⅱ,zh-TW
トレジャーハンターⅡ,奪寶奇兵 Ⅱ,zh-TW
보물 쟁탈 II,奪寶奇兵 Ⅱ,zh-TW
夺宝奇兵 III,奪寶奇兵 Ⅲ,zh-TW
Treasure Raider Ⅲ,奪寶奇兵 Ⅲ,zh-TW
トレジャーハンターⅢ,奪寶奇兵 Ⅲ,zh-TW
보물 쟁탈 III,奪寶奇兵 Ⅲ,zh-TW
决战六角鲸 ~ 挑战,決戰六角鯨 ～ 挑戰,zh-TW
Hexhorn Whale (Hard),決戰六角鯨 ～ 挑戰,zh-TW
激流ノ角鯨（ハード）,決戰六角鯨 ～ 挑戰,zh-TW
뿔고래 결투 ~ 도전,決戰六角鯨 ～ 挑戰,zh-TW
夏日激斗 Ⅰ,夏日激鬥 Ⅰ,zh-TW
Summer Brawl Ⅰ,夏日激鬥 Ⅰ,zh-TW
海辺の激闘Ⅰ,夏日激鬥 Ⅰ,zh-TW
여름 난투 I,夏日激鬥 Ⅰ,zh-TW
夏日激斗 Ⅱ,夏日激鬥 Ⅱ,zh-TW
夏日激斗 Ⅲ,夏日激鬥 Ⅲ,zh-TW
夏日激斗 Ⅳ,夏日激鬥 Ⅳ,zh-TW
夏日激斗 Ⅴ,夏日激鬥 Ⅴ,zh-TW
夏日激斗 Ⅵ,夏日激鬥 Ⅵ,zh-TW
夏日激斗 Ⅶ,夏日激鬥 Ⅶ,zh-TW
夺宝奇兵 Ⅰ,奪寶奇兵 Ⅰ,zh-TW
Treasure Raider Ⅰ,奪寶奇兵 Ⅰ,zh-TW
トレジャーハンターⅠ,奪寶奇兵 Ⅰ,zh-TW
보물 쟁탈 I,奪寶奇兵 Ⅰ,zh-TW
夺宝奇兵 Ⅱ,奪寶奇兵 Ⅱ,zh-TW
夺宝奇兵 Ⅲ,奪寶奇兵 Ⅲ,zh-TW
森林剿灭战 I,森林剿滅戰 I,zh-TW
Operation Green Sweep Ⅰ,森林剿滅戰 I,zh-TW
メカをやっつけろⅠ,森林剿滅戰 I,zh-TW
숲의 섬멸전 I,森林剿滅戰 I,zh-TW
森林剿灭战 II,森林剿滅戰 Ⅱ,zh-TW
Operation Green Sweep Ⅱ,森林剿滅戰 Ⅱ,zh-TW
メカをやっつけろⅡ,森林剿滅戰 Ⅱ,zh-TW
숲의 섬멸전 II,森林剿滅戰 Ⅱ,zh-TW
森林剿灭战 III,森林剿滅戰 Ⅲ,zh-TW
Operation Green Sweep Ⅲ,森林剿滅戰 Ⅲ,zh-TW
メカをやっつけろⅢ,森林剿滅戰 Ⅲ,zh-TW
숲의 섬멸전 III,森林剿滅戰 Ⅲ,zh-TW
森林剿灭战 IV,森林剿滅戰 Ⅳ,zh-TW
Operation Green Sweep Ⅳ,森林剿滅戰 Ⅳ,zh-TW
メカをやっつけろⅣ,森林剿滅戰 Ⅳ,zh-TW
숲의 섬멸전 IV,森林剿滅戰 Ⅳ,zh-TW
森林剿灭战 V,森林剿滅戰 Ⅴ,zh-TW
Operation Green Sweep Ⅴ,森林剿滅戰 Ⅴ,zh-TW
メカをやっつけろⅤ,森林剿滅戰 Ⅴ,zh-TW
숲의 섬멸전 V,森林剿滅戰 Ⅴ,zh-TW
森林剿灭战 VI,森林剿滅戰 Ⅵ,zh-TW
Operation Green Sweep Ⅵ,森林剿滅戰 Ⅵ,zh-TW
メカをやっつけろⅥ,森林剿滅戰 Ⅵ,zh-TW
숲의 섬멸전 VI,森林剿滅戰 Ⅵ,zh-TW
森林剿灭战 VII,森林剿滅戰 Ⅶ,zh-TW
Operation Green Sweep Ⅶ,森林剿滅戰 Ⅶ,zh-TW
メカをやっつけろⅦ,森林剿滅戰 Ⅶ,zh-TW
숲의 섬멸전 VII,森林剿滅戰 Ⅶ,zh-TW
伐木蟹来袭~普通,伐木蟹來襲～普通,zh-TW
Logging Crab Assault (Normal),伐木蟹來襲～普通,zh-TW
決戦！伐採蟹,伐木蟹來襲～普通,zh-TW
벌목 게의 습격 ~ 보통,伐木蟹來襲～普通,zh-TW
机魂失控 I,機魂失控 I,zh-TW
Mech Rampant Ⅰ,機魂失控 I,zh-TW
メカたちの逆襲Ⅰ,機魂失控 I,zh-TW
통제 불가 기계 영혼 I,機魂失控 I,zh-TW
机魂失控 II,機魂失控 Ⅱ,zh-TW
Mech Rampant Ⅱ,機魂失控 Ⅱ,zh-TW
メカたちの逆襲Ⅱ,機魂失控 Ⅱ,zh-TW
통제 불가 기계 영혼 II,機魂失控 Ⅱ,zh-TW
机魂失控 III,機魂失控 Ⅲ,zh-TW
Mech Rampant Ⅲ,機魂失控 Ⅲ,zh-TW
メカたちの逆襲Ⅲ,機魂失控 Ⅲ,zh-TW
통제 불가 기계 영혼 III,機魂失控 Ⅲ,zh-TW
伐木蟹来袭~挑战,伐木蟹來襲～挑戰,zh-TW
Logging Crab Assault (Hard),伐木蟹來襲～挑戰,zh-TW
決戦！伐採蟹,伐木蟹來襲～挑戰,zh-TW
벌목 게의 습격 ~ 도전,伐木蟹來襲～挑戰,zh-TW
密林围猎Ⅰ,密林圍獵I,zh-TW
Dense Woods Hunt I,密林圍獵I,zh-TW
幻蝕の森の罠Ⅰ,密林圍獵I,zh-TW
밀림 사냥 Ⅰ,密林圍獵I,zh-TW
密林围猎Ⅱ,密林圍獵II,zh-TW
Dense Woods Hunt Ⅱ,密林圍獵II,zh-TW
幻蝕の森の罠Ⅱ,密林圍獵II,zh-TW
밀림 사냥 Ⅱ,密林圍獵II,zh-TW
密林围猎Ⅲ,密林圍獵III,zh-TW
Dense Woods Hunt Ⅲ,密林圍獵III,zh-TW
幻蝕の森の罠Ⅲ,密林圍獵III,zh-TW
밀림 사냥 Ⅲ,密林圍獵III,zh-TW
密林围猎Ⅳ,密林圍獵IV,zh-TW
Dense Woods Hunt Ⅳ,密林圍獵IV,zh-TW
幻蝕の森の罠Ⅳ,密林圍獵IV,zh-TW
밀림 사냥 Ⅳ,密林圍獵IV,zh-TW
密林围猎Ⅴ,密林圍獵V,zh-TW
Dense Woods Hunt V,密林圍獵V,zh-TW
幻蝕の森の罠Ⅴ,密林圍獵V,zh-TW
밀림 사냥 Ⅴ,密林圍獵V,zh-TW
密林围猎Ⅵ,密林圍獵VI,zh-TW
Dense Woods Hunt Ⅵ,密林圍獵VI,zh-TW
幻蝕の森の罠Ⅵ,密林圍獵VI,zh-TW
밀림 사냥 Ⅵ,密林圍獵VI,zh-TW
密林围猎Ⅶ,密林圍獵VII,zh-TW
Dense Woods Hunt Ⅶ,密林圍獵VII,zh-TW
幻蝕の森の罠Ⅶ,密林圍獵VII,zh-TW
밀림 사냥 Ⅶ,密林圍獵VII,zh-TW
毛绒戒律骑士来袭 ～ 普通,毛絨戒律騎士來襲～普通,zh-TW
Fluffy Knight (Normal),毛絨戒律騎士來襲～普通,zh-TW
襲来！幽玄の魔獣騎士！,毛絨戒律騎士來襲～普通,zh-TW
솜털 규율 기사의 습격 ~ 보통,毛絨戒律騎士來襲～普通,zh-TW
阴暗之森Ⅰ,陰暗之森I,zh-TW
The Gloomy Forest I,陰暗之森I,zh-TW
暗澹たる森の罠Ⅰ,陰暗之森I,zh-TW
어둠의 숲 Ⅰ,陰暗之森I,zh-TW
阴暗之森Ⅱ,陰暗之森II,zh-TW
The Gloomy Forest Ⅱ,陰暗之森II,zh-TW
暗澹たる森の罠Ⅱ,陰暗之森II,zh-TW
어둠의 숲 Ⅱ,陰暗之森II,zh-TW
阴暗之森Ⅲ,陰暗之森III,zh-TW
The Gloomy Forest Ⅲ,陰暗之森III,zh-TW
暗澹たる森の罠Ⅲ,陰暗之森III,zh-TW
어둠의 숲 Ⅲ,陰暗之森III,zh-TW
