source,target,tgt_lng
Abbaulähmung,挖掘疲勞,zh-TW
Absorción,吸收,zh-TW
Absorption,吸收,zh-TW
Absorção,吸收,zh-TW
Acele,挖掘加速,zh-TW
Affaticamento,挖掘疲勞,zh-TW
Aliento del nautilo,鸚鵡螺之息,zh-TW
Anında Hasar,立即傷害,zh-TW
Anında Sağlık,立即治療,zh-TW
Apnea,水下呼吸,zh-TW
Assorbimento,吸收,zh-TW
Atem des Nautilus,鸚鵡螺之息,zh-TW
Ateş Direnci,抗火,zh-TW
Avvelenamento,劇毒,zh-TW
Avvizzimento,凋零,zh-TW
Açlık,飢餓,zh-TW
Bad Luck,霉運,zh-TW
Bad Omen,不祥之兆,zh-TW
Baskın Kehaneti,突襲之兆,zh-TW
Bay lên,懸浮,zh-TW
Befallen,蛀蝕,zh-TW
Blindheit,失明,zh-TW
Blindness,失明,zh-TW
Bonus de vie,生命值提升,zh-TW
Breath of the Nautilus,鸚鵡螺之息,zh-TW
Brilho,發光,zh-TW
Bulantı,噁心,zh-TW
Bóng tối,黑暗,zh-TW
Caduta lenta,緩降,zh-TW
Canalización,海靈祝福,zh-TW
Carica ventosa,蘊風,zh-TW
Cattivo presagio,不祥之兆,zh-TW
Caída lenta,緩降,zh-TW
Cecità,失明,zh-TW
Cegueira,失明,zh-TW
Ceguera,失明,zh-TW
Chance,幸運,zh-TW
Choáng,噁心,zh-TW
Chute lente,緩降,zh-TW
Chậm rãi,緩速,zh-TW
Cierzo,蘊風,zh-TW
Conduit Power,海靈祝福,zh-TW
Cuerpo ignífugo,抗火,zh-TW
Curación instantánea,立即治療,zh-TW
Cécité,失明,zh-TW
Célérité,挖掘加速,zh-TW
Danno istantaneo,立即傷害,zh-TW
Dano Instantâneo,立即傷害,zh-TW
Darkness,黑暗,zh-TW
Daño instantáneo,立即傷害,zh-TW
Debilidad,虛弱,zh-TW
Debolezza,虛弱,zh-TW
Decomposição,凋零,zh-TW
Descomposición,凋零,zh-TW
Direktheilung,立即治療,zh-TW
Direktschaden,立即傷害,zh-TW
Direnç,抗性,zh-TW
Dolphin's Grace,海豚悠游,zh-TW
Doygunluk,飽食,zh-TW
Drohende Prüfung,試煉之兆,zh-TW
Drohender Überfall,突襲之兆,zh-TW
Drohendes Unheil,不祥之兆,zh-TW
Dunkelheit,黑暗,zh-TW
Dádiva Marinha,海豚悠游,zh-TW
Décomposition,凋零,zh-TW
Dégâts instantanés,立即傷害,zh-TW
Eile,挖掘加速,zh-TW
Emilim,吸收,zh-TW
Energia condotta,海靈祝福,zh-TW
Eroe del villaggio,村莊英雄,zh-TW
Escuridão,黑暗,zh-TW
Etkisiz,無效果,zh-TW
Exaustão,挖掘疲勞,zh-TW
Extraenergie,生命值提升,zh-TW
Faiblesse,虛弱,zh-TW
Faim,飢餓,zh-TW
Fame,飢餓,zh-TW
Fatiga minera,挖掘疲勞,zh-TW
Fatigue de minage,挖掘疲勞,zh-TW
Feuerresistenz,抗火,zh-TW
Fiato del nautilo,鸚鵡螺之息,zh-TW
Fire Resistance,抗火,zh-TW
Fome,飢餓,zh-TW
Force,力量,zh-TW
Force de conduit,海靈祝福,zh-TW
Fortuna,幸運,zh-TW
Forza,力量,zh-TW
Força,力量,zh-TW
