source,target,tgt_lng
Abgrundbote – Reißender Strom,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abgrundsänger – Abgrundflammen,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abgrundsänger – Lila Blitze,Cantore dell'Abisso: Fulmine viola,it-IT
Ablutionneuse des Érémites,Eremita Acquachiara del deserto,it-IT
Abyss Herald - Wicked Torrents,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abyss Herald: Wicked Torrents,Apostolo dell'Abisso: Torrenti maligni,it-IT
Abyss Lector - Fathomless Flames,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abyss Lector - Violet Lightning,Cantore dell'Abisso: Fulmine viola,it-IT
Abyss Lector: Fathomless Flames,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Abyss Lector: Violet Lightning,Cantore dell'Abisso: Fulmine viola,it-IT
Ahşap Kalkanlı Dağ Azmanı,Mitachurl con scudo di legno,it-IT
Alev Baltalı Dağ Azmanı,Mitachurl con ascia di fuoco,it-IT
All-Devouring Narwhal,Narvalo Divoramondi,it-IT
Altın Alevli Gukuzor Tiran,Tiranno Qucusauro Fiammadoro,it-IT
Anemo Samachurl,Sciamachurl di Anemo,it-IT
Anemo-Samachurl,Sciamachurl di Anemo,it-IT
Annihilation Specialist Mek,Meka sterminatore specializzato,it-IT
Annihilation Specialist Mek - Ousia,Meka sterminatore specializzato (Ousia),it-IT
Annihilation Specialist Mek - Pneuma,Meka sterminatore specializzato (Pneuma),it-IT
Apep Vahası'nın Muhafızı,Guardiano dell'Oasi di Apep,it-IT
Apóstolo do Abismo - Corrente Torrencial,Apostolo dell'Abisso: Torrenti maligni,it-IT
Apôtre de l'Abîme - Torrent,Apostolo dell'Abisso: Torrenti maligni,it-IT
Arbalétrier Brutocollinus,Hilichurl balestriere,it-IT
Arbalétrier Brutocollinus Cryo,Hilichurl balestriere di Cryo,it-IT
Arbalétrier Brutocollinus Électro,Hilichurl balestriere di Electro,it-IT
Arithmetic Enhancer Mek,Meka potenziatore aritmetico,it-IT
Arithmetic Enhancer Mek - Ousia,Meka potenziatore aritmetico (Ousia),it-IT
Arithmetic Enhancer Mek - Pneuma,Meka potenziatore aritmetico (Pneuma),it-IT
Assault Specialist Mek,Meka assaltatore specializzato,it-IT
Assault Specialist Mek - Ousia,Meka assaltatore specializzato - Ousia,it-IT
Assault Specialist Mek - Pneuma,Meka assaltatore specializzato - Pneuma,it-IT
Ateş ve Demir İmparatoru,Imperatore del Fuoco e del Ferro,it-IT
Ayaklı Su Mantarı,Hydrofungo radicato,it-IT
Ayaklı Toprak Mantarı,Geofungo radicato,it-IT
Aynalı Rahibe,Dama degli specchi,it-IT
Aşınmış Kadim Ateşin Efendisi,Signore della Fiamma primordiale erosa,it-IT
Baleia Devoradora,Narvalo Divoramondi,it-IT
Bardo del Abismo - Llamas abismales,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Bardo del Abismo - Trueno púrpura,Cantore dell'Abisso: Fulmine viola,it-IT
Bardo do Abismo - Chamas Abismais,Cantore dell'Abisso: Fiamme imperscrutabili,it-IT
Bardo do Abismo - Trovão Violeta,Cantore dell'Abisso: Fulmine viola,it-IT
