source,target,tgt_lng
Astgenne the Lightchaser,溯光アステジーニ,ja-JP
Blaze the Igniting Spark,熾炎ブレイズ,ja-JP
Ch'en the Dawnstreak,赤刃明霄チェン,ja-JP
Ch'en the Holungday,遊龍チェン,ja-JP
Crownslayer,クラウンスレイヤー,ja-JP
Executor the Ex Foedere,聖約イグゼキュター,ja-JP
Exusiai the New Covenant,新約エクシア,ja-JP
Eyjafjalla the Hvít Aska,純燼エイヤフィヤトラ,ja-JP
Fang the Fire-Sharpened,歴陣鋭槍フェン,ja-JP
Gavial the Invincible,百錬ガヴィル,ja-JP
Greyy the Lightningbearer,承曦グレイ,ja-JP
Hibiscus the Purifier,濯塵ハイビスカス,ja-JP
Hoshiguma the Breacher,斬業ホシグマ,ja-JP
Jessica the Liberated,滌火ジェシカ,ja-JP
Kirin R Yato,キリンRヤトウ,ja-JP
Kroos the Keen Glint,寒芒クルース,ja-JP
Lappland the Decadenza,荒蕪ラップランド,ja-JP
Lava the Purgatory,炎獄ラヴァ,ja-JP
Leizi the Thunderbringer,司霆レイズ,ja-JP
Nearl the Radiant Knight,耀騎士ニアール,ja-JP
Perfumer the Distilled,萃香パフューマー,ja-JP
Pramanix the Prerita,聖聆プラマニクス,ja-JP
Rathalos S Noir Corne,レウスSノイルホーン,ja-JP
Reed the Flame Shadow,焔影リード,ja-JP
Silence the Paradigmatic,淬羽サイレンス,ja-JP
SilverAsh the Reignfrost,凛御シルバーアッシュ,ja-JP
Skadi the Corrupting Heart,濁心スカジ,ja-JP
Specter the Unchained,帰溟スペクター,ja-JP
Swire the Elegant Wit,琳琅スワイヤー,ja-JP
Texas the Omertosa,血掟テキサス,ja-JP
Thorns the Lodestar,引星ソーンズ,ja-JP
Tragodia,トラゴーディア,ja-JP
Vina Victoria,ヴィーナ・ヴィクトリア,ja-JP
Wiš'adel,ウィシャデル,ja-JP
假日威龍陳,遊龍チェン,ja-JP
假日威龙陈,遊龍チェン,ja-JP
凛御银灰,凛御シルバーアッシュ,ja-JP
凜御銀灰,凛御シルバーアッシュ,ja-JP
历阵锐枪芬,歴陣鋭槍フェン,ja-JP
司霆惊蛰,司霆レイズ,ja-JP
司霆驚蟄,司霆レイズ,ja-JP
圣约送葬人,聖約イグゼキュター,ja-JP
圣聆初雪,聖聆プラマニクス,ja-JP
寒芒克洛丝,寒芒クルース,ja-JP
寒芒克洛絲,寒芒クルース,ja-JP
弑君者,クラウンスレイヤー,ja-JP
弒君者,クラウンスレイヤー,ja-JP
引星棘刺,引星ソーンズ,ja-JP
归溟幽灵鲨,帰溟スペクター,ja-JP
承曦格雷伊,承曦グレイ,ja-JP
撷英调香师,萃香パフューマー,ja-JP
擷英調香師,萃香パフューマー,ja-JP
斩业星熊,斬業ホシグマ,ja-JP
斬業星熊,斬業ホシグマ,ja-JP
新約能天使,新約エクシア,ja-JP
新约能天使,新約エクシア,ja-JP
歷陣銳槍芬,歴陣鋭槍フェン,ja-JP
歸溟幽靈鯊,帰溟スペクター,ja-JP
浊心斯卡蒂,濁心スカジ,ja-JP
涤火杰西卡,滌火ジェシカ,ja-JP
淬羽赫默,淬羽サイレンス,ja-JP
溯光星源,溯光アステジーニ,ja-JP
滌火潔西卡,滌火ジェシカ,ja-JP
濁心斯卡蒂,濁心スカジ,ja-JP
濯塵芙蓉,濯塵ハイビスカス,ja-JP
濯尘芙蓉,濯塵ハイビスカス,ja-JP
火龍S黑角,レウスSノイルホーン,ja-JP
火龙S黑角,レウスSノイルホーン,ja-JP
炎狱炎熔,炎獄ラヴァ,ja-JP
炎獄炎熔,炎獄ラヴァ,ja-JP
烛煌,熾炎ブレイズ,ja-JP
焰影苇草,焔影リード,ja-JP
焰影葦草,焔影リード,ja-JP
燭煌,熾炎ブレイズ,ja-JP
琳琅诗怀雅,琳琅スワイヤー,ja-JP
琳瑯詩懷雅,琳琅スワイヤー,ja-JP
百炼嘉维尔,百錬ガヴィル,ja-JP
百煉嘉維爾,百錬ガヴィル,ja-JP
純燼艾雅法拉,純燼エイヤフィヤトラ,ja-JP
維什戴爾,ウィシャデル,ja-JP
維娜·維多利亞,ヴィーナ・ヴィクトリア,ja-JP
緘默德克薩斯,血掟テキサス,ja-JP
纯烬艾雅法拉,純燼エイヤフィヤトラ,ja-JP
维什戴尔,ウィシャデル,ja-JP
维娜·维多利亚,ヴィーナ・ヴィクトリア,ja-JP
缄默德克萨斯,血掟テキサス,ja-JP
耀騎士臨光,耀騎士ニアール,ja-JP
耀骑士临光,耀騎士ニアール,ja-JP
聖約送葬人,聖約イグゼキュター,ja-JP
聖聆初雪,聖聆プラマニクス,ja-JP
荒芜拉普兰德,荒蕪ラップランド,ja-JP
荒蕪拉普蘭德,荒蕪ラップランド,ja-JP
赤刃明霄陈,赤刃明霄チェン,ja-JP
赤刃明霄陳,赤刃明霄チェン,ja-JP
酒神,トラゴーディア,ja-JP
麒麟R夜刀,キリンRヤトウ,ja-JP
가비알 디 인빈서블,百錬ガヴィル,ja-JP
그레이 더 라이트닝베어러,承曦グレイ,ja-JP
니어 더 래디언트 나이트,耀騎士ニアール,ja-JP
라바 더 퍼거토리,炎獄ラヴァ,ja-JP
라플란드 더 데카덴차,荒蕪ラップランド,ja-JP
레우스S 느와르 코르네,レウスSノイルホーン,ja-JP
레이즈 더 썬더브링어,司霆レイズ,ja-JP
리드 더 플레임 섀도우,焔影リード,ja-JP
블레이즈 디 이그나이팅 스파크,熾炎ブレイズ,ja-JP
비나 빅토리아,ヴィーナ・ヴィクトリア,ja-JP
사일런스 더 패러디그매틱,淬羽サイレンス,ja-JP
스와이어 디 엘리건트 위트,琳琅スワイヤー,ja-JP
스카디 더 커럽팅 하트,濁心スカジ,ja-JP
스펙터 디 언체인드,帰溟スペクター,ja-JP
실버애쉬 더 레인프로스트,凛御シルバーアッシュ,ja-JP
쏜즈 더 로드스타,引星ソーンズ,ja-JP
아스트젠 더 라이트체이서,溯光アステジーニ,ja-JP
에이야퍄들라 더 크비트 아스카,純燼エイヤフィヤトラ,ja-JP
엑시아 더 뉴 커버넌트,新約エクシア,ja-JP
위셔델,ウィシャデル,ja-JP
이그제큐터 디 엑스 포에데레,聖約イグゼキュター,ja-JP
제시카 더 리버레이티드,滌火ジェシカ,ja-JP
첸 더 던스트릭,赤刃明霄チェン,ja-JP
첸 더 홀룽데이,遊龍チェン,ja-JP
크라운슬레이어,クラウンスレイヤー,ja-JP
크루스 더 킨 글린트,寒芒クルース,ja-JP
키린R 야토,キリンRヤトウ,ja-JP
텍사스 디 오메르토사,血掟テキサス,ja-JP
트라고디아,トラゴーディア,ja-JP
팽 더 파이어 샤픈드,歴陣鋭槍フェン,ja-JP
퍼퓨머 더 디스틸트,萃香パフューマー,ja-JP
프라마닉스 더 프레리타,聖聆プラマニクス,ja-JP
호시구마 더 브리처,斬業ホシグマ,ja-JP
히비스커스 더 퓨리파이어,濯塵ハイビスカス,ja-JP
