id,term,src_table
I18N.000ddae58467322b,Tinjau,I18N/i18n.txt
I18N.000eb84ff098f1f6,Pemurnian-Auto,I18N/i18n.txt
I18N.00103633030cdd78,Onboard Bundle,I18N/i18n.txt
I18N.0015b27e02dbf89f,Event telah berakhir.,I18N/i18n.txt
I18N.0028f72293e7e444,Terbuka,I18N/i18n.txt
I18N.002f0fc64e00c2fe,Online Bonus,I18N/i18n.txt
I18N.00314a9ade195d42,Unduhan selesai.,I18N/i18n.txt
I18N.0039b4b400021b92,Auto Istirahat,I18N/i18n.txt
I18N.003a93df9ad1f0ba,Memuat,I18N/i18n.txt
I18N.003cb4071b406a05,Tidak ada stage yang bisa dikomisi untuk tipe ini,I18N/i18n.txt
I18N.0040cae42aa9f856,Mundur,I18N/i18n.txt
I18N.00430d044ca3cd37,Toko Bahan,I18N/i18n.txt
I18N.00447aba6c14d6d9,Air Express,I18N/i18n.txt
I18N.0048379938f11bbb,Kalah,I18N/i18n.txt
I18N.004a8cade91d933a,Hadiah Raid untuk Ronde _num_.,I18N/i18n.txt
I18N.004b5336fdae7c3b,Pergi,I18N/i18n.txt
I18N.005a1dd83bc26575,Selesai,I18N/i18n.txt
I18N.005bf816367e8238,Melawan 4 Pathos lainnya,I18N/i18n.txt
I18N.005f2a81087ecbd3,Tim Perburuan Harta Karun,I18N/i18n.txt
I18N.0062f0a9301be274,Final,I18N/i18n.txt
I18N.0067b86f943a8668,Efek Set,I18N/i18n.txt
I18N.0068c4cd93738d9d,Peringkat,I18N/i18n.txt
I18N.006b883341e37c38,Total DMG,I18N/i18n.txt
I18N.007055e451ab0401,Total Pt,I18N/i18n.txt
I18N.0077d1842dace51f,Item sudah digunakan pada karakter ini.,I18N/i18n.txt
I18N.007cf4e54a167dd3,Mekanisme Stage,I18N/i18n.txt
I18N.0090ab2df0d9b6c5,Pilih stat utama,I18N/i18n.txt
I18N.0093b43d05d4f017,Hadiah tidak bisa diklaim sekarang.,I18N/i18n.txt
I18N.0094fd142ba4446d,Ascend,I18N/i18n.txt
I18N.00960f9a2af6b4ef,CAT FANTASY,I18N/i18n.txt
