source,target,tgt_lng
"""'A espada segue a mente, mente e espada são uma só.'
A Terra de Xuanfang tem trilhas de vento adequadas para o Voo sobre a Espada. Você pode iniciar o Voo sobre a Espada na área inicial da trilha de vento.""","""กระบี่เคลื่อนไหวตามเจตจำนง จงหลอมรวมจิตกับกระบี่เป็นหนึ่งเดียว""
ในแดนเสวียนฟางมีเส้นทางลมที่เหมาะสำหรับใช้กระบี่เหินเวหากระจายอยู่หลายแห่ง ซึ่งสามารถเริ่มควบคุมกระบี่เหินเวหาได้บริเวณพื้นที่จุดเริ่มต้นของเส้นทางลม",th-TH
"""A Corrida de Motos de Expedição começa em breve! Os lugares são por ordem de chegada!""","""การแข่งขันมอเตอร์ไบค์สำรวจกำลังจะเริ่มขึ้นแล้ว! ที่นั่งมุมเด็ดๆ มาก่อนได้ก่อน!""",th-TH
"""A Study of Royan Mythology"" (Excerpt)","""การศึกษาตำนานโรญา"" (ส่วนที่ตัดตอนมา)",th-TH
"""A creature born, confined, and withered beneath a failing sunbeam.""","""อสูรที่กำเนิด ถูกกักขังไว้ และโรยราจากรอยแยกแห่งแสงอาทิตย์""",th-TH
"""A crimson galaxy that belongs to the Dim Forest.""","""ทางช้างเผือกสีชาดแห่งป่าสลัว""",th-TH
"""A ordem eterna é determinada por um motor eterno.""","""ระเบียบนิรันดร์ได้ถูกกำหนดโดยเครื่องจักรไร้สิ้นสุด""",th-TH
"""A photograph. Whose memory will it become?""","""ภาพถ่ายหนึ่งใบ... จะกลายเป็นความทรงจำของใครกัน?""",th-TH
"""A tiny adventure stashed in the Vault.""

The Second Coming of Solaris has recreated an important memory. Go to KU-Lolo to complete the collection of Memory Travelogue.","""การผจญภัยเล็กๆ ที่ซ่อนอยู่ในห้องนิรภัย""

โซลาริสที่สองได้สร้างความทรงจำสำคัญขึ้นใหม่ ไปหาKU-Loloเพื่อเก็บรวบรวมการร่วมเดินทางแห่งความทรงจำให้ครบ",th-TH
"""A tranquilidade do Bosque Bjartr pode acalmar todo tipo de estresse acadêmico. A culinária local dos royanos faz um trabalho ainda melhor.""","""ความเงียบสงบของป่าบียาร์เตอร์สามารถบรรเทาความเจ็บปวดจากการเรียนได้ แต่อาหารของเผ่าโรญานั้นดีกว่าเป็นไหนๆ""",th-TH
"""Abby, a natureza não quer que decidam por ela.""","""Abby เราไม่จำเป็นต้องไปตัดสินแทนธรรมชาติหรอกนะ""",th-TH
"""Abby, nature asks for no decisions made in its place.""","""Abby เราไม่จำเป็นต้องไปตัดสินแทนธรรมชาติหรอกนะ""",th-TH
"""All else forgotten. Save the rhythm when our footsteps cross.""","""ถึงแม้จะลืมทุกสิ่งอย่าง แต่ไม่เคยลืมก้าวเดินที่ไขว้กันกับคุณ""",th-TH
"""All moons gathered but she was gone, leaving me an everlasting dawn.""","""จันทราทั้งปวงรวมตัวกันแต่เธอได้จากไป ทิ้งไว้เพียงรุ่งอรุณอันเป็นนิรันดร์ให้กับฉัน""",th-TH
"""Antes de seu fim, ele havia visto todo o mar de estrelas.""","""ก่อนจะมลายสิ้น เขาเคยท่องไปท่ามกลางทะเลดาว""",th-TH
"""As costas do encontro, do conhecimento e da saudade.""

A Segunda Vinda de Solaris recriou uma memória importante. Vá até Cubo da Guardiã da Costa para completar a coleção da Memória do Diário de Viagem.","""ชายหาดแห่งการพบพาน การรู้จัก และความปรารถนา""

โซลาริสที่สองได้สร้างความทรงจำสำคัญขึ้นใหม่ ไปหาShorekeeperเพื่อเก็บรวบรวมการร่วมเดินทางแห่งความทรงจำให้ครบ",th-TH
"""As winter ends, spring is born anew. I cast this chess piece in a graceful smile.""

The Second Coming of Solaris has recreated an important memory. Go to KU-Lolo to complete the collection of Memory Travelogue.","""เมื่อฤดูหนาวสิ้นสุดลง ฤดูใบไม้ผลิจึงเกิดใหม่ ฉันวางหมากนี้พลางยิ้มอ่อนโยน""

โซลาริสที่สองได้สร้างความทรงจำสำคัญขึ้นใหม่ ไปหาKU-Loloเพื่อเก็บรวบรวมการร่วมเดินทางแห่งความทรงจำให้ครบ",th-TH
"""Através disso, a humanidade uma vez contemplou as profundezas do espaço.""","""ในอดีต มนุษย์เคยเพ่งมองห้วงอวกาศลึกจากจุดนี้""",th-TH
