source,target,tgt_lng
Ambient/Environment,Ambiente,it-IT
Ambiente/Entorno,Ambiente,it-IT
Ana Ses,Volume generale,it-IT
Arayüz,Interfaccia,it-IT
Atmosphäre/Umgebung,Ambiente,it-IT
Benutzeroberfläche,Interfaccia,it-IT
BGM,Musica,it-IT
Blocks,Blocchi,it-IT
Blocos,Blocchi,it-IT
Blocs,Blocchi,it-IT
Blocs musicaux,Blocchi musicali,it-IT
Bloklar,Blocchi,it-IT
Bloques,Blocchi,it-IT
Bloques musicales,Blocchi musicali,it-IT
Blöcke,Blocchi,it-IT
Clima,Tempo atmosferico,it-IT
Criaturas hostiles,Creature ostili,it-IT
Criaturas hostis,Creature ostili,it-IT
Criaturas inofensivas,Creature pacifiche,it-IT
Criaturas pacíficas,Creature pacifiche,it-IT
Créatures hostiles,Creature ostili,it-IT
Créatures passives,Creature pacifiche,it-IT
Dost Canlılar,Creature pacifiche,it-IT
Environnement,Ambiente,it-IT
Feindliche Kreaturen,Creature ostili,it-IT
Freundliche Kreaturen,Creature pacifiche,it-IT
Friendly Mobs,Creature pacifiche,it-IT
Gesamtlautstärke,Volume generale,it-IT
Giao diện người dùng,Interfaccia,it-IT
Giọng nói,Assistente vocale,it-IT
Hava Durumu,Tempo atmosferico,it-IT
Hostile Mobs,Creature ostili,it-IT
Interface,Interfaccia,it-IT
Interfaz,Interfaccia,it-IT
Jogadores,Giocatori,it-IT
Joueurs,Giocatori,it-IT
Jugadores,Giocatori,it-IT
Jukebox/Note Blocks,Blocchi musicali,it-IT
Khối,Blocchi,it-IT
Khối phát nhạc,Blocchi musicali,it-IT
Master Volume,Volume generale,it-IT
Metin Okuyucu/Konuşma,Assistente vocale,it-IT
Music,Musica,it-IT
Musik,Musica,it-IT
Musikblöcke,Blocchi musicali,it-IT
Musique,Musica,it-IT
Météo,Tempo atmosferico,it-IT
Môi trường,Ambiente,it-IT
Música,Musica,it-IT
Müzik,Musica,it-IT
Müzik/Nota Bloğu,Blocchi musicali,it-IT
Narrador/Voz,Assistente vocale,it-IT
Narrateur,Assistente vocale,it-IT
Narrator/Voice,Assistente vocale,it-IT
Người chơi,Giocatori,it-IT
Oyuncular,Giocatori,it-IT
Players,Giocatori,it-IT
Saldırgan Canlılar,Creature ostili,it-IT
Sinh vật lành,Creature pacifiche,it-IT
Sinh vật ác,Creature ostili,it-IT
Spieler,Giocatori,it-IT
Sprachausgabe/Stimme,Assistente vocale,it-IT
Tempo,Tempo atmosferico,it-IT
Thời tiết,Tempo atmosferico,it-IT
Toca-Discos/Blocos Musicais,Blocchi musicali,it-IT
UI,Interfaccia,it-IT
Volume principal,Volume generale,it-IT
Volume-mestre,Volume generale,it-IT
Volumen general,Volume generale,it-IT
Voz/Diálogos,Assistente vocale,it-IT
Weather,Tempo atmosferico,it-IT
Wetter,Tempo atmosferico,it-IT
Âm lượng tổng,Volume generale,it-IT
Âm nhạc,Musica,it-IT
Çevresel,Ambiente,it-IT
Блоки,Blocchi,it-IT
Враждебные мобы,Creature ostili,it-IT
Диктор/Голос,Assistente vocale,it-IT
Игроки,Giocatori,it-IT
Интерфейс,Interfaccia,it-IT
Мирные мобы,Creature pacifiche,it-IT
Музыка,Musica,it-IT
Музыкальные блоки,Blocchi musicali,it-IT
Общая громкость,Volume generale,it-IT
Окружение,Ambiente,it-IT
Погода,Tempo atmosferico,it-IT
ตู้เพลง/กล่องตัวโน้ต,Blocchi musicali,it-IT
บล็อก,Blocchi,it-IT
ผู้บรรยาย/เสียงพูด,Assistente vocale,it-IT
ผู้เล่น,Giocatori,it-IT
ม็อบเป็นมิตร,Creature pacifiche,it-IT
ม็อบไม่เป็นมิตร,Creature ostili,it-IT
สภาพอากาศ,Tempo atmosferico,it-IT
อินเทอร์เฟซผู้ใช้,Interfaccia,it-IT
เพลง,Musica,it-IT
เสียงหลัก,Volume generale,it-IT
แอมเบียนต์/สิ่งแวดล้อม,Ambiente,it-IT
ジュークボックス／音符ブロック,Blocchi musicali,it-IT
ブロック,Blocchi,it-IT
プレイヤー,Giocatori,it-IT
主音量,Volume generale,it-IT
友好生物,Creature pacifiche,it-IT
友好的Mob,Creature pacifiche,it-IT
唱片机/音符盒,Blocchi musicali,it-IT
唱片機／音階盒,Blocchi musicali,it-IT
复述功能/语音,Assistente vocale,it-IT
天候,Tempo atmosferico,it-IT
天气,Tempo atmosferico,it-IT
天氣,Tempo atmosferico,it-IT
敌对生物,Creature ostili,it-IT
敵対的Mob,Creature ostili,it-IT
敵對生物,Creature ostili,it-IT
方块,Blocchi,it-IT
方塊,Blocchi,it-IT
朗讀功能／語音,Assistente vocale,it-IT
玩家,Giocatori,it-IT
环境,Ambiente,it-IT
環境音,Ambiente,it-IT
環境音效／環境,Ambiente,it-IT
用户界面,Interfaccia,it-IT
音乐,Musica,it-IT
音声読み上げ／声,Assistente vocale,it-IT
音樂,Musica,it-IT
날씨,Tempo atmosferico,it-IT
내레이터/음성,Assistente vocale,it-IT
분위기/환경,Ambiente,it-IT
블록,Blocchi,it-IT
음악,Musica,it-IT
적대적 몹,Creature ostili,it-IT
전체 음량,Volume generale,it-IT
주크박스/소리 블록,Blocchi musicali,it-IT
친화적 몹,Creature pacifiche,it-IT
플레이어,Giocatori,it-IT
