id,term,src_table
Item.5000,ウェーブキャットの枕,items.json
Item.5001,ペロロの腹筋ローラー,items.json
Item.5002,エーポッドプロ,items.json
Item.5003,禁断の愛 〜許されないからこそ美しく〜,items.json
Item.5004,ゲームマガジン 「ヒットガールズ」,items.json
Item.5005,チェリーローズカラーのグロス,items.json
Item.5006,お肌を透明にするBBクリーム,items.json
Item.5007,ミリタリー用カモフラージュクリーム3種セット,items.json
Item.5008,高級なクッキーセット,items.json
Item.5009,『銃 可愛い 青春』,items.json
Item.5010,天体望遠鏡,items.json
Item.5011,ゲームガールカラー復刻版,items.json
Item.5012,MX-レーションC型デザート風味,items.json
Item.5013,抹茶味の瓶ラムネ,items.json
Item.5014,ゼリーズの枕,items.json
Item.5015,跳躍探偵ウサギ 〜霧に包まれた温泉での滑落〜,items.json
Item.5016,O-フィット,items.json
Item.5017,埋蔵金の地図,items.json
Item.5018,コスプレ用ぐるぐるメガネ,items.json
Item.5019,世界で最も無駄な絡繰りボックス,items.json
Item.5020,リボンのついた熊のぬいぐるみ,items.json
Item.5021,映画の前売りペアチケット,items.json
Item.5022,30色の絵の具セット,items.json
Item.5023,古典の詩集,items.json
Item.5024,可愛い食器セット,items.json
Item.5025,頭脳開発キューブパズル,items.json
Item.5026,大きなホールケーキ,items.json
Item.5027,ハイクラスビュッフェ招待券,items.json
Item.5028,食虫植物の植木鉢,items.json
Item.5029,高級そうな欲望のつぼ,items.json
Item.5030,ぜんまい式オルゴール,items.json
Item.5031,刺繍付きのハンカチ,items.json
Item.5032,百科事典,items.json
Item.5033,ザ・サプリメント,items.json
Item.5034,夏模様の浮き輪,items.json
Item.5100,レースの枕,items.json
Item.5101,ストリートオブヤンキー1巻,items.json
Item.5102,サミュエラ「ザ・ビヨンド」,items.json
Item.5103,レトロな卵の工芸品,items.json
Item.5104,ミルフィーユの正統派パフェ,items.json
Item.5105,エイ～ブックレア,items.json
Item.5106,おしゃれなくし,items.json
Item.5107,栄養満載の総合ビタミンゼリー,items.json
Item.5108,最高級の楓の盆栽,items.json
Item.5109,裁縫キット,items.json
Item.5110,音楽演奏会入場券,items.json
Item.5111,1日3回ダンベルセット,items.json
Item.5112,ボードゲーム「ザ・人生」,items.json
Item.5997,美しい花束,items.json
Item.5998,初音ミクのフォトカード,items.json
Item.5999,きらめきの花束,items.json
