source,target,tgt_lng
第五话,Act Five,en-US
第五话,第5話,ja-JP
第五话,제5화,ko-KR
Act Five,第五话,zh-CN
Act Five,第5話,ja-JP
Act Five,제5화,ko-KR
第5話,第五话,zh-CN
第5話,Act Five,en-US
第5話,제5화,ko-KR
제5화,第五话,zh-CN
제5화,Act Five,en-US
제5화,第5話,ja-JP
第六话,Act Six,en-US
第六话,第6話,ja-JP
第六话,제6화,ko-KR
Act Six,第六话,zh-CN
Act Six,第6話,ja-JP
Act Six,제6화,ko-KR
第6話,第六话,zh-CN
第6話,Act Six,en-US
第6話,제6화,ko-KR
제6화,第六话,zh-CN
제6화,Act Six,en-US
제6화,第6話,ja-JP
第七话,Act Seven,en-US
第七话,第7話,ja-JP
第七话,제7화,ko-KR
Act Seven,第七话,zh-CN
Act Seven,第7話,ja-JP
Act Seven,제7화,ko-KR
第7話,第七话,zh-CN
第7話,Act Seven,en-US
第7話,제7화,ko-KR
제7화,第七话,zh-CN
제7화,Act Seven,en-US
제7화,第7話,ja-JP
第八话,Act Eight,en-US
第八话,第8話,ja-JP
第八话,제8화,ko-KR
Act Eight,第八话,zh-CN
Act Eight,第8話,ja-JP
Act Eight,제8화,ko-KR
第8話,第八话,zh-CN
第8話,Act Eight,en-US
第8話,제8화,ko-KR
제8화,第八话,zh-CN
제8화,Act Eight,en-US
제8화,第8話,ja-JP
第九话,Act Nine,en-US
第九话,第9話,ja-JP
第九话,제9화,ko-KR
Act Nine,第九话,zh-CN
Act Nine,第9話,ja-JP
Act Nine,제9화,ko-KR
第9話,第九话,zh-CN
第9話,Act Nine,en-US
第9話,제9화,ko-KR
제9화,第九话,zh-CN
제9화,Act Nine,en-US
제9화,第9話,ja-JP
第十话,Act Ten,en-US
第十话,第10話,ja-JP
第十话,제10화,ko-KR
Act Ten,第十话,zh-CN
Act Ten,第10話,ja-JP
Act Ten,제10화,ko-KR
第10話,第十话,zh-CN
第10話,Act Ten,en-US
第10話,제10화,ko-KR
제10화,第十话,zh-CN
제10화,Act Ten,en-US
제10화,第10話,ja-JP
尾声,Epilogue,en-US
尾声,エピローグ,ja-JP
尾声,에필로그,ko-KR
Epilogue,尾声,zh-CN
Epilogue,エピローグ,ja-JP
Epilogue,에필로그,ko-KR
エピローグ,尾声,zh-CN
エピローグ,Epilogue,en-US
エピローグ,에필로그,ko-KR
에필로그,尾声,zh-CN
에필로그,Epilogue,en-US
에필로그,エピローグ,ja-JP
椰林沙滩,Palm Beach,en-US
椰林沙滩,椰子の浜辺,ja-JP
椰林沙滩,코코넛 샌드 비치,ko-KR
Palm Beach,椰林沙滩,zh-CN
Palm Beach,椰子の浜辺,ja-JP
Palm Beach,코코넛 샌드 비치,ko-KR
椰子の浜辺,椰林沙滩,zh-CN
椰子の浜辺,Palm Beach,en-US
椰子の浜辺,코코넛 샌드 비치,ko-KR
코코넛 샌드 비치,椰林沙滩,zh-CN
코코넛 샌드 비치,Palm Beach,en-US
코코넛 샌드 비치,椰子の浜辺,ja-JP
海风栈道,Seabreeze Boardwalk,en-US
海风栈道,潮風の遊歩道,ja-JP
海风栈道,바닷바람 산책로,ko-KR
Seabreeze Boardwalk,海风栈道,zh-CN
Seabreeze Boardwalk,潮風の遊歩道,ja-JP
Seabreeze Boardwalk,바닷바람 산책로,ko-KR
潮風の遊歩道,海风栈道,zh-CN
潮風の遊歩道,Seabreeze Boardwalk,en-US
潮風の遊歩道,바닷바람 산책로,ko-KR
바닷바람 산책로,海风栈道,zh-CN
바닷바람 산책로,Seabreeze Boardwalk,en-US
바닷바람 산책로,潮風の遊歩道,ja-JP
回声溶洞,Echoing Caves,en-US
回声溶洞,こだまの洞窟,ja-JP
回声溶洞,메아리 동굴,ko-KR
Echoing Caves,回声溶洞,zh-CN
Echoing Caves,こだまの洞窟,ja-JP
Echoing Caves,메아리 동굴,ko-KR
こだまの洞窟,回声溶洞,zh-CN
こだまの洞窟,Echoing Caves,en-US
こだまの洞窟,메아리 동굴,ko-KR
메아리 동굴,回声溶洞,zh-CN
메아리 동굴,Echoing Caves,en-US
메아리 동굴,こだまの洞窟,ja-JP
热浪海湾,Heatwave Bay,en-US
热浪海湾,灼熱の入り江,ja-JP
热浪海湾,열기 가득한 해안,ko-KR
Heatwave Bay,热浪海湾,zh-CN
Heatwave Bay,灼熱の入り江,ja-JP
Heatwave Bay,열기 가득한 해안,ko-KR
灼熱の入り江,热浪海湾,zh-CN
灼熱の入り江,Heatwave Bay,en-US
灼熱の入り江,열기 가득한 해안,ko-KR
열기 가득한 해안,热浪海湾,zh-CN
열기 가득한 해안,Heatwave Bay,en-US
열기 가득한 해안,灼熱の入り江,ja-JP
夏日激斗 I,Summer Brawl Ⅰ,en-US
夏日激斗 I,海辺の激闘Ⅰ,ja-JP
夏日激斗 I,여름 난투 I,ko-KR
Summer Brawl Ⅰ,夏日激斗 I,zh-CN
Summer Brawl Ⅰ,海辺の激闘Ⅰ,ja-JP
Summer Brawl Ⅰ,여름 난투 I,ko-KR
海辺の激闘Ⅰ,夏日激斗 I,zh-CN
海辺の激闘Ⅰ,Summer Brawl Ⅰ,en-US
海辺の激闘Ⅰ,여름 난투 I,ko-KR
여름 난투 I,夏日激斗 I,zh-CN
여름 난투 I,Summer Brawl Ⅰ,en-US
여름 난투 I,海辺の激闘Ⅰ,ja-JP
夏日激斗 II,Summer Brawl Ⅱ,en-US
夏日激斗 II,海辺の激闘Ⅱ,ja-JP
夏日激斗 II,여름 난투 II,ko-KR
Summer Brawl Ⅱ,夏日激斗 II,zh-CN
Summer Brawl Ⅱ,海辺の激闘Ⅱ,ja-JP
Summer Brawl Ⅱ,여름 난투 II,ko-KR
海辺の激闘Ⅱ,夏日激斗 II,zh-CN
海辺の激闘Ⅱ,Summer Brawl Ⅱ,en-US
海辺の激闘Ⅱ,여름 난투 II,ko-KR
여름 난투 II,夏日激斗 II,zh-CN
여름 난투 II,Summer Brawl Ⅱ,en-US
여름 난투 II,海辺の激闘Ⅱ,ja-JP
夏日激斗 III,Summer Brawl Ⅲ,en-US
夏日激斗 III,海辺の激闘Ⅲ,ja-JP
夏日激斗 III,여름 난투 III,ko-KR
Summer Brawl Ⅲ,夏日激斗 III,zh-CN
Summer Brawl Ⅲ,海辺の激闘Ⅲ,ja-JP
Summer Brawl Ⅲ,여름 난투 III,ko-KR
海辺の激闘Ⅲ,夏日激斗 III,zh-CN
海辺の激闘Ⅲ,Summer Brawl Ⅲ,en-US
海辺の激闘Ⅲ,여름 난투 III,ko-KR
여름 난투 III,夏日激斗 III,zh-CN
여름 난투 III,Summer Brawl Ⅲ,en-US
여름 난투 III,海辺の激闘Ⅲ,ja-JP
夏日激斗 IV,Summer Brawl Ⅳ,en-US
夏日激斗 IV,海辺の激闘Ⅳ,ja-JP
夏日激斗 IV,여름 난투 IV,ko-KR
Summer Brawl Ⅳ,夏日激斗 IV,zh-CN
Summer Brawl Ⅳ,海辺の激闘Ⅳ,ja-JP
Summer Brawl Ⅳ,여름 난투 IV,ko-KR
海辺の激闘Ⅳ,夏日激斗 IV,zh-CN
海辺の激闘Ⅳ,Summer Brawl Ⅳ,en-US
海辺の激闘Ⅳ,여름 난투 IV,ko-KR
여름 난투 IV,夏日激斗 IV,zh-CN
여름 난투 IV,Summer Brawl Ⅳ,en-US
여름 난투 IV,海辺の激闘Ⅳ,ja-JP
夏日激斗 V,Summer Brawl Ⅴ,en-US
夏日激斗 V,海辺の激闘Ⅴ,ja-JP
夏日激斗 V,여름 난투 V,ko-KR
Summer Brawl Ⅴ,夏日激斗 V,zh-CN
Summer Brawl Ⅴ,海辺の激闘Ⅴ,ja-JP
Summer Brawl Ⅴ,여름 난투 V,ko-KR
海辺の激闘Ⅴ,夏日激斗 V,zh-CN
海辺の激闘Ⅴ,Summer Brawl Ⅴ,en-US
海辺の激闘Ⅴ,여름 난투 V,ko-KR
여름 난투 V,夏日激斗 V,zh-CN
여름 난투 V,Summer Brawl Ⅴ,en-US
여름 난투 V,海辺の激闘Ⅴ,ja-JP
夏日激斗 VI,Summer Brawl Ⅵ,en-US
夏日激斗 VI,海辺の激闘Ⅵ,ja-JP
夏日激斗 VI,여름 난투 VI,ko-KR
Summer Brawl Ⅵ,夏日激斗 VI,zh-CN
Summer Brawl Ⅵ,海辺の激闘Ⅵ,ja-JP
Summer Brawl Ⅵ,여름 난투 VI,ko-KR
海辺の激闘Ⅵ,夏日激斗 VI,zh-CN
海辺の激闘Ⅵ,Summer Brawl Ⅵ,en-US
海辺の激闘Ⅵ,여름 난투 VI,ko-KR
여름 난투 VI,夏日激斗 VI,zh-CN
여름 난투 VI,Summer Brawl Ⅵ,en-US
여름 난투 VI,海辺の激闘Ⅵ,ja-JP
夏日激斗 VII,Summer Brawl Ⅶ,en-US
夏日激斗 VII,海辺の激闘Ⅶ,ja-JP
夏日激斗 VII,여름 난투 VII,ko-KR
Summer Brawl Ⅶ,夏日激斗 VII,zh-CN
Summer Brawl Ⅶ,海辺の激闘Ⅶ,ja-JP
Summer Brawl Ⅶ,여름 난투 VII,ko-KR
海辺の激闘Ⅶ,夏日激斗 VII,zh-CN
海辺の激闘Ⅶ,Summer Brawl Ⅶ,en-US
海辺の激闘Ⅶ,여름 난투 VII,ko-KR
여름 난투 VII,夏日激斗 VII,zh-CN
여름 난투 VII,Summer Brawl Ⅶ,en-US
여름 난투 VII,海辺の激闘Ⅶ,ja-JP
决战六角鲸 ~ 普通,Hexhorn Whale (Normal),en-US
决战六角鲸 ~ 普通,激流ノ角鯨,ja-JP
决战六角鲸 ~ 普通,뿔고래 결투 ~ 보통,ko-KR
Hexhorn Whale (Normal),决战六角鲸 ~ 普通,zh-CN
Hexhorn Whale (Normal),激流ノ角鯨,ja-JP
Hexhorn Whale (Normal),뿔고래 결투 ~ 보통,ko-KR
激流ノ角鯨,决战六角鲸 ~ 普通,zh-CN
激流ノ角鯨,Hexhorn Whale (Normal),en-US
激流ノ角鯨,뿔고래 결투 ~ 보통,ko-KR
뿔고래 결투 ~ 보통,决战六角鲸 ~ 普通,zh-CN
뿔고래 결투 ~ 보통,Hexhorn Whale (Normal),en-US
뿔고래 결투 ~ 보통,激流ノ角鯨,ja-JP
夺宝奇兵 I,Treasure Raider Ⅰ,en-US
夺宝奇兵 I,トレジャーハンターⅠ,ja-JP
夺宝奇兵 I,보물 쟁탈 I,ko-KR
Treasure Raider Ⅰ,夺宝奇兵 I,zh-CN
Treasure Raider Ⅰ,トレジャーハンターⅠ,ja-JP
Treasure Raider Ⅰ,보물 쟁탈 I,ko-KR
トレジャーハンターⅠ,夺宝奇兵 I,zh-CN
トレジャーハンターⅠ,Treasure Raider Ⅰ,en-US
トレジャーハンターⅠ,보물 쟁탈 I,ko-KR
보물 쟁탈 I,夺宝奇兵 I,zh-CN
보물 쟁탈 I,Treasure Raider Ⅰ,en-US
보물 쟁탈 I,トレジャーハンターⅠ,ja-JP
夺宝奇兵 II,Treasure Raider Ⅱ,en-US
夺宝奇兵 II,トレジャーハンターⅡ,ja-JP
夺宝奇兵 II,보물 쟁탈 II,ko-KR
Treasure Raider Ⅱ,夺宝奇兵 II,zh-CN
Treasure Raider Ⅱ,トレジャーハンターⅡ,ja-JP
Treasure Raider Ⅱ,보물 쟁탈 II,ko-KR
トレジャーハンターⅡ,夺宝奇兵 II,zh-CN
トレジャーハンターⅡ,Treasure Raider Ⅱ,en-US
トレジャーハンターⅡ,보물 쟁탈 II,ko-KR
보물 쟁탈 II,夺宝奇兵 II,zh-CN
보물 쟁탈 II,Treasure Raider Ⅱ,en-US
보물 쟁탈 II,トレジャーハンターⅡ,ja-JP
夺宝奇兵 III,Treasure Raider Ⅲ,en-US
夺宝奇兵 III,トレジャーハンターⅢ,ja-JP
夺宝奇兵 III,보물 쟁탈 III,ko-KR
Treasure Raider Ⅲ,夺宝奇兵 III,zh-CN
Treasure Raider Ⅲ,トレジャーハンターⅢ,ja-JP
Treasure Raider Ⅲ,보물 쟁탈 III,ko-KR
トレジャーハンターⅢ,夺宝奇兵 III,zh-CN
トレジャーハンターⅢ,Treasure Raider Ⅲ,en-US
トレジャーハンターⅢ,보물 쟁탈 III,ko-KR
보물 쟁탈 III,夺宝奇兵 III,zh-CN
보물 쟁탈 III,Treasure Raider Ⅲ,en-US
보물 쟁탈 III,トレジャーハンターⅢ,ja-JP
决战六角鲸 ~ 挑战,Hexhorn Whale (Hard),en-US
决战六角鲸 ~ 挑战,激流ノ角鯨（ハード）,ja-JP
决战六角鲸 ~ 挑战,뿔고래 결투 ~ 도전,ko-KR
Hexhorn Whale (Hard),决战六角鲸 ~ 挑战,zh-CN
Hexhorn Whale (Hard),激流ノ角鯨（ハード）,ja-JP
Hexhorn Whale (Hard),뿔고래 결투 ~ 도전,ko-KR
激流ノ角鯨（ハード）,决战六角鲸 ~ 挑战,zh-CN
激流ノ角鯨（ハード）,Hexhorn Whale (Hard),en-US
激流ノ角鯨（ハード）,뿔고래 결투 ~ 도전,ko-KR
뿔고래 결투 ~ 도전,决战六角鲸 ~ 挑战,zh-CN
뿔고래 결투 ~ 도전,Hexhorn Whale (Hard),en-US
뿔고래 결투 ~ 도전,激流ノ角鯨（ハード）,ja-JP
夏日激斗 Ⅰ,Summer Brawl Ⅰ,en-US
夏日激斗 Ⅰ,海辺の激闘Ⅰ,ja-JP
夏日激斗 Ⅰ,여름 난투 I,ko-KR
Summer Brawl Ⅰ,夏日激斗 Ⅰ,zh-CN
Summer Brawl Ⅰ,海辺の激闘Ⅰ,ja-JP
Summer Brawl Ⅰ,여름 난투 I,ko-KR
海辺の激闘Ⅰ,夏日激斗 Ⅰ,zh-CN
海辺の激闘Ⅰ,Summer Brawl Ⅰ,en-US
海辺の激闘Ⅰ,여름 난투 I,ko-KR
여름 난투 I,夏日激斗 Ⅰ,zh-CN
여름 난투 I,Summer Brawl Ⅰ,en-US
여름 난투 I,海辺の激闘Ⅰ,ja-JP
夏日激斗 Ⅱ,Summer Brawl Ⅱ,en-US
夏日激斗 Ⅱ,海辺の激闘Ⅱ,ja-JP
夏日激斗 Ⅱ,여름 난투 II,ko-KR
Summer Brawl Ⅱ,夏日激斗 Ⅱ,zh-CN
Summer Brawl Ⅱ,海辺の激闘Ⅱ,ja-JP
Summer Brawl Ⅱ,여름 난투 II,ko-KR
海辺の激闘Ⅱ,夏日激斗 Ⅱ,zh-CN
海辺の激闘Ⅱ,Summer Brawl Ⅱ,en-US
海辺の激闘Ⅱ,여름 난투 II,ko-KR
여름 난투 II,夏日激斗 Ⅱ,zh-CN
여름 난투 II,Summer Brawl Ⅱ,en-US
