source,target,tgt_lng
"""All Is Overt Through My Lens""",「렌즈에 담긴 세상」,ko-KR
"""Kỵ Sĩ Trinh Thám Điểm Tuyệt Đối""",「만점 정찰 기사」,ko-KR
"""Lensimde Her Şeyin Hakikati Görünür""",「렌즈에 담긴 세상」,ko-KR
"""Marcas da Aventureira""",「만점 정찰 기사」,ko-KR
"""Tudo Passa pela Minha Lente""",「렌즈에 담긴 세상」,ko-KR
"""Đều Trong Ống Kính""",「렌즈에 담긴 세상」,ko-KR
"""ทุกสิ่งล้วนปรากฏอยู่หน้าเลนส์""",「렌즈에 담긴 세상」,ko-KR
%100 Kaşif,100% 정찰 기사,ko-KR
100% Aventureira,100% 정찰 기사,ko-KR
100% Outrider,100% 정찰 기사,ko-KR
100% Vigilante,100% 정찰 기사,ko-KR
100%侦察骑士,100% 정찰 기사,ko-KR
100%偵察騎士,100% 정찰 기사,ko-KR
5-Star Outrider,「만점 정찰 기사」,ko-KR
5-Sterne-Kundschafter,「만점 정찰 기사」,ko-KR
A Gift From the Stars,별빛의 선물,ko-KR
A Guest's August Omen,귀한 손님,ko-KR
A Leoa e o Sol Ardente,사자와 붉은 석양,ko-KR
A New Leaf,돋아난 신엽,ko-KR
A Sobriquet Under Shade,잎새에 숨겨진 이름,ko-KR
A Wrathful Void,공허한 정적과 분노,ko-KR
Abito da sera d'orchidee,비단 속 난초,ko-KR
Ablenkung des Unglücks,악운은 멀리,ko-KR
Acayip Oni,유별난 광귀,ko-KR
Acertijo esmeralda,초록빛 수수께끼,ko-KR
Acht-Bit-Künste,8비트 예술,ko-KR
Adventures in Blazing Hue,뜨거운 색채,ko-KR
Ailes sifflantes,은빛 휘파람 날개,ko-KR
Aires marciales,용맹의 바람,ko-KR
Aklı Başında,합리주의자,ko-KR
Aktrisler Kraliçesi,프리마돈나,ko-KR
Alacakaranlık Çiçeği,흑옥에 핀 꽃,ko-KR
Alas silbantes,은빛 휘파람 날개,ko-KR
Alegria de Ano Novo,제야의 환호,ko-KR
Alev Renkli Maceralar,뜨거운 색채,ko-KR
Alev Savaşçısı,화염의 적무,ko-KR
Alevle Kaplı Altın Tüyler,타오르는 금빛 깃털,ko-KR
Ali del dardo sibilante,은빛 휘파람 날개,ko-KR
Ali dorate in un bagno di fiamme,타오르는 금빛 깃털,ko-KR
