source,target,tgt_lng
"""'M'nin Lütfu""",「魔女Mからの祝福」,ja-JP
"""A Blessing From 'M'""",「魔女Mからの祝福」,ja-JP
"""An Adventure Through the Morning Mist""",「朝霧を越えた冒険」,ja-JP
"""Aquele Garoto vai Fazer uma Fortuna...""",「あいつらが金を稼ぐことは…」,ja-JP
"""Bereket Kolektifi""",「豊穣の邦」,ja-JP
"""Bir Zamanlar Karanlık Felaketi Uzak Tutan Yalnız Rüzgar...""",「かつて孤独な風が漆黒の災いを止めたように…」,ja-JP
"""Bá Vương Tối Thượng Siêu Cấp Ma Kiếm""",「スーパーアルティメット覇王魔剣」,ja-JP
"""Called In For Cleanup""",「清掃作業」,ja-JP
"""Chúc Phúc Của Ma Nữ M""",「魔女Mからの祝福」,ja-JP
"""Chủ Nhân Gió Đêm""",「謎煙の主」,ja-JP
"""Coi Đồ Nhóc Đó Kiếm Tiền...""",「あいつらが金を稼ぐことは…」,ja-JP
"""Collective of Plenty""",「豊穣の邦」,ja-JP
"""Colui che si oppose alle maree delle acque oscure come un macigno...""",「かつて、黒水の奔流を遮った磐石の如く…」,ja-JP
"""Coşku Dolu Ritimler""",「フェスのリズム」,ja-JP
"""Công Việc Dọn Dẹp""",「清掃作業」,ja-JP
"""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""",「僕の歌を聴きたまえ——さあ 愛の杯を掲げよう！」,ja-JP
"""Cư Dân Suối Nước""",「流泉の衆」,ja-JP
"""Cộng Đồng Trù Phú""",「豊穣の邦」,ja-JP
"""Duyun Sesimi! Aşk Kadehini Kaldıralım!""",「僕の歌を聴きたまえ——さあ 愛の杯を掲げよう！」,ja-JP
"""Dòng Dõi Vườn Treo""",「懸木の民」,ja-JP
"""Ergueu-se como um penhasco contra a maré das águas escuras...""",「かつて、黒水の奔流を遮った磐石の如く…」,ja-JP
"""Flower-Feather Clan""",「花翼の集」,ja-JP
"""Gece Rüzgarının Ustaları""",「謎煙の主」,ja-JP
"""Gök Kubbenin Evlatları""",「懸木の民」,ja-JP
"""Hear Me — Let Us Raise the Chalice of Love!""",「僕の歌を聴きたまえ——さあ 愛の杯を掲げよう！」,ja-JP
"""Humanity's Name"" Unfettered",「人の名」解放,ja-JP
"""Hội Hoa Vũ""",「花翼の集」,ja-JP
"""Hỡi Đôi Môi, Hãy Dệt Và Ngân Nga Khúc Hát""",「唇よ歌を紡ぎて詩を織りなせ」,ja-JP
"""I'd Rather Lose Money Myself...""",「あいつらが金を稼ぐことは…」,ja-JP
"""Kaplıca Halkı""",「流泉の衆」,ja-JP
"""Karanlık Gelgitlerin Yıkamadığı Kadim Kaya...""",「かつて、黒水の奔流を遮った磐石の如く…」,ja-JP
"""L'augurio di 'M'""",「魔女Mからの祝福」,ja-JP
"""Lavoro di pulizia""",「清掃作業」,ja-JP
"""Libiamo ne' lieti calici!""",「僕の歌を聴きたまえ——さあ 愛の杯を掲げよう！」,ja-JP
"""Masters of the Night-Wind""",「謎煙の主」,ja-JP
"""O Lips, Weave Me Songs and Psalms""",「唇よ歌を紡ぎて詩を織りなせ」,ja-JP
"""Once Stood Against the Tide of Dark Waters Like Bedrock...""",「かつて、黒水の奔流を遮った磐石の如く…」,ja-JP
"""Once, the Lone Wind That Kept the Dark Calamity at Bay...""",「かつて孤独な風が漆黒の災いを止めたように…」,ja-JP
"""Para Kaybetmeyi Yeğlerim...""",「あいつらが金を稼ぐことは…」,ja-JP
"""People of the Springs""",「流泉の衆」,ja-JP
"""Preferirei perdere soldi io stesso...""",「あいつらが金を稼ぐことは…」,ja-JP
"""Revelrous Beats""",「フェスのリズム」,ja-JP
"""Ritmi gioiosi""",「フェスのリズム」,ja-JP
"""Ritmo da Euforia""",「フェスのリズム」,ja-JP
"""Sabah Sisinde Bir Macera""",「朝霧を越えた冒険」,ja-JP
"""Salmodiate, o mie labbra""",「唇よ歌を紡ぎて詩を織りなせ」,ja-JP
"""Scions of the Canopy""",「懸木の民」,ja-JP
"""Senhores, Escutem-me, Ergamos a Taça do Amor!""",「僕の歌を聴きたまえ——さあ 愛の杯を掲げよう！」,ja-JP
"""Spada magica del Super Signore Supremo""",「スーパーアルティメット覇王魔剣」,ja-JP
"""Temizlik İşi Vardı""",「清掃作業」,ja-JP
"""Tiết Tấu Cuồng Nhiệt""",「フェスのリズム」,ja-JP
"""Trabalho de limpeza""",「清掃作業」,ja-JP
"""Từng Như Ngọn Gió Cô Độc Ngăn Chặn Sự Lan Rộng Của Bóng Tối...""",「かつて孤独な風が漆黒の災いを止めたように…」,ja-JP
"""Từng Như Tảng Đá Ngăn Dòng Nước Đen...""",「かつて、黒水の奔流を遮った磐石の如く…」,ja-JP
"""Ultimate Overlord's Mega Magic Sword""",「スーパーアルティメット覇王魔剣」,ja-JP
"""Um Vento Solitário Impediu Uma Vez a Escuridão de se Espalhar...""",「かつて孤独な風が漆黒の災いを止めたように…」,ja-JP
"""Uma Aventura Pela Névoa Matinal""",「朝霧を越えた冒険」,ja-JP
"""Uma Bênção de 'M'""",「魔女Mからの祝福」,ja-JP
"""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",「かつて孤独な風が漆黒の災いを止めたように…」,ja-JP
"""Un'avventura attraverso la nebbia mattutina""",「朝霧を越えた冒険」,ja-JP
"""Yüce Lordun Devasa Büyü Kılıcı""",「スーパーアルティメット覇王魔剣」,ja-JP
"""Çiçek Tüyü Klanı""",「花翼の集」,ja-JP
