source,target,tgt_lng
突击,STRIKER,zh-TW
支援,SPECIAL,zh-TW
爆发,爆炸,zh-TW
爆発,爆炸,zh-TW
Explosive,爆炸,zh-TW
폭발,爆炸,zh-TW
ระเบิด,爆炸,zh-TW
贯穿,貫通,zh-TW
Piercing,貫通,zh-TW
관통,貫通,zh-TW
เจาะเกราะ,貫通,zh-TW
Mystic,神秘,zh-TW
신비,神秘,zh-TW
ลึกลับ,神秘,zh-TW
普通,常規,zh-TW
ノーマル,常規,zh-TW
Normal,常規,zh-TW
일반,常規,zh-TW
ทั่วไป,常規,zh-TW
振动,振動,zh-TW
Sonic,振動,zh-TW
진동,振動,zh-TW
สั่นสะเทือน,振動,zh-TW
轮换,輪換,zh-TW
様々,輪換,zh-TW
Varies,輪換,zh-TW
다양함,輪換,zh-TW
หลากหลาย,輪換,zh-TW
轻装甲,輕型護甲,zh-TW
軽装備,輕型護甲,zh-TW
Light,輕型護甲,zh-TW
경장갑,輕型護甲,zh-TW
เกราะเบา,輕型護甲,zh-TW
重装甲,重型裝甲,zh-TW
Heavy,重型裝甲,zh-TW
중장갑,重型裝甲,zh-TW
เกราะหนัก,重型裝甲,zh-TW
特殊装甲,特殊裝甲,zh-TW
Special,特殊裝甲,zh-TW
특수장갑,特殊裝甲,zh-TW
เกราะพิเศษ,特殊裝甲,zh-TW
弹力装甲,彈性裝甲,zh-TW
弾力装甲,彈性裝甲,zh-TW
Elastic,彈性裝甲,zh-TW
탄력장갑,彈性裝甲,zh-TW
เกราะยืดหยุ่น,彈性裝甲,zh-TW
一般装甲,常規護甲,zh-TW
通常装甲,常規護甲,zh-TW
Normal,常規護甲,zh-TW
일반장갑,常規護甲,zh-TW
เกราะทั่วไป,常規護甲,zh-TW
结构物,結構物,zh-TW
構造物,結構物,zh-TW
Structure,結構物,zh-TW
구조물,結構物,zh-TW
สิ่งปลูกสร้าง,結構物,zh-TW
Light Armor,輕型護甲,zh-TW
Heavy Armor,重型裝甲,zh-TW
