source,target,tgt_lng
Abiogenesis: Solar Isotoma,創生術・擬似陽華,ja-JP
Ad astra abyssosque!,星と深淵を目指せ!,ja-JP
Come into being!,擬似陽華,ja-JP
Cool it!,おとなしくしやがれ!,ja-JP
Cut to the chase!,剣光よ、世の乱れを斬り尽くせ!,ja-JP
Dodge this!,こいつはどうだ?,ja-JP
Don't get frostbite.,風邪ひくなよ。,ja-JP
Evil conquering!,靖妖儺舞,ja-JP
For Natlan,ナタのために,ja-JP
Glory to the Shogun and her everlasting reign!,常道を恢弘せしは、永遠なる鳴神なり,ja-JP
Have a safe trip,行ってらっしゃい,ja-JP
Hey! That's even worse than being a mascot!,全然違う! マスコット以下じゃないか!,ja-JP
How about we explore the area ahead of us later?,またあとで来よう、今は他を探索しよう!,ja-JP
I will have order!,天動万象。,ja-JP
I'm not done...,お楽しみは…これから…,ja-JP
"It's getting cold, you say? I feel fine.",寒いのか? 俺は大丈夫だが。,ja-JP
Know my sword!,この剣は分かるかい!,ja-JP
Lament!,喚くがいい。,ja-JP
May the Anemo Archon protect you.,風神のご加護があらんことを。,ja-JP
No? Not funny?,面白くないか?,ja-JP
"Oh, so sorry!",すまん、すまん。,ja-JP
Order guide you.,天理長駆。,ja-JP
Punishment!,ヴァーディクト!,ja-JP
Shaken and stirred!,攻守兼備,ja-JP
So interminable... so lonely... Just how much longer...,終わりが見えない…すごく寂しい…一体いつまで耐えればいいんだ…,ja-JP
Steady as stone,岩の重さは安心できます,ja-JP
That was unexpected...,フンッ、予想外だぜ…,ja-JP
There is no escape!,逃げ道はありません,ja-JP
This is order.,天道、ここにあり。,ja-JP
This moment will be frozen in time.,…この瞬間、お前は永遠を手にする。,ja-JP
Time for ― retribution!,裁きを、受けよ!,ja-JP
Time to go!,いってらっしゃい!,ja-JP
"Well, allow me",俺が払うよ,ja-JP
"What do you mean ""hehe""!?",「えへっ」てなんだよ…!!,ja-JP
What's the hurry?,お前って本当にせっかちだな。,ja-JP
"While the Millelith stands guard, evil shall never prevail!",千岩牢固、揺るぎない。,ja-JP
With sword comes shadow!,我が剣よ! 影に従え――,ja-JP
Witness the power of Guhua!,古華奥義,ja-JP
Wrath of the Flame!,炎食いの刑!,ja-JP
Your verdict is...!,判決を―下す!,ja-JP
world... forget me...,世界が…私を…忘れて…,ja-JP
…世界…遗忘我…,世界が…私を…忘れて…,ja-JP
…世界…遺忘我…,世界が…私を…忘れて…,ja-JP
…这刹那，将是你的永恒。,…この瞬間、お前は永遠を手にする。,ja-JP
…這剎那，將是你的永恆。,…この瞬間、お前は永遠を手にする。,ja-JP
「誒嘿」是什麼意思啊…！！,「えへっ」てなんだよ…!!,ja-JP
「诶嘿」是什么意思啊…！！,「えへっ」てなんだよ…!!,ja-JP
一路順風,行ってらっしゃい,ja-JP
一路顺风,行ってらっしゃい,ja-JP
不好笑吗？,面白くないか?,ja-JP
不好笑嗎？,面白くないか?,ja-JP
为了纳塔,ナタのために,ja-JP
余款的话…我来付吧。,俺が払うよ,ja-JP
冻结吧！,おとなしくしやがれ!,ja-JP
凍結吧！,おとなしくしやがれ!,ja-JP
创生法·拟造阳华,創生術・擬似陽華,ja-JP
前面的区域，以后再来探索吧！,またあとで来よう、今は他を探索しよう!,ja-JP
前面的區域，以後再來探索吧！,またあとで来よう、今は他を探索しよう!,ja-JP
剑光如我，斩尽芜杂！,剣光よ、世の乱れを斬り尽くせ!,ja-JP
剑出，影随——,我が剣よ! 影に従え――,ja-JP
創生法·擬造陽華,創生術・擬似陽華,ja-JP
劍光如我，斬盡蕪雜！,剣光よ、世の乱れを斬り尽くせ!,ja-JP
劍出，影隨——,我が剣よ! 影に従え――,ja-JP
