source,target,tgt_lng
"""'M'nin Lütfu""","""L'augurio di 'M'""",it-IT
"""A Blessing From 'M'""","""L'augurio di 'M'""",it-IT
"""An Adventure Through the Morning Mist""","""Un'avventura attraverso la nebbia mattutina""",it-IT
"""Aquele Garoto vai Fazer uma Fortuna...""","""Preferirei perdere soldi io stesso...""",it-IT
"""Bereket Kolektifi""",Comunità dell'Abbondanza,it-IT
"""Bir Zamanlar Karanlık Felaketi Uzak Tutan Yalnız Rüzgar...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Bá Vương Tối Thượng Siêu Cấp Ma Kiếm""","""Spada magica del Super Signore Supremo""",it-IT
"""Called In For Cleanup""","""Lavoro di pulizia""",it-IT
"""Chúc Phúc Của Ma Nữ M""","""L'augurio di 'M'""",it-IT
"""Chủ Nhân Gió Đêm""",Maestri del Vento della Notte,it-IT
"""Coi Đồ Nhóc Đó Kiếm Tiền...""","""Preferirei perdere soldi io stesso...""",it-IT
"""Collective of Plenty""",Comunità dell'Abbondanza,it-IT
"""Coşku Dolu Ritimler""","""Ritmi gioiosi""",it-IT
"""Công Việc Dọn Dẹp""","""Lavoro di pulizia""",it-IT
"""Cùng Nghe Ta Ca Tụng, Nâng Ly Rượu Tình Yêu!""","""Libiamo ne' lieti calici!""",it-IT
"""Cư Dân Suối Nước""",Popolo delle Sorgenti,it-IT
"""Cộng Đồng Trù Phú""",Comunità dell'Abbondanza,it-IT
"""Duyun Sesimi! Aşk Kadehini Kaldıralım!""","""Libiamo ne' lieti calici!""",it-IT
"""Dòng Dõi Vườn Treo""",Discendenti delle Vette,it-IT
"""Ergueu-se como um penhasco contra a maré das águas escuras...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Flower-Feather Clan""",Clan Piumafiore,it-IT
"""Gece Rüzgarının Ustaları""",Maestri del Vento della Notte,it-IT
"""Gök Kubbenin Evlatları""",Discendenti delle Vette,it-IT
"""Hear Me — Let Us Raise the Chalice of Love!""","""Libiamo ne' lieti calici!""",it-IT
"""Humanity's Name"" Unfettered",Liberazione del Nome dell'umanità,it-IT
"""Hội Hoa Vũ""",Clan Piumafiore,it-IT
"""Hỡi Đôi Môi, Hãy Dệt Và Ngân Nga Khúc Hát""","""Salmodiate, o mie labbra""",it-IT
"""I'd Rather Lose Money Myself...""","""Preferirei perdere soldi io stesso...""",it-IT
"""Kaplıca Halkı""",Popolo delle Sorgenti,it-IT
"""Karanlık Gelgitlerin Yıkamadığı Kadim Kaya...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Masters of the Night-Wind""",Maestri del Vento della Notte,it-IT
"""O Lips, Weave Me Songs and Psalms""","""Salmodiate, o mie labbra""",it-IT
"""Once Stood Against the Tide of Dark Waters Like Bedrock...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Once, the Lone Wind That Kept the Dark Calamity at Bay...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Para Kaybetmeyi Yeğlerim...""","""Preferirei perdere soldi io stesso...""",it-IT
"""People of the Springs""",Popolo delle Sorgenti,it-IT
"""Revelrous Beats""","""Ritmi gioiosi""",it-IT
"""Ritmo da Euforia""","""Ritmi gioiosi""",it-IT
"""Sabah Sisinde Bir Macera""","""Un'avventura attraverso la nebbia mattutina""",it-IT
"""Scions of the Canopy""",Discendenti delle Vette,it-IT
"""Senhores, Escutem-me, Ergamos a Taça do Amor!""","""Libiamo ne' lieti calici!""",it-IT
"""Temizlik İşi Vardı""","""Lavoro di pulizia""",it-IT
"""Tiết Tấu Cuồng Nhiệt""","""Ritmi gioiosi""",it-IT
"""Trabalho de limpeza""","""Lavoro di pulizia""",it-IT
"""Từng Như Ngọn Gió Cô Độc Ngăn Chặn Sự Lan Rộng Của Bóng Tối...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Từng Như Tảng Đá Ngăn Dòng Nước Đen...""","""Colui che si oppose alle maree delle acque oscure come un macigno...""",it-IT
"""Ultimate Overlord's Mega Magic Sword""","""Spada magica del Super Signore Supremo""",it-IT
"""Um Vento Solitário Impediu Uma Vez a Escuridão de se Espalhar...""","""Un tempo, il vento solitario che teneva a bada l'oscura calamità...""",it-IT
"""Uma Aventura Pela Névoa Matinal""","""Un'avventura attraverso la nebbia mattutina""",it-IT
"""Uma Bênção de 'M'""","""L'augurio di 'M'""",it-IT
"""Yüce Lordun Devasa Büyü Kılıcı""","""Spada magica del Super Signore Supremo""",it-IT
"""Çiçek Tüyü Klanı""",Clan Piumafiore,it-IT
"""Ó, Lábios, Recitem Salmos e Canções!""","""Salmodiate, o mie labbra""",it-IT
"""İnsanlığın Adı"" Artık Özgür",Liberazione del Nome dell'umanità,it-IT
"""Şarkıdan ve İlahiden Başkasını Okumasın Bu Dudaklar""","""Salmodiate, o mie labbra""",it-IT
"""การผจญภัยผ่านหมอกยามเช้า""","""Un'avventura attraverso la nebbia mattutina""",it-IT
"""จ้าวแห่งลมราตรี""",Maestri del Vento della Notte,it-IT
"""ผองสรรพสิ่ง""",Comunità dell'Abbondanza,it-IT
"""พงศ์พิดานพฤกษา""",Discendenti delle Vette,it-IT
"""พรจากแม่มด M""","""L'augurio di 'M'""",it-IT
"""พรแห่งจ้าวอัคคี""",Benedizione del Signore delle Fiamme,it-IT
"""วงศ์ปีกบุปผา""",Clan Piumafiore,it-IT
"""สิ่งที่หลงเหลือไว้ในเม็ดทราย""",Eredità perdute nella sabbia,it-IT
"""เทศกาลรื่นเริง""","""Ritmi gioiosi""",it-IT
"""เหล่าวารี""",Popolo delle Sorgenti,it-IT
*brüll*! *brüll*!,Roar! Roar!,it-IT
A Arte do Orçamento,L'arte del risparmio,it-IT
A Bocajarro,Pankration,it-IT
A Bruxa das Chamas Carmesim,Strega cremisi delle fiamme,it-IT
A Cold Blade Like a Shadow,Ombra sferzante,it-IT
A Doca,Aiutante del porto,it-IT
A Hero of Justice's Triumph,Trionfo dell'Eroina della Giustizia,it-IT
A Lenda de Vennessa,La leggenda di Vennessa,it-IT
A Melhor Companheira!,La miglior compagna di viaggio!,it-IT
A Princesa Javali,La principessa dei cinghiali,it-IT
A Responsabilidade de um Gênio Mecânico,Il peso della genialità,it-IT
A Subordinate's Skills,Le abilità di un sottoposto,it-IT
A Summation of Interest,Sommatoria d'interessi,it-IT
A Thousand Floating Dreams,Mille sogni fluttuanti,it-IT
A Thousand Young,Prole infinita,it-IT
Abanador de Penas Vermelhas,Ventaglio di piume rosse,it-IT
Abandon mystique,Abbandono mistico,it-IT
Abandono Místico,Abbandono mistico,it-IT
Abandono místico,Abbandono mistico,it-IT
Abanico de plumas rojas,Ventaglio di piume rosse,it-IT
Abenteurergilde,Gilda degli avventurieri,it-IT
Abençoador,Portatore di buona sorte,it-IT
Abertura da Cortina da Neve,Separazione del velo di neve,it-IT
Abondance de phlogistique,Flogisto abbondante,it-IT
Abrace os Ventos,Venti avvolgenti,it-IT
Abraza los vientos,Venti avvolgenti,it-IT
Abschließender Beifall,Applauso finale,it-IT
