source,target,tgt_lng
 %s/%s mensagem(ns) selecionada(s),%s/%s ileti seçildi,tr-TR
 (con mods), (Modlu),tr-TR
 (Modded), (Modlu),tr-TR
 (modificado), (Modlu),tr-TR
 (modificato), (Modlu),tr-TR
 (modifiziert), (Modlu),tr-TR
 (version moddée), (Modlu),tr-TR
 (Đã được sửa đổi), (Modlu),tr-TR
 (модифицировано), (Modlu),tr-TR
 (มีการดัดแปร), (Modlu),tr-TR
 (모드), (Modlu),tr-TR
"""%s""을(를) 신고하려 합니다.","""%s"" adlı oyuncuyu bildiriyorsunuz.",tr-TR
%1$s + %2$s을(를) 눌러 단축 바를 저장할 수 있습니다,%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,tr-TR
%1$s 在 %3$s 說：%2$s,%s diyor ki: %s %s,tr-TR
%1$s 著,Yazar: %1$s,tr-TR
%1$s+%2$sでホットバーを保存します,%1$s + %2$s ile araç çubuğunu kaydedebilirsiniz,tr-TR
%1$sで立ち上がる,Kalkmak için %1$s tuşuna basın,tr-TR
%1$sで降りる,İnmek için %1$s tuşuna basın,tr-TR
%1$sの%3$sでの発言：%2$s,%s diyor ki: %s %s,tr-TR
%1$s在%3$s说：%2$s,%s diyor ki: %s %s,tr-TR
%1$s이(가) 씀,Yazar: %1$s,tr-TR
%1$s／%2$sページ,"Sayfa %1$s,%2$s",tr-TR
%2$s× %1$s,%s x %s,tr-TR
%2$s個中%1$s個のメッセージを選択,%s/%s ileti seçildi,tr-TR
%2$s쪽 중 %1$s쪽,"Sayfa %1$s,%2$s",tr-TR
"%s

%s

Consulta más información en el siguiente enlace: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Erfahre mehr unter folgendem Link: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Learn more at the following link: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Pour en savoir plus, consultez le lien suivant : %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Saiba mais no link: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Scopri di più al collegamento seguente: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Tìm hiểu thêm tại liên kết sau: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

Подробнее по ссылке: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

เรียนรู้เพิ่มเติมที่ลิงก์ต่อไปนี้: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

点击以下链接了解更多：%s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

詳細はこちらのリンクから確認できます：%s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

透過以下連結了解更多：%s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
"%s

%s

더 자세한 정보는 다음 링크에 있습니다: %s","%s

%s

Buradan daha fazlasını öğrenin: %s",tr-TR
%s %s個,%s x %s,tr-TR
%s (%s шт.),%s x %s,tr-TR
%s (attualmente nascosta),%s: Şuan kapalı,tr-TR
%s (attualmente sempre visibile),%s: Şuan sürekli açık,tr-TR
%s (attualmente visibile nel cruscotto),%s: Şu an hata ayıklama önyüzünde,tr-TR
%s (attualmente visibile premendo F3),%s: Şuan sadece F3'de,tr-TR
%s + %s is held down. This will crash the game unless released.,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s + %s pressionados. O jogo será interrompido a menos que solte.,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
"%s + %s sind gedrückt. Dies wird das Spiel abstürzen lassen, wenn sie nicht losgelassen werden.",%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s + %s đã được giữ. Điều này sẽ làm trò chơi gặp sự cố trừ khi thả phím ra.,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s + %sが押されています。離さない限り、ゲームをクラッシュさせます。,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s + %s已被按下。若不放开按键则会使游戏崩溃。,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s + %s이(가) 눌려 있습니다. 놓지 않으면 게임에 잠시 후 크래시를 일으킵니다.,%s + %s basılı tutuluyor. Eğer bırakılmazsa oyun çökecek.,tr-TR
%s - %s joueur,%s - %s oyuncu,tr-TR
%s - %s joueurs,%s - %s oyuncu,tr-TR
%s - %s người chơi,%s - %s oyuncu,tr-TR
%s - %s player,%s - %s oyuncu,tr-TR
%s - %s players,%s - %s oyuncu,tr-TR
%s - %s 位玩家,%s - %s oyuncu,tr-TR
%s - %s人のプレイヤー,%s - %s oyuncu,tr-TR
%s - %s名玩家,%s - %s oyuncu,tr-TR
%s - ผู้เล่น %s คน,%s - %s oyuncu,tr-TR
%s - 플레이어 %s명,%s - %s oyuncu,tr-TR
%s . . . ？,%s . . . ?,tr-TR
%s . . .？,%s . . . ?,tr-TR
%s : %s,%s: %s,tr-TR
%s : actuellement masqué,%s: Şuan kapalı,tr-TR
