category,source,target,tgt_lng
01_character,アル,爱露,zh-CN
01_character,亞瑠,爱露,zh-CN
01_character,Aru,爱露,zh-CN
01_character,아루,爱露,zh-CN
01_character,อารุ,爱露,zh-CN
01_character,エイミ,艾米,zh-CN
01_character,英美,艾米,zh-CN
01_character,Eimi,艾米,zh-CN
01_character,에이미,艾米,zh-CN
01_character,เอมิ,艾米,zh-CN
01_character,ハルナ,晴奈,zh-CN
01_character,羽留奈,晴奈,zh-CN
01_character,Haruna,晴奈,zh-CN
01_character,하루나,晴奈,zh-CN
01_character,ฮารุนะ,晴奈,zh-CN
01_character,ヒフミ,日富美,zh-CN
01_character,日步美,日富美,zh-CN
01_character,Hifumi,日富美,zh-CN
01_character,히후미,日富美,zh-CN
01_character,ฮิฟุมิ,日富美,zh-CN
01_character,ヒナ,日奈,zh-CN
01_character,陽奈,日奈,zh-CN
01_character,Hina,日奈,zh-CN
01_character,히나,日奈,zh-CN
01_character,ฮินะ,日奈,zh-CN
01_character,ホシノ,星野,zh-CN
01_character,Hoshino,星野,zh-CN
01_character,호시노,星野,zh-CN
01_character,โฮชิโนะ,星野,zh-CN
01_character,イオリ,伊织,zh-CN
01_character,伊織,伊织,zh-CN
01_character,Iori,伊织,zh-CN
01_character,이오리,伊织,zh-CN
01_character,อิโอริ,伊织,zh-CN
01_character,マキ,真纪,zh-CN
01_character,真紀,真纪,zh-CN
01_character,Maki,真纪,zh-CN
01_character,마키,真纪,zh-CN
01_character,มากิ,真纪,zh-CN
01_character,ネル,妮露,zh-CN
01_character,寧瑠,妮露,zh-CN
01_character,Neru,妮露,zh-CN
01_character,네루,妮露,zh-CN
01_character,เนรุ,妮露,zh-CN
01_character,イズミ,泉,zh-CN
01_character,Izumi,泉,zh-CN
01_character,이즈미,泉,zh-CN
01_character,อิซุมิ,泉,zh-CN
01_character,シロコ,白子,zh-CN
01_character,Shiroko,白子,zh-CN
01_character,시로코,白子,zh-CN
01_character,ชิโรโกะ,白子,zh-CN
01_character,シュン,瞬,zh-CN
01_character,旬,瞬,zh-CN
01_character,Shun,瞬,zh-CN
01_character,슌,瞬,zh-CN
01_character,ชุน,瞬,zh-CN
01_character,スミレ,堇,zh-CN
01_character,Sumire,堇,zh-CN
01_character,스미레,堇,zh-CN
01_character,สึมิเระ,堇,zh-CN
01_character,ツルギ,鹤城,zh-CN
01_character,弦生,鹤城,zh-CN
01_character,Tsurugi,鹤城,zh-CN
01_character,츠루기,鹤城,zh-CN
01_character,ซึรุกิ,鹤城,zh-CN
01_character,イズナ,泉奈,zh-CN
01_character,伊樹菜,泉奈,zh-CN
01_character,Izuna,泉奈,zh-CN
01_character,이즈나,泉奈,zh-CN
01_character,อิซุนะ,泉奈,zh-CN
01_character,アリス,爱丽丝,zh-CN
01_character,愛麗絲,爱丽丝,zh-CN
01_character,Aris,爱丽丝,zh-CN
01_character,아리스,爱丽丝,zh-CN
01_character,อาริสึ,爱丽丝,zh-CN
01_character,ミドリ,绿,zh-CN
01_character,綠,绿,zh-CN
01_character,Midori,绿,zh-CN
01_character,미도리,绿,zh-CN
01_character,มิโดริ,绿,zh-CN
01_character,チェリノ,切里诺,zh-CN
01_character,潔莉諾,切里诺,zh-CN
01_character,Cherino,切里诺,zh-CN
01_character,체리노,切里诺,zh-CN
01_character,เชริโน่,切里诺,zh-CN
01_character,ユズ,柚子,zh-CN
01_character,Yuzu,柚子,zh-CN
01_character,유즈,柚子,zh-CN
01_character,ยูสึ,柚子,zh-CN
01_character,アズサ,梓,zh-CN
01_character,Azusa,梓,zh-CN
01_character,아즈사,梓,zh-CN
01_character,อาซึสะ,梓,zh-CN
01_character,コハル,小春,zh-CN
01_character,Koharu,小春,zh-CN
01_character,코하루,小春,zh-CN
01_character,โคฮารุ,小春,zh-CN
01_character,アズサ（水着）,梓（泳装）,zh-CN
01_character,梓(泳裝),梓（泳装）,zh-CN
01_character,Azusa (Swimsuit),梓（泳装）,zh-CN
01_character,아즈사(수영복),梓（泳装）,zh-CN
01_character,อาซึสะ (ชุดว่ายน้ำ),梓（泳装）,zh-CN
01_character,ヒナ（水着）,日奈（泳装）,zh-CN
01_character,陽奈(泳裝),日奈（泳装）,zh-CN
01_character,Hina (Swimsuit),日奈（泳装）,zh-CN
01_character,히나(수영복),日奈（泳装）,zh-CN
01_character,ฮินะ (ชุดว่ายน้ำ),日奈（泳装）,zh-CN
01_character,イオリ（水着）,伊织（泳装）,zh-CN
01_character,伊織(泳裝),伊织（泳装）,zh-CN
01_character,Iori (Swimsuit),伊织（泳装）,zh-CN
01_character,이오리(수영복),伊织（泳装）,zh-CN
01_character,อิโอริ (ชุดว่ายน้ำ),伊织（泳装）,zh-CN
01_character,シロコ（ライディング）,白子（骑行）,zh-CN
01_character,白子(單車),白子（骑行）,zh-CN
01_character,Shiroko (Cycling),白子（骑行）,zh-CN
01_character,시로코(라이딩),白子（骑行）,zh-CN
01_character,ชิโรโกะ (นักปั่น),白子（骑行）,zh-CN
01_character,シュン（幼女）,瞬（小）,zh-CN
01_character,旬(幼女),瞬（小）,zh-CN
01_character,Shun (Small),瞬（小）,zh-CN
01_character,슌(어린이),瞬（小）,zh-CN
01_character,ชุน (วัยเด็ก),瞬（小）,zh-CN
01_character,ネル（バニーガール）,妮露（邦妮）,zh-CN
01_character,寧瑠(兔女郎),妮露（邦妮）,zh-CN
01_character,Neru (Bunny),妮露（邦妮）,zh-CN
01_character,네루(바니걸),妮露（邦妮）,zh-CN
01_character,เนรุ (บันนี่เกิร์ล),妮露（邦妮）,zh-CN
01_character,カリン（バニーガール）,花凛（邦妮）,zh-CN
01_character,花凛(兔女郎),花凛（邦妮）,zh-CN
01_character,Karin (Bunny),花凛（邦妮）,zh-CN
01_character,카린(바니걸),花凛（邦妮）,zh-CN
01_character,คาริน (บันนี่เกิร์ล),花凛（邦妮）,zh-CN
01_character,アスナ（バニーガール）,明日奈（邦妮）,zh-CN
01_character,明日奈(兔女郎),明日奈（邦妮）,zh-CN
01_character,Asuna (Bunny),明日奈（邦妮）,zh-CN
