source,target,tgt_lng
Abendrot-Mondfisch,Dusk Sunfish,th-TH
Abutre Vermelho,แร้งสีชาด,th-TH
Acará Chousei,Abiding Angelfish,th-TH
Acará Raimei,Raimei Angelfish,th-TH
Acuibara,Capybara,th-TH
Aerofidio,อสรพิษบันเหิน,th-TH
Afide del Flogisto,Phlogiston Aphid,th-TH
Afídio de Flogisto,Phlogiston Aphid,th-TH
Aigle à couronne,อินทรีมงกุฎ,th-TH
Airone azzurro,Azure Crane,th-TH
Aizen-Medaka,Aizen Medaka,th-TH
Ak Kanatlı Kaz,ห่านปีกหิมะ,th-TH
Akai maou,Akai Maou,th-TH
Akaralev Kuşu,Flowfire Bird,th-TH
Akarsu Kuşu,Flowcurrent Bird,th-TH
Akrep,แมงป่อง,th-TH
Alabardo,Halberd-Crest Bird,th-TH
Alacakaranlık Güneş Balığı,Dusk Sunfish,th-TH
Alacakaranlık Keçisi,แกะสนธยา,th-TH
Alacakaranlık Kuşu,Dusk Bird,th-TH
Alce da Neve,กวางมูสหิมะ,th-TH
Alce de las nieves,กวางมูสหิมะ,th-TH
Alce delle nevi,กวางมูสหิมะ,th-TH
Aleterea,Etherwing Moth,th-TH
Alevli Balta Kafalı Balık,ปลาหัวขวานโลหะเดือด,th-TH
Alevli Kalp Tüylü Levrek,Blazing Heartfeather Bass,th-TH
Alpaca de carga,Alpaca,th-TH
Alpacktier,Alpaca,th-TH
Alpaga,Alpaca,th-TH
Alpaka,Alpaca,th-TH
Altın Ejder Balığı,Golden Koi,th-TH
Altın Hırsız Gelincik,Golden Weasel Thief,th-TH
Altın Levrek,Golden Bass,th-TH
Altın Serçe,Golden Finch,th-TH
Altın Yengeç,Golden Crab,th-TH
Altın Çopra,Golden Loach,th-TH
Amatör Hırsız Gelincik,Amateur Weasel Thief,th-TH
Amber Hunting Hound,สุนัขนักล่าสีอำพัน,th-TH
Anatra Vellutunno,Velvetfall Duck,th-TH
Anatra dal becco rosso,Scarletbeak Duck,th-TH
Anatra smeraldina,Emerald Duck,th-TH
Ancien pinson écarlate,Ancient Scarlet-Plume Finch,th-TH
Ancien sanglier rougeoyant,Ancient Red-Mane Boar,th-TH
Ancienne spatule flamboyante,Ancient Firewalker Spoonbill,th-TH
Ancienne tortue lustrée,Ancient Glazeback Turtle,th-TH
Anemo-Kristallschmetterling,Anemo Crystalfly,th-TH
Anfänger-Schatzmarder,Amateur Weasel Thief,th-TH
Anguila adornada,Adorned Unagi,th-TH
Anguila de aleta roja,Red-Finned Unagi,th-TH
Anguila de las profundidades,Deep Sea Unagi,th-TH
Anguila del desierto,Quicksand Eel,th-TH
Anguilla delle sabbie mobili,Quicksand Eel,th-TH
Anguille des sables,Quicksand Eel,th-TH
Animal de Carga Branco,Sumpter Beast ขาว,th-TH
Animal de Carga Desgrenhado,Shaggy Sumpter Beast,th-TH
Animal de Carga do Deserto,Desert Sumpter Beast,th-TH
Animal de carga albino,Sumpter Beast ขาว,th-TH
Apanhador da Aurora,Dawncatcher,th-TH
Aquila coronata,อินทรีมงกุฎ,th-TH
Ardilla,Squirrel,th-TH
Arduvaz Şemsiyeli Serçe,นกกระจอกร่มเทาอมฟ้า,th-TH
Arpente-neige,Snowstrider,th-TH
Arraia Divda,Divda Ray,th-TH
Arraia Flutuante,Floating Ray,th-TH
Arraia Formalo,Formalo Ray,th-TH
Aschegraue Schneeflosse,ครีบมนหิมะธุลีเถ้า,th-TH
Atapetra Conch,หอยสังข์ศิลาโบราณ,th-TH
Atapetra-Schnecke,หอยสังข์ศิลาโบราณ,th-TH
Atataşı Kabuğu,หอยสังข์ศิลาโบราณ,th-TH
Ateş Kristal Kelebeği,Pyro Crystalfly,th-TH
Atrapaauroras,Dawncatcher,th-TH
Attrape-aube,Dawncatcher,th-TH
Avcı Hırsız Gelincik,Hoarder Weasel Thief,th-TH
