source,target,tgt_lng
"""%s"" attendu","Esperava-se ""%s""",pt-BR
"""%s"" kimliğine sahip şablon yok","Nenhum modelo encontrado com o ID ""%s""",pt-BR
"""%s"" n'est pas un nom de pack valide",Nome do novo pacote inválido: %s,pt-BR
"""%s"" türü özellik yok","Nenhum elemento encontrado do tipo ""%s""",pt-BR
"""%s"" türü şablon havuzu yok","Nenhum conjunto modelo encontrado do tipo ""%s""",pt-BR
"""%s"" 구조물을 %s, %s, %s에 생성했습니다","Você gerou a estrutura do tipo ""%s"" em %s, %s, %s",pt-BR
"""%s"" 종류의 구조물이 없습니다","Nenhuma estrutura encontrada do tipo ""%s""",pt-BR
"""%s"" 종류의 지물이 없습니다","Nenhum elemento encontrado do tipo ""%s""",pt-BR
"""%s"" 종류의 템플릿 풀이 없습니다","Nenhum conjunto modelo encontrado do tipo ""%s""",pt-BR
"""%s"" 템플릿을 %s, %s, %s에 불러왔습니다","Você carregou o modelo ""%s"" em %s, %s, %s",pt-BR
"""%s""을(를) %s, %s, %s에 설치했습니다","Você colocou o elemento ""%s"" em %s, %s, %s",pt-BR
"""%s” %s,%s,%s konumuna yerleştirildi","Você colocou o elemento ""%s"" em %s, %s, %s",pt-BR
"""%s” türünde bir yapı yok","Nenhuma estrutura encontrada do tipo ""%s""",pt-BR
"""%s” yapısı %s, %s, %s konumunda oluşturuldu","Você gerou a estrutura do tipo ""%s"" em %s, %s, %s",pt-BR
"""%s” şablonu %s, %s, %s konumuna yüklendi","Você carregou o modelo ""%s"" em %s, %s, %s",pt-BR
"""Enable"" fonctionne seulement sur des objectifs de type ""trigger""",A função enable só funciona em objetivos do tipo trigger,pt-BR
%1$s bloğu %3$s özelliğine '%2$s' kabul etmiyor,"O bloco %s não aceita ""%s"" para a propriedade %s",pt-BR
"%1$s boyutunda, %2$s konumunda zorla yüklenmiş bir yığın bulundu",Um chunk com carregamento forçado foi encontrado na dimensão %s em: %s,pt-BR
%1$s chunk da %3$s a %4$s nella dimensione %2$s non sono più segnalati per il caricamento forzato,Você desmarcou %s chunks na dimensão %s de %s a %s do carregamento forçado,pt-BR
%1$s fonksiyonunda %2$s değişkeni eksik,Falta o argumento %2$s para a função %1$s,pt-BR
%1$s gelişimi '%2$s' kriterini içermiyor,"O progresso %1$s não contém o critério ""%2$s""",pt-BR
%1$s tarif %2$s oyuncudan alındı,Você retirou %s receita(s) de %s jogadores,pt-BR
%1$s tarif %2$s oyuncusundan alındı,Você removeu %s receita(s) de %s,pt-BR
%1$s 발전 과제에 '%2$s' 기준이 없습니다,"O progresso %1$s não contém o critério ""%2$s""",pt-BR
%1$s 함수에 %2$s 인수가 누락되었습니다,Falta o argumento %2$s para a função %1$s,pt-BR
%1$s 함수에 인수들이 누락되었습니다,Faltam argumentos para a função %s,pt-BR
"%1$s, %2$s, %3$sから%4$s, %5$s, %6$sの間にバイオームを設定しました","Biomas definidos entre %s, %s, %s e %s, %s, %s",pt-BR
%1$sの%3$sの値は%2$sです,%s tem %s em %s,pt-BR
%1$sを%2$sから降ろしました,%s desceu do(a) %s,pt-BR
%1$sを%2$sに騎乗させました,%s começou a montar um(a) %s,pt-BR
"%1$s个实体未能围绕%2$s, %3$s分散（空间过小而实体过多，请将分散间距设为%4$s以下）","Não foi possível distribuir %s entidade(s) ao redor de %s, %s (há entidades demais para o espaço, tente usar um afastamento de até %s blocos)",pt-BR
"%1$s体のエンティティを%2$s, %3$sの周辺に散開させることができませんでした（スペースに対してエンティティの数が多すぎます。%4$s体以下で散開させてみてください）","Não foi possível distribuir %s entidade(s) ao redor de %s, %s (há entidades demais para o espaço, tente usar um afastamento de até %s blocos)",pt-BR
